Ulke,Sehir,ilce,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Türkiye,Burdur,Bucak,603,,,,,,
Türkiye,Burdur,Çavdır,604,,,,,,
Türkiye,Burdur,Çeltikçi,605,,,,,,
Türkiye,Burdur,Gölhisar,606,,,,,,
Türkiye,Burdur,Karamanlı,607,,,,,,
Türkiye,Burdur,Kemer,608,,,,,,
Türkiye,Burdur,Merkez,609,,,,,,
Türkiye,Burdur,Tefenni,610,,,,,,
Türkiye,Burdur,Yeşilova,611,,,,,,
Türkiye,Bursa,,612,,,,,,
Türkiye,Bursa,Büyükorhan,613,,,,,,
Türkiye,Bursa,Gemlik,614,,,,,,
Türkiye,Bursa,Gürsu,615,,,,,,
Türkiye,Bursa,Harmancık,616,,,,,,
Türkiye,Bursa,İnegöl,617,,,,,,
Türkiye,Bursa,İznik,618,,,,,,
Türkiye,Bursa,Karacabey,619,,,,,,
Türkiye,Bursa,Keles,620,,,,,,
Türkiye,Bursa,Keleş,621,,,,,,
Türkiye,Bursa,Kestel,622,,,,,,
Türkiye,Bursa,M.Kemalpaşa,623,,,,,,
Türkiye,Bursa,Merkez,624,,,,,,
Türkiye,Bursa,Mudanya,625,,,,,,
Türkiye,Bursa,Mustafakemalpaşa,626,,,,,,
Türkiye,Bursa,Nilüfer,627,,,,,,
Türkiye,Bursa,Orhaneli,628,,,,,,
Türkiye,Bursa,Orhangazi,629,,,,,,
Türkiye,Bursa,Osmangazi,630,,,,,,
Türkiye,Bursa,Yenişehir,631,,,,,,
Türkiye,Bursa,Yıldırım,632,,,,,,
Türkiye,Çanakkale,,633,,,,,,
Türkiye,Çanakkale,Assos,634,,,,,,
Türkiye,Çanakkale,Ayvacık,635,,,,,,
Türkiye,Çanakkale,Bayramiç,636,,,,,,
Türkiye,Çanakkale,Behramkale,637,,,,,,
Türkiye,Çanakkale,Biga,638,,,,,,
Türkiye,Çanakkale,Bozcaada,639,,,,,,
Türkiye,Çanakkale,Çan,640,,,,,,
Türkiye,Çanakkale,Eceabat,641,,,,,,
Türkiye,Çanakkale,Ezine,642,,,,,,
Türkiye,Çanakkale,Gelibolu,643,,,,,,
Türkiye,Çanakkale,Gökçeada,644,,,,,,
Türkiye,Çanakkale,Gökçeada(İmroz),645,,,,,,
Türkiye,Çanakkale,Güzelyalı,646,,,,,,
Türkiye,Çanakkale,Kalkım,647,,,,,,
Türkiye,Çanakkale,Küçükkuyu,648,,,,,,
Türkiye,Çanakkale,Lapseki,649,,,,,,
Türkiye,Çanakkale,Merkez,650,,,,,,
Türkiye,Çanakkale,Yenice,651,,,,,,
Türkiye,Çankırı,,652,,,,,,
Türkiye,Çankırı,Atkaracalar,653,,,,,,
Türkiye,Çankırı,Bayramören,654,,,,,,
Türkiye,Çankırı,Çerkeş,655,,,,,,
Türkiye,Çankırı,Eldivan,656,,,,,,
Türkiye,Çankırı,Eskipazar,657,,,,,,
Türkiye,Çankırı,Ilgaz,658,,,,,,
Türkiye,Çankırı,Kızılırmak,659,,,,,,
Türkiye,Çankırı,Korgun,660,,,,,,
Türkiye,Çankırı,Kurşunlu,661,,,,,,
Türkiye,Çankırı,Merkez,662,,,,,,
Türkiye,Çankırı,Orta,663,,,,,,
Türkiye,Çankırı,Şabanözü,664,,,,,,
Türkiye,Çankırı,Yapraklı,665,,,,,,
Türkiye,Çorum,,666,,,,,,
Türkiye,Çorum,Alaca,667,,,,,,
Türkiye,Çorum,Bayat,668,,,,,,
Türkiye,Çorum,Boğazkale,669,,,,,,
Türkiye,Çorum,Dodurga,670,,,,,,
Türkiye,Çorum,İskilip,671,,,,,,
Türkiye,Çorum,Kargı,672,,,,,,
Türkiye,Çorum,Laçin,673,,,,,,
Türkiye,Çorum,Mecitözü,674,,,,,,
Türkiye,Çorum,Merkez,675,,,,,,
Türkiye,Çorum,Oğuzlar,676,,,,,,
Türkiye,Çorum,Oğuzlar(Karaören),677,,,,,,
Türkiye,Çorum,Ortaköy,678,,,,,,
Türkiye,Çorum,Osmancık,679,,,,,,
Türkiye,Çorum,Sungurlu,680,,,,,,
Türkiye,Çorum,Uğurludağ,681,,,,,,
Türkiye,Denizli,,682,,,,,,
Türkiye,Denizli,Acıpayam,683,,,,,,
Türkiye,Denizli,Akköy,684,,,,,,
Türkiye,Denizli,Babadağ,685,,,,,,
Türkiye,Denizli,Baklan,686,,,,,,
Türkiye,Denizli,Bekilli,687,,,,,,
Türkiye,Denizli,Beyağaç,688,,,,,,
Türkiye,Denizli,Bozkurt,689,,,,,,
Türkiye,Denizli,Buldan,690,,,,,,
Türkiye,Denizli,Çal,691,,,,,,
Türkiye,Denizli,Çameli,692,,,,,,
Türkiye,Denizli,Çardak,693,,,,,,
Türkiye,Denizli,Çivril,694,,,,,,
Türkiye,Denizli,Güney,695,,,,,,
Türkiye,Denizli,Honaz,696,,,,,,
Türkiye,Denizli,Kale,697,,,,,,
Türkiye,Denizli,Merkez,698,,,,,,
Türkiye,Denizli,Pamukkale,699,,,,,,
Türkiye,Denizli,Sarayköy,700,,,,,,
Türkiye,Denizli,Serinhisar,701,,,,,,
Türkiye,Denizli,Tavas,702,,,,,,
Türkiye,Diyarbakır,,703,,,,,,
Türkiye,Diyarbakır,Bağlar,704,,,,,,
Türkiye,Diyarbakır,Bismil,705,,,,,,
Türkiye,Diyarbakır,Çermik,706,,,,,,
Türkiye,Diyarbakır,Çınar,707,,,,,,
Türkiye,Diyarbakır,Çüngüş,708,,,,,,
Türkiye,Diyarbakır,Dicle,709,,,,,,
Türkiye,Diyarbakır,Eğil,710,,,,,,
Türkiye,Diyarbakır,Ergani,711,,,,,,
Türkiye,Diyarbakır,Hani,712,,,,,,
Türkiye,Diyarbakır,Hazro,713,,,,,,
Türkiye,Diyarbakır,Kayapınar,714,,,,,,
Türkiye,Diyarbakır,Kocaköy,715,,,,,,
Türkiye,Diyarbakır,Kulp,716,,,,,,
Türkiye,Diyarbakır,Lice,717,,,,,,
Türkiye,Diyarbakır,Merkez,718,,,,,,
Türkiye,Diyarbakır,Silvan,719,,,,,,
Türkiye,Diyarbakır,Sur,720,,,,,,
Türkiye,Düzce,,721,,,,,,
Türkiye,Düzce,Akçakoca,722,,,,,,
Türkiye,Düzce,Cumayeri,723,,,,,,
Türkiye,Düzce,Çilimli,724,,,,,,
Türkiye,Düzce,Gölyaka,725,,,,,,
Türkiye,Düzce,Gümüşova,726,,,,,,
Türkiye,Düzce,Kaynaşlı,727,,,,,,
Türkiye,Düzce,Merkez,728,,,,,,
Türkiye,Düzce,Yığılca,729,,,,,,
Türkiye,Edirne,,730,,,,,,
Türkiye,Edirne,Enez,731,,,,,,
Türkiye,Edirne,Havsa,732,,,,,,
Türkiye,Edirne,İpsala,733,,,,,,
Türkiye,Edirne,Kapıkule,734,,,,,,
Türkiye,Edirne,Keşan,735,,,,,,
Türkiye,Edirne,Lalapaşa,736,,,,,,
Türkiye,Edirne,Meriç,737,,,,,,
Türkiye,Edirne,Merkez,738,,,,,,
Türkiye,Edirne,Süleoğlu(Süloğlu),739,,,,,,
Türkiye,Edirne,Süloğlu,740,,,,,,
Türkiye,Edirne,Uzunköprü,741,,,,,,
Türkiye,Elazığ,,742,,,,,,
Türkiye,Elazığ,Ağın,743,,,,,,
Türkiye,Elazığ,Akçakaya,744,,,,,,
Türkiye,Elazığ,Alacakaya,745,,,,,,
Türkiye,Elazığ,Arıcak,746,,,,,,
Türkiye,Elazığ,Baskil,747,,,,,,
Türkiye,Elazığ,Karakoçan,748,,,,,,
Türkiye,Elazığ,Keban,749,,,,,,
Türkiye,Elazığ,Kovancılar,750,,,,,,
Türkiye,Elazığ,Maden,751,,,,,,
Türkiye,Elazığ,Merkez,752,,,,,,
Türkiye,Elazığ,Palu,753,,,,,,
Türkiye,Elazığ,Sivrice,754,,,,,,
Türkiye,Erzincan,,755,,,,,,
Türkiye,Erzincan,Çayırlı,756,,,,,,
Türkiye,Erzincan,İliç,757,,,,,,
Türkiye,Erzincan,İliç(Ilıç),758,,,,,,
Türkiye,Erzincan,Kemah,759,,,,,,
Türkiye,Erzincan,Kemaliye,760,,,,,,
Türkiye,Erzincan,Merkez,761,,,,,,
Türkiye,Erzincan,Otlukbeli,762,,,,,,
Türkiye,Erzincan,Refahiye,763,,,,,,
Türkiye,Erzincan,Tercan,764,,,,,,
Türkiye,Erzincan,Üzümlü,765,,,,,,
Türkiye,Erzurum,,766,,,,,,
Türkiye,Erzurum,Aşkale,767,,,,,,
Türkiye,Erzurum,Aziziye(Ilıca),768,,,,,,
Türkiye,Erzurum,Çat,769,,,,,,
Türkiye,Erzurum,Hınıs,770,,,,,,
Türkiye,Erzurum,Horasan,771,,,,,,
Türkiye,Erzurum,Ilıca,772,,,,,,
Türkiye,Erzurum,İspir,773,,,,,,
Türkiye,Erzurum,Karaçoban,774,,,,,,
Türkiye,Erzurum,Karayazı,775,,,,,,
Türkiye,Erzurum,Köprüköy,776,,,,,,
Türkiye,Erzurum,Merkez,777,,,,,,
Türkiye,Erzurum,Narman,778,,,,,,
Türkiye,Erzurum,Oltu,779,,,,,,
Türkiye,Erzurum,Olur,780,,,,,,
Türkiye,Erzurum,Palandöken,781,,,,,,
Türkiye,Erzurum,Pasinler,782,,,,,,
Türkiye,Erzurum,Pazaryolu,783,,,,,,
Türkiye,Erzurum,Şenkaya,784,,,,,,
Türkiye,Erzurum,Tekman,785,,,,,,
Türkiye,Erzurum,Tortum,786,,,,,,
Türkiye,Erzurum,Uzundere,787,,,,,,
Türkiye,Erzurum,Yakutiye,788,,,,,,
Türkiye,Eskişehir,,789,,,,,,
Türkiye,Eskişehir,Alpu,790,,,,,,
Türkiye,Eskişehir,Beylikova,791,,,,,,
Türkiye,Eskişehir,Çifteler,792,,,,,,
Türkiye,Eskişehir,Günyüzü,793,,,,,,
Türkiye,Eskişehir,Han,794,,,,,,
Türkiye,Eskişehir,İnönü,795,,,,,,
Türkiye,Eskişehir,Mahmudiye,796,,,,,,
Türkiye,Eskişehir,Merkez,797,,,,,,
Türkiye,Eskişehir,Mihalgazi,798,,,,,,
Türkiye,Eskişehir,Mihalıçcık,799,,,,,,
Türkiye,Eskişehir,Mihalıççık,800,,,,,,
Türkiye,Eskişehir,Odunpazarı,801,,,,,,
Türkiye,Eskişehir,Sarıcakaya,802,,,,,,
Türkiye,Eskişehir,Seyitgazi,803,,,,,,
Türkiye,Eskişehir,Sivrihisar,804,,,,,,
Türkiye,Eskişehir,Tepebaşı,805,,,,,,
Türkiye,Gaziantep,,806,,,,,,
Türkiye,Gaziantep,Araban,807,,,,,,
Türkiye,Gaziantep,İslahiye,808,,,,,,
Türkiye,Gaziantep,Karkamış,809,,,,,,
Türkiye,Gaziantep,Merkez,810,,,,,,
Türkiye,Gaziantep,Nizip,811,,,,,,
Türkiye,Gaziantep,Nurdağı,812,,,,,,
Türkiye,Gaziantep,Oğuzeli,813,,,,,,
Türkiye,Gaziantep,Şahinbey,814,,,,,,
Türkiye,Gaziantep,Şehit Kamil,815,,,,,,
Türkiye,Gaziantep,Şehitkamil,816,,,,,,
Türkiye,Gaziantep,Yavuzeli,817,,,,,,
Türkiye,Giresun,,818,,,,,,
Türkiye,Giresun,Alucra,819,,,,,,
Türkiye,Giresun,Bulancak,820,,,,,,
Türkiye,Giresun,Çamoluk,821,,,,,,
Türkiye,Giresun,Çanakçı,822,,,,,,
Türkiye,Giresun,Dereli,823,,,,,,
Türkiye,Giresun,Doğankent,824,,,,,,
Türkiye,Giresun,Espiye,825,,,,,,
Türkiye,Giresun,Eynesil,826,,,,,,
Türkiye,Giresun,Giresun,827,,,,,,
Türkiye,Giresun,Görele,828,,,,,,
Türkiye,Giresun,Güce,829,,,,,,
Türkiye,Giresun,Keşap,830,,,,,,
Türkiye,Giresun,Merkez,831,,,,,,
Türkiye,Giresun,Piraziz,832,,,,,,
Türkiye,Giresun,Şebinkarahisar,833,,,,,,
Türkiye,Giresun,Tirebolu,834,,,,,,
Türkiye,Giresun,Yağlıdere,835,,,,,,
Türkiye,Gümüşhane,,836,,,,,,
Türkiye,Gümüşhane,Kelkit,837,,,,,,
Türkiye,Gümüşhane,Köse,838,,,,,,
Türkiye,Gümüşhane,Kürtün,839,,,,,,
Türkiye,Gümüşhane,Merkez,840,,,,,,
Türkiye,Gümüşhane,Şiran,841,,,,,,
Türkiye,Gümüşhane,Torul,842,,,,,,
Türkiye,Gümüşhane,Zigana,843,,,,,,
Türkiye,Hakkari,,844,,,,,,
Türkiye,Hakkari,Çukurca,845,,,,,,
Türkiye,Hakkari,Merkez,846,,,,,,
Türkiye,Hakkari,Şemdinli,847,,,,,,
Türkiye,Hakkari,Yüksekova,848,,,,,,
Türkiye,Hatay,,849,,,,,,
Türkiye,Hatay,Altınözü,850,,,,,,
Türkiye,Hatay,Antakya,851,,,,,,
Türkiye,Hatay,Belen,852,,,,,,
Türkiye,Hatay,Dörtyol,853,,,,,,
Türkiye,Hatay,Erzin,854,,,,,,
Türkiye,Hatay,Hassa,855,,,,,,
Türkiye,Hatay,İskenderun,856,,,,,,
Türkiye,Hatay,Kırıkhan,857,,,,,,
Türkiye,Hatay,Kumlu,858,,,,,,
Türkiye,Hatay,Merkez,859,,,,,,
Türkiye,Hatay,Reyhanlı,860,,,,,,
Türkiye,Hatay,Samandağ,861,,,,,,
Türkiye,Hatay,Samandağı,862,,,,,,
Türkiye,Hatay,Yayladağı,863,,,,,,
Türkiye,Iğdır,,864,,,,,,
Türkiye,Iğdır,Aralık,865,,,,,,
Türkiye,Iğdır,Karakoyunlu,866,,,,,,
Türkiye,Iğdır,Merkez,867,,,,,,
Türkiye,Iğdır,Tuzluca,868,,,,,,
Türkiye,Isparta,,869,,,,,,
Türkiye,Isparta,Aksu,870,,,,,,
Türkiye,Isparta,Atabey,871,,,,,,
Türkiye,Isparta,Eğirdir,872,,,,,,
Türkiye,Isparta,Eğridir(Eğirdir),873,,,,,,
Türkiye,Isparta,Gelendost,874,,,,,,
Türkiye,Isparta,Gönen,875,,,,,,
Türkiye,Isparta,Keçiborlu,876,,,,,,
Türkiye,Isparta,Merkez,877,,,,,,
Türkiye,Isparta,Senirkent,878,,,,,,
Türkiye,Isparta,Sütçüler,879,,,,,,
Türkiye,Isparta,Şarkikaraağaç,880,,,,,,
Türkiye,Isparta,Uluborlu,881,,,,,,
Türkiye,Isparta,Yalvaç,882,,,,,,
Türkiye,Isparta,Yenişarbademli,883,,,,,,
Türkiye,İçel,,884,,,,,,
Türkiye,İçel,Anamur,885,,,,,,
Türkiye,İçel,Aydıncık,886,,,,,,
Türkiye,İçel,Bozkaya,887,,,,,,
Türkiye,İçel,Bozyazı,888,,,,,,
Türkiye,İçel,Çamlıyayla,889,,,,,,
Türkiye,İçel,Erdemli,890,,,,,,
Türkiye,İçel,Gülnar,891,,,,,,
Türkiye,İçel,Merkez,892,,,,,,
Türkiye,İçel,Mersin,893,,,,,,
Türkiye,İçel,Mut,894,,,,,,
Türkiye,İçel,Silifke,895,,,,,,
Türkiye,İçel,Tarsus,896,,,,,,
Türkiye,İstanbul,,897,,,,,,
Türkiye,İstanbul,Adalar,898,,,,,,
Türkiye,İstanbul,Arnavutköy,899,,,,,,
Türkiye,İstanbul,Ataşehir,900,,,,,,
Türkiye,İstanbul,Avcılar,901,,,,,,
Türkiye,İstanbul,Bağcılar,902,,,,,,
Türkiye,İstanbul,Bahçelievler,903,,,,,,
Türkiye,İstanbul,Bakırköy,904,,,,,,
Türkiye,İstanbul,Başakşehir,905,,,,,,
Türkiye,İstanbul,Bayrampaşa,906,,,,,,
Türkiye,İstanbul,Beşiktaş,907,,,,,,
Türkiye,İstanbul,Beykoz,908,,,,,,
Türkiye,İstanbul,Beylikdüzü,909,,,,,,
Türkiye,İstanbul,Beyoğlu,910,,,,,,
Türkiye,İstanbul,Büyükçekmece,911,,,,,,
Türkiye,İstanbul,Çatalca,912,,,,,,
Türkiye,İstanbul,Çekmeköy,913,,,,,,
Türkiye,İstanbul,Eminönü,914,,,,,,
Türkiye,İstanbul,Esenler,915,,,,,,
Türkiye,İstanbul,Esenyurt,916,,,,,,
Türkiye,İstanbul,Eyüp,917,,,,,,
Türkiye,İstanbul,Fatih,918,,,,,,
Türkiye,İstanbul,Gaziosmanpaşa,919,,,,,,
Türkiye,İstanbul,Güngören,920,,,,,,
Türkiye,İstanbul,Kadıköy,921,,,,,,
Türkiye,İstanbul,Kağıthane,922,,,,,,
Türkiye,İstanbul,Kartal,923,,,,,,
Türkiye,İstanbul,Küçükçekmece,924,,,,,,
Türkiye,İstanbul,Maltepe,925,,,,,,
Türkiye,İstanbul,Pendik,926,,,,,,
Türkiye,İstanbul,Sancaktepe,927,,,,,,
Türkiye,İstanbul,Sarıyer,928,,,,,,
Türkiye,İstanbul,Sefaköy,1541,dbo,2023-12-16 16:39:14.170000,,,,
Türkiye,İstanbul,Silivri,929,,,,,,
Türkiye,İstanbul,Sultanbeyli,930,,,,,,
Türkiye,İstanbul,Sultangazi,931,,,,,,
Türkiye,İstanbul,Şile,932,,,,,,
Türkiye,İstanbul,Şişli,933,,,,,,
Türkiye,İstanbul,Tuzla,934,,,,,,
Türkiye,İstanbul,Ümraniye,935,,,,,,
Türkiye,İstanbul,Üsküdar,936,,,,,,
Türkiye,İstanbul,Zeytinburnu,937,,,,,,
Türkiye,İzmir,,938,,,,,,
Türkiye,İzmir,Aliağa,939,,,,,,
Türkiye,İzmir,Balçova,940,,,,,,
Türkiye,İzmir,Bayındır,941,,,,,,
Türkiye,İzmir,Bayraklı,942,,,,,,
Türkiye,İzmir,Bergama,943,,,,,,
Türkiye,İzmir,Beydağ,944,,,,,,
Türkiye,İzmir,Bornova,945,,,,,,
Türkiye,İzmir,Buca,946,,,,,,
Türkiye,İzmir,Çeşme,947,,,,,,
Türkiye,İzmir,Çiğli,948,,,,,,
Türkiye,İzmir,Dikili,949,,,,,,
Türkiye,İzmir,Foça,950,,,,,,
Türkiye,İzmir,Gaziemir,951,,,,,,
Türkiye,İzmir,Güzelbahçe,952,,,,,,
Türkiye,İzmir,Karabağlar,953,,,,,,
Türkiye,İzmir,Karaburun,954,,,,,,
Türkiye,İzmir,Karşıyaka,955,,,,,,
Türkiye,İzmir,Kemalpaşa,956,,,,,,
Türkiye,İzmir,Kınık,957,,,,,,
Türkiye,İzmir,Kiraz,958,,,,,,
Türkiye,İzmir,Konak,959,,,,,,
Türkiye,İzmir,Menderes,960,,,,,,
Türkiye,İzmir,Menemen,961,,,,,,
Türkiye,İzmir,Merkez,962,,,,,,
Türkiye,İzmir,Narlıdere,963,,,,,,
Türkiye,İzmir,Ödemiş,964,,,,,,
Türkiye,İzmir,Seferihisar,965,,,,,,
Türkiye,İzmir,Selçuk,966,,,,,,
Türkiye,İzmir,Tire,967,,,,,,
Türkiye,İzmir,Torbalı,968,,,,,,
Türkiye,İzmir,Turgutlu,969,,,,,,
Türkiye,İzmir,Urla,970,,,,,,
Türkiye,KahramanMaraş,,971,,,,,,
Türkiye,Kahramanmaraş,Afşin,972,,,,,,
Türkiye,Kahramanmaraş,Andırın,973,,,,,,
Türkiye,Kahramanmaraş,Çağlayancerit,974,,,,,,
Türkiye,Kahramanmaraş,Ekinözü,975,,,,,,
Türkiye,Kahramanmaraş,Elbistan,976,,,,,,
Türkiye,Kahramanmaraş,Göksun,977,,,,,,
Türkiye,KahramanMaraş,Merkez,978,,,,,,
Türkiye,Kahramanmaraş,Nurhak,979,,,,,,
Türkiye,Kahramanmaraş,Pazarcık,980,,,,,,
Türkiye,Kahramanmaraş,Türkoğlu,981,,,,,,
Türkiye,Karabük,,982,,,,,,
Türkiye,Karabük,Eflani,983,,,,,,
Türkiye,Karabük,Eskipazar,984,,,,,,
Türkiye,Karabük,Merkez,985,,,,,,
Türkiye,Karabük,Ovacık,986,,,,,,
Türkiye,Karabük,Safranbolu,987,,,,,,
Türkiye,Karabük,Yenice,988,,,,,,
Türkiye,Karaman,,989,,,,,,
Türkiye,Karaman,Ayrancı,990,,,,,,
Türkiye,Karaman,Başyayla,991,,,,,,
Türkiye,Karaman,Ermenek,992,,,,,,
Türkiye,Karaman,Kazımkarabekir,993,,,,,,
Türkiye,Karaman,Merkez,994,,,,,,
Türkiye,Karaman,Sarıveliler,995,,,,,,
Türkiye,Kars,,996,,,,,,
Türkiye,Kars,Akyaka,997,,,,,,
Türkiye,Kars,Arpaçay,998,,,,,,
Türkiye,Kars,Digor,999,,,,,,
Türkiye,Kars,Kağızman,1000,,,,,,
Türkiye,Kars,Merkez,1001,,,,,,
Türkiye,Kars,Sarıkamış,1002,,,,,,
Türkiye,Kars,Selim,1003,,,,,,
Türkiye,Kars,Susuz,1004,,,,,,
Türkiye,Kastamonu,,1005,,,,,,
Türkiye,Kastamonu,Abana,1006,,,,,,
Türkiye,Kastamonu,Ağlı,1007,,,,,,
Türkiye,Kastamonu,Araç,1008,,,,,,
Türkiye,Kastamonu,Azdavay,1009,,,,,,
Türkiye,Kastamonu,Bozkurt,1010,,,,,,
Türkiye,Kastamonu,Cide,1011,,,,,,
Türkiye,Kastamonu,Çatalzeytin,1012,,,,,,
Türkiye,Kastamonu,Daday,1013,,,,,,
Türkiye,Kastamonu,Devrekani,1014,,,,,,
Türkiye,Kastamonu,Doğanyurt,1015,,,,,,
Türkiye,Kastamonu,Hanönü,1016,,,,,,
Türkiye,Kastamonu,Hanönü(Gökçeağaç),1017,,,,,,
Türkiye,Kastamonu,Ilgaz Dağı,1018,,,,,,
Türkiye,Kastamonu,İhsangazi,1019,,,,,,
Türkiye,Kastamonu,İnebolu,1020,,,,,,
Türkiye,Kastamonu,Küre,1021,,,,,,
Türkiye,Kastamonu,Merkez,1022,,,,,,
Türkiye,Kastamonu,Pınarbaşı,1023,,,,,,
Türkiye,Kastamonu,Seydiler,1024,,,,,,
Türkiye,Kastamonu,Şenpazar,1025,,,,,,
Türkiye,Kastamonu,Taşköprü,1026,,,,,,
Türkiye,Kastamonu,Tosya,1027,,,,,,
Türkiye,Kayseri,,1028,,,,,,
Türkiye,Kayseri,Akkışla,1029,,,,,,
Türkiye,Kayseri,Bünyan,1030,,,,,,
Türkiye,Kayseri,Develi,1031,,,,,,
Türkiye,Kayseri,Erciyes,1032,,,,,,
Türkiye,Kayseri,Felahiye,1033,,,,,,
Türkiye,Kayseri,Gesi,1034,,,,,,
Türkiye,Kayseri,Hacılar,1035,,,,,,
Türkiye,Kayseri,İncesu,1036,,,,,,
Türkiye,Kayseri,Kocasinan,1037,,,,,,
Türkiye,Kayseri,Melikgazi,1038,,,,,,
Türkiye,Kayseri,Merkez,1039,,,,,,
Türkiye,Kayseri,Özvatan,1040,,,,,,
Türkiye,Kayseri,Özvatan(Çukur),1041,,,,,,
Türkiye,Kayseri,Pınarbaşı,1042,,,,,,
Türkiye,Kayseri,Sarıoğlan,1043,,,,,,
Türkiye,Kayseri,Sarız,1044,,,,,,
Türkiye,Kayseri,Talas,1045,,,,,,
Türkiye,Kayseri,Tomarza,1046,,,,,,
Türkiye,Kayseri,Ürgüp,1047,,,,,,
Türkiye,Kayseri,Yahyalı,1048,,,,,,
Türkiye,Kayseri,Yeşilhisar,1049,,,,,,
Türkiye,Kırıkkale,,1050,,,,,,
Türkiye,Kırıkkale,Bahşili,1051,,,,,,
Türkiye,Kırıkkale,Balışeyh,1052,,,,,,
Türkiye,Kırıkkale,Çelebi,1053,,,,,,
Türkiye,Kırıkkale,Delice,1054,,,,,,
Türkiye,Kırıkkale,Karakeçili,1055,,,,,,
Türkiye,Kırıkkale,Keskin,1056,,,,,,
Türkiye,Kırıkkale,Merkez,1057,,,,,,
Türkiye,Kırıkkale,Sulakyurt,1058,,,,,,
Türkiye,Kırıkkale,Yahşihan,1059,,,,,,
Türkiye,Kırklareli,,1060,,,,,,
Türkiye,Kırklareli,Babaeski,1061,,,,,,
Türkiye,Kırklareli,Demirköy,1062,,,,,,
Türkiye,Kırklareli,Kofçaz,1063,,,,,,
Türkiye,Kırklareli,Lüleburgaz,1064,,,,,,
Türkiye,Kırklareli,Merkez,1065,,,,,,
Türkiye,Kırklareli,Pehlivanköy,1066,,,,,,
Türkiye,Kırklareli,Pınarhisar,1067,,,,,,
Türkiye,Kırklareli,Vize,1068,,,,,,
Türkiye,Kırşehir,,1069,,,,,,
Türkiye,Kırşehir,Akçakent,1070,,,,,,
Türkiye,Kırşehir,Akpınar,1071,,,,,,
Türkiye,Kırşehir,Boztepe,1072,,,,,,
Türkiye,Kırşehir,Çiçekdağı,1073,,,,,,
Türkiye,Kırşehir,Kaman,1074,,,,,,
Türkiye,Kırşehir,Merkez,1075,,,,,,
Türkiye,Kırşehir,Mucur,1076,,,,,,
Türkiye,Kilis,,1077,,,,,,
Türkiye,Kilis,Elbeyli,1078,,,,,,
Türkiye,Kilis,Merkez,1079,,,,,,
Türkiye,Kilis,Musabeyli,1080,,,,,,
Türkiye,Kilis,Polateli,1081,,,,,,
Türkiye,Kocaeli,,1082,,,,,,
Türkiye,Kocaeli,Başiskele,1083,,,,,,
Türkiye,Kocaeli,Çayırova,1084,,,,,,
Türkiye,Kocaeli,Darıca,1085,,,,,,
Türkiye,Kocaeli,Derince,1086,,,,,,
Türkiye,Kocaeli,Dilovası,1087,,,,,,
Türkiye,Kocaeli,Gebze,1088,,,,,,
Türkiye,Kocaeli,Gölcük,1089,,,,,,
Türkiye,Kocaeli,İzmit,1090,,,,,,
Türkiye,Kocaeli,Kandıra,1091,,,,,,
Türkiye,Kocaeli,Karamürsel,1092,,,,,,
Türkiye,Kocaeli,Kartepe,1093,,,,,,
Türkiye,Kocaeli,Kefken,1094,,,,,,
Türkiye,Kocaeli,Körfez,1095,,,,,,
Türkiye,Kocaeli,Merkez,1096,,,,,,
Türkiye,Konya,,1097,,,,,,
Türkiye,Konya,Ahırlı,1098,,,,,,
Türkiye,Konya,Akören,1099,,,,,,
Türkiye,Konya,Akşehir,1100,,,,,,
Türkiye,Konya,Altınekin,1101,,,,,,
Türkiye,Konya,Beyşehir,1102,,,,,,
Türkiye,Konya,Bozkır,1103,,,,,,
Türkiye,Konya,Cihanbeyli,1104,,,,,,
Türkiye,Konya,Çeltik,1105,,,,,,
Türkiye,Konya,Çumra,1106,,,,,,
Türkiye,Konya,Derbent,1107,,,,,,
Türkiye,Konya,Derebucak,1108,,,,,,
Türkiye,Konya,Doğanhisar,1109,,,,,,
Türkiye,Konya,Emirgazi,1110,,,,,,
Türkiye,Konya,Ereğli,1111,,,,,,
Türkiye,Konya,Güneysınır,1112,,,,,,
Türkiye,Konya,Hadim,1113,,,,,,
Türkiye,Konya,Halkapınar,1114,,,,,,
Türkiye,Konya,Hüyük,1115,,,,,,
Türkiye,Konya,Ilgın,1116,,,,,,
Türkiye,Konya,Kadınhanı,1117,,,,,,
Türkiye,Konya,Karapınar,1118,,,,,,
Türkiye,Konya,Karatay,1119,,,,,,
Türkiye,Konya,Kulu,1120,,,,,,
Türkiye,Konya,Meram,1121,,,,,,
Türkiye,Konya,Merkez,1122,,,,,,
Türkiye,Konya,Sarayönü,1123,,,,,,
Türkiye,Konya,Selçuklu,1124,,,,,,
Türkiye,Konya,Seydişehir,1125,,,,,,
Türkiye,Konya,Taşkent,1126,,,,,,
Türkiye,Konya,Tuzlukçu,1127,,,,,,
Türkiye,Konya,Yalıhöyük,1128,,,,,,
Türkiye,Konya,Yalıhüyük,1129,,,,,,
Türkiye,Konya,Yunak,1130,,,,,,
Türkiye,Kütahya,,1131,,,,,,
Türkiye,Kütahya,Altıntaş,1132,,,,,,
Türkiye,Kütahya,Aslanapa,1133,,,,,,
Türkiye,Kütahya,Çavdarhisar,1134,,,,,,
Türkiye,Kütahya,Domaniç,1135,,,,,,
Türkiye,Kütahya,Dumlupınar,1136,,,,,,
