Cekinx,Harinx,HarTip,BordroNo,Tarih,istut,muhkod,cmb,cmb_Kod,Banka,Sube,GiderMuhKod,ProGiderKod,MuhFisNo,KarsiMuhKod,MM,KarsiMM,GiderMM,GiderTip,GiderParaCinsi,insUN,insDT,updUN,updDT,OzKod1,OzKod2,locked,Resim,Resim2,Aciklama,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,NeedCalculate,iptal,kgid,mkgid,insApp,updApp
235,138,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.767000,emine.kuscu,2020-07-03 10:08:16.767000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,138,235,,
236,46,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.150000,emine.kuscu,2020-03-12 08:50:09.150000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,46,236,,
237,47,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.150000,emine.kuscu,2020-03-12 08:50:09.150000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,47,237,,
238,60,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.500000,emine.kuscu,2020-03-12 08:54:23.500000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,60,238,,
239,96,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.250000,emine.kuscu,2020-07-03 08:32:42.250000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,96,239,,
240,122,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.530000,emine.kuscu,2020-07-03 10:03:38.530000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,122,240,,
241,79,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.990000,emine.kuscu,2020-07-03 08:29:16.990000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,79,241,,
242,97,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.253000,emine.kuscu,2020-07-03 08:32:42.253000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,97,242,,
243,80,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.990000,emine.kuscu,2020-07-03 08:29:16.990000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,80,243,,
245,139,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.767000,emine.kuscu,2020-07-03 10:08:16.767000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,139,245,,
246,99,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.257000,emine.kuscu,2020-07-03 08:32:42.257000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,99,246,,
247,100,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.257000,emine.kuscu,2020-07-03 08:32:42.257000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,100,247,,
248,167,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.797000,emine.kuscu,2020-08-06 10:30:06.800000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,167,248,,
249,38,BO,0000000005,2020-01-06 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1805,102.01.030,,,,,,emine.kuscu,2020-03-12 08:46:58.347000,emine.kuscu,2020-03-12 08:46:58.347000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,38,249,,
250,98,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.253000,emine.kuscu,2020-07-03 08:32:42.253000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,98,250,,
251,140,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.767000,emine.kuscu,2020-07-03 10:08:16.767000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,140,251,,
252,120,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.530000,emine.kuscu,2020-07-03 10:03:38.530000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,120,252,,
253,121,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.530000,emine.kuscu,2020-07-03 10:03:38.530000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,121,253,,
254,168,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.800000,emine.kuscu,2020-08-06 10:30:06.800000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,168,254,,
255,101,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.257000,emine.kuscu,2020-07-03 08:32:42.257000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,101,255,,
257,102,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.260000,emine.kuscu,2020-07-03 08:32:42.260000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,102,257,,
258,141,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.770000,emine.kuscu,2020-07-03 10:08:16.770000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,141,258,,
259,142,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.770000,emine.kuscu,2020-07-03 10:08:16.770000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,142,259,,
260,118,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.527000,emine.kuscu,2020-07-03 10:03:38.527000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,118,260,,
262,48,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.150000,emine.kuscu,2020-03-12 08:50:09.150000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,48,262,,
263,65,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.503000,emine.kuscu,2020-03-12 08:54:23.503000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,65,263,,
265,103,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.260000,emine.kuscu,2020-07-03 08:32:42.260000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,103,265,,
266,61,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.500000,emine.kuscu,2020-03-12 08:54:23.500000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,61,266,,
267,81,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17,emine.kuscu,2020-07-03 08:29:17,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,81,267,,
268,82,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17,emine.kuscu,2020-07-03 08:29:17,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,82,268,,
269,83,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17,emine.kuscu,2020-07-03 08:29:17,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,83,269,,
270,49,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.153000,emine.kuscu,2020-03-12 08:50:09.153000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,49,270,,
271,39,BO,0000000005,2020-01-06 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1805,102.01.030,,,,,,emine.kuscu,2020-03-12 08:46:58.350000,emine.kuscu,2020-03-12 08:46:58.350000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,39,271,,
272,84,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17,emine.kuscu,2020-07-03 08:29:17,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,84,272,,
274,62,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.500000,emine.kuscu,2020-03-12 08:54:23.500000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,62,274,,
275,63,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.503000,emine.kuscu,2020-03-12 08:54:23.503000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,63,275,,
276,86,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.003000,emine.kuscu,2020-07-03 08:29:17.003000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,86,276,,
277,85,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.003000,emine.kuscu,2020-07-03 08:29:17.003000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,85,277,,
278,105,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.263000,emine.kuscu,2020-07-03 08:32:42.263000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,105,278,,
279,169,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.800000,emine.kuscu,2020-08-06 10:30:06.803000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,169,279,,
280,68,4,0000000001,2020-04-14 00:00:00,,103.01.030,C,320.03.024,,,,,1784,320.03.024,,,,,,emine.kuscu,2020-06-30 09:27:04.540000,Orbital,2020-07-17 13:40:30.100000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,68,280,,
281,90,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.007000,emine.kuscu,2020-07-03 08:29:17.007000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,90,281,,
282,50,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.153000,emine.kuscu,2020-03-12 08:50:09.153000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,50,282,,
283,106,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.263000,emine.kuscu,2020-07-03 08:32:42.263000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,106,283,,
284,143,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.770000,emine.kuscu,2020-07-03 10:08:16.770000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,143,284,,
285,66,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.507000,emine.kuscu,2020-03-12 08:54:23.507000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,66,285,,
286,87,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.003000,emine.kuscu,2020-07-03 08:29:17.003000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,87,286,,
287,88,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.007000,emine.kuscu,2020-07-03 08:29:17.007000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,88,287,,
288,107,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.267000,emine.kuscu,2020-07-03 08:32:42.267000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,107,288,,
289,115,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.523000,emine.kuscu,2020-07-03 10:03:38.523000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,115,289,,
290,170,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.803000,emine.kuscu,2020-08-06 10:30:06.803000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,170,290,,
291,89,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:17.007000,emine.kuscu,2020-07-03 08:29:17.007000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,89,291,,
292,108,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.267000,emine.kuscu,2020-07-03 08:32:42.267000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,108,292,,
293,109,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.270000,emine.kuscu,2020-07-03 08:32:42.270000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,109,293,,
294,146,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.773000,emine.kuscu,2020-07-03 10:08:16.773000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,146,294,,
295,116,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.527000,emine.kuscu,2020-07-03 10:03:38.527000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,116,295,,
296,110,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.270000,emine.kuscu,2020-07-03 08:32:42.270000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,110,296,,
297,67,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.507000,emine.kuscu,2020-03-12 08:54:23.507000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,67,297,,
298,117,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.527000,emine.kuscu,2020-07-03 10:03:38.527000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,117,298,,
300,144,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.773000,emine.kuscu,2020-07-03 10:08:16.773000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,144,300,,
301,182,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.823000,emine.kuscu,2020-09-16 12:16:58.823000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,182,301,,
305,183,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.823000,emine.kuscu,2020-09-16 12:16:58.823000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,183,305,,
306,189,BO,0000000017,2020-09-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,5254,102.01.030,,,,,,emine.kuscu,2020-10-16 16:15:24.177000,emine.kuscu,2020-10-16 16:15:45.667000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,189,306,,
307,145,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.773000,emine.kuscu,2020-07-03 10:08:16.773000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,145,307,,
308,178,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.817000,emine.kuscu,2020-09-16 12:16:58.817000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,178,308,,
309,179,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.817000,emine.kuscu,2020-09-16 12:16:58.817000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,179,309,,
310,180,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.820000,emine.kuscu,2020-09-16 12:16:58.820000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,180,310,,
311,181,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.820000,emine.kuscu,2020-09-16 12:16:58.820000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,181,311,,
313,172,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.807000,emine.kuscu,2020-08-06 10:30:06.807000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,172,313,,
314,190,BO,0000000017,2020-09-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,5254,102.01.030,,,,,,emine.kuscu,2020-10-16 16:15:24.207000,emine.kuscu,2020-10-16 16:15:24.207000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,190,314,,
315,114,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.523000,emine.kuscu,2020-07-03 10:03:38.523000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,114,315,,
316,148,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.777000,emine.kuscu,2020-07-03 10:08:16.777000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,148,316,,
317,113,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.520000,emine.kuscu,2020-07-17 14:55:38.637000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,113,317,,
318,171,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.807000,emine.kuscu,2020-08-06 10:30:06.807000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,171,318,,
319,147,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.777000,emine.kuscu,2020-07-03 10:08:16.777000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,147,319,,
320,184,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.827000,emine.kuscu,2020-09-16 12:16:58.827000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,184,320,,
322,185,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.827000,emine.kuscu,2020-09-16 12:16:58.830000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,185,322,,
323,191,BO,0000000017,2020-09-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,5254,102.01.030,,,,,,emine.kuscu,2020-10-16 16:15:24.210000,emine.kuscu,2020-10-16 16:15:24.210000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,191,323,,
324,176,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.797000,emine.kuscu,2020-09-16 12:16:58.800000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,176,324,,
325,177,BO,0000000016,2020-08-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,4717,102.01.030,,,,,,emine.kuscu,2020-09-16 12:16:58.813000,emine.kuscu,2020-09-16 12:16:58.813000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,177,325,,
326,173,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.810000,emine.kuscu,2020-08-06 10:30:06.810000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,173,326,,
327,174,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.810000,emine.kuscu,2020-08-06 10:30:06.810000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,174,327,,
328,219,BO,0000000025,2020-12-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,7303,102.01.010,,,,,,emine.kuscu,2021-01-05 07:08:40.380000,emine.kuscu,2021-01-05 07:08:40.380000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,219,328,,
329,157,BO,0000000014,2020-08-04 00:00:00,,103.01.010,B,0001467,ISB,1278,,,2105,102.01.010,,,,,,emine.kuscu,2020-08-04 10:29:26.093000,emine.kuscu,2020-08-04 10:29:26.097000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,157,329,,
331,197,BO,0000000021,2020-11-30 00:00:00,,103.01.010,B,0001467,ISB,1278,,,5740,102.01.010,,,,,,emine.kuscu,2020-11-30 10:03:50.370000,emine.kuscu,2020-11-30 10:04:10.840000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,197,331,,
332,192,BO,0000000018,2020-11-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,5498,102.01.010,,,,,,emine.kuscu,2020-11-06 15:34:28.693000,emine.kuscu,2020-11-06 15:34:43.487000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,192,332,,
