EmirNo,EmirTarihi,Notu,ModelKod,Durum,Tip,Location,TerTarih,OzKod1,YazSay,OzKod2,insUN,insDT,updUN,updDT,MrpBasTar,MrpTerTar,kgid,insApp,updApp
4488,2023-10-25 17:35:25.610000,"",119042,B,M,CA002,2022-10-01 11:53:38.560000,,2,,mehmet.sari,2023-10-25 17:35:25.610000,selimkorgun,2023-10-26 16:17:04.540000,,,135,,
4489,2023-10-25 17:28:34.237000,,121114,B,M,CA002,2022-10-01 11:53:04,,1,,mehmet.sari,2023-10-25 17:28:34.237000,selimkorgun,2023-10-31 17:35:09.190000,,,136,,
4490,2023-10-26 11:28:35.990000,"",115270,B,M,CA002,2022-10-01 11:54:13.120000,,1,,mehmet.sari,2023-10-26 11:28:35.993000,selimkorgun,2023-10-27 16:47:07.247000,,,137,,
4491,2023-10-26 11:40:09.603000,"",121093,B,M,CA002,2022-10-01 11:54:47.680000,,2,,mehmet.sari,2023-10-26 11:40:09.603000,selimkorgun,2023-10-30 16:44:35.443000,,,138,,
4492,2023-10-30 10:41:43.313000,"",123209,B,M,CA002,2022-10-01 12:06:18.880000,,,,busraelarslan,2023-10-30 10:41:43.313000,busraelarslan,2023-11-01 16:48:41.567000,,,139,,
4494,2023-10-31 13:03:32.020000,,121746,B,M,CA002,2022-10-01 12:16:06.400000,,2,,busraelarslan,2023-10-31 13:03:32.023000,selimkorgun,2023-11-01 16:52:02.527000,,,140,,
4496,2023-10-26 17:42:06.080000,,115123,B,M,CA002,2022-10-01 11:57:40.480000,,2,,mehmet.sari,2023-10-26 17:42:06.080000,selimkorgun,2023-10-30 08:41:22.287000,,,141,,
4497,2023-10-27 08:04:11.827000,,116198,B,M,CA002,2022-10-01 11:58:15.040000,,1,,mehmet.sari,2023-10-27 08:04:11.837000,selimkorgun,2023-10-31 17:31:17.517000,,,142,,
4498,2023-10-27 08:30:40.310000,,123214,B,M,CA002,2022-10-01 11:58:49.600000,,1,,mehmet.sari,2023-10-27 08:30:40.310000,selimkorgun,2023-11-02 08:15:00.207000,,,143,,
4499,2023-10-27 08:47:31.450000,,123215,B,M,CA002,2022-10-01 11:59:24.160000,,4,,mehmet.sari,2023-10-27 08:47:31.450000,selimkorgun,2023-11-07 10:33:16.860000,,,144,,
4500,2023-10-27 09:03:26.530000,,112083,B,M,CA002,2022-10-01 11:59:58.720000,,,,mehmet.sari,2023-10-27 09:03:26.530000,selimkorgun,2023-11-02 09:48:18.833000,,,145,,
4501,2023-10-27 10:38:29.753000,,123216,B,M,CA002,2022-10-01 12:00:33.280000,,1,,mehmet.sari,2023-10-27 10:38:29.753000,busraelarslan,2023-11-01 16:48:52.040000,,,146,,
4503,2023-10-27 10:52:47.977000,,120097,B,M,CA002,2022-10-01 12:01:42.400000,,1,,mehmet.sari,2023-10-27 10:52:47.977000,selimkorgun,2023-10-31 17:31:12.490000,,,147,,
4504,2023-10-30 12:42:54.390000,,123218,B,M,CA002,2022-10-01 12:06:53.440000,,2,,busraelarslan,2023-10-30 12:42:54.390000,selimkorgun,2023-11-02 09:18:27.443000,,,148,,
4505,2023-10-30 12:43:21.917000,,123218,B,M,CA002,2022-10-01 12:07:28,,2,,busraelarslan,2023-10-30 12:43:21.917000,selimkorgun,2023-11-02 09:18:29.993000,,,149,,
4506,2023-10-30 14:56:25.460000,,121112,B,M,CA002,2022-10-01 12:11:29.920000,,1,,busraelarslan,2023-10-30 14:56:25.460000,busraelarslan,2023-11-01 16:49:03.203000,,,150,,
4507,2023-11-06 10:33:30.220000,,123022,B,M,CA002,2022-10-01 12:40:17.920000,,,,busraelarslan,2023-11-06 10:33:30.230000,selimkorgun,2023-11-06 10:35:17.723000,,,151,,
4508,2023-10-30 09:22:04.213000,,123217,B,M,CA002,2022-10-01 12:05:09.760000,,5,,busraelarslan,2023-10-30 09:22:04.227000,selimkorgun,2023-11-03 11:37:31.093000,,,152,,
4509,2023-10-30 09:38:32.653000,,118327,B,M,CA002,2022-10-01 12:05:44.320000,,2,,busraelarslan,2023-10-30 09:38:32.653000,busraelarslan,2023-11-03 10:37:58.923000,,,153,,
4510,2023-10-30 12:43:55.923000,,123218,B,M,CA002,2022-10-01 12:08:02.560000,,2,,busraelarslan,2023-10-30 12:43:55.923000,selimkorgun,2023-11-02 09:18:24.357000,,,154,,
4511,2023-10-30 12:45:05.467000,,123218,B,M,CA002,2022-10-01 12:08:37.120000,,1,,busraelarslan,2023-10-30 12:45:05.467000,selimkorgun,2023-11-02 09:18:22.733000,,,155,,
4512,2023-10-30 13:01:37.050000,,101847,,M,CA002,2022-10-01 12:09:11.680000,,4,,busraelarslan,2023-10-30 13:01:37.050000,selimkorgun,2023-10-31 12:58:24.970000,,,156,,
4513,2023-10-30 13:47:03.790000,,102263,B,M,CA002,2022-10-01 12:09:46.240000,,2,,busraelarslan,2023-10-30 13:47:03.790000,selimkorgun,2023-11-02 09:48:11.917000,,,157,,
4514,2023-10-30 14:01:40.150000,,116764,,M,CA002,2022-10-01 12:10:20.800000,,2,,busraelarslan,2023-10-30 14:01:40.150000,busraelarslan,2023-10-30 14:03:24.057000,,,158,,
4515,2023-10-30 14:48:53.380000,,121112,B,M,CA002,2022-10-01 12:10:55.360000,,1,,busraelarslan,2023-10-30 14:48:53.380000,selimkorgun,2023-11-01 09:21:34.197000,,,159,,
4516,2023-10-31 11:50:15.097000,,113286,B,M,CA002,2022-10-01 12:12:39.040000,,2,,busraelarslan,2023-10-31 11:50:15.103000,selimkorgun,2023-11-02 17:07:14.363000,,,160,,
4517,2023-10-31 11:53:05.150000,,113286,B,M,CA002,2022-10-01 12:13:13.600000,,1,,busraelarslan,2023-10-31 11:53:05.150000,selimkorgun,2023-11-02 17:07:15.173000,,,161,,
4518,2023-10-31 12:13:13.823000,,113286,B,M,CA002,2022-10-01 12:13:48.160000,,5,,busraelarslan,2023-10-31 12:13:13.823000,selimkorgun,2023-11-03 12:19:04.010000,,,162,,
4519,2023-10-31 13:59:40.697000,,115224,B,M,CA002,2022-10-01 12:16:40.960000,,1,,busraelarslan,2023-10-31 13:59:40.697000,selimkorgun,2023-11-02 09:18:40.120000,,,163,,
4520,2023-11-01 08:15:39.540000,,123235,,M,CA002,2022-10-01 12:19:33.760000,,2,,busraelarslan,2023-11-01 08:15:39.547000,busraelarslan,2023-11-01 08:23:53.537000,,,164,,
4521,2023-10-31 14:07:40.150000,,123067,B,M,CA002,2022-10-01 12:17:50.080000,,1,,busraelarslan,2023-10-31 14:07:40.150000,selimkorgun,2023-11-01 16:52:03.360000,,,165,,
4522,2023-10-31 14:31:03.523000,,114652,B,M,CA002,2022-10-01 12:18:24.640000,,1,,busraelarslan,2023-10-31 14:31:03.523000,selimkorgun,2023-11-02 09:18:33.367000,,,166,,
4523,2023-11-01 09:22:03.920000,,102611,,M,CA002,2022-10-01 12:21:17.440000,,3,,busraelarslan,2023-11-01 09:22:03.920000,busraelarslan,2023-11-01 09:25:23.867000,,,167,,
4524,2023-11-01 08:17:32.517000,,123235,,M,CA002,2022-10-01 12:20:08.320000,,1,,busraelarslan,2023-11-01 08:17:32.517000,busraelarslan,2023-11-01 08:19:50.440000,,,168,,
4525,2023-11-01 08:18:16.243000,,123235,,M,CA002,2022-10-01 12:20:42.880000,,1,,busraelarslan,2023-11-01 08:18:16.243000,busraelarslan,2023-11-01 08:19:39.257000,,,169,,
4526,2023-11-01 09:27:00.747000,,102611,B,M,CA002,2022-10-01 12:21:52,,1,,busraelarslan,2023-11-01 09:27:00.750000,selimkorgun,2023-11-03 08:33:37.403000,,,170,,
4527,2023-11-01 09:31:47.250000,,102611,B,M,CA002,2022-10-01 12:22:26.560000,,2,,busraelarslan,2023-11-01 09:31:47.250000,selimkorgun,2023-11-03 08:33:39.717000,,,171,,
4528,2023-11-01 09:37:13.693000,,102611,B,M,CA002,2022-10-01 12:23:01.120000,,2,,busraelarslan,2023-11-01 09:37:13.693000,selimkorgun,2023-11-07 10:33:52.327000,,,172,,
4529,2023-11-01 09:50:23.693000,,122794,B,M,CA002,2022-10-01 12:23:35.680000,,1,,busraelarslan,2023-11-01 09:50:23.693000,selimkorgun,2023-11-02 09:48:12.487000,,,173,,
4530,2023-11-01 09:51:39.203000,,122794,B,M,CA002,2022-10-01 12:24:10.240000,,1,,busraelarslan,2023-11-01 09:51:39.203000,selimkorgun,2023-11-06 10:26:31.043000,,,174,,
4531,2023-11-01 10:07:52.463000,,121933,B,M,CA002,2022-10-01 12:24:44.800000,,1,,busraelarslan,2023-11-01 10:07:52.463000,selimkorgun,2023-11-06 10:26:36.647000,,,175,,
4533,2023-11-01 14:58:52.410000,,112909,B,M,CA002,2022-10-01 12:25:53.920000,,1,,busraelarslan,2023-11-01 14:58:52.413000,selimkorgun,2023-11-03 12:19:03.320000,,,176,,
4534,2023-11-01 15:57:54.347000,"",121039,B,M,CA002,2022-10-01 12:26:28.480000,,1,,busraelarslan,2023-11-01 15:57:54.347000,selimkorgun,2023-11-06 10:26:29.933000,,,177,,
4535,2023-11-01 16:09:16.293000,,102589,B,M,CA002,2022-10-01 12:27:03.040000,,2,,busraelarslan,2023-11-01 16:09:16.297000,selimkorgun,2023-11-03 08:33:38.117000,,,178,,
4536,2023-11-02 12:48:42.413000,"",121034,,M,CA002,2022-10-01 12:28:12.160000,,3,,busraelarslan,2023-11-02 12:48:42.423000,busraelarslan,2023-11-02 15:32:16.560000,,,179,,
4537,2023-11-02 12:56:32.527000,,121034,B,M,CA002,2022-10-01 12:28:46.720000,,1,,busraelarslan,2023-11-02 12:56:32.527000,selimkorgun,2023-11-07 07:51:00.363000,,,180,,
4538,2023-11-02 15:53:31.793000,,102266,,M,CA002,2022-10-01 12:29:21.280000,,3,,busraelarslan,2023-11-02 15:53:31.800000,busraelarslan,2023-11-02 15:55:44.457000,,,181,,
4539,2023-11-03 08:41:42.533000,,123245,,M,CA002,2022-10-01 12:31:04.960000,,1,,busraelarslan,2023-11-03 08:41:42.540000,busraelarslan,2023-11-03 08:42:18.560000,,,182,,
4540,2023-11-03 08:42:28.100000,,123245,,M,CA002,2022-10-01 12:31:39.520000,,1,,busraelarslan,2023-11-03 08:42:28.100000,busraelarslan,2023-11-03 08:44:12.273000,,,183,,
4541,2023-11-03 08:44:20.640000,,123250,,M,CA002,2022-10-01 12:32:14.080000,,1,,busraelarslan,2023-11-03 08:44:20.640000,busraelarslan,2023-11-03 08:44:55.583000,,,184,,
4542,2023-11-03 08:45:01.637000,,123250,,M,CA002,2022-10-01 12:32:48.640000,,2,,busraelarslan,2023-11-03 08:45:01.637000,busraelarslan,2023-11-03 08:46:25.217000,,,185,,
4543,2023-11-03 09:23:24.380000,,123252,,M,CA002,2022-10-01 12:33:23.200000,,1,,busraelarslan,2023-11-03 09:23:24.383000,busraelarslan,2023-11-03 09:25:13.697000,,,186,,
4544,2023-11-03 09:25:33.067000,,123252,,M,CA002,2022-10-01 12:33:57.760000,,1,,busraelarslan,2023-11-03 09:25:33.067000,busraelarslan,2023-11-03 09:26:22.823000,,,187,,
4545,2023-11-03 09:26:31.900000,,123252,,M,CA002,2022-10-01 12:34:32.320000,,1,,busraelarslan,2023-11-03 09:26:31.900000,busraelarslan,2023-11-03 09:29:14.850000,,,188,,
4546,2023-11-03 09:29:20.727000,,123252,,M,CA002,2022-10-01 12:35:06.880000,,1,,busraelarslan,2023-11-03 09:29:20.727000,busraelarslan,2023-11-03 10:12:24.237000,,,189,,
4547,2023-11-03 10:24:09.490000,,113982,,M,CA002,2022-10-01 12:35:41.440000,,1,,busraelarslan,2023-11-03 10:24:09.490000,busraelarslan,2023-11-03 10:25:07.773000,,,190,,
4548,2023-11-03 12:42:50.647000,,123253,,M,CA002,2022-10-01 12:36:16,,2,,busraelarslan,2023-11-03 12:42:50.647000,busraelarslan,2023-11-03 12:46:35.257000,,,191,,
4549,2023-11-03 12:46:46.087000,,123254,,M,CA002,2022-10-01 12:36:50.560000,,1,,busraelarslan,2023-11-03 12:46:46.087000,busraelarslan,2023-11-03 12:50:50.050000,,,192,,
4550,2023-11-03 12:50:57.873000,,123254,,M,CA002,2022-10-01 12:37:25.120000,,1,,busraelarslan,2023-11-03 12:50:57.877000,busraelarslan,2023-11-03 12:51:31.603000,,,193,,
4551,2023-11-03 12:51:43.323000,,123254,,M,CA002,2022-10-01 12:37:59.680000,,1,,busraelarslan,2023-11-03 12:51:43.323000,busraelarslan,2023-11-03 12:55:28.693000,,,194,,
4552,2023-11-03 13:02:41.790000,,115294,B,M,CA002,2022-10-01 12:38:34.240000,,1,,busraelarslan,2023-11-03 13:02:41.790000,selimkorgun,2023-11-07 08:29:11.847000,,,195,,
4553,2023-11-03 13:03:20.967000,,115294,B,M,CA002,2022-10-01 12:39:08.800000,,2,,busraelarslan,2023-11-03 13:03:20.967000,Guray,2024-03-21 13:38:57.540000,,,196,,KGShop
4554,2023-11-03 13:30:47.330000,,112909,,M,CA002,2022-10-01 12:39:43.360000,,1,,busraelarslan,2023-11-03 13:30:47.330000,busraelarslan,2023-11-03 13:31:20.813000,,,197,,
4555,2023-11-06 12:12:17.050000,"",105397,,M,CA002,2022-10-01 12:40:52.480000,,1,,busraelarslan,2023-11-06 12:12:17.057000,busraelarslan,2023-11-06 12:14:05.663000,,,198,,
4556,2023-11-06 12:16:24.190000,"",105397,B,M,CA002,2022-10-01 12:41:27.040000,,1,,busraelarslan,2023-11-06 12:16:24.197000,selimkorgun,2023-11-07 17:17:32.177000,,,199,,
4557,2023-11-06 12:25:35.680000,,113286,B,M,CA002,2022-10-01 12:42:01.600000,,1,,busraelarslan,2023-11-06 12:25:35.680000,selimkorgun,2023-11-07 17:17:26.570000,,,200,,
4558,2023-11-06 14:11:24.277000,"",113297,,M,CA002,2022-10-01 12:42:36.160000,,1,,busraelarslan,2023-11-06 14:11:24.277000,busraelarslan,2023-11-06 14:13:12.230000,,,201,,
4559,2023-11-06 14:21:00.860000,,116530,,M,CA002,2022-10-01 12:43:10.720000,,1,,busraelarslan,2023-11-06 14:21:00.860000,busraelarslan,2023-11-06 14:22:42.637000,,,202,,
4560,2023-11-06 14:56:35.177000,"",123255,,M,CA002,2022-10-01 12:43:45.280000,,1,,busraelarslan,2023-11-06 14:56:35.177000,busraelarslan,2023-11-06 14:59:03.280000,,,203,,
4561,2023-11-06 15:15:14.307000,,114137,B,M,CA002,2022-10-01 12:44:19.840000,,1,,busraelarslan,2023-11-06 15:15:14.307000,selimkorgun,2023-11-07 17:17:31.140000,,,204,,
4562,2023-11-06 15:21:01.043000,,116415,B,M,CA002,2022-10-01 12:44:54.400000,,1,,busraelarslan,2023-11-06 15:21:01.047000,selimkorgun,2023-11-07 17:17:24.837000,,,205,,
4563,2023-11-06 15:29:06.867000,,116769,,M,CA002,2022-10-01 12:45:28.960000,,2,,busraelarslan,2023-11-06 15:29:06.867000,busraelarslan,2023-11-06 16:21:51.920000,,,206,,
4564,2023-11-06 15:44:23.800000,,118287,,M,CA002,2022-10-01 12:46:03.520000,,1,,busraelarslan,2023-11-06 15:44:23.800000,busraelarslan,2023-11-06 16:22:02.790000,,,207,,
4565,2023-11-06 15:45:17.030000,,118287,,M,CA002,2022-10-01 12:46:38.080000,,1,,busraelarslan,2023-11-06 15:45:17.033000,busraelarslan,2023-11-06 16:22:08.707000,,,208,,
4566,2023-11-06 15:46:31.057000,,118287,,M,CA002,2022-10-01 12:47:12.640000,,2,,busraelarslan,2023-11-06 15:46:31.057000,busraelarslan,2023-11-06 16:22:14.340000,,,209,,
4567,2023-11-07 12:54:42.950000,,105241,,M,CA002,2022-10-01 12:47:47.200000,,1,,busraelarslan,2023-11-07 12:54:42.957000,busraelarslan,2023-11-07 14:34:01.470000,,,210,,
4568,2023-11-07 14:06:43.413000,,116512,,M,CA002,2022-10-01 12:48:21.760000,,1,,busraelarslan,2023-11-07 14:06:43.413000,busraelarslan,2023-11-07 14:07:10.247000,,,211,,
4569,2023-11-07 14:07:29.687000,,121093,,M,CA002,2022-10-01 12:48:56.320000,,1,,busraelarslan,2023-11-07 14:07:29.687000,busraelarslan,2023-11-07 14:08:38.900000,,,212,,
4570,2023-11-07 14:18:14.023000,,101847,,M,CA002,2022-10-01 12:49:30.880000,,1,,busraelarslan,2023-11-07 14:18:14.023000,busraelarslan,2023-11-07 14:18:45.083000,,,213,,
4571,2023-11-07 14:26:23.977000,,117680,,M,CA002,2022-10-01 12:50:05.440000,,1,,busraelarslan,2023-11-07 14:26:23.977000,busraelarslan,2023-11-07 14:34:09.743000,,,214,,
4572,2023-11-07 14:44:16.563000,,105240,,M,CA002,2022-10-01 12:50:40,,2,,busraelarslan,2023-11-07 14:44:16.563000,busraelarslan,2023-11-07 14:45:12.467000,,,215,,
4573,2023-11-07 14:45:34.710000,,105240,,M,CA002,2022-10-01 12:51:14.560000,,1,,busraelarslan,2023-11-07 14:45:34.710000,busraelarslan,2023-11-07 14:56:47.970000,,,216,,
4574,2023-12-06 13:43:43.717000,Sip.No:(19472) Sip.T.No(60373) : ,KG1000,B,M,CA002,2022-10-01 12:51:49.120000,,,,OZKAN,2023-12-06 13:43:43.720000,UMUT,2024-01-31 14:24:25.977000,,,219,,
4579,2024-02-23 00:55:49.350000,,1111,B,M,CA001,2022-10-01 12:52:58.240000,,8,,gulsah,2024-02-23 00:55:49.357000,Guray,2024-03-21 13:51:52.137000,,,1223,KGShop,KGShop
4580,2024-02-23 00:56:01.657000,,1111,B,M,CA001,2022-10-01 12:53:32.800000,,,,gulsah,2024-02-23 00:56:01.657000,gulsah,2024-02-23 01:19:26.570000,,,1224,KGShop,KGShop
4586,2024-06-24 11:58:23.803000,,S1 AYAKKABI,B,M,CA001,2022-10-01 12:54:07.360000,,,,SERKAN,2024-06-24 11:58:23.813000,SERKAN,2024-06-24 12:14:58.623000,,,1230,KGShop,KGShop
4587,2024-09-23 16:33:36.293000,,101431,B,M,CA002,2022-10-01 12:54:41.920000,,,,harun,2024-09-23 16:33:36.297000,harun,2024-09-23 16:34:04.357000,,,1231,KGShop,KGShop
4588,2024-11-28 17:43:06.880000,,101431,B,M,CA002,2022-10-01 12:55:16.480000,,,,Samet,2024-11-28 17:43:06.887000,Samet,2024-12-05 16:51:37.627000,,,1232,KGShop,KGShop
4589,2024-12-26 13:53:58.413000,,116512,B,M,CA001,2022-10-01 12:55:51.040000,,,,OZKAN,2024-12-26 13:53:58.413000,OZKAN,2024-12-26 13:54:14.160000,,,1233,KGShop,KGShop
4590,2025-02-17 14:18:13.873000,,DENEME22,B,M,CA001,2022-10-01 12:56:25.600000,,,,OZKAN,2025-02-17 14:18:13.877000,OZKAN,2025-02-17 14:18:38.557000,,,1248,KGShop,KGShop
4592,2025-04-05 02:10:49.280000,"
",123235,B,M,CA002,2022-10-01 12:57:00.160000,,,,Samet,2025-04-05 02:10:49.283000,Samet,2025-04-05 02:11:33.037000,,,1250,KGShop_FATURASIZTEST,KGShop_FATURASIZTEST
4593,2025-04-07 18:03:16.560000,,121493,B,M,CA002,2022-10-01 12:57:34.720000,,,,Samet,2025-04-07 18:03:16.563000,Samet,2025-04-07 18:05:42.263000,,,1252,KGShop,KGShop
4594,2025-04-07 18:53:58.913000,,113286,B,M,CA002,2022-10-01 12:58:09.280000,,,,Samet,2025-04-07 18:53:58.917000,Samet,2025-04-07 18:54:08.387000,,,1253,KGShop,KGShop
4595,2025-04-07 18:57:52.923000,,112379,B,M,CA002,2022-10-01 12:58:43.840000,,,,Samet,2025-04-07 18:57:52.930000,Samet,2025-04-07 19:00:53.657000,,,1254,KGShop,KGShop
4596,2025-04-07 19:14:56.333000,"
",113286,B,M,CA002,2022-10-01 12:59:18.400000,,,,Samet,2025-04-07 19:14:56.333000,Samet,2025-04-07 19:16:40.840000,,,1255,KGShop,KGShop
4597,2025-04-07 19:53:18.470000,,100001,B,M,CA002,2022-10-01 12:59:52.960000,,,,Samet,2025-04-07 19:53:18.473000,Samet,2025-04-07 19:53:29.060000,,,1256,KGShop,KGShop
4599,2025-04-07 20:21:59.153000,"
",115447,B,M,CA002,2022-10-01 13:00:27.520000,,,,Samet,2025-04-07 20:21:59.153000,Samet,2025-04-07 20:23:12.460000,,,1258,KGShop,KGShop
4600,2025-04-07 20:27:09.030000,"
",112873,B,M,CA002,2022-10-01 13:01:02.080000,,,,Samet,2025-04-07 20:27:09.030000,Samet,2025-04-07 20:28:18.690000,,,1259,KGShop,KGShop
4601,2025-04-08 01:35:38.920000,"
",113286,B,M,CA002,2022-10-01 13:01:36.640000,,,,Samet,2025-04-08 01:35:38.923000,Samet,2025-04-08 01:36:45.303000,,,1260,KGShop,KGShop
4603,2025-04-08 17:32:15.903000,"
",113286,B,M,CA002,2022-10-01 13:02:11.200000,,,,Samet,2025-04-08 17:32:15.940000,Samet,2025-04-08 18:23:44.877000,,,1263,KGShop,KGShop
4605,2025-05-08 11:56:29.733000,,100001,,M,CA002,2022-10-01 13:02:45.760000,,,,OZKAN,2025-05-08 11:56:29.740000,,,,,1265,KGShop,
