PARAD,MCTable,COLPLACE,FieldName,COLNAME,COLWidth,ColDispFormat,ToplamGoster,kgid,insUN,insDT,insApp,updUN,updDT,updApp
İşçilik_Rapor,0,5,RKod_Tanim,RKod Tanim,87,,,354,,,,,,
İşçilik_Rapor,0,6,Proses_Tanim,Proses Tanim,68,,,355,,,,,,
İşçilik_Rapor,0,7,EndTarih1,Ürünün Proses i,74,,,356,,,,,,
İşçilik_Rapor,0,8,Biten,Biten,45,"#,###0.####",*,357,,,,,,
İşçilik_Rapor,0,9,BirimMaliyet,Birim Maliyet,65,"#,###0.####",,358,,,,,,
İşçilik_Rapor,0,10,Biten_Maliyet,Biten Maliyet,72,"#,###0.####",*,359,,,,,,
İşçilik_Rapor,0,11,Birim,Birim,40,,,360,,,,,,
Satınalma_İhtiyaç,0,0,CariKod_Tanim,Cari Kod Tanımı,113,,,361,,,,,,
Satınalma_İhtiyaç,0,1,EmirNo,Emir No,40,"#,###0.####",,362,,,,,,
Satınalma_İhtiyaç,0,2,uskod,Ürün Kodu,71,,,363,,,,,,
Satınalma_İhtiyaç,0,3,USKod_Tanim,Ürün Kodu Tanım,287,,,364,,,,,,
Satınalma_İhtiyaç,0,4,hskod,Hammadde Kodu,78,,,365,,,,,,
Satınalma_İhtiyaç,0,5,HSKod_Tanim,Hammadde Kodu T,150,,,366,,,,,,
Satınalma_İhtiyaç,0,6,HRKod_Tanim,Renk Tanımı,113,,,367,,,,,,
Satınalma_İhtiyaç,0,7,Siparis_Miktar,Sipariş Miktarı,56,"#,###0.####",,368,,,,,,
Satınalma_İhtiyaç,0,8,HBirim,HBirim,52,,,369,,,,,,
Satınalma_İhtiyaç,0,9,HBeden,Hammadde Beden,52,,,370,,,,,,
Satınalma_İhtiyaç,0,10,Miktar3,Emir ihtiyacı,72,"#,###0.####",*,371,,,,,,
Satınalma_İhtiyaç,0,11,MiktarTop,Toplam ihtiyac,86,"#,###0.####",,372,,,,,,
Satınalma_İhtiyaç,0,12,Hammadde_Mevcudu,Hammadde Mevcud,64,"#,###0.####",,373,,,,,,
Satınalma_İhtiyaç,0,13,Ham_Satinalma,Ham Satinalma,61,"#,###0.####",,374,,,,,,
Satınalma_İhtiyaç,0,14,Siparisi_Gereken,Siparisi Gereke,69,"#,###0.####",,375,,,,,,
02 - Cari_Detay_List,0,1,CName,Cari Adı,124,,,376,,,,,,
00 - Cari_Mizan_Rapo,0,0,CKod,Cari Kod,60,,,377,,,,,,
00 - Cari_Mizan_Rapo,0,1,CName,Cari Adı,124,,,378,,,,,,
00 - Cari_Mizan_Rapo,0,2,ParaCinsi,ParaCinsi,24,,,379,,,,,,
02 - Siparis Kalan T,0,0,cariKod,Sipariş Cari Ko,76,,,380,,,,,,
02 - Siparis Kalan T,0,1,CariKod_Tanim,Sipariş Cari Ko,147,,,381,,,,,,
02 - Siparis Kalan T,0,2,Siparis_Miktari,Sipariş Miktarı,57,"#,##0.##",*,382,,,,,,
02 - Siparis Kalan T,0,3,Birim,Birim,34,,,383,,,,,,
02 - Siparis Kalan T,0,4,FToplam,Fiş Toplamı,72,"#,##0.00",*,384,,,,,,
02 - Siparis Kalan T,0,5,iskontoTut,İskonto Tutarı,68,"#,##0.00",*,385,,,,,,
02 - Siparis Kalan T,0,6,Tutar,Tutar,64,"#,##0.00",*,386,,,,,,
02 - Siparis Kalan T,0,7,ParaCinsi,Kur,23,,,387,,,,,,
02 - Siparis Kalan T,0,8,Gonderilen,Gönderilen,60,"#,##0.##",*,388,,,,,,
02 - Siparis Kalan T,0,9,Faturalanan,Faturalanan,57,"#,##0.##",*,389,,,,,,
02 - Siparis Kalan T,0,10,Harici_Kapatilan,Harici Kapatıla,49,"#,##0.##",*,390,,,,,,
02 - Siparis Kalan T,0,11,Toplam_Kapatilan,Toplam Kapatıla,60,"#,##0.##",*,391,,,,,,
02 - Siparis Kalan T,0,12,Net_Kalan,Net Kalan,72,"#,##0.##",*,392,,,,,,
02 - Siparis Kalan T,0,13,CF0,Ort Fiyat,64,"#,##0.##",*,393,,,,,,
02 - Siparis Kalan T,0,14,CF1,Sevk Tutarı,72,"#,##0.##",*,394,,,,,,
02 - Siparis Kalan T,0,15,CF2,Iptal Tutarı,64,"#,##0.##",*,395,,,,,,
02 - Siparis Kalan T,0,16,CF3,Kalan Tutar,72,"#,##0.##",*,396,,,,,,
03 - Siparis Durum R,0,0,cariKod,Sipariş Cari Ko,66,,,397,,,,,,
03 - Siparis Durum R,0,1,CariKod_Tanim,Sipariş Cari Ko,129,,,398,,,,,,
03 - Siparis Durum R,0,2,SKod,Stok Kodu,67,,,399,,,,,,
03 - Siparis Durum R,0,3,SKod_Tanim,Stok Kodu Tanım,117,,,400,,,,,,
03 - Siparis Durum R,0,4,RKod_Tanim,Renk Tanımı,147,,,401,,,,,,
03 - Siparis Durum R,0,5,UreticiKodu_Tanim,Üretici Kodu Ta,94,,,402,,,,,,
03 - Siparis Durum R,0,6,Siparis_Miktari,Sipariş Miktarı,59,"#,##0.##",*,403,,,,,,
03 - Siparis Durum R,0,7,Birim,Birim,34,,,404,,,,,,
03 - Siparis Durum R,0,8,Gonderilen,Gönderilen,57,"#,##0.##",*,405,,,,,,
03 - Siparis Durum R,0,9,Faturalanan,Faturalanan,49,"#,##0.##",*,406,,,,,,
03 - Siparis Durum R,0,10,Harici_Kapatilan,Harici Kapatıla,64,"#,##0.##",*,407,,,,,,
03 - Siparis Durum R,0,11,Toplam_Kapatilan,Toplam Kapatıla,60,"#,##0.##",*,408,,,,,,
03 - Siparis Durum R,0,12,Net_Kalan,Net Kalan,49,"#,##0.##",*,409,,,,,,
03 - Siparis Durum R,0,13,Satinalma_Top,Satınalma Topla,64,"#,##0.##",*,410,,,,,,
03 - Siparis Durum R,0,14,Satinalma_kalan,Satınalma Kalan,60,"#,##0.##",*,411,,,,,,
00 - Cari_Mizan_Rapo,0,3,Borc,Borc,64,"#,##0.00",*,412,,,,,,
00 - Cari_Mizan_Rapo,0,4,Alacak,Alacak,64,"#,##0.00",*,413,,,,,,
00 - Cari_Mizan_Rapo,0,5,BBakiye,Borç Bakiye,72,"#,##0.00",*,414,,,,,,
00 - Cari_Mizan_Rapo,0,6,ABakiye,Alacak Bakiye,83,"#,##0.00",*,415,,,,,,
00 - Cari_Mizan_Rapo,0,7,SonBakiye,Bakiye,64,"#,##0.00",*,416,,,,,,
Mrp_Rapor,0,0,uskod,Ürün Kodu,60,,,417,,,,,,
Mrp_Rapor,0,1,USKod_Tanim,Ürün Kodu Tanım,183,,,418,,,,,,
Mrp_Rapor,0,2,hskod,Hammadde Kodu,73,,,419,,,,,,
Mrp_Rapor,0,3,HSKod_Tanim,Hammadde Kodu T,131,,,420,,,,,,
Mrp_Rapor,0,4,HRKod_Tanim,Renk Tanımı,42,,,421,,,,,,
Mrp_Rapor,0,5,HBeden,Hammadde Beden,57,,,422,,,,,,
Mrp_Rapor,0,6,HBirim,HBirim,47,,,423,,,,,,
Mrp_Rapor,0,7,Miktar2,Planlama ihtiya,60,"#,###0.####",,424,,,,,,
Mrp_Rapor,0,8,MiktarTop,Toplam ihtiyac,53,"#,###0.####",,425,,,,,,
Mrp_Rapor,0,9,Hammadde_Mevcudu,Hammadde Mevcud,76,"#,###0.####",,426,,,,,,
Mrp_Rapor,0,10,Ham_Satinalma,Ham Satinalma,71,"#,###0.####",,427,,,,,,
Mrp_Rapor,0,11,Siparisi_Gereken,Siparisi Gereke,62,"#,###0.####",,428,,,,,,
02 - Cari Islem Deta,0,2,Aciklama,Aciklama,166,,,429,,,,,,
Banka Bakiye Listesi,0,0,Tarih,Tarih,64,,,430,,,,,,
Banka Bakiye Listesi,0,1,Banka_Tanim,Banka Tanımı,132,,,431,,,,,,
Banka Bakiye Listesi,0,2,Sube_Tanim,Şube Tanımı,106,,,432,,,,,,
Banka Bakiye Listesi,0,3,Hesap,Hesap,94,,,433,,,,,,
Banka Bakiye Listesi,0,4,Borc,Borç,98,"#,##0.00",*,434,,,,,,
Banka Bakiye Listesi,0,5,Alacak,Alacak,91,"#,##0.00",*,435,,,,,,
Banka Bakiye Listesi,0,6,Bakiye,Bakiye,79,"#,##0.00",*,436,,,,,,
Banka Bakiye Listesi,0,7,ParaCinsi,Kur,23,,,437,,,,,,
Katalog,0,0,SKod,Stok Kodu,94,,,438,Samet,2024-11-22 10:23:32.373000,KGShop,,,
Katalog,0,1,Stok_Tanim,Stok Tanım,106,,,439,Samet,2024-11-22 10:23:32.380000,KGShop,,,
Katalog,0,2,Resim,Resim,97,,,440,Samet,2024-11-22 10:23:32.383000,KGShop,,,
Katalog,0,3,Birim,Birim,34,,,441,Samet,2024-11-22 10:23:32.383000,KGShop,,,
Katalog,0,4,Giren,Giren,72,"#,###0.####",,442,Samet,2024-11-22 10:23:32.387000,KGShop,,,
raportest,0,0,Cektip,Çek Tipi,98,,,443,harun,2025-01-17 10:17:36.380000,KGShop,,,
raportest,0,1,Durum,Durum,130,,,444,harun,2025-01-17 10:17:36.390000,KGShop,,,
raportest,0,2,CekAdet,Çek Adedi,64,"#,###0.######",,445,harun,2025-01-17 10:17:36.393000,KGShop,,,
raportest,0,3,ortGun,İşlem Tarihine ,102,"#,###0.######",,446,harun,2025-01-17 10:17:36.400000,KGShop,,,
raportest,0,4,ortGun2,Bu Güne göre Or,98,"#,###0.######",,447,harun,2025-01-17 10:17:36.407000,KGShop,,,
raportest,0,5,OrtVade,Ortalama Vade,112,,,448,harun,2025-01-17 10:17:36.410000,KGShop,,,
raportest,0,6,Tutar,Tutar,70,"#,##0.00",,449,harun,2025-01-17 10:17:36.413000,KGShop,,,
raportest,0,7,ParaCinsi,Kur,23,,,450,harun,2025-01-17 10:17:36.420000,KGShop,,,
