Koli_KOD,Beden_No,Koli_ADET
0307,13,0.0
0307,34,0.0
0308,1,0.0
0308,2,0.0
0308,3,0.0
0308,4,0.0
0308,5,0.0
0308,6,0.0
0308,7,5.0
0308,8,12.0
0308,9,14.0
0308,10,14.0
0308,11,7.0
0308,12,4.0
0308,13,0.0
0308,34,0.0
0309,1,0.0
0309,2,0.0
0309,3,0.0
0309,4,0.0
0309,5,0.0
0309,6,0.0
0309,7,2.0
0309,8,6.0
0309,9,6.0
0309,10,6.0
0309,11,3.0
0309,12,1.0
0309,13,0.0
0309,34,0.0
0310,1,0.0
0310,2,0.0
0310,3,0.0
0310,4,0.0
0310,5,0.0
0310,6,0.0
0310,7,3.0
0310,8,7.0
0310,9,6.0
0310,10,10.0
0310,11,4.0
0310,12,0.0
0310,13,0.0
0310,34,0.0
0311,1,0.0
0311,2,0.0
0311,3,0.0
0311,4,0.0
0311,5,0.0
0311,6,0.0
0311,7,1.0
0311,8,3.0
0311,9,4.0
0311,10,4.0
0311,11,4.0
0311,12,0.0
0311,13,0.0
0311,34,0.0
0312,1,0.0
0312,2,0.0
0312,3,0.0
0312,4,0.0
0312,5,0.0
0312,6,0.0
0312,7,3.0
0312,8,2.0
0312,9,3.0
0312,10,0.0
0312,11,0.0
0312,12,0.0
0312,13,0.0
0312,34,0.0
0313,1,0.0
0313,2,0.0
0313,3,0.0
0313,4,0.0
0313,5,0.0
0313,6,0.0
0313,7,0.0
0313,8,0.0
0313,9,0.0
0313,10,4.0
0313,11,3.0
0313,12,0.0
0313,13,0.0
0313,34,0.0
0314,1,0.0
0314,2,0.0
0314,3,0.0
0314,4,0.0
0314,5,0.0
0314,6,1.0
0314,7,2.0
0314,8,2.0
0314,9,1.0
0314,10,0.0
0314,11,0.0
0314,12,0.0
0314,13,0.0
0314,34,0.0
0315,1,0.0
0315,2,0.0
0315,3,0.0
0315,4,0.0
0315,5,0.0
0315,6,0.0
0315,7,0.0
0315,8,0.0
0315,9,1.0
0315,10,3.0
0315,11,2.0
0315,12,0.0
0315,13,0.0
0315,34,0.0
0316,1,0.0
0316,2,0.0
0316,3,0.0
0316,4,0.0
0316,5,0.0
0316,6,0.0
0316,7,3.0
0316,8,1.0
0316,9,1.0
0316,10,3.0
0316,11,3.0
0316,12,2.0
0316,13,0.0
0316,34,0.0
0317,1,0.0
0317,2,0.0
0317,3,0.0
0317,4,0.0
0317,5,0.0
0317,6,0.0
0317,7,2.0
0317,8,1.0
0317,9,3.0
0317,10,3.0
0317,11,2.0
0317,12,2.0
0317,13,0.0
0317,34,0.0
0318,1,0.0
0318,2,0.0
0318,3,0.0
0318,4,0.0
0318,5,0.0
0318,6,0.0
0318,7,1.0
0318,8,2.0
0318,9,2.0
0318,10,2.0
0318,11,2.0
0318,12,1.0
0318,13,1.0
0318,34,0.0
0319,1,0.0
0319,2,0.0
0319,3,0.0
0319,4,0.0
0319,5,0.0
0319,6,0.0
0319,7,0.0
0319,8,3.0
0319,9,2.0
0319,10,2.0
0319,11,1.0
0319,12,0.0
0319,13,0.0
0319,34,0.0
0320,1,0.0
0320,2,0.0
0320,3,0.0
0320,4,0.0
0320,5,0.0
0320,6,0.0
0320,7,0.0
0320,8,0.0
0320,9,2.0
0320,10,2.0
0320,11,1.0
0320,12,2.0
0320,13,0.0
0320,34,0.0
0321,1,0.0
0321,2,0.0
0321,3,0.0
0321,4,0.0
0321,5,0.0
0321,6,0.0
0321,7,1.0
0321,8,2.0
0321,9,4.0
0321,10,1.0
0321,11,0.0
0321,12,0.0
0321,13,0.0
0321,34,0.0
0322,1,0.0
0322,2,0.0
0322,3,0.0
0322,4,0.0
0322,5,0.0
0322,6,2.0
0322,7,2.0
0322,8,2.0
0322,9,2.0
0322,10,0.0
0322,11,0.0
0322,12,0.0
0322,13,0.0
0322,34,0.0
0323,1,0.0
0323,2,0.0
0323,3,0.0
0323,4,0.0
0323,5,0.0
0323,6,0.0
0323,7,0.0
0323,8,0.0
0323,9,0.0
0323,10,3.0
0323,11,2.0
0323,12,1.0
0323,13,0.0
0323,34,0.0
0324,1,0.0
0324,2,0.0
0324,3,0.0
0324,4,0.0
0324,5,0.0
0324,6,0.0
0324,7,0.0
0324,8,1.0
0324,9,2.0
0324,10,2.0
0324,11,3.0
0324,12,0.0
0324,13,0.0
0324,34,0.0
0325,1,0.0
0325,2,0.0
0325,3,0.0
0325,4,0.0
0325,5,0.0
0325,6,1.0
0325,7,1.0
0325,8,1.0
0325,9,2.0
0325,10,2.0
0325,11,2.0
0325,12,0.0
0325,13,0.0
0325,34,0.0
0326,1,0.0
0326,2,0.0
0326,3,0.0
0326,4,0.0
0326,5,0.0
0326,6,0.0
0326,7,1.0
0326,8,2.0
0326,9,4.0
0326,10,5.0
0326,11,4.0
0326,12,0.0
0326,13,0.0
0326,34,0.0
0327,1,0.0
0327,2,0.0
0327,3,0.0
0327,4,0.0
0327,5,0.0
0327,6,0.0
0327,7,0.0
0327,8,1.0
0327,9,3.0
0327,10,6.0
0327,11,5.0
0327,12,1.0
0327,13,0.0
0327,34,0.0
0328,1,0.0
0328,2,0.0
0328,3,0.0
0328,4,0.0
0328,5,0.0
0328,6,0.0
0328,7,1.0
0328,8,3.0
0328,9,5.0
0328,10,9.0
0328,11,5.0
0328,12,1.0
0328,13,0.0
0328,34,0.0
0329,1,0.0
0329,2,0.0
0329,3,0.0
0329,4,0.0
0329,5,1.0
0329,6,2.0
0329,7,2.0
0329,8,2.0
0329,9,0.0
0329,10,1.0
0329,11,0.0
0329,12,0.0
0329,13,0.0
0329,34,0.0
0330,1,0.0
0330,2,0.0
0330,3,0.0
0330,4,0.0
0330,5,0.0
0330,6,0.0
0330,7,0.0
0330,8,3.0
0330,9,3.0
0330,10,0.0
0330,11,0.0
0330,12,0.0
0330,13,0.0
0330,34,0.0
0331,1,0.0
0331,2,0.0
0331,3,0.0
0331,4,0.0
0331,5,0.0
0331,6,0.0
0331,7,1.0
0331,8,4.0
0331,9,4.0
0331,10,2.0
0331,11,1.0
0331,12,0.0
0331,13,0.0
0331,34,0.0
0332,1,0.0
0332,2,0.0
0332,3,0.0
0332,4,0.0
0332,5,0.0
0332,6,0.0
0332,7,2.0
0332,8,4.0
0332,9,2.0
0332,10,0.0
0332,11,0.0
0332,12,0.0
0332,13,0.0
0332,34,0.0
0333,1,0.0
0333,2,0.0
0333,3,0.0
0333,4,0.0
0333,5,0.0
0333,6,0.0
0333,7,0.0
0333,8,0.0
0333,9,3.0
0333,10,3.0
0333,11,2.0
0333,12,0.0
0333,13,0.0
0333,34,0.0
0334,1,0.0
0334,2,0.0
0334,3,0.0
0334,4,0.0
0334,5,0.0
0334,6,0.0
0334,7,2.0
0334,8,4.0
0334,9,4.0
0334,10,2.0
0334,11,0.0
0334,12,0.0
0334,13,0.0
0334,34,0.0
0335,1,0.0
0335,2,0.0
0335,3,0.0
0335,4,0.0
0335,5,0.0
0335,6,0.0
0335,7,0.0
0335,8,2.0
0335,9,3.0
0335,10,1.0
0335,11,0.0
0335,12,0.0
0335,13,0.0
0335,34,0.0
0336,1,0.0
0336,2,0.0
0336,3,0.0
0336,4,0.0
0336,5,0.0
0336,6,0.0
0336,7,0.0
0336,8,1.0
0336,9,3.0
0336,10,2.0
0336,11,0.0
0336,12,0.0
0336,13,0.0
0336,34,0.0
0337,1,0.0
0337,2,0.0
0337,3,0.0
0337,4,0.0
0337,5,0.0
0337,6,0.0
0337,7,0.0
0337,8,2.0
0337,9,1.0
0337,10,3.0
0337,11,0.0
0337,12,0.0
0337,13,0.0
0337,34,0.0
0338,1,0.0
0338,2,0.0
0338,3,0.0
0338,4,0.0
0338,5,0.0
0338,6,2.0
0338,7,1.0
0338,8,2.0
0338,9,2.0
0338,10,1.0
0338,11,0.0
0338,12,0.0
0338,13,0.0
0338,34,0.0
0339,1,0.0
0339,2,0.0
0339,3,0.0
0339,4,0.0
0339,5,0.0
0339,6,2.0
0339,7,1.0
0339,8,2.0
0339,9,3.0
0339,10,1.0
0339,11,0.0
0339,12,0.0
0339,13,0.0
0339,34,0.0
0340,1,0.0
0340,2,0.0
0340,3,0.0
0340,4,0.0
0340,5,0.0
0340,6,0.0
0340,7,1.0
0340,8,3.0
0340,9,3.0
0340,10,2.0
0340,11,0.0
0340,12,0.0
0340,13,0.0
0340,34,0.0
0341,1,0.0
0341,2,0.0
0341,3,0.0
0341,4,0.0
0341,5,0.0
0341,6,0.0
0341,7,1.0
0341,8,0.0
0341,9,2.0
0341,10,2.0
0341,11,2.0
0341,12,1.0
0341,13,0.0
0341,34,0.0
0342,1,0.0
0342,2,0.0
0342,3,0.0
0342,4,0.0
0342,5,0.0
0342,6,0.0
0342,7,1.0
0342,8,1.0
0342,9,3.0
0342,10,4.0
0342,11,2.0
0342,12,1.0
0342,13,0.0
0342,34,0.0
0343,1,0.0
0343,2,0.0
0343,3,0.0
0343,4,0.0
0343,5,0.0
0343,6,0.0
0343,7,2.0
0343,8,3.0
0343,9,6.0
0343,10,4.0
0343,11,4.0
0343,12,1.0
0343,13,0.0
0343,34,0.0
0344,1,0.0
0344,2,0.0
0344,3,0.0
0344,4,0.0
0344,5,0.0
0344,6,1.0
0344,7,2.0
0344,8,2.0
0344,9,1.0
0344,10,1.0
0344,11,1.0
0344,12,0.0
0344,13,0.0
0344,34,0.0
0345,1,1.0
0345,2,2.0
0345,3,2.0
0345,4,2.0
0345,5,1.0
0345,6,0.0
0345,7,0.0
0345,8,0.0
0345,9,0.0
0345,10,0.0
0345,11,0.0
0345,12,0.0
0345,13,0.0
0345,34,0.0
0346,1,1.0
0346,2,2.0
0346,3,0.0
0346,4,0.0
0346,5,0.0
0346,6,0.0
0346,7,0.0
0346,8,2.0
0346,9,2.0
0346,10,2.0
0346,11,1.0
0346,12,0.0
0346,13,0.0
0346,34,0.0
0347,1,0.0
0347,2,0.0
0347,3,0.0
0347,4,0.0
0347,5,0.0
0347,6,0.0
0347,7,1.0
0347,8,0.0
0347,9,2.0
0347,10,2.0
0347,11,3.0
0347,12,0.0
0347,13,0.0
0347,34,0.0
0348,1,0.0
0348,2,0.0
0348,3,0.0
0348,4,0.0
0348,5,0.0
0348,6,0.0
0348,7,1.0
0348,8,0.0
0348,9,2.0
0348,10,1.0
0348,11,2.0
0348,12,0.0
0348,13,0.0
0348,34,0.0
0349,1,0.0
0349,2,0.0
0349,3,0.0
0349,4,0.0
0349,5,0.0
0349,6,0.0
0349,7,1.0
0349,8,0.0
0349,9,1.0
0349,10,2.0
0349,11,2.0
0349,12,0.0
0349,13,0.0
0349,34,0.0
0350,1,0.0
0350,2,0.0
0350,3,0.0
0350,4,0.0
0350,5,0.0
0350,6,0.0
0350,7,0.0
0350,8,1.0
0350,9,1.0
0350,10,2.0
0350,11,2.0
0350,12,0.0
0350,13,0.0
0350,34,0.0
0351,1,0.0
0351,2,0.0
0351,3,0.0
0351,4,0.0
0351,5,0.0
0351,6,0.0
0351,7,1.0
0351,8,1.0
0351,9,1.0
0351,10,1.0
0351,11,2.0
0351,12,0.0
0351,13,0.0
0351,34,0.0
0352,1,0.0
0352,2,0.0
0352,3,0.0
0352,4,0.0
0352,5,0.0
0352,6,0.0
0352,7,1.0
0352,8,1.0
0352,9,1.0
0352,10,2.0
0352,11,2.0
0352,12,0.0
0352,13,0.0
0352,34,0.0
0353,1,0.0
0353,2,0.0
0353,3,0.0
0353,4,0.0
0353,5,0.0
0353,6,2.0
0353,7,3.0
0353,8,4.0
0353,9,6.0
0353,10,4.0
0353,11,2.0
0353,12,1.0
0353,13,0.0
0353,34,0.0
0354,1,0.0
0354,2,0.0
0354,3,0.0
0354,4,0.0
0354,5,0.0
0354,6,1.0
0354,7,2.0
0354,8,3.0
0354,9,4.0
0354,10,4.0
0354,11,2.0
0354,12,1.0
0354,13,0.0
0354,34,0.0
0355,1,0.0
0355,2,0.0
0355,3,0.0
0355,4,0.0
0355,5,0.0
0355,6,0.0
0355,7,0.0
0355,8,5.0
0355,9,7.0
0355,10,5.0
0355,11,4.0
0355,12,2.0
0355,13,0.0
0355,34,0.0
0356,1,0.0
0356,2,0.0
0356,3,0.0
0356,4,0.0
0356,5,0.0
0356,6,0.0
0356,7,0.0
0356,8,5.0
0356,9,5.0
0356,10,4.0
0356,11,3.0
0356,12,1.0
0356,13,0.0
0356,34,0.0
0357,1,0.0
0357,2,0.0
0357,3,0.0
0357,4,0.0
0357,5,0.0
0357,6,0.0
0357,7,3.0
0357,8,10.0
0357,9,14.0
0357,10,10.0
0357,11,8.0
0357,12,5.0
0357,13,0.0
0357,34,0.0
0358,1,0.0
0358,2,0.0
0358,3,0.0
0358,4,0.0
0358,5,0.0
0358,6,0.0
0358,7,2.0
0358,8,5.0
0358,9,7.0
0358,10,5.0
0358,11,5.0
0358,12,4.0
0358,13,0.0
0358,34,0.0
0359,1,0.0
0359,2,0.0
0359,3,0.0
0359,4,0.0
0359,5,0.0
0359,6,0.0
0359,7,4.0
0359,8,10.0
0359,9,14.0
0359,10,12.0
0359,11,8.0
0359,12,7.0
0359,13,0.0
0359,34,0.0
0360,1,0.0
0360,2,0.0
0360,3,0.0
0360,4,0.0
0360,5,0.0
0360,6,0.0
0360,7,1.0
0360,8,0.0
0360,9,2.0
0360,10,2.0
0360,11,1.0
0360,12,2.0
0360,13,0.0
0360,34,0.0
0361,1,0.0
0361,2,0.0
0361,3,0.0
0361,4,0.0
0361,5,0.0
0361,6,0.0
0361,7,2.0
0361,8,0.0
0361,9,0.0
0361,10,0.0
0361,11,2.0
0361,12,0.0
0361,13,0.0
0361,34,0.0
0362,1,0.0
0362,2,0.0
0362,3,0.0
0362,4,0.0
0362,5,0.0
0362,6,0.0
0362,7,0.0
0362,8,2.0
0362,9,3.0
0362,10,3.0
0362,11,3.0
0362,12,2.0
0362,13,0.0
0362,34,0.0
0363,1,0.0
0363,2,0.0
0363,3,0.0
0363,4,0.0
0363,5,0.0
0363,6,0.0
0363,7,0.0
0363,8,8.0
0363,9,12.0
0363,10,12.0
0363,11,12.0
0363,12,2.0
0363,13,0.0
0363,34,0.0
0364,1,0.0
0364,2,0.0
0364,3,0.0
0364,4,0.0
0364,5,0.0
0364,6,0.0
0364,7,0.0
0364,8,1.0
0364,9,3.0
0364,10,3.0
0364,11,3.0
0364,12,2.0
0364,13,0.0
0364,34,0.0
0365,1,0.0
0365,2,0.0
0365,3,0.0
0365,4,0.0
0365,5,0.0
0365,6,0.0
0365,7,0.0
0365,8,2.0
0365,9,2.0
0365,10,3.0
0365,11,3.0
0365,12,2.0
0365,13,0.0
0365,34,0.0
0366,1,0.0
0366,2,0.0
0366,3,0.0
0366,4,0.0
0366,5,0.0
0366,6,0.0
0366,7,7.0
0366,8,7.0
0366,9,7.0
0366,10,7.0
0366,11,0.0
0366,12,0.0
0366,13,0.0
0366,34,0.0
0367,1,0.0
0367,2,0.0
0367,3,0.0
0367,4,0.0
0367,5,0.0
0367,6,8.0
0367,7,14.0
0367,8,14.0
0367,9,11.0
0367,10,0.0
0367,11,0.0
0367,12,0.0
0367,13,0.0
0367,34,0.0
0368,1,0.0
0368,2,0.0
0368,3,0.0
0368,4,0.0
0368,5,0.0
0368,6,0.0
0368,7,1.0
0368,8,2.0
0368,9,1.0
0368,10,3.0
0368,11,1.0
0368,12,0.0
0368,13,0.0
0368,34,0.0
0369,1,0.0
0369,2,0.0
0369,3,0.0
0369,4,0.0
0369,5,0.0
0369,6,0.0
0369,7,0.0
0369,8,7.0
0369,9,0.0
0369,10,0.0
0369,11,0.0
0369,12,0.0
0369,13,0.0
0369,34,0.0
0370,1,0.0
0370,2,0.0
0370,3,0.0
0370,4,0.0
0370,5,0.0
0370,6,0.0
0370,7,0.0
0370,8,0.0
0370,9,7.0
0370,10,0.0
0370,11,0.0
0370,12,0.0
0370,13,0.0
0370,34,0.0
0371,1,0.0
0371,2,0.0
0371,3,0.0
0371,4,0.0
0371,5,0.0
0371,6,0.0
0371,7,0.0
0371,8,0.0
0371,9,0.0
0371,10,7.0
0371,11,0.0
0371,12,0.0
0371,13,0.0
0371,34,0.0
0372,1,0.0
0372,2,0.0
0372,3,0.0
0372,4,0.0
0372,5,0.0
0372,6,0.0
0372,7,7.0
0372,8,0.0
0372,9,0.0
0372,10,0.0
0372,11,0.0
0372,12,0.0
0372,13,0.0
0372,34,0.0
0373,1,0.0
0373,2,0.0
0373,3,0.0
0373,4,0.0
0373,5,0.0
0373,6,8.0
0373,7,0.0
0373,8,0.0
0373,9,0.0
0373,10,0.0
0373,11,0.0
0373,12,0.0
0373,13,0.0
0373,34,0.0
0374,1,0.0
0374,2,0.0
0374,3,0.0
0374,4,0.0
0374,5,0.0
0374,6,0.0
0374,7,0.0
0374,8,0.0
0374,9,8.0
0374,10,0.0
0374,11,0.0
0374,12,0.0
0374,13,0.0
0374,34,0.0
0375,1,0.0
0375,2,0.0
0375,3,0.0
0375,4,0.0
0375,5,0.0
0375,6,0.0
0375,7,0.0
0375,8,7.0
0375,9,3.0
0375,10,0.0
0375,11,0.0
0375,12,0.0
0375,13,0.0
0375,34,0.0
0376,1,0.0
0376,2,0.0
0376,3,0.0
0376,4,0.0
0376,5,0.0
0376,6,0.0
0376,7,2.0
0376,8,4.0
0376,9,8.0
0376,10,1.0
0376,11,6.0
0376,12,2.0
0376,13,0.0
0376,34,0.0
0377,1,0.0
0377,2,0.0
0377,3,0.0
0377,4,0.0
0377,5,0.0
0377,6,0.0
0377,7,2.0
0377,8,4.0
0377,9,8.0
0377,10,10.0
0377,11,6.0
0377,12,2.0
0377,13,0.0
0377,34,0.0
0378,1,0.0
0378,2,0.0
0378,3,0.0
0378,4,0.0
0378,5,0.0
0378,6,0.0
0378,7,1.0
0378,8,4.0
0378,9,4.0
0378,10,4.0
0378,11,2.0
0378,12,1.0
0378,13,0.0
0378,34,0.0
0379,1,0.0
0379,2,0.0
0379,3,0.0
0379,4,0.0
0379,5,0.0
0379,6,2.0
0379,7,2.0
0379,8,2.0
0379,9,2.0
0379,10,2.0
0379,11,2.0
0379,12,0.0
0379,13,0.0
0379,34,0.0
0380,1,0.0
0380,2,0.0
0380,3,0.0
0380,4,0.0
0380,5,0.0
0380,6,1.0
0380,7,2.0
0380,8,2.0
0380,9,2.0
0380,10,2.0
0380,11,2.0
0380,12,1.0
0380,13,0.0
0380,34,0.0
0381,1,0.0
0381,2,0.0
0381,3,0.0
0381,4,0.0
0381,5,0.0
0381,6,0.0
0381,7,2.0
0381,8,2.0
0381,9,2.0
0381,10,2.0
0381,11,2.0
0381,12,2.0
0381,13,0.0
0381,34,0.0
0382,1,0.0
0382,2,0.0
0382,3,0.0
0382,4,0.0
0382,5,0.0
0382,6,0.0
0382,7,0.0
0382,8,2.0
0382,9,2.0
0382,10,2.0
0382,11,0.0
0382,12,0.0
0382,13,0.0
0382,34,0.0
0383,1,0.0
0383,2,0.0
0383,3,0.0
0383,4,0.0
0383,5,0.0
0383,6,0.0
0383,7,12.0
0383,8,0.0
0383,9,0.0
0383,10,0.0
0383,11,0.0
0383,12,0.0
0383,13,0.0
0383,34,0.0
0384,1,0.0
0384,2,0.0
0384,3,0.0
0384,4,0.0
0384,5,0.0
0384,6,0.0
0384,7,0.0
0384,8,8.0
0384,9,0.0
0384,10,0.0
0384,11,0.0
0384,12,0.0
0384,13,0.0
0384,34,0.0
0385,1,0.0
0385,2,0.0
0385,3,0.0
0385,4,0.0
0385,5,0.0
0385,6,0.0
0385,7,0.0
0385,8,0.0
0385,9,9.0
0385,10,0.0
0385,11,0.0
0385,12,0.0
0385,13,0.0
0385,34,0.0
0386,1,0.0
0386,2,0.0
0386,3,0.0
0386,4,0.0
0386,5,0.0
0386,6,0.0
0386,7,0.0
0386,8,1.0
0386,9,3.0
0386,10,2.0
0386,11,2.0
0386,12,0.0
0386,13,0.0
0386,34,0.0
0387,1,0.0
0387,2,0.0
0387,3,0.0
0387,4,0.0
0387,5,0.0
0387,6,0.0
0387,7,3.0
0387,8,6.0
0387,9,8.0
0387,10,8.0
0387,11,5.0
0387,12,3.0
0387,13,0.0
0387,34,0.0
0388,1,0.0
0388,2,0.0
0388,3,0.0
0388,4,0.0
0388,5,0.0
0388,6,0.0
0388,7,1.0
0388,8,4.0
0388,9,3.0
0388,10,3.0
0388,11,2.0
0388,12,1.0
0388,13,0.0
0388,34,0.0
0389,1,0.0
0389,2,0.0
0389,3,0.0
0389,4,0.0
0389,5,0.0
0389,6,0.0
0389,7,2.0
0389,8,3.0
0389,9,5.0
0389,10,5.0
0389,11,5.0
0389,12,0.0
0389,13,0.0
0389,34,0.0
0390,1,0.0
0390,2,0.0
0390,3,0.0
0390,4,0.0
0390,5,0.0
0390,6,0.0
0390,7,0.0
0390,8,0.0
0390,9,2.0
0390,10,1.0
0390,11,2.0
0390,12,0.0
0390,13,0.0
0390,34,0.0
0391,1,0.0
0391,2,0.0
0391,3,0.0
0391,4,0.0
0391,5,0.0
0391,6,0.0
0391,7,2.0
0391,8,0.0
0391,9,2.0
0391,10,2.0
0391,11,2.0
0391,12,0.0
0391,13,0.0
0391,34,0.0
0392,1,0.0
0392,2,0.0
0392,3,0.0
0392,4,0.0
0392,5,0.0
0392,6,0.0
0392,7,3.0
0392,8,7.0
0392,9,8.0
0392,10,8.0
0392,11,5.0
0392,12,3.0
0392,13,0.0
0392,34,0.0
0393,1,0.0
0393,2,0.0
0393,3,0.0
0393,4,0.0
0393,5,0.0
0393,6,0.0
0393,7,4.0
0393,8,8.0
0393,9,12.0
0393,10,8.0
0393,11,4.0
0393,12,2.0
0393,13,0.0
0393,34,0.0
0394,1,0.0
0394,2,0.0
0394,3,0.0
0394,4,0.0
0394,5,0.0
0394,6,0.0
0394,7,1.0
0394,8,8.0
0394,9,12.0
0394,10,9.0
0394,11,6.0
0394,12,4.0
0394,13,0.0
0394,34,0.0
0395,1,0.0
0395,2,0.0
0395,3,0.0
0395,4,0.0
0395,5,0.0
0395,6,0.0
0395,7,5.0
0395,8,12.0
0395,9,13.0
0395,10,10.0
0395,11,9.0
0395,12,5.0
0395,13,0.0
0395,34,0.0
0396,1,0.0
0396,2,0.0
0396,3,0.0
0396,4,0.0
0396,5,0.0
0396,6,0.0
0396,7,0.0
0396,8,2.0
0396,9,2.0
0396,10,3.0
0396,11,3.0
0396,12,0.0
0396,13,0.0
0396,34,0.0
0397,1,0.0
0397,2,0.0
0397,3,0.0
0397,4,0.0
0397,5,0.0
0397,6,0.0
0397,7,0.0
0397,8,2.0
0397,9,2.0
0397,10,4.0
0397,11,4.0
0397,12,0.0
0397,13,0.0
0397,34,0.0
0398,1,0.0
0398,2,0.0
0398,3,0.0
0398,4,0.0
0398,5,0.0
0398,6,0.0
0398,7,0.0
0398,8,2.0
0398,9,3.0
0398,10,4.0
0398,11,3.0
0398,12,0.0
0398,13,0.0
0398,34,0.0
0399,1,0.0
0399,2,0.0
0399,3,0.0
0399,4,0.0
0399,5,0.0
0399,6,0.0
0399,7,1.0
0399,8,2.0
0399,9,2.0
0399,10,3.0
0399,11,1.0
0399,12,1.0
0399,13,0.0
0399,34,0.0
0400,1,0.0
0400,2,0.0
0400,3,0.0
0400,4,0.0
0400,5,0.0
0400,6,0.0
0400,7,1.0
0400,8,2.0
0400,9,2.0
0400,10,2.0
0400,11,2.0
0400,12,0.0
0400,13,0.0
0400,34,0.0
0401,1,0.0
0401,2,0.0
0401,3,0.0
0401,4,0.0
0401,5,0.0
0401,6,1.0
0401,7,3.0
0401,8,2.0
0401,9,2.0
0401,10,0.0
0401,11,0.0
0401,12,0.0
0401,13,0.0
0401,34,0.0
0402,1,0.0
0402,2,0.0
0402,3,0.0
0402,4,0.0
0402,5,0.0
0402,6,0.0
0402,7,3.0
0402,8,3.0
0402,9,2.0
0402,10,0.0
0402,11,0.0
0402,12,0.0
0402,13,0.0
0402,34,0.0
0403,1,0.0
0403,2,0.0
0403,3,0.0
0403,4,0.0
0403,5,0.0
0403,6,0.0
0403,7,3.0
0403,8,2.0
0403,9,2.0
0403,10,1.0
0403,11,0.0
0403,12,0.0
0403,13,0.0
0403,34,0.0
0404,1,0.0
0404,2,0.0
0404,3,0.0
0404,4,0.0
0404,5,0.0
0404,6,2.0
0404,7,3.0
0404,8,4.0
0404,9,5.0
0404,10,2.0
0404,11,2.0
0404,12,2.0
0404,13,0.0
0404,34,0.0
0405,1,0.0
0405,2,0.0
0405,3,0.0
0405,4,0.0
0405,5,0.0
0405,6,0.0
0405,7,2.0
0405,8,7.0
0405,9,10.0
0405,10,5.0
0405,11,3.0
0405,12,3.0
0405,13,0.0
0405,34,0.0
0406,1,0.0
0406,2,0.0
0406,3,0.0
0406,4,0.0
0406,5,0.0
0406,6,0.0
0406,7,4.0
0406,8,10.0
0406,9,15.0
0406,10,10.0
0406,11,5.0
0406,12,4.0
0406,13,0.0
0406,34,0.0
0407,1,0.0
0407,2,0.0
0407,3,0.0
0407,4,0.0
0407,5,0.0
0407,6,0.0
0407,7,5.0
0407,8,10.0
0407,9,15.0
0407,10,10.0
0407,11,5.0
0407,12,5.0
0407,13,0.0
0407,34,0.0
0408,1,0.0
0408,2,0.0
0408,3,0.0
0408,4,0.0
0408,5,0.0
0408,6,0.0
0408,7,15.0
0408,8,30.0
0408,9,45.0
0408,10,30.0
0408,11,15.0
0408,12,8.0
0408,13,0.0
0408,34,0.0
0409,1,0.0
0409,2,0.0
0409,3,0.0
0409,4,0.0
0409,5,0.0
0409,6,0.0
0409,7,1.0
0409,8,2.0
0409,9,2.0
0409,10,2.0
0409,11,0.0
0409,12,0.0
0409,13,0.0
0409,34,0.0
0410,1,0.0
0410,2,0.0
0410,3,0.0
0410,4,0.0
0410,5,0.0
0410,6,0.0
0410,7,1.0
0410,8,1.0
0410,9,1.0
0410,10,2.0
0410,11,0.0
0410,12,0.0
0410,13,0.0
0410,34,0.0
0411,1,0.0
0411,2,0.0
0411,3,0.0
0411,4,0.0
0411,5,0.0
0411,6,0.0
0411,7,1.0
0411,8,1.0
0411,9,2.0
0411,10,2.0
0411,11,0.0
0411,12,0.0
0411,13,0.0
0411,34,0.0
0412,1,0.0
0412,2,0.0
0412,3,0.0
0412,4,0.0
0412,5,0.0
0412,6,0.0
0412,7,0.0
0412,8,0.0
0412,9,10.0
0412,10,11.0
0412,11,5.0
0412,12,2.0
0412,13,0.0
0412,34,0.0
0413,1,0.0
0413,2,0.0
0413,3,0.0
0413,4,0.0
0413,5,0.0
0413,6,6.0
0413,7,10.0
0413,8,10.0
0413,9,7.0
0413,10,0.0
0413,11,0.0
0413,12,0.0
0413,13,0.0
0413,34,0.0
0414,1,0.0
0414,2,0.0
0414,3,0.0
0414,4,0.0
0414,5,0.0
0414,6,0.0
0414,7,1.0
0414,8,3.0
0414,9,3.0
0414,10,3.0
0414,11,2.0
0414,12,2.0
0414,13,0.0
0414,34,0.0
0415,1,0.0
0415,2,0.0
0415,3,0.0
0415,4,0.0
0415,5,0.0
0415,6,0.0
0415,7,2.0
0415,8,4.0
0415,9,8.0
0415,10,8.0
0415,11,5.0
0415,12,3.0
0415,13,0.0
0415,34,0.0
0416,1,0.0
0416,2,0.0
0416,3,0.0
0416,4,0.0
0416,5,0.0
0416,6,0.0
0416,7,1.0
0416,8,3.0
0416,9,8.0
0416,10,9.0
0416,11,6.0
0416,12,3.0
0416,13,0.0
0416,34,0.0
0417,1,0.0
0417,2,0.0
0417,3,0.0
0417,4,0.0
0417,5,0.0
0417,6,0.0
0417,7,1.0
0417,8,7.0
0417,9,15.0
0417,10,13.0
0417,11,10.0
0417,12,4.0
0417,13,0.0
0417,34,0.0
0418,1,0.0
0418,2,0.0
0418,3,0.0
0418,4,0.0
0418,5,0.0
0418,6,0.0
0418,7,3.0
0418,8,6.0
0418,9,8.0
0418,10,8.0
0418,11,5.0
