FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
6294,6348,120.071,TAHSİLAT MAGAZA,US,,542.0,,,,,,,,,,,,,,,,,,,,,,,,
6295,6349,120.061,Mağaza Tahsilatı,US,,382.0,,,,,,,,,,,,,,,,,,,,,,,,
6296,6350,120.060,Mağaza Tahsilatı,US,,158.0,,,,,,,,,,,,,,,,,,,,,,,,
6297,6351,120.047,Korona Pay ile alındı.,US,,1180.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6298,6352,120.025,Korona Pay ile alındı.,US,,3384.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6299,6353,120.028,TAHSİLAT MAGAZA,US,,1496.0,,,,,,,,,,,,,,,,,,,,,,,,
6299,6354,120.028,İNDİRİM,US,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6300,6355,120.072,Korona Pay ile ödeme alındı.,US,,2440.0,,,,,,,,,,,,,,,,Onur TAÇ - İst Pay,,,,,,,,
6301,6356,120.030,UPT ile ödeme alındı. ,US,,1000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6302,6357,120.040,ALSU Trans Kargodan Alındı.,US,,3000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6303,6358,120.041,Mağaza Tahsilatı,US,,1070.0,,,,,,,,,,,,,,,,,,,,,,,,
6304,6359,120.019,Korona Pay ile ödeme alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6305,6360,120.054,Korona Pay ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6306,6361,120.063,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6307,6362,120.075,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6308,6363,120.076,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6309,6364,120.018,TAHSİLAT MAGAZA 2000 EURO,US,,2085.0,,,,,,,,,,,,,,,,,,,,,,,,
6310,6365,120.013,Azon Kargodan ödeme alındı.,US,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,
6311,6366,120.073,V.E.P Cargodan ödeme alındı.,US,,854.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6312,6367,120.078,Mağaza Tahsilatı,US,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,
6313,6368,120.079,Alberto Trend ödeme alındı.,US,,390.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6314,6369,120.082,TAHSİLAT MAGAZA,US,,1678.0,,,,,,,,,,,,,,,,,,,,,,,,
6315,6370,120.083,TAHSİLAT MAGAZA,US,,815.0,,,,,,,,,,,,,,,,,,,,,,,,
6315,6371,120.083,İNDİRİM,US,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6316,6372,120.084,TAHSİLAT MAGAZA,US,,1620.0,,,,,,,,,,,,,,,,,,,,,,,,
6317,6373,120.038,TAHSİLAT MAGAZA,US,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,
6318,6374,120.084,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6319,6375,320.067,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6320,6376,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6321,6377,320.041,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6322,6378,320.041,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6323,6379,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6324,6380,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6325,6381,320.049,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6326,6382,320.065,Mağaza Tahsilatı,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
6327,6383,320.012,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6328,6384,320.053,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6329,6385,320.005,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6330,6386,320.070,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6331,6387,320.030,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6332,6388,320.062,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6333,6389,320.052,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6334,6390,320.078,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6335,6391,320.001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6336,6392,320.056,Mağaza Tahsilatı,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
6337,6393,320.039,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6338,6394,320.024,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6339,6395,320.023,Kalan Bakiye Borç,US,,1953.0,,,,,,,,,,,,,,,,,,,,,,,,
6340,6396,320.046,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6341,6397,320.054,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6342,6398,320.004,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6343,6399,320.086,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6344,6400,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6345,6401,320.006,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6346,6402,320.047,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6347,6403,320.066,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6348,6404,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6349,6405,320.003,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6350,6406,YS- 002,700$ KARŞILIĞI,TL,,24900.0,,,,,,,,,,,,,,,,,,,,,,,,
6352,6408,320.081,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
6353,6409,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6354,6410,320.052,Mağaza Tahsilatı,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
6355,6411,320.012,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6356,6412,320.035,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6357,6413,320.057,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6358,6414,YS- 002,500$ karşılığı ,TL,,17860.0,,,,,,,,,,,,,,,,"Kur:35,72",,,,,,,,
6359,6415,320.005,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6360,6416,320.026,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6361,6417,320.056,Mağaza Tahsilatı,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
6362,6418,320.042,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6363,6419,320.020,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6364,6420,120.086,TAHSİLAT MAGAZA,US,,464.0,,,,,,,,,,,,,,,,,,,,,,,,
6365,6421,120.087,TAHSİLAT MAGAZA,US,,388.0,,,,,,,,,,,,,,,,,,,,,,,,
6367,6423,320.090,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6368,6424,320.071,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6369,6425,320.050,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6370,6426,320.066,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6371,6427,320.069,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6372,6428,320.054,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6374,6430,320.072,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6375,6431,320.053,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6376,6432,320.065,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6377,6433,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6378,6434,320.078,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6379,6435,320.064,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6380,6436,320.018,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6381,6437,320.070,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6382,6438,320.024,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6383,6439,320.030,Mağaza Tahsilatı,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
6384,6440,320.047,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6385,6441,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6386,6442,320.039,Mağaza Tahsilatı,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
6387,6443,320.074,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6388,6444,320.001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6389,6445,320.063,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6390,6446,320.004,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6391,6447,320.084,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6392,6448,320.049,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6393,6449,320.023,Mağaza Tahsilatı,US,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,
6394,6450,320.041,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6395,6451,320.003,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6397,6453,320.027,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6398,6454,320.076,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6399,6455,320.013,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6400,6456,320.073,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6401,6457,320.062,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6402,6458,TKNK- 002,Tedarikçi Programı YILLIK,US,,1800.0,,,,,,,,,,,,,,,,,,,,,,,,
6403,6459,TKNK- 002,Server cihazı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6404,6460,TKNK- 002,Bulut Yedekleme Programı YILLIK,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6405,6461,TKNK- 002,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6406,6462,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6407,6463,120.077,TAHSİLAT MAGAZA,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6408,6464,120.018,Resmi Dolar Hesabından,US,,7195.0,,,,,,,,,,,,,,,,,,,,,,,,
6409,6465,120.045,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6409,6466,120.045,İNDİRİM ,US,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
6410,6467,120.053,Alsu Trans Cargodan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6411,6468,120.088,ANTİK INESS kargodan ödeme alındı.,US,,232.0,,,,,,,,,,,,,,,,,,,,,,,,
6412,6469,YS-001,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6413,6470,120.046,TAHSİLAT MAGAZA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6414,6471,120.037,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6415,6472,120.090,700€ Mağaza Tahsilatı,US,,727.0,,,,,,,,,,,,,,,,,,,,,,,,
6416,6473,120.069,Medya Otelden Alındı. ELİSA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6417,6474,120.007,Medya otelden alındı. Elisa,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6418,6475,120.016,Aklar Dövizden alındı.,US,,8912.0,,,,,,,,,,,,,,,,,,,,,,,,
6419,6476,120.055,Laleli Galeria 216 dan alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6420,6477,120.013,Azon Kargodan alındı.,US,,1500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6421,6478,120.091,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6422,6479,120.093,TAHSİLAT MAGAZA,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6423,6480,120.026,TAHSİLAT MAGAZA 750,US,,750.0,,,,,,,,,,,,,,,,,,,,,,,,
6424,6481,120.094,TAHSİLAT MAGAZA,US,,790.0,,,,,,,,,,,,,,,,,,,,,,,,
6425,6482,120.015,Kolombano Kargo alındı.,US,,1504.0,,,,,,,,,,,,,,,,Onur Taç,,,,,,,,
6426,6483,120.040,Alsu Trans Kargodan alındı.,US,,3500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6427,6484,120.089,Quasso Tekstilden alındı.,US,,500.0,,,,,,,,,,,,,,,,Onur TAÇ.,,,,,,,,
6428,6485,120.039,Grand Medya Otel Elisa dan alındı.,US,,1500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6429,6486,120.020,-1$ genel iskonto karşılığı,US,,84.0,,,,,,,,,,,,,,,,,,,,,,,,
6430,6487,YS-001,150.000 TL Çek (18.01.2025),US,,4462.0,,,,,,,,,,,,,,,,"Kur: 33,61",,,,,,,,
6431,6488,YS-001,Mağaza Tahsilatı,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6432,6489,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6433,6490,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6434,6491,YS-001,1500€ karşılığı 1550$ ödeme yapıldı.,US,,1550.0,,,,,,,,,,,,,,,,,,,,,,,,
6435,6492,YS-001,180.000 TL Çek (13.01.2025),US,,5073.0,,,,,,,,,,,,,,,,"Kur: 35,48 (Rafaello)",,,,,,,,
6436,6493,120.097,TAHSİLATN MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6437,6494,320.087,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6438,6495,120.003,30.000$ mal satışı,US,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
6439,6496,120.099,TAHSİLAT MAGAZA,US,,224.0,,,,,,,,,,,,,,,,,,,,,,,,
6440,6497,120.072,Korona Pay ile ödeme alındı.,US,,1904.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6442,6499,320.087,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6443,6500,320.006,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6444,6501,320.072,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6445,6502,320.005,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6446,6503,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6447,6504,320.086,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6448,6505,320.027,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6449,6506,320.071,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6450,6507,320.065,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6451,6508,320.050,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6452,6509,320.101,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6453,6510,320.067,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6454,6511,320.035,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6455,6512,320.014,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6456,6513,320.066,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6457,6514,320.052,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
6458,6515,320.064,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6459,6516,320.018,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6460,6517,320.057,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6461,6518,320.024,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6462,6519,320.030,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6463,6520,320.026,Mağaza Tahsilatı ,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6464,6521,320.081,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6465,6522,320.045,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6466,6523,320.051,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6467,6524,320.036,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6468,6525,YS- 002,"500$ karşılığı 17,915 TL ödeme yapıldı.",TL,,17915.0,,,,,,,,,,,,,,,,,,,,,,,,
6469,6526,320.041,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6470,6527,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6471,6528,320.039,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6472,6529,320.042,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6473,6530,320.074,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6474,6531,320.028,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6475,6532,320.001,Mağaza Tahsilatı,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
6476,6533,320.062,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6477,6534,320.076,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6478,6535,320.020,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
6479,6536,320.004,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6480,6537,320.049,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6481,6538,320.043,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6482,6539,320.023,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6483,6540,TKNK- 002,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6484,6541,YS-001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6486,6542,120.027,63 Kargodan alındı.,US,,920.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6487,6543,120.013,Korona Pay ile alındı.,US,,1144.0,,,,,,,,,,,,,,,,,,,,,,,,
6488,6544,120.061,Grand Medya Otel  Elizadan Alındı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6489,6545,120.053,Alsu Trans Kargodan alınıdı.,US,,590.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6490,6546,120.161,Quasso Tekstilden alındı.,US,,1000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6491,6547,120.105,TAHSİLAT MAGAZA,US,,1480.0,,,,,,,,,,,,,,,,,,,,,,,,
6492,6548,120.104,VD Cargodan alındı.,US,,648.0,,,,,,,,,,,,,,,,Onur TAÇ.,,,,,,,,
6493,6549,120.103,Korona Pay ile alındı.,US,,520.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6494,6550,120.029,Western Union ile alındı.,US,,1260.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6495,6551,120.031,Zeri Gold dan alındı.,US,,3000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6496,6552,120.088,Antik Kargodan alındı.,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6497,6553,120.085,Samara Kargodan alındı.,US,,208.0,,,,,,,,,,,,,,,,Onur TAÇ.,,,,,,,,
6498,6554,120.013,Korono Pay ile alındı.,US,,1000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6500,6557,120.113,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6501,6558,120.114,TAHSİLAT MAGAZA,US,,360.0,,,,,,,,,,,,,,,,,,,,,,,,
6504,6562,G007,,US,,20800.0,,,,,,,,,0.00,,,,,,,,,,,,,,,
6505,6563,120.071,Antik İness Kargodan alındı. ,US,,700.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6506,6564,120.115,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6507,6565,320.020,021 Belge No. 1683K - 8*10=80$ İSKONTO,US,,80.0,,,,,,,,,,,,,,,,,,,,,,,,
6508,6566,120.162,TAHSİLAT MAGAZA,US,,320.0,,,,,,,,,,,,,,,,,,,,,,,,
6508,6567,120.162,İNDİRİM,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6509,6568,120.160,1920 Euro karşılığı ,US,,1996.0,,,,,,,,,,,,,,,,Mağaza Tahsilatı,,,,,,,,
6510,6569,120.042,Dila Kuyumculuktan alındı.,US,,1116.0,,,,,,,,,,,,,,,,,,,,,,,,
6511,6570,120.013,Korona Pay ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6512,6571,120.119,TAHSİLAT MAGAZA,US,,1680.0,,,,,,,,,,,,,,,,,,,,,,,,
6512,6572,120.119,İNDİRİM ,US,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
6513,6573,120.120,TAHSİLAT MAGAZA,US,,600.0,,,,,,,,,,,,,,,,,,,,,,,,
6514,6574,120.081,72.400 TL karşılığı  Resmi Hesaba,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6515,6575,120.001,22.595$ ödeme alındı.,US,,22595.0,,,,,,,,,,,,,,,,,,,,,,,,
6516,6576,120.001,Bottinety Kutuları karşılığı ödeme,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6517,6577,120.029,MMagli den alındı.,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6518,6578,120.014,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6519,6579,120.098,UPT ile ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6520,6580,120.072,Korona Pay ile alındı.,US,,928.0,,,,,,,,,,,,,,,,,,,,,,,,
6521,6581,120.078,Mağaza Tahsilatı,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
6522,6582,120.002,UKI Etiket masrafı 6000 TL karşılığı,US,,168.0,,,,,,,,,,,,,,,,"Kur: 35,66",,,,,,,,
6523,6583,320.030,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6524,6584,320.052,Mağaza Tahsilatı,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
6525,6585,320.014,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6526,6586,320.061,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
6527,6587,320.004,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6528,6588,320.039,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6529,6589,320.001,"4800€ karşılığı kur: 1,04",US,,4992.0,,,,,,,,,,,,,,,,Mağaza Tahsilatı,,,,,,,,
6530,6590,320.020,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6531,6591,320.067,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6532,6592,320.063,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6533,6593,320.066,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6534,6594,320.085,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6535,6595,320.045,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6536,6596,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6537,6597,320.068,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6538,6598,320.076,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6539,6599,320.023,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6540,6600,320.005,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
