FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NeedCalculate,NoBaBs
6357,K,NO,2025-01-31 11:46:33,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:46:53.230000,ONUR,2025-01-31 11:46:53.230000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.387000,,,0,
6358,K,NO,2025-01-31 11:47:37,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:48:28.153000,ONUR,2025-01-31 11:48:28.153000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.393000,,,0,
6359,K,NO,2025-01-31 11:56:23,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:56:39.770000,ONUR,2025-01-31 11:56:39.770000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.403000,,,0,
6360,K,NO,2025-01-31 11:57:06,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:57:22.070000,ONUR,2025-01-31 11:57:22.070000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.423000,,,0,
6361,K,NO,2025-01-31 11:57:48,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:57:59.220000,ONUR,2025-01-31 11:57:59.220000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.440000,,,0,
6362,K,NO,2025-01-31 11:58:15,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:58:24.860000,ONUR,2025-01-31 11:58:24.860000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.447000,,,0,
6363,K,NO,2025-01-31 11:58:49,,K001,L001,,,,,0,,,ONUR,2025-01-31 11:59:00.927000,ONUR,2025-01-31 11:59:00.927000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.453000,,,0,
6364,K,NT,2025-01-31 12:08:00,,K001,L001,,,,,0,,,ONUR,2025-01-31 12:08:10.977000,ONUR,2025-01-31 12:08:10.980000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.460000,,,0,
6365,K,NT,2025-01-31 12:18:59,,K001,L001,,,,,0,,,ONUR,2025-01-31 12:19:12.317000,ONUR,2025-01-31 12:19:12.317000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.467000,,,0,
6367,K,NO,2025-01-31 12:37:57,,K001,L001,,,,,0,,,ONUR,2025-01-31 12:38:33.980000,ONUR,2025-01-31 12:38:33.980000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.470000,,,0,
6368,K,NO,2025-01-31 13:00:32,,K001,L001,,,,,0,,,ONUR,2025-01-31 13:00:54.310000,ONUR,2025-01-31 13:00:54.310000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.477000,,,0,
6369,K,NO,2025-01-31 13:01:29,,K001,L001,,,,,0,,,ONUR,2025-01-31 13:01:56.160000,ONUR,2025-01-31 13:01:56.160000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.483000,,,0,
6370,K,NO,2025-01-31 13:02:50,,K001,L001,,,,,0,,,ONUR,2025-01-31 13:03:19.233000,ONUR,2025-01-31 13:03:19.233000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.490000,,,0,
6371,K,NO,2025-01-31 13:03:46,,K001,L001,,,,,0,,,ONUR,2025-01-31 13:04:14.383000,ONUR,2025-01-31 13:04:14.383000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.493000,,,0,
6372,K,NO,2025-01-31 13:07:34,,K001,L001,,,,,0,,,ONUR,2025-01-31 13:08:56.050000,ONUR,2025-01-31 13:08:56.050000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.500000,,,0,
6374,K,NO,2025-01-31 14:37:34,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:37:59.450000,ONUR,2025-01-31 14:37:59.450000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.507000,,,0,
6375,K,NO,2025-01-31 14:39:00,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:39:15.567000,ONUR,2025-01-31 14:39:15.567000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.513000,,,0,
6376,K,NO,2025-01-31 14:39:49,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:40:05.467000,ONUR,2025-01-31 14:40:05.467000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.520000,,,0,
6377,K,NO,2025-01-31 14:41:18,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:42:48.703000,ONUR,2025-01-31 14:42:48.703000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.527000,,,0,
6378,K,NO,2025-01-31 14:44:05,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:44:25.227000,ONUR,2025-01-31 14:44:25.227000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.530000,,,0,
6379,K,NO,2025-01-31 14:46:34,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:47:15.823000,ONUR,2025-01-31 14:47:15.823000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.537000,,,0,
6380,K,NO,2025-01-31 14:47:47,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:48:01.503000,ONUR,2025-01-31 14:48:01.503000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.543000,,,0,
6381,K,NO,2025-01-31 14:48:31,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:48:47.893000,ONUR,2025-01-31 14:48:47.893000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.550000,,,0,
6382,K,NO,2025-01-31 14:49:41,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:49:59.633000,ONUR,2025-01-31 14:49:59.633000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.557000,,,0,
6383,K,NO,2025-01-31 14:51:04,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:51:32.563000,ONUR,2025-01-31 14:51:32.563000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.563000,,,0,
6384,K,NO,2025-01-31 14:52:08,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:52:31.013000,ONUR,2025-01-31 14:52:31.013000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.573000,,,0,
6385,K,NO,2025-01-31 14:53:13,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:53:37.017000,ONUR,2025-01-31 14:53:37.017000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.587000,,,0,
6386,K,NO,2025-01-31 14:54:20,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:54:35.993000,ONUR,2025-01-31 14:54:35.993000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.593000,,,0,
6387,K,NO,2025-01-31 14:55:07,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:55:28.093000,ONUR,2025-01-31 14:55:28.093000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.603000,,,0,
6388,K,NO,2025-01-31 14:55:48,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:56:11.720000,ONUR,2025-01-31 14:56:11.720000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.610000,,,0,
6389,K,NO,2025-01-31 14:56:41,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:56:54.943000,ONUR,2025-01-31 14:56:54.943000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.620000,,,0,
6390,K,NO,2025-01-31 14:57:15,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:57:37.200000,ONUR,2025-01-31 14:57:37.200000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.647000,,,0,
6391,K,NO,2025-01-31 14:57:56,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:58:15.563000,ONUR,2025-01-31 14:58:15.563000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.653000,,,0,
6392,K,NO,2025-01-31 14:58:31,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:58:54.490000,ONUR,2025-01-31 14:58:54.490000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.663000,,,0,
6393,K,NO,2025-01-31 14:59:14,,K001,L001,,,,,0,,,ONUR,2025-01-31 14:59:28.530000,ONUR,2025-01-31 14:59:28.530000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.673000,,,0,
6394,K,NO,2025-01-31 15:00:14,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:00:28.567000,ONUR,2025-01-31 15:00:28.567000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.680000,,,0,
6395,K,NO,2025-01-31 15:02:13,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:02:26.440000,ONUR,2025-01-31 15:02:26.440000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.683000,,,0,
6397,K,NO,2025-01-31 15:09:07,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:09:33.550000,ONUR,2025-01-31 15:09:33.550000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.690000,,,0,
6398,K,NO,2025-01-31 15:10:12,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:10:28.620000,ONUR,2025-01-31 15:10:28.620000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.700000,,,0,
6399,K,NO,2025-01-31 15:11:03,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:11:17.860000,ONUR,2025-01-31 15:11:17.860000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.703000,,,0,
6400,K,NO,2025-01-31 15:11:42,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:12:33.680000,ONUR,2025-01-31 15:12:33.680000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.710000,,,0,
6401,K,NO,2025-01-31 15:13:01,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:13:18.670000,ONUR,2025-01-31 15:13:18.670000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.717000,,,0,
6402,K,NT,2025-01-20 15:15:54,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:16:25.410000,ONUR,2025-01-31 15:16:25.410000,,,,,,2025-01-31 15:16:25.480000,2025-01-31 15:16:26,,,0,
6403,K,NT,2025-01-20 15:16:36,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:17:03.520000,ONUR,2025-01-31 15:17:03.520000,,,,,,2025-01-31 15:17:03.590000,2025-01-31 15:17:04.090000,,,0,
6404,K,NT,2025-01-20 15:17:06,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:17:41.383000,ONUR,2025-01-31 15:20:40.440000,,,,,,2025-01-31 15:20:40.440000,2025-01-31 15:20:40.923000,,,0,
6405,K,NO,2025-01-20 15:20:11,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:20:28.580000,ONUR,2025-01-31 15:20:55.703000,,,,,,2025-01-31 15:20:55.703000,2025-01-31 15:20:56.173000,,,0,
6406,K,NO,2025-01-31 15:21:08,,K001,L001,,,,,0,,,ONUR,2025-01-31 15:21:24.630000,ONUR,2025-01-31 15:21:24.630000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.723000,,,0,
6407,K,NT,2025-01-31 15:28:20,,K001,L001,,,,,0,,,İra,2025-01-31 15:28:39.723000,İra,2025-01-31 15:28:39.723000,,,,,,2025-03-16 14:41:57.370000,2025-04-29 15:52:55.810000,,,0,
6408,K,NT,2025-01-27 16:28:42,,K001,L001,,,,,0,,,ONUR,2025-01-31 16:29:20.427000,ONUR,2025-01-31 16:29:20.427000,,,,,,2025-01-31 16:29:20.440000,2025-01-31 16:29:20.657000,,,0,
6409,K,NT,2025-01-31 16:54:54,,K001,L001,,,,,0,,,İra,2025-01-31 16:55:21.610000,İra,2025-01-31 16:55:21.610000,,,,,,2025-03-16 14:41:57.370000,2025-03-27 15:03:08.163000,,,0,
6410,K,NT,2025-01-31 18:01:34,,K001,L001,,,,,0,,,ONUR,2025-01-31 18:02:11.910000,ONUR,2025-01-31 18:02:11.910000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.747000,,,0,
6411,K,NT,2025-01-31 18:23:10,,K001,L001,,,,,0,,,ONUR,2025-01-31 18:23:43.913000,ONUR,2025-01-31 18:23:43.913000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.753000,,,0,
6412,K,NO,2025-01-31 18:42:02,,K001,L001,,,,,0,,,ONUR,2025-01-31 18:42:14.157000,ONUR,2025-01-31 18:42:14.157000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.760000,,,0,
6413,K,NT,2025-01-31 19:06:42,,K001,L001,,,,,0,,,İra,2025-01-31 19:06:54.810000,İra,2025-01-31 19:06:54.810000,,,,,,2025-03-16 14:41:57.370000,2025-03-22 15:10:29.897000,,,0,
6414,K,NT,2025-02-03 09:14:56,,K001,L001,,,,,0,,,ONUR,2025-02-03 09:15:16.280000,ONUR,2025-02-03 09:15:16.283000,,,,,,2025-02-03 09:15:16.300000,2025-02-03 09:15:16.493000,,,0,
6415,K,NT,2025-02-03 15:02:42,,K001,L001,,,,,0,,,ONUR,2025-02-03 15:03:03.833000,ONUR,2025-02-03 15:03:03.833000,,,,,,2025-02-03 15:03:03.853000,2025-02-03 15:03:04.067000,,,0,
6416,K,NT,2025-02-03 16:01:33,,K001,L001,,,,,0,,,ONUR,2025-02-03 16:02:00.523000,ONUR,2025-02-03 16:02:00.523000,,,,,,2025-02-03 16:02:00.547000,2025-02-03 16:02:00.720000,,,0,
6417,K,NT,2025-02-03 16:02:48,,K001,L001,,,,,0,,,ONUR,2025-02-03 16:03:24.507000,ONUR,2025-02-03 16:03:24.507000,,,,,,2025-02-03 16:03:24.527000,2025-02-03 16:03:24.730000,,,0,
6418,K,NT,2025-02-03 16:04:17,,K001,L001,,,,,0,,,ONUR,2025-02-03 16:04:53.540000,ONUR,2025-02-03 16:04:53.540000,,,,,,2025-02-03 16:04:53.563000,2025-02-03 16:04:53.787000,,,0,
6419,K,NT,2025-02-03 20:37:50,,K001,L001,,,,,0,,,ONUR,2025-02-03 20:38:30.197000,ONUR,2025-02-04 09:20:55.193000,,,,,,2025-02-04 09:20:55.200000,2025-02-04 09:20:55.367000,,,0,
6420,K,NT,2025-02-04 16:22:51,,K001,L001,,,,,0,,,ONUR,2025-02-04 16:23:18.820000,ONUR,2025-02-04 16:23:18.820000,,,,,,2025-02-04 16:23:18.897000,2025-02-04 16:23:19.397000,,,0,
6421,K,NT,2025-02-04 18:33:27,,K001,L001,,,,,0,,,İra,2025-02-04 18:33:36.150000,İra,2025-02-04 18:33:36.150000,,,,,,2025-02-04 18:33:36.230000,2025-05-10 11:45:05.483000,,,0,
6422,K,NT,2025-02-05 14:16:55,,K001,L001,,,,,0,,,İra,2025-02-05 14:17:06.497000,İra,2025-02-08 12:34:39.283000,,,,,,2025-02-08 12:34:39.297000,2025-05-22 10:19:20.213000,,,0,
6423,K,NT,2025-02-05 14:23:45,,K001,L001,,,,,0,,,İra,2025-02-05 14:23:55.697000,ONUR,2025-02-08 11:13:12.740000,,,,,,2025-02-08 11:13:12.773000,2025-03-07 16:10:23.783000,,,0,
6424,K,NT,2025-02-05 14:58:03,,K001,L001,,,,,0,,,İra,2025-02-05 14:59:25.070000,İra,2025-02-05 14:59:25.070000,,,,,,2025-02-05 14:59:25.133000,2025-05-10 13:08:58.663000,,,0,
6425,K,NT,2025-02-05 15:10:18,,K001,L001,,,,,0,,,İra,2025-02-05 15:10:32.747000,İra,2025-02-05 15:10:32.747000,,,,,,2025-02-05 15:10:32.773000,2025-02-05 15:10:32.987000,,,0,
6426,K,NT,2025-02-05 15:11:36,,K001,L001,,,,,0,,,İra,2025-02-05 15:11:51.847000,İra,2025-02-05 15:11:51.847000,,,,,,2025-02-05 15:11:51.867000,2025-02-05 15:11:52.067000,,,0,
6427,K,NT,2025-02-05 16:23:25,,K001,L001,,,,,0,,,ONUR,2025-02-05 16:24:04.603000,ONUR,2025-02-05 16:24:04.603000,,,,,,2025-02-05 16:24:04.680000,2025-02-05 16:24:05.200000,,,0,
6428,K,NT,2025-02-05 16:24:58,,K001,L001,,,,,0,,,ONUR,2025-02-05 16:25:33.407000,ONUR,2025-02-05 16:25:33.407000,,,,,,2025-02-05 16:25:33.480000,2025-02-05 16:25:33.987000,,,0,
6429,K,NT,2025-02-05 17:19:30,,K001,L001,,,,,0,,,ONUR,2025-02-05 17:21:01.077000,ONUR,2025-02-05 17:21:01.077000,,,,,,2025-02-05 17:21:01.153000,2025-02-05 17:21:01.727000,,,0,
6430,K,NO,2024-08-16 14:33:00,,K001,L001,,,,,0,,,Suat,2025-02-06 14:33:40.670000,Suat,2025-02-06 15:02:08.033000,,,,,,2025-03-16 14:49:43.060000,2025-03-16 14:49:44.660000,,,0,
6431,K,NO,2024-12-13 14:44:16,,K001,L001,,,,,0,,,Suat,2025-02-06 14:45:01.507000,Suat,2025-02-06 14:48:17.700000,,,,,,2025-03-16 14:46:21.970000,2025-03-16 14:46:22.673000,,,0,
6432,K,NO,2024-12-20 14:48:20,,K001,L001,,,,,0,,,Suat,2025-02-06 14:48:52.473000,Suat,2025-02-06 14:48:52.477000,,,,,,2025-03-16 14:45:53.780000,2025-03-16 14:46:02.433000,,,0,
6433,K,NO,2024-12-27 14:54:21,,K001,L001,,,,,0,,,Suat,2025-02-06 14:54:55.333000,Suat,2025-02-06 14:54:55.333000,,,,,,2025-03-16 14:45:17.827000,2025-03-16 14:45:21.943000,,,0,
6434,K,NO,2025-01-10 14:56:53,,K001,L001,,,,,0,,,Suat,2025-02-06 14:57:47.867000,Suat,2025-02-06 14:57:47.867000,,,,,,2025-03-16 14:44:49.017000,2025-03-16 14:44:51.657000,,,0,
6435,K,NO,2025-01-13 15:00:18,,K001,L001,,,,,0,,,Suat,2025-02-06 15:01:40.053000,ONUR,2025-02-21 08:35:02.197000,,,,,,2025-03-16 14:44:17.567000,2025-03-16 14:44:21.320000,,,0,
6436,K,NT,2025-02-06 15:35:29,,K001,L001,,,,,0,,,İra,2025-02-06 15:35:37.217000,İra,2025-02-06 15:35:37.217000,,,,,,2025-02-21 08:33:38.933000,2025-03-26 15:59:23.630000,,,0,
6437,K,NO,2025-01-31 16:20:49,,K001,L001,,,,,0,,,Suat,2025-02-06 16:21:17.020000,ONUR,2025-02-07 13:40:50.590000,,,,,,2025-03-16 14:41:57.370000,2025-03-16 14:41:59.773000,,,0,
6438,K,NO,2024-11-01 21:52:19,,K001,L001,,,,,0,,,ONUR,2025-02-06 21:52:48.477000,ONUR,2025-03-17 08:52:28.930000,,,,,,2025-03-17 08:52:28.943000,2025-03-17 08:52:29.263000,,,0,
6439,K,NT,2025-02-07 17:28:30,,K001,L001,,,,,0,,,İra,2025-02-07 17:28:42.940000,İra,2025-02-07 17:28:42.940000,,,,,,2025-03-16 14:41:08.650000,2025-03-26 10:08:38.907000,,,0,
6440,K,NT,2025-02-08 10:42:22,,K001,L001,,,,,0,,,ONUR,2025-02-08 10:42:41.050000,ONUR,2025-02-08 10:42:41.050000,,,,,,2025-02-08 10:42:41.070000,2025-02-08 10:42:41.287000,,,0,
6442,K,NO,2025-02-07 13:03:21,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:03:38.997000,ONUR,2025-02-09 13:03:38.997000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.427000,,,0,
6443,K,NO,2025-02-07 13:04:26,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:04:59.677000,ONUR,2025-02-09 13:04:59.677000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.433000,,,0,
6444,K,NO,2025-02-07 13:05:20,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:05:41.867000,ONUR,2025-02-09 13:05:41.867000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.440000,,,0,
6445,K,NO,2025-02-07 13:06:17,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:06:31.387000,ONUR,2025-02-09 13:06:31.387000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.447000,,,0,
6446,K,NO,2025-02-07 13:06:54,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:07:09.863000,ONUR,2025-02-09 13:07:09.863000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.453000,,,0,
6447,K,NO,2025-02-07 13:07:51,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:08:04.907000,ONUR,2025-02-09 13:08:04.907000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.460000,,,0,
6448,K,NO,2025-02-07 13:08:53,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:09:04.493000,ONUR,2025-02-09 13:09:04.493000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.467000,,,0,
6449,K,NO,2025-02-07 13:36:02,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:36:18.977000,ONUR,2025-02-09 13:36:18.977000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.473000,,,0,
6450,K,NO,2025-02-07 13:36:50,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:37:12.660000,ONUR,2025-02-09 13:37:12.660000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.480000,,,0,
6451,K,NO,2025-02-07 13:37:47,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:38:01.980000,ONUR,2025-02-09 13:38:01.980000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.490000,,,0,
6452,K,NO,2025-02-07 13:38:41,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:38:57.753000,ONUR,2025-02-09 13:38:57.753000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.497000,,,0,
6453,K,NO,2025-02-07 13:39:18,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:39:34.450000,ONUR,2025-02-09 13:39:34.450000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.507000,,,0,
6454,K,NO,2025-02-07 13:40:24,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:40:40.103000,ONUR,2025-02-09 13:40:40.107000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.513000,,,0,
6455,K,NO,2025-02-07 13:41:55,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:42:14.427000,ONUR,2025-02-09 13:42:14.427000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.520000,,,0,
6456,K,NO,2025-02-07 13:43:05,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:43:18.567000,ONUR,2025-02-09 13:43:18.567000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.530000,,,0,
6457,K,NO,2025-02-07 13:43:52,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:44:19.750000,ONUR,2025-02-09 13:44:19.750000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.537000,,,0,
6458,K,NO,2025-02-07 13:45:06,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:45:19.813000,ONUR,2025-02-09 13:45:19.813000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.547000,,,0,
6459,K,NO,2025-02-07 13:46:08,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:46:20.877000,ONUR,2025-02-09 13:46:20.877000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.553000,,,0,
6460,K,NO,2025-02-07 13:47:02,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:47:18.107000,ONUR,2025-02-09 13:47:18.107000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.560000,,,0,
6461,K,NO,2025-02-07 13:47:51,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:48:05.287000,ONUR,2025-02-09 13:48:05.287000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.570000,,,0,
6462,K,NO,2025-02-07 13:48:46,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:49:05.637000,ONUR,2025-02-09 13:49:05.637000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.577000,,,0,
6463,K,NO,2025-02-07 13:49:45,,K001,L001,,,,,0,,,ONUR,2025-02-09 13:50:05.410000,ONUR,2025-02-09 13:50:05.410000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.587000,,,0,
6464,K,NO,2025-02-07 14:06:19,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:07:09.140000,ONUR,2025-02-09 14:07:09.140000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.593000,,,0,
6465,K,NO,2025-02-07 14:09:33,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:10:13.117000,ONUR,2025-02-09 14:10:13.117000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.603000,,,0,
6466,K,NO,2025-02-07 14:10:51,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:11:12.020000,ONUR,2025-02-09 14:11:12.020000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.610000,,,0,
6467,K,NO,2025-02-07 14:13:29,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:13:51.450000,ONUR,2025-02-09 14:13:51.450000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.617000,,,0,
6468,K,NO,2025-02-07 14:14:57,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:15:42.020000,ONUR,2025-03-02 19:58:42.027000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.627000,,,0,
6469,K,NO,2025-02-07 14:34:40,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:35:02.397000,ONUR,2025-02-09 14:35:02.397000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.637000,,,0,
6470,K,NO,2025-02-07 14:35:35,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:35:50.560000,ONUR,2025-02-09 14:35:50.560000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.643000,,,0,
6471,K,NO,2025-02-07 14:36:20,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:36:35.137000,ONUR,2025-02-09 14:36:35.137000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.653000,,,0,
6472,K,NO,2025-02-07 14:37:36,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:37:51.573000,ONUR,2025-02-09 14:37:51.573000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.660000,,,0,
6473,K,NO,2025-02-07 14:38:28,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:38:40.980000,ONUR,2025-02-09 14:38:40.980000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.670000,,,0,
6474,K,NO,2025-02-07 14:41:40,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:42:01.347000,ONUR,2025-02-09 14:42:01.347000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.680000,,,0,
6475,K,NO,2025-02-07 14:42:41,,K001,L001,,,,,0,,,ONUR,2025-02-09 14:42:55.300000,ONUR,2025-02-09 14:42:55.300000,,,,,,2025-03-16 14:41:08.650000,2025-03-16 14:41:18.683000,,,0,
