ID,USTID,SATIRTIP,TANIMKODU,TANIMADI,ACCCODE1,ACCCODE2,RAPORLAMA,TERSBAKIYE,HESAPTUTARI,ISLEMTURU,HESAPKAREKTERI,FORMULTANIM,SIRANO,AP,TUTAR,USTGRUP,SEVIYE
221,1,2,02.6.03,     03. Diğer Özel Tükenmeye Tabi Varlıklar,277,,0,0,0,0,0,,112.0000000000,A,,02.6,3
222,1,2,02.6.04,     04. Birikmiş Tükenme Payları (-),278,,0,0,0,0,0,,113.0000000000,A,,02.6,3
223,1,2,02.6.05,     05. Verilen Avanslar,279,,0,0,0,0,0,,114.0000000000,A,,02.6,3
224,1,1,02.7,  G GELECEK YILLARA AİT GİDERLER VE GELİR TAHAKKUKLARI,,,0,0,0,0,0,,115.0000000000,A,,02,2
225,1,2,02.7.01,     01. Gelecek Yıllara Ait Giderler,280,,0,0,0,0,0,,116.0000000000,A,,02.7,3
226,1,2,02.7.02,     02. Gelir Tahakkukları,281,,0,0,0,0,0,,117.0000000000,A,,02.7,3
227,1,1,02.8,  H DİĞER DURAN VARLIKLAR,,,0,0,0,0,0,,118.0000000000,A,,02,2
228,1,2,02.8.01,     01. Gelecek Yıllarda İndirilecek Katma Değer Vergisi,291,,0,0,0,0,0,,119.0000000000,A,,02.8,3
229,1,2,02.8.02,     02. Diğer Katma Değer Vergisi,292,,0,0,0,0,0,,120.0000000000,A,,02.8,3
230,1,2,02.8.03,     03. Peşin Ödenen Vergiler ve Fonlar,295,,0,0,0,0,0,,121.0000000000,A,,02.8,3
231,1,2,02.8.04,     04. Diğer Çeşitli Duran Varlıklar,297,,0,0,0,0,0,,122.0000000000,A,,02.8,3
232,1,7,,AKTİFLER TOPLAMI,,,0,0,0,0,0,,123.0000000000,A,,,0
