inx,SatNo,Odinx,Puan,ParaCinsi,Taksit,GBT,SKT,MKod,Active,PERKOD,Tarih,SendCode,STATUS
577,808128,858525,10.4,TL, ,2018-07-09 14:39:36,2099-01-01 00:00:00,KS0070000000728,*,V123,2018-07-09 14:48:02.810000,ef47219d-7681-4bdb-b76e-af3c0874d331,0
578,808133,858531,1.0,US, ,2018-07-09 15:26:14,2099-01-01 00:00:00,KS0070000000729,*,H001,2018-07-09 15:26:22.320000,cd2b85ed-a4dc-4f4f-9e4c-d0932a63318f,0
579,808136,858534,0.08,US, ,2018-07-09 15:39:50,2099-01-01 00:00:00,KS0070000000723,*,H001,2018-07-09 15:39:59.813000,4869bec9-0126-4947-968a-ab208c9a7799,0
580,808157,858554,4.0,TL, ,2018-07-09 17:25:57,2099-01-01 00:00:00,KS0070000000731,*,H001,2018-07-09 17:26:07.947000,d47de654-4598-4f56-a8c3-5e51f8316de0,0
581,808180,858577,6.0,TL, ,2018-07-09 18:36:05,2099-01-01 00:00:00,KS0070000000732,*,H001,2018-07-09 18:36:14.597000,fe210466-e7f0-47c5-8a3d-453af5c92d08,0
582,808190,858587,4.0,TL, ,2018-07-09 19:19:17,2099-01-01 00:00:00,KS0070000000733,*,H001,2018-07-09 19:19:36.970000,e00ea042-8616-41b9-b340-035811049042,0
583,808194,858593,2.6,TL, ,2018-07-09 19:36:11,2099-01-01 00:00:00,KS0070000000734,*,H001,2018-07-09 19:36:22.540000,c3a828ab-3c56-46ac-860e-ab17f40b3b13,0
584,808194,858592,1.2,US, ,2018-07-09 19:36:05,2099-01-01 00:00:00,KS0070000000734,*,H001,2018-07-09 19:36:22.540000,0ba0c987-afa3-468f-aa8a-4f533c704c0c,0
585,808201,858600,4.0,TL, ,2018-07-09 20:08:27,2099-01-01 00:00:00,KS0070000000736,*,H001,2018-07-09 20:08:37.120000,5814a6b1-11c3-4f23-bb19-3cf1eece129d,0
586,808207,858606,0.68,US, ,2018-07-09 20:20:38,2099-01-01 00:00:00,KS0070000000737,*,H001,2018-07-09 20:20:46.990000,c1d26350-bb3a-437f-ad4d-70b0f26bdd87,0
587,808209,858608,2.92,US, ,2018-07-09 20:24:38,2099-01-01 00:00:00,KS0070000000738,*,H001,2018-07-09 20:24:46.527000,92a80760-d98c-4c07-bbb7-a501533dfc33,0
588,808219,858619,4.2,US, ,2018-07-09 21:00:48,2099-01-01 00:00:00,KS0070000000729,*,H001,2018-07-09 21:01:01.827000,2a6e7e93-4fb9-43e4-94ec-ea86b47321e1,0
589,808226,858626,5.2,TL, ,2018-07-09 21:33:44,2099-01-01 00:00:00,KS0070000000739,*,H001,2018-07-09 21:33:52.943000,35aa09a6-2af5-4cca-94c0-fb1ba505b898,0
590,808243,858644,1.6,US, ,2018-07-09 22:21:32,2099-01-01 00:00:00,KS0070000000740,*,H001,2018-07-09 22:21:50.153000,d4bbf849-433c-4ef1-88f0-f7d405c7491d,0
591,808243,858643,6.0,TL, ,2018-07-09 22:21:27,2099-01-01 00:00:00,KS0070000000740,*,H001,2018-07-09 22:21:50.153000,51e70577-788a-441c-9aa3-d722d19201f8,0
592,808258,858661,1.0,US, ,2018-07-09 22:45:43,2099-01-01 00:00:00,KS0070000000741,*,H001,2018-07-09 22:45:55.937000,1329bc73-4ffa-41cd-995f-64ed99e823d7,0
593,808261,858664,2.8,US, ,2018-07-09 22:55:28,2099-01-01 00:00:00,KS0070000000742,*,H001,2018-07-09 22:55:39.877000,3ed9d181-3ff2-47b6-8276-ad64cec58ca5,0
594,808264,858667,2.8,US, ,2018-07-09 22:58:43,2099-01-01 00:00:00,KS0070000000743,*,H001,2018-07-09 22:58:54.967000,f4627048-d67d-4c18-9520-10d370a19855,0
595,808291,858696,3.92,TL, ,2018-07-10 08:44:50,2099-01-01 00:00:00,KS0070000000491,*,H001,2018-07-10 08:45:03.037000,04204ee7-b9fe-417d-93ff-5b6e22f06e1b,0
596,808291,858695,1.0,US, ,2018-07-10 08:44:37,2099-01-01 00:00:00,KS0070000000491,*,H001,2018-07-10 08:45:03.037000,f71f5f6d-65c2-4374-b9b1-b0e4c4a3e31a,0
597,808303,858708,0.8,US, ,2018-07-10 10:22:06,2099-01-01 00:00:00,KS0070000000738,*,H001,2018-07-10 10:22:22.280000,c5b955dc-048c-4e1e-a459-735a1f5d5ad4,0
598,808305,858710,1.08,US, ,2018-07-10 10:49:41,2099-01-01 00:00:00,KS0070000000457,*,H001,2018-07-10 10:49:50.080000,98a5777f-2c78-4a64-b166-f776ddf0a50c,0
599,808511,858931,16.0,TL, ,2018-07-11 09:22:52,2099-01-01 00:00:00,KS0070000000335,*,H001,2018-07-11 09:23:09.430000,725c4a68-d3c7-4ca8-aeaa-d1133f8f026f,0
600,808519,858938,1.0,US, ,2018-07-11 10:19:10,2099-01-01 00:00:00,KS0070000000742,*,H001,2018-07-11 10:19:19.577000,4d17c723-a584-41d5-bff8-374eb41b02d2,0
601,808550,858971,4.0,EU, ,2018-07-11 13:06:31,2099-01-01 00:00:00,KS0070000000753,*,H001,2018-07-11 13:06:43.397000,29f72206-f42a-4344-8849-9cf5ff03358a,0
602,808567,858990,5.2,TL, ,2018-07-11 14:39:26,2099-01-01 00:00:00,KS0070000000754,*,H001,2018-07-11 14:39:38.200000,ded73c7a-13d9-450e-a8bf-d5096ba3ef81,0
603,808567,858989,1.6,US, ,2018-07-11 14:39:19,2099-01-01 00:00:00,KS0070000000754,*,H001,2018-07-11 14:39:38.200000,4a48c9d4-a9ff-483f-bd58-eefff977a71e,0
604,808571,858994,1.0,US, ,2018-07-11 14:58:07,2099-01-01 00:00:00,KS0070000000755,*,H001,2018-07-11 14:58:15.647000,12ad568b-37c2-4df4-8a2c-dea11a8fbbd5,0
605,808583,859007,4.32,TL, ,2018-07-11 15:46:33,2099-01-01 00:00:00,KS0070000000317,*,H001,2018-07-11 15:46:43.020000,47f28af5-4705-4337-aeb2-f4b5295c965b,0
606,808604,859030,2.14,TL, ,2018-07-11 17:05:51,2099-01-01 00:00:00,KS0070000000756,*,H001,2018-07-11 17:06:07.597000,cf2fcb9f-6944-4cba-8c1a-97c663eab221,0
607,808604,859029,4.0,US, ,2018-07-11 17:05:35,2099-01-01 00:00:00,KS0070000000756,*,H001,2018-07-11 17:06:07.597000,2b141e84-c3a4-4454-ade6-f5c96eb825af,0
608,808609,859035,4.2,US, ,2018-07-11 17:33:39,2099-01-01 00:00:00,KS0070000000322,*,H001,2018-07-11 17:33:51.767000,7e34d660-bd2b-4ab1-8ab4-62b5109a8ce6,0
609,808614,859040,4.0,TL, ,2018-07-11 18:12:22,2099-01-01 00:00:00,KS0070000000757,*,H001,2018-07-11 18:12:32.720000,41ce9c1e-682f-429b-b67e-679cc43dad4b,0
610,808647,859074,1.8,US, ,2018-07-11 20:13:24,2099-01-01 00:00:00,KS0070000000759,*,H001,2018-07-11 20:13:45.167000,657a5c83-0e26-41aa-809c-0f0f2276438e,0
611,808659,859086,2.0,US, ,2018-07-11 21:14:11,2099-01-01 00:00:00,KS0070000000760,*,H001,2018-07-11 21:14:20.130000,dfb41a53-b61f-4882-ad16-bb268ffdf8ef,0
612,808662,859089,5.4,US, ,2018-07-11 21:20:38,2099-01-01 00:00:00,KS0070000000761,*,H001,2018-07-11 21:20:47.340000,69369902-3840-4c49-b60c-f492bdfb51dc,0
613,808664,859091,1.12,US, ,2018-07-11 21:23:49,2099-01-01 00:00:00,KS0070000000762,*,H001,2018-07-11 21:24:02.310000,b8d10af0-e1da-4e74-aca8-1803b28f2f0f,0
614,808667,859094,1.12,US, ,2018-07-11 21:28:28,2099-01-01 00:00:00,KS0070000000762,*,H001,2018-07-11 21:28:35.567000,b1ec82f2-0fa0-49c8-a4cf-10166743e1b6,0
615,808669,859096,2.6,US, ,2018-07-11 21:29:21,2099-01-01 00:00:00,KS0070000000762,*,H001,2018-07-11 21:29:30.530000,44f41e75-7b6f-4fb8-8946-e98e24064a37,0
616,808686,859113,4.8,TL, ,2018-07-11 22:27:41,2099-01-01 00:00:00,KS0070000000764,*,H001,2018-07-11 22:27:54.683000,4123eb40-cdcc-47a9-8936-db65f8dd57f3,0
617,808728,859157,4.0,TL, ,2018-07-12 10:50:42,2099-01-01 00:00:00,KS0070000000457,*,H001,2018-07-12 10:50:52.543000,6bbd44a9-66b6-4458-8999-2a2b298454b5,0
618,808731,859160,4.6,TL, ,2018-07-12 11:12:48,2099-01-01 00:00:00,KS0070000000766,*,H001,2018-07-12 11:12:57.440000,535a9785-1555-4c2e-96c1-38a97ac15e5d,0
619,808778,859212,2.4,US, ,2018-07-12 14:21:37,2099-01-01 00:00:00,KS0070000000767,*,H001,2018-07-12 14:22:04.287000,d61048c5-c00a-45f5-8711-581109d10f83,0
620,808783,859218,1.2,TL, ,2018-07-12 14:36:51,2099-01-01 00:00:00,KS0020000002762,*,V45,2018-07-12 14:37:16.743000,3d479ce4-5642-4de4-b306-24ad3b14f270,0
621,808783,859217,4.0,US, ,2018-07-12 14:36:43,2099-01-01 00:00:00,KS0020000002762,*,V45,2018-07-12 14:37:16.743000,bb72d4ab-e9c0-4248-a104-e627e29168de,0
622,808786,859221,4.2,US, ,2018-07-12 14:54:24,2099-01-01 00:00:00,KS0070000000768,*,H001,2018-07-12 14:54:30.797000,3cc6fad3-1740-40b1-86b9-3ed3fc2cace8,0
623,808796,859230,4.8,TL, ,2018-07-12 15:36:24,2099-01-01 00:00:00,KS0020000002172,*,V45,2018-07-12 15:38:54.833000,e1627066-ec80-4aa5-b3cf-03fc62e1c35f,0
624,808804,859238,0.76,US, ,2018-07-12 15:58:49,2099-01-01 00:00:00,KS0020000002968,*,V45,2018-07-12 15:58:57.170000,fe048f70-70c8-40fe-a6b0-467b68d46e10,0
625,808877,859314,4.0,US, ,2018-07-12 19:31:45,2099-01-01 00:00:00,KS0070000000769,*,H001,2018-07-12 19:34:20.253000,74884a30-2a18-4590-99a5-589e6fa51beb,0
626,808934,859374,6.0,TL, ,2018-07-12 22:26:17,2099-01-01 00:00:00,KS0070000000739,*,H001,2018-07-12 22:26:30.190000,665d6533-878e-43b4-9619-c9f2d69facec,0
627,808934,859373,0.8,US, ,2018-07-12 22:26:05,2099-01-01 00:00:00,KS0070000000739,*,H001,2018-07-12 22:26:30.190000,0bd5f62a-1c91-4509-9462-0902cc43365c,0
628,808963,859405,9.2,TL, ,2018-07-12 23:26:22,2099-01-01 00:00:00,KS0070000000765,*,H001,2018-07-12 23:26:33.487000,46bc8fcf-6d2c-454c-acad-737e462dc6fc,0
629,808996,859445,9.96,US, ,2018-07-13 11:21:38,2099-01-01 00:00:00,KS0070000000770,*,H001,2018-07-13 11:21:55.600000,94cea9ed-13cf-4deb-bd01-77e203bd8877,0
630,809013,859463,8.0,US, ,2018-07-13 12:46:55,2099-01-01 00:00:00,KS0070000000771,*,H001,2018-07-13 12:47:06.713000,b639eeb7-70e7-40b7-90e1-90c69f8aa01d,0
631,809036,859488,6.0,TL, ,2018-07-13 14:22:07,2099-01-01 00:00:00,KS0020000001865,*,V45,2018-07-13 14:22:27.013000,f9afc0bc-3125-44b2-9cea-3f5fc59f9a31,0
632,809091,859542,3.6,TL, ,2018-07-13 17:18:32,2099-01-01 00:00:00,KS0070000000053,*,H001,2018-07-13 17:18:48.550000,1fd0008d-3d64-4de6-be9c-116d7d7b0f99,0
633,809139,859591,3.32,US, ,2018-07-13 19:17:55,2099-01-01 00:00:00,KS0070000000772,*,H001,2018-07-13 19:18:05.177000,87bd4e58-d779-4268-84c3-7512443c726a,0
634,809180,859634,1.0,US, ,2018-07-13 20:53:53,2099-01-01 00:00:00,KS0070000000773,*,H001,2018-07-13 20:54:07.487000,d73179e2-e27f-4f0b-8da3-eff6d2ed27a3,0
635,809200,859654,4.0,TL, ,2018-07-13 21:41:32,2099-01-01 00:00:00,KS0070000000775,*,H001,2018-07-13 21:41:42.030000,47a306da-8904-474c-9316-692512482815,0
636,809205,859659,3.2,TL, ,2018-07-13 21:48:38,2099-01-01 00:00:00,KS0070000000775,*,H001,2018-07-13 21:48:49.660000,1fee3f1b-08cc-4710-b61a-f9ed796cfbfe,0
637,809237,859692,24.0,TL, ,2018-07-13 23:02:30,2099-01-01 00:00:00,KS0070000000776,*,H001,2018-07-13 23:02:44.210000,b306a212-d953-4b6f-a9d5-3bdd6d723874,0
638,809264,859721,2.0,US, ,2018-07-14 10:07:05,2099-01-01 00:00:00,KS0070000000513,*,H001,2018-07-14 10:07:18.530000,f231f071-ebcd-4ee6-8042-f8f1a7c83535,0
639,809270,859727,5.88,US, ,2018-07-14 10:39:20,2099-01-01 00:00:00,KS0020000001799,*,V05,2018-07-14 10:39:37.270000,e08317bb-8aa7-4608-816e-b4082ea417df,0
640,809286,859742,4.2,TL, ,2018-07-14 11:47:46,2099-01-01 00:00:00,KS0070000000777,*,H001,2018-07-14 11:47:57.363000,bad01705-cd82-46a3-808b-5f268d703280,0
641,809287,859744,6.92,US, ,2018-07-14 11:51:38,2099-01-01 00:00:00,KS0070000000778,*,H001,2018-07-14 11:51:50.497000,ccdc487e-f75c-49be-82f3-bcb62dfb8126,0
642,809287,859743,7.2,TL, ,2018-07-14 11:51:22,2099-01-01 00:00:00,KS0070000000778,*,H001,2018-07-14 11:51:50.497000,04a6ee0a-a269-4960-8952-d36e0e601b9c,0
643,809318,859776,5.0,TL, ,2018-07-14 13:05:00,2099-01-01 00:00:00,KS0070000000779,*,H001,2018-07-14 13:05:09.497000,f6d95887-8d00-4030-a6e2-ddc0da3d25ea,0
644,809335,859793,16.0,TL, ,2018-07-14 14:14:22,2099-01-01 00:00:00,KS0070000000780,*,H001,2018-07-14 14:14:47.593000,7db5abf3-1686-47e4-8ceb-637ba220fb20,0
645,809355,859814,59.6,TL, ,2018-07-14 14:59:09,2099-01-01 00:00:00,KS0070000000781,*,H001,2018-07-14 14:59:32.230000,055d60ef-5338-40c8-ab0a-e4c2e4040f2b,0
646,809372,859830,9.88,US, ,2018-07-14 16:39:30,2099-01-01 00:00:00,KS0070000000783,*,H001,2018-07-14 16:39:57.857000,bc548ade-86b4-4cc2-8f99-116e8584b505,0
647,809384,859843,-1.6,US, ,2018-07-14 17:16:17,2099-01-01 00:00:00,KS0070000000783,*,H001,2018-07-14 17:17:22.573000,4e8f8422-4387-4f89-a8dd-3c3c4466ed82,0
648,809393,859852,0.8,US, ,2018-07-14 17:42:34,2099-01-01 00:00:00,KS0070000000770,*,H001,2018-07-14 17:42:42.797000,2cb0b356-f016-441f-bf7f-297da451f482,0
649,809395,859853,2.16,US, ,2018-07-14 17:46:53,2099-01-01 00:00:00,KS0070000000168,*,H001,2018-07-14 17:47:33.840000,823d8a5b-0a18-43a3-aadf-3dfbecb55f1f,0
650,809398,859856,7.2,TL, ,2018-07-14 17:49:17,2099-01-01 00:00:00,KS0020000001661,*,V05,2018-07-14 17:49:51.193000,f6fabede-04a1-4215-b92e-591c24737ebf,0
651,809434,859893,2.8,US, ,2018-07-14 19:23:28,2099-01-01 00:00:00,KS0070000000785,*,H001,2018-07-14 19:23:36.463000,d16b1491-597f-4072-9e3c-cc02a79c94bd,0
652,809435,859894,3.16,US, ,2018-07-14 19:25:21,2099-01-01 00:00:00,KS0070000000784,*,H001,2018-07-14 19:25:36.217000,a8f59e48-e5f9-471e-8fe3-d9d5449d4b51,0
653,809449,859908,3.2,TL, ,2018-07-14 19:55:08,2099-01-01 00:00:00,KS0020000001862,*,V05,2018-07-14 19:56:03.917000,7f5bf217-86d1-4e33-86c1-b64d19683d39,0
654,809539,860001,9.0,TL, ,2018-07-15 08:57:53,2099-01-01 00:00:00,KS0070000000559,*,H001,2018-07-15 08:58:06.787000,31373ed9-37af-4f9b-bdbd-399116d325ed,0
655,809541,860003,4.0,TL, ,2018-07-15 09:24:14,2099-01-01 00:00:00,KS0070000000559,*,H001,2018-07-15 09:24:28.470000,bc0e792d-db69-48ed-8aaa-3fd98a88940c,0
656,809542,860004,13.2,TL, ,2018-07-15 10:00:31,2099-01-01 00:00:00,KS0070000000709,*,H001,2018-07-15 10:00:43.300000,6f0d224a-3d0b-4bbb-bb92-ebba4cafdc22,0
657,809547,860009,6.4,TL, ,2018-07-15 10:17:37,2099-01-01 00:00:00,KS0070000000786,*,H001,2018-07-15 10:17:50.363000,7fb75a44-405f-4741-af42-488a8e661209,0
658,809560,860022,4.0,TL, ,2018-07-15 11:06:03,2099-01-01 00:00:00,KS0070000000787,*,H001,2018-07-15 11:06:12.823000,c32886e9-7e54-473e-9012-6c7746c5078f,0
659,809609,860071,5.4,TL, ,2018-07-15 15:49:28,2099-01-01 00:00:00,KS0020000002762,*,V45,2018-07-15 15:51:53.960000,9212bebf-d6aa-4dc3-ad36-478267c34ddb,0
660,795065,844824,2.0,TL, ,2018-05-24 17:46:11,2099-01-01 00:00:00,KS0020000002775, ,V37,2018-07-15 17:22:42.317000,56c3c6cc-dc09-44d8-8208-45acf43eadc9,0
661,795065,844822,2.0,TL, ,2018-05-24 17:36:41,2099-01-01 00:00:00,KS0020000002775, ,V37,2018-07-15 17:22:42.317000,11a7fb03-ff31-4e0c-8876-db6023843bfd,0
662,795095,845191,2.08,US, ,2018-05-25 23:33:30,2099-01-01 00:00:00,KS0020000002776, ,V37,2018-07-15 17:23:34.657000,f5c1c398-d593-46a6-af29-95a1bbd1f009,0
663,795095,844855,1.2,TL, ,2018-05-24 18:53:52,2099-01-01 00:00:00,KS0020000002776, ,V37,2018-07-15 17:23:34.657000,99005954-b2fc-4ad7-9b8e-0f60e61a93cd,0
664,795065,860094,0.5332,US, ,2018-05-24 17:46:11,2099-01-01 00:00:00,KS0020000001799,*,V37,2018-07-15 17:22:42.343000,49af2b19-b9ac-461a-a88e-e00a1db51243,0
665,795065,844824,2.0,TL, ,2018-05-24 17:46:11,2099-01-01 00:00:00,KS0020000001799,*,V37,2018-07-15 17:22:42.343000,8b4b8716-fa82-4050-bbc6-0fb8cd9334f8,0
666,795095,860095,0.32,US, ,2018-05-25 23:33:30,2099-01-01 00:00:00,KS0020000001799,*,V37,2018-07-15 17:23:34.680000,7c998860-8ee0-4452-9512-b2bd64eb66d8,0
667,795095,845191,2.08,US, ,2018-05-25 23:33:30,2099-01-01 00:00:00,KS0020000001799,*,V37,2018-07-15 17:23:34.680000,af86a99a-ad84-418f-aab9-3aef39687a3c,0
668,785419,860096,0.96,US, ,2018-04-24 18:51:57,2099-01-01 00:00:00,KS0020000001894,*,V37,2018-07-15 17:27:53.820000,7947348f-ed00-4e6b-b489-8634a0ad8eba,0
669,787803,860097,0.8532,US, ,2018-05-01 14:29:56,2099-01-01 00:00:00,KS0020000001894,*,V37,2018-07-15 17:28:22.997000,5602a7cd-6308-4325-a1cd-465b98ec5044,0
670,788524,860098,0.5332,US, ,2018-05-03 17:48:48,2099-01-01 00:00:00,KS0020000001894,*,V37,2018-07-15 17:28:55.220000,e6bb69ce-2c17-41c7-9020-3da4fbc078e4,0
671,776323,860100,1.9731999999999998,US, ,2018-03-27 21:48:28,2099-01-01 00:00:00,KS0020000001895,*,V37,2018-07-15 17:36:12.383000,747c5f90-4aa9-4d97-98ec-8717d06c3ce3,0
672,792222,860101,4.0,US, ,2018-05-13 20:06:43,2099-01-01 00:00:00,KS0020000001895,*,V37,2018-07-15 17:37:22.437000,20927faa-de2d-4c7b-85b6-d728c22336c5,0
673,792222,841757,1.6,TL, ,2018-05-13 20:06:22,2099-01-01 00:00:00,KS0020000001895,*,V37,2018-07-15 17:37:22.437000,618512a0-1c2c-45a6-b091-15aff3214e68,0
674,792591,860107,3.48,TL, ,2018-05-15 01:28:46,2099-01-01 00:00:00,KS0020000001807,*,V37,2018-07-15 17:59:04.547000,a4d96cd2-377f-45ff-902b-6946365254a9,0
675,775107,860111,3.4,TL, ,2018-03-23 21:27:52,2099-01-01 00:00:00,KS0020000002774,*,V37,2018-07-15 18:03:14.450000,5e3189aa-0c0a-4ed3-8d0c-c7e2e5096050,0
676,786620,860112,9.2,TL, ,2018-04-27 22:24:21,2099-01-01 00:00:00,KS0020000002774,*,V37,2018-07-15 18:04:34.420000,ffaa540c-5939-4389-9345-9b9c274da36e,0
677,790120,860113,5.2,TL, ,2018-05-07 23:36:11,2099-01-01 00:00:00,KS0020000002774,*,V37,2018-07-15 18:05:31.467000,51c15be1-66a4-4203-a440-e0e3ede9fb31,0
678,783280,860115,6.8,TL, ,2018-04-18 00:18:54,2099-01-01 00:00:00,KS0020000002774,*,V37,2018-07-15 18:06:23.873000,9421494e-fb6c-4bd2-a8f7-f71090ab97da,0
679,809666,860144,5.2,TL, ,2018-07-15 19:29:39,2099-01-01 00:00:00,KS0020000001661,*,V45,2018-07-15 19:30:02.350000,95bfda90-9fd7-4280-87f6-38c4cf3804e4,0
680,809669,860147,3.2,TL, ,2018-07-15 19:39:33,2099-01-01 00:00:00,KS0020000001661,*,V45,2018-07-15 19:39:53.157000,b9fa0e58-77e6-44ed-b329-a2b3de8bb3ab,0
681,809680,860159,1.54,TL, ,2018-07-15 20:31:36,2099-01-01 00:00:00,KS0070000000789,*,H001,2018-07-15 20:31:55.953000,1b396a88-febc-4ac2-8425-c6526181e339,0
682,809680,860158,4.0,US, ,2018-07-15 20:28:36,2099-01-01 00:00:00,KS0070000000789,*,H001,2018-07-15 20:31:55.953000,5d4adcf1-3f3f-4778-9158-f3b75d0694ab,0
683,809705,860186,3.4,TL, ,2018-07-15 21:28:49,2099-01-01 00:00:00,KS0070000000490,*,H001,2018-07-15 21:29:11.313000,7c3a2cac-c5a8-4766-adfa-8f0ac8fb08c1,0
684,809713,860195,4.4,US, ,2018-07-15 21:52:39,2099-01-01 00:00:00,KS0070000000789,*,H001,2018-07-15 21:52:51.473000,4425e56c-e854-47d0-89b5-22b29d5c6ca5,0
685,809724,860206,9.6,TL, ,2018-07-15 22:23:48,2099-01-01 00:00:00,KS0070000000790,*,H001,2018-07-15 22:23:59.957000,4f63fefe-65a3-4643-8344-e9806eab4224,0
686,809770,860252,19.32,TL, ,2018-07-16 11:53:16,2099-01-01 00:00:00,KS0070000000791,*,H001,2018-07-16 11:53:38.333000,f81c3f2f-3418-4e99-beab-8f5f079134b9,0
687,809835,860317,5.0,US, ,2018-07-16 17:05:01,2099-01-01 00:00:00,KS0070000000047,*,H001,2018-07-16 17:05:12.270000,cab176f4-fea3-4b8e-80cd-ef0a0e172412,0
688,809886,860368,18.4,TL, ,2018-07-16 20:22:40,2099-01-01 00:00:00,KS0070000000793,*,H001,2018-07-16 20:22:54.373000,c58a1b3d-a52a-4ad6-8f92-47d0fa38e92f,0
689,809899,860381,7.6,US, ,2018-07-16 20:54:42,2099-01-01 00:00:00,KS0070000000794,*,H001,2018-07-16 20:55:05.027000,42c1f816-56ce-4bc2-bee2-0cbb988bccda,0
690,809901,860383,3.0,TL, ,2018-07-16 21:09:16,2099-01-01 00:00:00,KS0070000000050,*,H001,2018-07-16 21:09:29.660000,2bb0e6a7-e809-4b9e-9812-9e9e1906201e,0
691,809908,860390,9.0,US, ,2018-07-16 21:56:41,2099-01-01 00:00:00,KS0070000000795,*,H001,2018-07-16 21:56:49.013000,ba92d632-30af-4b84-b33c-44b666ad9e33,0
692,809953,860437,2.6,US, ,2018-07-17 00:25:10,2099-01-01 00:00:00,KS0070000000029,*,H001,2018-07-17 00:25:38.660000,07865fb3-011b-429e-b834-10dfb87b1405,0
693,809957,860442,6.4,TL, ,2018-07-17 09:23:16,2099-01-01 00:00:00,KS0070000000404,*,H001,2018-07-17 09:23:34.440000,486000aa-47f6-4db6-b190-9a87c46c91c5,0
694,809957,860441,4.0,US, ,2018-07-17 09:22:55,2099-01-01 00:00:00,KS0070000000404,*,H001,2018-07-17 09:23:34.440000,288bcfca-72e3-479b-9895-417ef35a4208,0
695,809975,860463,6.0,TL, ,2018-07-17 11:32:50,2099-01-01 00:00:00,KS0020000001784,*,V05,2018-07-17 11:33:37.760000,f1cc7609-03bb-4fea-9405-b5a5d9f5af3c,0
696,809986,860473,4.84,US, ,2018-07-17 12:35:12,2099-01-01 00:00:00,KS0070000000797,*,H001,2018-07-17 12:35:27.263000,d2d23148-b4cf-4db7-942c-6426b0985943,0
697,809998,860485,12.6,US, ,2018-07-17 13:00:12,2099-01-01 00:00:00,KS0070000000798,*,H001,2018-07-17 13:00:27.717000,de887d3a-a098-47f7-b327-b94d509b236e,0
698,810077,860569,2.6,US, ,2018-07-17 18:34:09,2099-01-01 00:00:00,KS0070000000715,*,H001,2018-07-17 18:34:18.510000,8bdf661a-a742-42c8-970b-463505b2963f,0
699,810138,860633,2.16,US, ,2018-07-17 21:29:32,2099-01-01 00:00:00,KS0070000000175,*,H001,2018-07-17 21:29:44.507000,0c41276f-fe41-4ddb-b7d0-7c933c107f6e,0
700,810201,860702,3.8,TL, ,2018-07-18 09:44:57,2099-01-01 00:00:00,KS0070000000101,*,H001,2018-07-18 09:45:10.120000,7a46138e-36cd-427f-be56-74d5da7d42d2,0
701,810206,860708,2.2,US, ,2018-07-18 10:37:08,2099-01-01 00:00:00,KS0070000000101,*,H001,2018-07-18 10:37:20.180000,70c3ce4a-d005-43b3-b19c-dd9d9ea93bc0,0
702,810219,860720,4.6,TL, ,2018-07-18 11:32:45,2099-01-01 00:00:00,KS0070000000490,*,H001,2018-07-18 11:32:53.727000,c3f81629-e801-4c8a-b383-bbceb6cd1030,0
703,810223,860724,2.0,US, ,2018-07-18 11:39:38,2099-01-01 00:00:00,KS0070000000631,*,H001,2018-07-18 11:39:49.547000,567f0e38-9e5e-45ad-8fe8-1263f7518e27,0
704,810272,860777,2.0,US, ,2018-07-18 15:13:04,2099-01-01 00:00:00,KS0070000000799,*,H001,2018-07-18 15:13:31.757000,bd2f80b4-e40e-44aa-ab9e-43e7fe76c9e1,0
705,810272,860778,5.8,TL, ,2018-07-18 15:13:15,2099-01-01 00:00:00,KS0070000000799,*,H001,2018-07-18 15:13:31.757000,4940eca1-a379-4d7e-9e59-ea19a1c65331,0
706,810275,860781,1.6,US, ,2018-07-18 15:26:53,2099-01-01 00:00:00,KS0070000000800,*,H001,2018-07-18 15:27:04.770000,4c4adf01-5f02-4566-95ec-cc82105e5fca,0
707,810329,860838,4.72,US, ,2018-07-18 19:59:44,2099-01-01 00:00:00,KS0070000000372,*,H001,2018-07-18 19:59:53.673000,bffc5948-76b1-42d2-991a-b9868cd52e9f,0
708,810333,860842,4.8,TL, ,2018-07-18 20:15:15,2099-01-01 00:00:00,KS0020000001807,*,V05,2018-07-18 20:15:39.437000,c01b7573-4806-4416-aac4-fe0b22cec6c1,0
709,810364,860876,24.0,TL, ,2018-07-18 21:40:55,2099-01-01 00:00:00,KS0070000000029,*,H001,2018-07-18 21:41:54.500000,93448276-4e13-4e6a-adb6-d87e35d4ba9b,0
710,810364,860875,8.4,US, ,2018-07-18 21:40:46,2099-01-01 00:00:00,KS0070000000029,*,H001,2018-07-18 21:41:54.500000,7c241dd3-acb5-472e-81e2-9b5b0048a870,0
711,810713,861252,0.8,TL, ,2018-07-20 12:58:48,2099-01-01 00:00:00,KS0070000000261,*,H001,2018-07-20 12:59:09.190000,f8ed3e44-cd3a-468c-a42d-01a9839bac60,0
712,810713,861251,13.6,US, ,2018-07-20 12:58:37,2099-01-01 00:00:00,KS0070000000261,*,H001,2018-07-20 12:59:09.190000,4e54d237-f4d1-4bb0-8584-330f0221e738,0
713,810749,861290,3.6,US, ,2018-07-20 14:28:31,2099-01-01 00:00:00,KS0070000000336,*,V05,2018-07-20 14:29:25.087000,82baff9b-8d41-4400-ad5f-30ff6e2be36f,0
714,810931,861481,1.0,US, ,2018-07-21 09:13:32,2099-01-01 00:00:00,KS0070000000491,*,H001,2018-07-21 09:13:44.510000,85371843-dc50-4e0f-bd51-425bc75efd70,0
