ModulName,ModulParent,ModulLevel,ModulCaption,kgid,insUN,insDT,insApp,updUN,updDT,updApp
TS_MFinans,miMusteri,0,Finans,342,,,,,,
miLokDetStk,miStokMenu,2,Lokasyon Detaylı Stok Durum Raporu,343,,,,,,
miEFatura,miFaturaMenu,2,E-Fatura,344,,,,,,
miCreateEFatura,miEFatura,3,E-Fatura Oluşturma...,345,,,,,,
miEF_CariKontrol,miEFatura,3,Carilerimi Kontrol Et...,346,,,,,,
miKayDelete,ools1,2,Silinen Kayıtlar,347,,,,,,
miUyari,ools1,2,Uyarı Ekranı...,348,,,,,,
miUyari_Ayar,Help1,1,Uyarı Ayarları...,349,,,,,,
Form_PosGir_X,Birdahagster1,2,Form_PosGir_X,350,,,,,,
Stok,Birdahagster1,2,Stok,351,,,,,,
Korgun_Haberler,Birdahagster1,2,Korgun_Haberler,352,,,,,,
miPerYonetim_HR,miHazirRaporlar,1,Perakende Satış Yönetimi,353,,,,,,
miHR_1,miPerYonetim_HR,2,ACILTAKIP,354,,,,,,
miHR_2,miPerYonetim_HR,2,UPDATEACILTAKIP,355,,,,,,
miHR_3,miPerYonetim_HR,2,ENCOSATAN(ÜRÜN-RENK-BEDEN),356,,,,,,
miHR_4,miPerYonetim_HR,2,ENCOKSATAN(ÜRÜN-RENK),357,,,,,,
miDahiliUyari,miirsaliyemenu,2,Dahili İrsaliye Kontrol Modülü,358,,,,,,
miHR_5,miPerYonetim_HR,2,IADE,359,,,,,,
Siparis_PazarlamaSiparis_Yazdir_RaporListeFR,Birdahagster1,2,Siparis_PazarlamaSiparis_Yazdir_RaporListeFR,360,,,,,,
Siparis_PazarlamaSiparis_YazdirGrup,Birdahagster1,2,Siparis_PazarlamaSiparis_YazdirGrup,361,,,,,,
SevkFisi_Yazdir_RaporListe,Birdahagster1,2,SevkFisi_Yazdir_RaporListe,362,,,,,,
Sevk_Yazdir_MevBedenKaldir,Birdahagster1,2,Sevk_Yazdir_MevBedenKaldir,363,,,,,,
SevkFisi_Yazdir_StokDetaylari,Birdahagster1,2,SevkFisi_Yazdir_StokDetaylari,364,,,,,,
SevkFisi_Yazdir_EkrandaGor,Birdahagster1,2,SevkFisi_Yazdir_EkrandaGor,365,,,,,,
miStokYonetim_HR,miHazirRaporlar,1,Stok Yönetimi ...,366,,,,,,
miHR_6,miStokYonetim_HR,2,TOTALSTOK,367,,,,,,
Perakende_Satis,Birdahagster1,2,Perakende_Satis,368,,,,,,
miHR_7,miPerYonetim_HR,2,ENCOKSTANA,369,,,,,,
miHR_8,miPerYonetim_HR,2,PAZARYERISIPARISSAYISI,370,,,,,,
miHR_10,miStokYonetim_HR,2,BARKODSATISADEDI,371,,,,,,
miHR_11,miPerYonetim_HR,2,GIDERPUSULASI,372,,,,,,
miSatDahSip,miLojistic,1,Dahili Pazarlama Siparişleri ...,373,,,,,,
miAlDahSip,miLojistic,1,Dahili Satınalma Siparişleri ...,374,,,,,,
miHR_12,miStokYonetim_HR,2,KRİTİKSEVİYE,375,,,,,,
miHR_14,miirsaliyeYon_HR,2,MERKEZDAHILI,376,,,,,,
Siparis_PazarlamaSiparis_BarkodYaz_DetayAsorti,Birdahagster1,2,Siparis_PazarlamaSiparis_BarkodYaz_DetayAsorti,377,,,,,,
HizliStok,Birdahagster1,2,HizliStok,378,,,,,,
Fatura_Satis_BarkodYaz_Detay_Siralama_Sekli,Birdahagster1,2,Fatura_Satis_BarkodYaz_Detay_Siralama_Sekli,379,,,,,,
Fatura_Satis_BarkodYaz_Fiyat_Tipleri,Birdahagster1,2,Fatura_Satis_BarkodYaz_Fiyat_Tipleri,380,,,,,,
Fatura_Satis_BarkodYaz_SatirlarToplansinMi,Birdahagster1,2,Fatura_Satis_BarkodYaz_SatirlarToplansinMi,381,,,,,,
Siparis_PazarlamaSiparis_Yazdir_RaporSekil,Birdahagster1,2,Siparis_PazarlamaSiparis_Yazdir_RaporSekil,382,,,,,,
Siparis_PazarlamaSiparis_Yazdir_BedenSorgusu,Birdahagster1,2,Siparis_PazarlamaSiparis_Yazdir_BedenSorgusu,383,,,,,,
Siparis_PazarlamaSiparis_YazdirAltTopGrup,Birdahagster1,2,Siparis_PazarlamaSiparis_YazdirAltTopGrup,384,,,,,,
miHR_9,miPerYonetim_HR,2,COKSATANLAR,385,,,,,,
Form_PosGir_X_1,Birdahagster1,2,Form_PosGir_X_1,386,,,,,,
miirsaliyeYon_HR,miHazirRaporlar,1,İrsaliye Yönetimi ...,387,,,,,,
miHR_13,miirsaliyeYon_HR,2,GÖNDEREN,388,,,,,,
miCSFTakip,miKasaMenu,2,Çek Senet Takibi ...,389,,,,,,
miCek,miFinans,1,Çek,390,,,,,,
Siparis_PazarlamaSiparis_BarkodYaz_DetayDizayn,Birdahagster1,2,Siparis_PazarlamaSiparis_BarkodYaz_DetayDizayn,391,,,,,,
miHR_16,miStokYonetim_HR,2,DAHILIHARIC,392,,,,,,
miHR_17,miPerYonetim_HR,2,GIDERPUSULASI,393,,,,,,
miHR_18,miPerYonetim_HR,2,GPYAZDIRMA,394,,,,,,
miHR_19,miPerYonetim_HR,2,GPYAZDIRILANKONTROL,395,,,,,,
miHR_20,miPerYonetim_HR,2,MUAZGP,396,,,,,,
miHR_21,miPerYonetim_HR,2,MUAZGP,397,,,,,,
miTSatisRapor,miFinans,1,Raporlar,398,,,,,,
Rapor_80,miTSatisRapor,2,Lokasyona Göre Genel Satış Raporu (Satış Miktarına Göre) (r80),399,,,,,,
Rapor_81,miTSatisRapor,2,Lokasyona Göre Genel Satış Raporu (Satış Tutarına Göre) (r81),400,,,,,,
Rapor_90,miTSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu (Satış Miktarına Göre) (r90),401,,,,,,
Rapor_105,miTSatisRapor,2,Haftalık Satış Analizi (Satış Miktarına Göre) (r105),402,,,,,,
Rapor_106,miTSatisRapor,2,Aylık Satış Analizi (Satış Miktarına Göre) (r106),403,,,,,,
Rapor_108,miTSatisRapor,2,Yıllık Satış Analizi (Satış Miktarına Göre) (r108),404,,,,,,
Rapor_110,miTSatisRapor,2,Haftalık Satış Analizi (Satış Tutarına Göre) (r110),405,,,,,,
Rapor_111,miTSatisRapor,2,Aylık Satış Analizi (Satış Tutarına Göre) (r111),406,,,,,,
Rapor_113,miTSatisRapor,2,Yıllık Satış Analizi (Satış Tutarına Göre) (r113),407,,,,,,
Rapor_116,miTSatisRapor,2,Müşteri Toptan Satış Raporu (Satış Miktarına Göre) (r116),408,,,,,,
Rapor_117,miTSatisRapor,2,Müşteri Toptan Satış Raporu (Satış Tutarına Göre) (r117),409,,,,,,
Rapor_801,miTSatisRapor,2,Lokasyon Bazında Stok Satış Oranı (801),410,,,,,,
Rapor_802,miTSatisRapor,2,Lokasyon-Stok Grubu Bazında  Stok Satış Oranı (802),411,,,,,,
Rapor_809,miTSatisRapor,2,Gerçekleşen Ciro-Hedefler Karşılaştırma Raporu (r809),412,,,,,,
Rapor_811,miTSatisRapor,2,Gerçekleşen Tahmini Ciro Raporu (r811),413,,,,,,
miMKDVBeyan,miMMaliTablo,2,KDV Beyannamesi,414,,,,,,
miMMuhtasar,miMMaliTablo,2,Muhtasar Beyanname,415,,,,,,
miMGeciciVer,miMMaliTablo,2,Geçici Vergi Beyannamesi,416,,,,,,
miCRM,,0,Crm,417,,,,,,
miCRM_Firmalar,miCRM,1,Firmalar,418,,,,,,
miCRMFirmaList,miCRM_Firmalar,2,Firma Tanımları...,419,,,,,,
miFirmaFilter,miCRM_Firmalar,2,Firma Yönetimi...,420,,,,,,
miCRM_FromCari,miCRM_Firmalar,2,Cari'den Al,421,,,,,,
miCRM_FromCust,miCRM_Firmalar,2,Müşteri'den Al,422,,,,,,
miCRMGorusmeler,miCRM,1,Görüşmeler,423,,,,,,
miCRM_GKayit,miCRMGorusmeler,2,Görüşme Kayıtları...,424,,,,,,
miCRM_GFilter,miCRMGorusmeler,2,Görüşme Yönetimi...,425,,,,,,
miCRM_Kisiler,miCRM,1,Kişiler,426,,,,,,
miCRM_KisiKart,miCRM_Kisiler,2,Kişi Kartları...,427,,,,,,
miCRM_KisiFilter,miCRM_Kisiler,2,Kişi Yönetimi...,428,,,,,,
miCRM_ServisMain,miCRM,1,Servis,429,,,,,,
miCRM_Servis_Talep,miCRM_ServisMain,2,Talep Girişi...,430,,,,,,
miCRM_Servis,miCRM_ServisMain,2,Servis Girişi...,431,,,,,,
miCRM_ServisFilter,miCRM_ServisMain,2,Servis Yönetimi...,432,,,,,,
miPlanlama,,0,Planlama,433,,,,,,
miUretMCrt,miPlanlama,1,Ürün Ağacı,434,,,,,,
miUretModCreate,miUretMCrt,2,Mamül  Yarı Mamul Reçeteleri ...,435,,,,,,
miNonModelList,miUretMCrt,2,Reçetesi olmayan ürünler ...,436,,,,,,
miModelList,miUretMCrt,2,Reçetesi olan ürünler ...,437,,,,,,
miUrModelList,miUretMCrt,2,Ürünlere Bağlı Model ağaçları ...,438,,,,,,
miUretPlanlaYon,miPlanlama,1,Pazarlamadan Üretime Talepler ...,439,,,,,,
miMrpMain,miPlanlama,1,Üretim kaynakları planlama (MRP),440,,,,,,
miMRPGlb,miMrpMain,2,Malzeme İhtiyaç Planı (MRP) ...,441,,,,,,
miMrpCrp,miMrpMain,2,Kapasite ihtiyaç planı (CRP) ...,442,,,,,,
miMrpDayPln,miMrpMain,2,Üretim Çizelgeleme 1...,443,,,,,,
miMrpDayPln1,miMrpMain,2,Üretim Çizelgeleme 2...,444,,,,,,
miymDegYon,miPlanlama,1,Yarımamül Değerlendirme Yönetimi ...,445,,,,,,
miSanalUretim,miPlanlama,1,Sanal Üretim...,446,,,,,,
miKalipYonetimi,miPlanlama,1,Kalıp Durum Yönetimi,447,,,,,,
miUretAlimPlanlaYon,miPlanlama,1,Üretimden Satınalmaya Talepler....,448,,,,,,
miURaporlar,miPlanlama,1,Raporlar,449,,,,,,
Rapor_200,miURaporlar,2,Planlanan/Gerçekleşen Üretim Karşılaştırması (r200),450,,,,,,
Rapor_199,miURaporlar,2,Sipariş Tarihine Göre Üretim Durum Raporu (r199),451,,,,,,
Rapor_217,miURaporlar,2,Ürün-Renk Cari Bazlı Sipariş Üretim Durumu Raporu (r217),452,,,,,,
Rapor_204,miURaporlar,2,Model-Kalıp Durum Raporu (r204),453,,,,,,
Rapor_207,miURaporlar,2,Detaylı Kalıp Durum Raporu (r207),454,,,,,,
miUrLojistic,,0,Üretim Lojistiği,455,,,,,,
miUretEmirM,miUrLojistic,1,Bütünleşik Üretim Emri,456,,,,,,
miYUretEmir,miUretEmirM,2,Başlamamış İş Emirleri ...,457,,,,,,
miDUretEmir,miUretEmirM,2,Devam Eden İş Emirleri ...,458,,,,,,
miEUretEmir,miUretEmirM,2,Tamamlanmış İş Emirleri ...,459,,,,,,
miUrTakip,miUrLojistic,1,Üretim Emiri Bazında Process Takip ,460,,,,,,
miUrTakip1,miUrTakip,2,Üretimi Bekleyen Takipler ...,461,,,,,,
miUrTakip2,miUrTakip,2,Üretimi Devam Eden Takipler ...,462,,,,,,
miUrTakip3,miUrTakip,2,Üretimi Biten Takipler ...,463,,,,,,
miSmi_Urt,miUrLojistic,1,Sanal Maliyet İşletme Üretimi ...,464,,,,,,
miYenDeg,miUrLojistic,1,Yeniden Değerleme ...,465,,,,,,
miGenGid,miUrLojistic,1,Ürünlere Genel Gider Dağitımı...,466,,,,,,
miTERap,miUrLojistic,1,Tamamlanmış Emirler Raporu...,467,,,,,,
miKalite,,0,Kalite,468,,,,,,
Parametreler1,miKalite,1,Parametreler,469,,,,,,
miKalParam,Parametreler1,2,Kalite Parametreleri...,470,,,,,,
miKaliteGrp,Parametreler1,2,Kalite Grupları...,471,,,,,,
miHR_22,miStokYonetim_HR,2,STOKDETAY,472,,,,,,
irsaliye_Dahili_Satis_BarkodYaz_BarkodTipi,Birdahagster1,2,irsaliye_Dahili_Satis_BarkodYaz_BarkodTipi,473,,,,,,
irsaliye_Dahili_Satis_BarkodYaz_DizaynSecimi,Birdahagster1,2,irsaliye_Dahili_Satis_BarkodYaz_DizaynSecimi,474,,,,,,
irsaliye_Dahili_Satis_BarkodYaz_Detay_Siralama_Sekli,Birdahagster1,2,irsaliye_Dahili_Satis_BarkodYaz_Detay_Siralama_Sekli,475,,,,,,
irsaliye,Birdahagster1,2,irsaliye,476,,,,,,
miHR_23,miPerYonetim_HR,2,111URUNSATISRAPOR,477,,,,,,
miHR_24,miStokYonetim_HR,2,STOKDEVIRLISORGULAMA,478,,,,,,
miCekGir,miCek,2,Çek Bordroları,479,,,,,,
miMusCekGir,miCekGir,3,Müşteri Çek Girişleri ...,480,,,,,,
miFirCekCik,miCekGir,3,Firma Çek Çıkışları ...,481,,,,,,
miCekis,miCek,2,Çek işlemleri,482,,,,,,
miMusCekis,miCekis,3,Müşteri Çek işlemleri ...,483,,,,,,
miFirCekis,miCekis,3,Firma Çek işlemleri ...,484,,,,,,
miCekTakip,miCek,2,Çek Takip İşlemleri,485,,,,,,
miCekTakipMu,miCekTakip,3,Müşteri Çekleri Takip ...,486,,,,,,
miCekTakipFi,miCekTakip,3,Firma Çekleri Takip ...,487,,,,,,
miCekYon,miCek,2,Çek Yönetimi ...,488,,,,,,
miTopCekPtint,miCek,2,Toplu Çek  Yazdırma Listesi,489,,,,,,
miSenet,miFinans,1,Senet,490,,,,,,
miSenetGir,miSenet,2,Senet Bordroları,491,,,,,,
miMusSenetGir,miSenetGir,3,Müşteri Senet Girişleri ...,492,,,,,,
miFirSenetCik,miSenetGir,3,Firma Senet Çıkışları ...,493,,,,,,
miSenetis,miSenet,2,Senet işlemleri,494,,,,,,
miMusSenetis,miSenetis,3,Müşteri Senet işlemleri ...,495,,,,,,
miFirSenetis,miSenetis,3,Firma Senet işlemleri ...,496,,,,,,
miSenetTakip,miSenet,2,Senet Takip işlemleri,497,,,,,,
miSenetTakipMu,miSenetTakip,3,Müşteri Senetleri Takip ...,498,,,,,,
miSenetTakipFi,miSenetTakip,3,Firma Senetleri Takip ...,499,,,,,,
miSenetYon,miSenet,2,Senet Yönetimi ...,500,,,,,,
miTopSenetPtint,miSenet,2,Toplu Senet Yazdırma Listesi,501,,,,,,
Rapor_49,miTSatisRapor,2,Satıcı Belge Fatura Ortalama Analizi (r49),502,,,,,,
Muhasebe_Mizan_Yazdir_Sekli,Birdahagster1,2,Muhasebe_Mizan_Yazdir_Sekli,503,,,,,,
Muhasebe_MuavinDefter_Yazdir_Sekli,Birdahagster1,2,Muhasebe_MuavinDefter_Yazdir_Sekli,504,,,,,,
MaliTablo_2_Yazdir_Sekli,Birdahagster1,2,MaliTablo_2_Yazdir_Sekli,505,,,,,,
Muhasebe_DefteriKebir_Yazdir_Sekli,Birdahagster1,2,Muhasebe_DefteriKebir_Yazdir_Sekli,506,,,,,,
Muhasebe_YevmiyeDefteri_Yazdir_Sekli,Birdahagster1,2,Muhasebe_YevmiyeDefteri_Yazdir_Sekli,507,,,,,,
,Birdahagster1,2,,508,,,,,,
Fatura_Satis_Yazdir_LotaGoreGruplama,Birdahagster1,2,Fatura_Satis_Yazdir_LotaGoreGruplama,509,,,,,,
Fatura_Satis_Yazdir_EkrandaGor,Birdahagster1,2,Fatura_Satis_Yazdir_EkrandaGor,510,,,,,,
perakende,Birdahagster1,2,perakende,511,,,,,,
Fatura,Birdahagster1,2,Fatura,512,,,,,,
Fatura__EArsivFaturasiMi,Birdahagster1,2,Fatura__EArsivFaturasiMi,513,,,,,,
SaticiKodu,Birdahagster1,2,SaticiKodu,514,,,,,,
DetayGiris,Birdahagster1,2,DetayGiris,515,,,,,,
ReadBarcodeSip,Birdahagster1,2,ReadBarcodeSip,516,,,,,,
BABS_YazdirmaTipi,Birdahagster1,2,BABS_YazdirmaTipi,517,,,,,,
miHR_27,miPerYonetim_HR,2,EKSIKFATURASORGUSU,518,,,,,,
HizliStok_Barkod_Asorti_Siralama_Sekli,Birdahagster1,2,HizliStok_Barkod_Asorti_Siralama_Sekli,529,,,,,,
HizliStok_Barkod_AsortiBedebMikBos,Birdahagster1,2,HizliStok_Barkod_AsortiBedebMikBos,530,,,,,,
irsaliye_dal_Kopyala_Fiyat_Guncelle,Birdahagster1,2,irsaliye_dal_Kopyala_Fiyat_Guncelle,531,,,,,,
irsaliye_dal_Kopyala_islem_Alt_Tipi,Birdahagster1,2,irsaliye_dal_Kopyala_islem_Alt_Tipi,532,,,,,,
irsaliye_dal_Kopyala_islem_Tipi,Birdahagster1,2,irsaliye_dal_Kopyala_islem_Tipi,533,,,,,,
Form_PosGir_X_0_EArsivYazdir,Birdahagster1,2,Form_PosGir_X_0_EArsivYazdir,534,,,,,,
Form_PosGir_X_2_EArsivYazdir,Birdahagster1,2,Form_PosGir_X_2_EArsivYazdir,536,,,,,,
Perakende_Satis_FastYazdir_1_RaporSecim,Birdahagster1,2,Perakende_Satis_FastYazdir_1_RaporSecim,537,,,,,,
Perakende_Satis_FR_EkranYazici,Birdahagster1,2,Perakende_Satis_FR_EkranYazici,538,,,,,,
irsaliye_fsa_Faturalastir_FatNox,Birdahagster1,2,irsaliye_fsa_Faturalastir_FatNox,543,,,,,,
miHR_32,miSiparisYon1_HR,2,PAZARLAMA1,544,,,,,,
miEBayannameParams,mieBeyan,2,E-Beyanname Parametreleri,546,KorgunDestek,2024-10-09 00:29:07.483000,KGShop,,,
miGeciciEBeyan,mieBeyan,2,Geçici(Kurumlar) Beyanname,547,KorgunDestek,2024-10-09 00:29:07.490000,KGShop,,,
miHR_33,miSiparisYon1_HR,2,KRITER,548,Zeki,2024-10-09 09:46:59.340000,KGShop,,,
Genel_Excel_Gonderim_Sekli,Birdahagster1,2,Genel_Excel_Gonderim_Sekli,545,,,,,,
Stok_Barkod_SatirlarToplansinMi,Birdahagster1,2,Stok_Barkod_SatirlarToplansinMi,541,,,,,,
miDemirbas,miFinans,1,Demirbaş,549,KorgunDestek,2024-10-16 06:04:17.517000,KGShop,,,
miDemirbasKart,miDemirbas,2,Demirbaş Kartı...,550,KorgunDestek,2024-10-16 06:04:17.527000,KGShop,,,
miDemirbasHar,miDemirbas,2,Demirbaş Hareketi...,551,KorgunDestek,2024-10-16 06:04:17.530000,KGShop,,,
miKrediTanimS,miKrediTanim,4,Sabit Ödeme Planlı Krediler,519,,,,,,
miRotatifTanim,miKrediTanim,4,Rotatif (BCH) Kredi,520,,,,,,
miMuhFisControl,miMRaporlar,2,Muhasebe Fiş Kontrol Ekranı,521,,,,,,
miSilinenDetay,ools1,2,Silinen Kayıtlar (Detaylı),522,,,,,,
miCleanMyRegistry,Birdahagster1,2,Kayıt Defterimi Temizle,523,,,,,,
DetayGiris_Detay_Giris_Stok_Ozellikleri,Birdahagster1,2,DetayGiris_Detay_Giris_Stok_Ozellikleri,535,,,,,,
Stok_Barkod__D__Dizayn,Birdahagster1,2,Stok_Barkod__D__Dizayn,539,,,,,,
Stok_Barkod_DetayAsortiSeri,Birdahagster1,2,Stok_Barkod_DetayAsortiSeri,540,,,,,,
Stok_Barkod_Detay_Siralama_Sekli,Birdahagster1,2,Stok_Barkod_Detay_Siralama_Sekli,542,,,,,,
miDemirbasYon,miDemirbas,2,Demirbaş Yönetimi...,552,KorgunDestek,2024-10-16 06:04:17.530000,KGShop,,,
miAmortismanYon,miDemirbas,2,Amortisman Yönetimi...,553,KorgunDestek,2024-10-16 06:04:17.537000,KGShop,,,
mieDefter,miEDefterMain,2,E-Defterler,554,KorgunDestek,2024-10-16 06:04:17.540000,KGShop,,,
Form_PosGir_X_1_EArsivYazdir,Birdahagster1,2,Form_PosGir_X_1_EArsivYazdir,524,,,,,,
HizliStok_Barkod_Detay_Siralama_Sekli,Birdahagster1,2,HizliStok_Barkod_Detay_Siralama_Sekli,525,,,,,,
HizliStok_Barkod_DetayAsortiSeri,Birdahagster1,2,HizliStok_Barkod_DetayAsortiSeri,526,,,,,,
HizliStok_Barkod_Dizayn,Birdahagster1,2,HizliStok_Barkod_Dizayn,527,,,,,,
HizliStok_Barkod_SatirlarToplansinMi,Birdahagster1,2,HizliStok_Barkod_SatirlarToplansinMi,528,,,,,,
