FisNo,FisTar,Location,CM,CMKod,BelgeNo,Durum,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Onay1,OnayTar1,insUN,insDT,updUN,updDT
4686,2021-11-19 00:04:23.447000,KS007,M,,,,,,,,,,,KLAS,2021-11-19 00:04:23.460000,KLAS,2021-11-19 00:04:23.460000
4687,2021-11-19 14:45:55.810000,KS007,M,,,,,,,,,,,KLAS,2021-11-19 14:45:55.810000,KLAS,2021-11-19 14:45:55.810000
4688,2021-11-19 20:05:59.470000,KS007,M,,,,,,,,,,,KLAS,2021-11-19 20:05:59.473000,KLAS,2021-11-19 20:05:59.477000
4689,2021-11-20 14:04:41.200000,KS002,M,,,,,,,,,,,CEMILE,2021-11-20 14:04:41.233000,CEMILE,2021-11-20 14:04:41.233000
4690,2021-11-20 16:25:49.680000,KS002,M,,,,,,,,,,,CEMILE,2021-11-20 16:25:49.680000,CEMILE,2021-11-20 16:25:49.680000
4691,2021-11-24 00:02:46.853000,KS007,M,,,,,,,,,,,KLAS,2021-11-24 00:02:46.853000,KLAS,2021-11-24 00:02:46.867000
4692,2021-11-24 20:28:56.567000,KM01,M,,,,,,,,,,,ZBURNU,2021-11-24 20:28:56.567000,ZBURNU,2021-11-24 20:28:56.583000
4693,2021-11-25 12:45:16.463000,KS002,M,,,,,,,,,,,CEMILE,2021-11-25 12:45:16.463000,CEMILE,2021-11-25 12:45:16.463000
4694,2021-11-25 13:59:02.617000,KS002,M,,,,,,,,,,,CEMILE,2021-11-25 13:59:02.617000,CEMILE,2021-11-25 13:59:02.617000
4695,2021-11-26 22:45:10.943000,KS002,M,,,,,,,,,,,CEMILE,2021-11-26 22:45:10.943000,CEMILE,2021-11-26 22:45:10.943000
4696,2021-11-27 13:10:23.427000,KS002,M,,,,,,,,,,,CEMILE,2021-11-27 13:10:23.430000,CEMILE,2021-11-27 13:10:23.437000
4697,2021-11-27 14:24:30.840000,KS007,M,,,,,,,,,,,KLAS,2021-11-27 14:24:30.840000,KLAS,2021-11-27 14:24:30.840000
4698,2021-11-29 13:20:20.003000,KS007,M,,,,,,,,,,,KLAS,2021-11-29 13:20:20.020000,KLAS,2021-11-29 13:20:20.033000
4699,2021-11-29 13:23:28.640000,KS007,M,,,,,,,,,,,KLAS,2021-11-29 13:23:28.640000,KLAS,2021-11-29 13:23:28.640000
4700,2021-11-29 20:34:20.693000,KS002,M,,,,,,,,,,,CEMILE,2021-11-29 20:34:20.693000,CEMILE,2021-11-29 20:34:20.693000
4701,2021-11-30 15:49:35.310000,KM01,M,,,,,,,,,,,ZBURNU,2021-11-30 15:49:35.317000,ZBURNU,2021-11-30 15:49:35.327000
4702,2021-12-01 08:43:02.630000,KS002,M,,,,,,,,,,,CEMILE,2021-12-01 08:43:02.630000,CEMILE,2021-12-01 08:43:02.647000
4703,2021-12-02 14:24:51.670000,KS007,M,,,,,,,,,,,KLAS,2021-12-02 14:24:51.683000,KLAS,2021-12-02 14:24:51.683000
4704,2021-12-04 17:34:22.813000,KS002,M,,,,,,,,,,,FUNDA,2021-12-04 17:34:22.830000,FUNDA,2021-12-04 17:34:22.847000
4705,2021-12-06 15:49:52.790000,KS002,M,,,,,,,,,,,CEMILE,2021-12-06 15:49:52.807000,CEMILE,2021-12-06 15:49:52.807000
4706,2021-12-07 18:56:38.040000,KS002,M,,,,,,,,,,,CEMILE,2021-12-07 18:56:38.040000,CEMILE,2021-12-07 18:56:38.040000
4707,2021-12-09 18:33:59.090000,KS007,M,,,,,,,,,,,KLAS,2021-12-09 18:33:59.107000,KLAS,2021-12-09 18:33:59.107000
4708,2021-12-10 23:19:36.270000,KS007,M,,,,,,,,,,,KLAS,2021-12-10 23:19:36.270000,KLAS,2021-12-10 23:19:36.270000
4709,2021-12-11 12:00:43.070000,KS002,M,,,,,,,,,,,CEMILE,2021-12-11 12:00:43.087000,CEMILE,2021-12-11 12:00:43.087000
4710,2021-12-12 18:09:54.183000,KM01,M,,,,,,,,,,,ZBURNU,2021-12-12 18:09:54.183000,ZBURNU,2021-12-12 18:09:54.183000
4711,2021-12-12 22:57:11.050000,KS007,M,,,,,,,,,,,KLAS,2021-12-12 22:57:11.063000,KLAS,2021-12-12 22:57:11.063000
4712,2021-12-12 23:20:17.100000,KS007,M,,,,,,,,,,,KLAS,2021-12-12 23:20:17.100000,KLAS,2021-12-12 23:20:17.100000
4713,2021-12-14 19:29:25.673000,KS002,M,,,,,,,,,,,CEMILE,2021-12-14 19:29:25.690000,CEMILE,2021-12-14 19:29:25.690000
4714,2021-12-15 13:28:50.190000,KS007,M,,,,,,,,,,,KLAS,2021-12-15 13:28:50.190000,KLAS,2021-12-15 13:28:50.190000
4715,2021-12-19 17:10:59.373000,KS002,M,,,,,,,,,,,FUNDA,2021-12-19 17:10:59.373000,FUNDA,2021-12-19 17:10:59.390000
4716,2021-12-20 14:29:58.320000,KM01,M,,,,,,,,,,,ZBURNU,2021-12-20 14:29:58.320000,ZBURNU,2021-12-20 14:29:58.320000
4717,2021-12-21 19:39:14.633000,KS002,M,,,,,,,,,,,FUNDA,2021-12-21 19:39:14.633000,FUNDA,2021-12-21 19:39:14.633000
4718,2021-12-23 13:12:19.150000,KM01,M,,,,,,,,,,,ZBURNU,2021-12-23 13:12:19.150000,ZBURNU,2021-12-23 13:12:19.163000
4719,2021-12-23 15:17:54.980000,KS007,M,,,,,,,,,,,KLAS,2021-12-23 15:17:54.980000,KLAS,2021-12-23 15:17:54.980000
4720,2021-12-23 15:20:18.510000,KS007,M,,,,,,,,,,,KLAS,2021-12-23 15:20:18.510000,KLAS,2021-12-23 15:20:18.510000
4721,2021-12-24 17:19:29.857000,KS007,M,,,,,,,,,,,KLAS,2021-12-24 17:19:29.857000,KLAS,2021-12-24 17:19:29.867000
4722,2021-12-24 19:33:55.950000,KS002,M,,,,,,,,,,,CEMILE,2021-12-24 19:33:55.950000,CEMILE,2021-12-24 19:33:55.950000
4723,2021-12-28 11:44:53.027000,KS002,M,,,,,,,,,,,CEMILE,2021-12-28 11:44:53.040000,CEMILE,2021-12-28 11:44:53.047000
4724,2021-12-28 19:41:47.517000,KS007,M,,,,,,,,,,,KLAS,2021-12-28 19:41:47.517000,KLAS,2021-12-28 19:41:47.517000
4725,2021-12-30 20:06:43.040000,KS002,M,,,,,,,,,,,CEMILE,2021-12-30 20:06:43.040000,CEMILE,2021-12-30 20:06:43.040000
4726,2022-01-02 18:35:15.553000,KS007,M,,,,,,,,,,,KLAS,2022-01-02 18:35:15.583000,KLAS,2022-01-02 18:35:15.600000
4727,2022-01-09 13:40:05,KS002,M,,,,,,,,,,,CEMILE,2022-01-09 13:40:05.013000,CEMILE,2022-01-09 13:40:05.030000
4728,2022-01-09 13:42:03.770000,KS002,M,,,,,,,,,,,CEMILE,2022-01-09 13:42:03.770000,CEMILE,2022-01-09 13:42:03.770000
4729,2022-01-09 13:49:18.273000,KS002,M,,,,,,,,,,,CEMILE,2022-01-09 13:49:18.273000,CEMILE,2022-01-09 13:49:18.273000
4730,2022-01-12 13:36:40.120000,KS002,M,,,,,,,,,,,CEMILE,2022-01-12 13:36:40.150000,CEMILE,2022-01-12 13:36:40.167000
4731,2022-01-14 10:11:47.413000,KS007,M,,,,,,,,,,,KLAS,2022-01-14 10:11:47.430000,KLAS,2022-01-14 10:11:47.447000
4732,2022-01-15 00:55:11.627000,KS002,M,,,,,,,,,,,FUNDA,2022-01-15 00:55:11.627000,FUNDA,2022-01-15 00:55:11.627000
4733,2022-01-19 15:48:08.620000,KM01,M,,,,,,,,,,,ZBURNU,2022-01-19 15:48:08.633000,ZBURNU,2022-01-19 15:48:08.633000
4734,2022-01-22 16:13:16.907000,KS002,M,,,,,,,,,,,CEMILE,2022-01-22 16:13:16.910000,CEMILE,2022-01-22 16:13:16.917000
4735,2022-01-22 17:54:48.647000,KS002,M,,,,,,,,,,,CEMILE,2022-01-22 17:54:48.647000,CEMILE,2022-01-22 17:54:48.647000
4736,2022-01-24 17:10:14.123000,KM01,M,,,,,,,,,,,ZBURNU,2022-01-24 17:10:14.123000,ZBURNU,2022-01-24 17:10:14.140000
4737,2022-01-29 15:46:42.977000,KS002,M,,,,,,,,,,,CEMILE,2022-01-29 15:46:42.977000,CEMILE,2022-01-29 15:46:43
4738,2022-02-03 17:07:39.927000,KS002,M,,,,,,,,,,,CEMILE,2022-02-03 17:07:39.943000,CEMILE,2022-02-03 17:07:39.943000
4739,2022-02-03 22:25:32.027000,KS007,M,,,,,,,,,,,KLAS,2022-02-03 22:25:32.027000,KLAS,2022-02-03 22:25:32.043000
4740,2022-02-04 23:52:35.063000,KS002,M,,,,,,,,,,,FUNDA,2022-02-04 23:52:35.063000,FUNDA,2022-02-04 23:52:35.063000
4741,2022-02-05 17:16:20.190000,KM01,M,,,,,,,,,,,ZBURNU,2022-02-05 17:16:20.190000,ZBURNU,2022-02-05 17:16:20.190000
4742,2022-02-08 16:24:57.760000,KS002,M,,,,,,,,,,,CEMILE,2022-02-08 16:24:57.760000,CEMILE,2022-02-08 16:24:57.777000
4743,2022-02-08 16:33:50.840000,KS002,M,,,,,,,,,,,CEMILE,2022-02-08 16:33:50.840000,CEMILE,2022-02-08 16:33:50.840000
4744,2022-02-11 00:45:47.440000,KS002,M,,,,,,,,,,,CEMILE,2022-02-11 00:45:47.450000,CEMILE,2022-02-11 00:45:47.460000
4745,2022-02-12 22:21:31.770000,KS002,M,,,,,,,,,,,CEMILE,2022-02-12 22:21:31.770000,CEMILE,2022-02-12 22:21:31.770000
4746,2022-02-13 14:47:54.093000,KM01,M,,,,,,,,,,,ZBURNU,2022-02-13 14:47:54.110000,ZBURNU,2022-02-13 14:47:54.110000
4747,2022-02-14 23:37:58.080000,KS007,M,,,,,,,,,,,KLAS,2022-02-14 23:37:58.080000,KLAS,2022-02-14 23:37:58.080000
4748,2022-02-20 14:38:35.503000,KS002,M,,,,,,,,,,,FUNDA,2022-02-20 14:38:35.503000,FUNDA,2022-02-20 14:38:35.503000
4749,2022-02-24 12:09:21.343000,KS002,M,,,,,,,,,,,FUNDA,2022-02-24 12:09:21.343000,FUNDA,2022-02-24 12:09:21.360000
4750,2022-02-25 16:48:43.800000,KS002,M,,,,,,,,,,,FUNDA,2022-02-25 16:48:43.800000,FUNDA,2022-02-25 16:48:43.830000
4751,2022-02-25 22:05:57.110000,KS002,M,,,,,,,,,,,FUNDA,2022-02-25 22:05:57.110000,FUNDA,2022-02-25 22:05:57.110000
4752,2022-02-27 13:34:44.320000,KS002,M,,,,,,,,,,,FUNDA,2022-02-27 13:34:44.333000,FUNDA,2022-02-27 13:34:44.333000
4753,2022-02-28 10:44:35.010000,KM01,M,,,,,,,,,,,ZBURNU,2022-02-28 10:44:35.023000,ZBURNU,2022-02-28 10:44:35.023000
4754,2022-03-02 21:14:08.983000,KS007,M,,,,,,,,,,,KLAS,2022-03-02 21:14:08.983000,KLAS,2022-03-02 21:14:09
4755,2022-03-02 22:20:21.120000,KS007,M,,,,,,,,,,,KLAS,2022-03-02 22:20:21.120000,KLAS,2022-03-02 22:20:21.120000
4756,2022-03-05 23:35:33.740000,KS012,M,KS0120000000114,,,,,,,,,,sa,2022-03-05 23:35:33.740000,sa,2022-03-05 23:35:33.757000
4757,2022-03-05 23:37:21.970000,KS013,M,KS0130000000147,,,,,,,,,,sa,2022-03-05 23:37:21.970000,sa,2022-03-05 23:37:21.970000
4758,2022-03-06 01:00:43.190000,KS013,M,KS0130000000149,,,,,,,,,,sa,2022-03-06 01:00:43.190000,sa,2022-03-06 01:00:43.190000
4759,2022-03-06 01:04:26.667000,KS013,M,KS0130000000150,,,,,,,,,,sa,2022-03-06 01:04:26.667000,sa,2022-03-06 01:04:26.667000
4760,2022-03-06 01:04:26.963000,KS013,M,KS0130000000150,,,,,,,,,,sa,2022-03-06 01:04:26.963000,sa,2022-03-06 01:04:26.963000
4761,2022-03-06 01:04:28.873000,KS013,M,KS0130000000151,,,,,,,,,,sa,2022-03-06 01:04:28.873000,sa,2022-03-06 01:04:28.873000
4762,2022-03-06 01:04:29.110000,KS013,M,KS0130000000151,,,,,,,,,,sa,2022-03-06 01:04:29.110000,sa,2022-03-06 01:04:29.110000
4763,2022-03-06 01:04:30.460000,KS013,M,KS0130000000152,,,,,,,,,,sa,2022-03-06 01:04:30.460000,sa,2022-03-06 01:04:30.460000
4764,2022-03-06 01:04:32.480000,KS013,M,KS0130000000153,,,,,,,,,,sa,2022-03-06 01:04:32.480000,sa,2022-03-06 01:04:32.480000
4765,2022-03-06 01:04:33.857000,KS013,M,KS0130000000154,,,,,,,,,,sa,2022-03-06 01:04:33.857000,sa,2022-03-06 01:04:33.857000
4766,2022-03-06 01:04:34.127000,KS013,M,KS0130000000154,,,,,,,,,,sa,2022-03-06 01:04:34.127000,sa,2022-03-06 01:04:34.127000
4767,2022-03-06 01:04:37.627000,KS013,M,KS0130000000155,,,,,,,,,,sa,2022-03-06 01:04:37.627000,sa,2022-03-06 01:04:37.627000
4768,2022-03-06 01:04:41.330000,KS013,M,KS0130000000156,,,,,,,,,,sa,2022-03-06 01:04:41.330000,sa,2022-03-06 01:04:41.330000
4769,2022-03-06 01:04:44.897000,KS012,M,KS0120000000115,,,,,,,,,,sa,2022-03-06 01:04:44.897000,sa,2022-03-06 01:04:44.897000
4770,2022-03-06 01:04:48.710000,KS013,M,KS0130000000157,,,,,,,,,,sa,2022-03-06 01:04:48.710000,sa,2022-03-06 01:04:48.710000
4771,2022-03-06 01:04:55.120000,KS013,M,KS0130000000158,,,,,,,,,,sa,2022-03-06 01:04:55.120000,sa,2022-03-06 01:04:55.120000
4772,2022-03-06 01:04:57.927000,KS013,M,KS0130000000159,,,,,,,,,,sa,2022-03-06 01:04:57.927000,sa,2022-03-06 01:04:57.927000
4773,2022-03-06 01:04:58.290000,KS013,M,KS0130000000159,,,,,,,,,,sa,2022-03-06 01:04:58.290000,sa,2022-03-06 01:04:58.290000
4774,2022-03-06 01:05:01.527000,KS012,M,KS0120000000116,,,,,,,,,,sa,2022-03-06 01:05:01.527000,sa,2022-03-06 01:05:01.527000
4775,2022-03-06 01:05:04.150000,KS012,M,KS0120000000117,,,,,,,,,,sa,2022-03-06 01:05:04.150000,sa,2022-03-06 01:05:04.150000
4776,2022-03-06 01:05:09.707000,KS013,M,KS0130000000160,,,,,,,,,,sa,2022-03-06 01:05:09.707000,sa,2022-03-06 01:05:09.707000
4777,2022-03-06 01:05:13.950000,KS012,M,KS0120000000118,,,,,,,,,,sa,2022-03-06 01:05:13.950000,sa,2022-03-06 01:05:13.950000
4778,2022-03-06 01:05:18.037000,KS013,M,KS0130000000001,,,,,,,,,,sa,2022-03-06 01:05:18.037000,sa,2022-03-06 01:05:18.037000
4779,2022-03-06 01:05:19.967000,KS013,M,KS0130000000002,,,,,,,,,,sa,2022-03-06 01:05:19.967000,sa,2022-03-06 01:05:19.967000
4780,2022-03-06 01:05:21.640000,KS012,M,KS0120000000001,,,,,,,,,,sa,2022-03-06 01:05:21.640000,sa,2022-03-06 01:05:21.640000
4781,2022-03-06 01:05:23.907000,KS012,M,KS0120000000002,,,,,,,,,,sa,2022-03-06 01:05:23.907000,sa,2022-03-06 01:05:23.907000
4782,2022-03-06 01:05:26.280000,KS012,M,KS0120000000003,,,,,,,,,,sa,2022-03-06 01:05:26.280000,sa,2022-03-06 01:05:26.280000
4783,2022-03-06 01:05:26.780000,KS012,M,KS0120000000003,,,,,,,,,,sa,2022-03-06 01:05:26.780000,sa,2022-03-06 01:05:26.780000
4784,2022-03-06 01:05:29.640000,KS013,M,KS0130000000003,,,,,,,,,,sa,2022-03-06 01:05:29.640000,sa,2022-03-06 01:05:29.640000
4785,2022-03-06 01:05:31.953000,KS012,M,KS0120000000004,,,,,,,,,,sa,2022-03-06 01:05:31.953000,sa,2022-03-06 01:05:31.953000
4786,2022-03-06 01:05:34.017000,KS013,M,KS0130000000004,,,,,,,,,,sa,2022-03-06 01:05:34.017000,sa,2022-03-06 01:05:34.017000
4787,2022-03-06 01:05:36.117000,KS012,M,KS0120000000005,,,,,,,,,,sa,2022-03-06 01:05:36.117000,sa,2022-03-06 01:05:36.117000
4788,2022-03-06 01:05:37.747000,KS013,M,KS0130000000005,,,,,,,,,,sa,2022-03-06 01:05:37.747000,sa,2022-03-06 01:05:37.747000
4789,2022-03-06 01:05:38.107000,KS013,M,KS0130000000005,,,,,,,,,,sa,2022-03-06 01:05:38.107000,sa,2022-03-06 01:05:38.107000
4790,2022-03-06 01:05:39.883000,KS013,M,KS0130000000006,,,,,,,,,,sa,2022-03-06 01:05:39.883000,sa,2022-03-06 01:05:39.883000
4791,2022-03-06 01:05:41.303000,KS013,M,KS0130000000007,,,,,,,,,,sa,2022-03-06 01:05:41.303000,sa,2022-03-06 01:05:41.303000
4792,2022-03-06 01:05:41.633000,KS013,M,KS0130000000007,,,,,,,,,,sa,2022-03-06 01:05:41.633000,sa,2022-03-06 01:05:41.633000
4793,2022-03-06 01:05:43.980000,KS013,M,KS0130000000008,,,,,,,,,,sa,2022-03-06 01:05:43.980000,sa,2022-03-06 01:05:43.980000
4794,2022-03-06 01:05:45.547000,KS013,M,KS0130000000009,,,,,,,,,,sa,2022-03-06 01:05:45.547000,sa,2022-03-06 01:05:45.547000
4795,2022-03-06 01:05:51.470000,KS013,M,KS0130000000010,,,,,,,,,,sa,2022-03-06 01:05:51.470000,sa,2022-03-06 01:05:51.470000
4796,2022-03-06 01:05:52.933000,KS013,M,KS0130000000011,,,,,,,,,,sa,2022-03-06 01:05:52.933000,sa,2022-03-06 01:05:52.933000
4797,2022-03-06 01:05:54.427000,KS012,M,KS0120000000006,,,,,,,,,,sa,2022-03-06 01:05:54.427000,sa,2022-03-06 01:05:54.427000
4798,2022-03-06 01:05:54.710000,KS012,M,KS0120000000006,,,,,,,,,,sa,2022-03-06 01:05:54.710000,sa,2022-03-06 01:05:54.710000
4799,2022-03-06 01:05:54.977000,KS012,M,KS0120000000006,,,,,,,,,,sa,2022-03-06 01:05:54.977000,sa,2022-03-06 01:05:54.977000
4800,2022-03-06 01:05:56.467000,KS013,M,KS0130000000012,,,,,,,,,,sa,2022-03-06 01:05:56.467000,sa,2022-03-06 01:05:56.467000
4801,2022-03-06 01:05:56.730000,KS013,M,KS0130000000012,,,,,,,,,,sa,2022-03-06 01:05:56.730000,sa,2022-03-06 01:05:56.730000
4802,2022-03-06 01:05:57.013000,KS013,M,KS0130000000012,,,,,,,,,,sa,2022-03-06 01:05:57.013000,sa,2022-03-06 01:05:57.013000
4803,2022-03-06 01:05:58.770000,KS013,M,KS0130000000013,,,,,,,,,,sa,2022-03-06 01:05:58.770000,sa,2022-03-06 01:05:58.770000
4804,2022-03-06 01:06:00.090000,KS013,M,KS0130000000014,,,,,,,,,,sa,2022-03-06 01:06:00.107000,sa,2022-03-06 01:06:00.107000
4805,2022-03-06 01:06:01.647000,KS013,M,KS0130000000015,,,,,,,,,,sa,2022-03-06 01:06:01.647000,sa,2022-03-06 01:06:01.647000
4806,2022-03-06 01:06:03.090000,KS013,M,KS0130000000016,,,,,,,,,,sa,2022-03-06 01:06:03.090000,sa,2022-03-06 01:06:03.090000
4807,2022-03-06 01:06:03.340000,KS013,M,KS0130000000016,,,,,,,,,,sa,2022-03-06 01:06:03.340000,sa,2022-03-06 01:06:03.340000
4808,2022-03-06 01:06:04.807000,KS012,M,KS0120000000007,,,,,,,,,,sa,2022-03-06 01:06:04.807000,sa,2022-03-06 01:06:04.807000
4809,2022-03-06 01:06:06.210000,KS012,M,KS0120000000008,,,,,,,,,,sa,2022-03-06 01:06:06.210000,sa,2022-03-06 01:06:06.210000
4810,2022-03-06 01:06:07.683000,KS012,M,KS0120000000009,,,,,,,,,,sa,2022-03-06 01:06:07.683000,sa,2022-03-06 01:06:07.683000
4811,2022-03-06 01:06:09.150000,KS012,M,KS0120000000010,,,,,,,,,,sa,2022-03-06 01:06:09.150000,sa,2022-03-06 01:06:09.150000
4812,2022-03-06 01:06:10.640000,KS012,M,KS0120000000011,,,,,,,,,,sa,2022-03-06 01:06:10.640000,sa,2022-03-06 01:06:10.640000
4813,2022-03-06 01:06:12.540000,KS013,M,KS0130000000017,,,,,,,,,,sa,2022-03-06 01:06:12.540000,sa,2022-03-06 01:06:12.540000
4814,2022-03-06 01:06:12.800000,KS013,M,KS0130000000017,,,,,,,,,,sa,2022-03-06 01:06:12.800000,sa,2022-03-06 01:06:12.800000
4815,2022-03-06 01:06:13.050000,KS013,M,KS0130000000017,,,,,,,,,,sa,2022-03-06 01:06:13.050000,sa,2022-03-06 01:06:13.050000
4816,2022-03-06 01:06:13.320000,KS013,M,KS0130000000017,,,,,,,,,,sa,2022-03-06 01:06:13.320000,sa,2022-03-06 01:06:13.320000
4817,2022-03-06 01:06:13.600000,KS013,M,KS0130000000017,,,,,,,,,,sa,2022-03-06 01:06:13.600000,sa,2022-03-06 01:06:13.600000
4818,2022-03-06 01:06:17.197000,KS012,M,KS0120000000012,,,,,,,,,,sa,2022-03-06 01:06:17.197000,sa,2022-03-06 01:06:17.197000
4819,2022-03-06 01:06:19.610000,KS012,M,KS0120000000013,,,,,,,,,,sa,2022-03-06 01:06:19.610000,sa,2022-03-06 01:06:19.610000
4820,2022-03-06 01:06:21.023000,KS012,M,KS0120000000014,,,,,,,,,,sa,2022-03-06 01:06:21.023000,sa,2022-03-06 01:06:21.023000
4821,2022-03-06 01:06:22.520000,KS012,M,KS0120000000015,,,,,,,,,,sa,2022-03-06 01:06:22.537000,sa,2022-03-06 01:06:22.537000
4822,2022-03-06 01:06:22.813000,KS012,M,KS0120000000015,,,,,,,,,,sa,2022-03-06 01:06:22.813000,sa,2022-03-06 01:06:22.813000
4823,2022-03-06 01:06:24.193000,KS012,M,KS0120000000016,,,,,,,,,,sa,2022-03-06 01:06:24.193000,sa,2022-03-06 01:06:24.193000
4824,2022-03-06 01:06:26.490000,KS012,M,KS0120000000017,,,,,,,,,,sa,2022-03-06 01:06:26.490000,sa,2022-03-06 01:06:26.490000
4825,2022-03-06 01:06:27.910000,KS012,M,KS0120000000018,,,,,,,,,,sa,2022-03-06 01:06:27.910000,sa,2022-03-06 01:06:27.910000
4826,2022-03-06 01:06:29.210000,KS012,M,KS0120000000019,,,,,,,,,,sa,2022-03-06 01:06:29.210000,sa,2022-03-06 01:06:29.210000
4827,2022-03-06 01:06:30.680000,KS012,M,KS0120000000020,,,,,,,,,,sa,2022-03-06 01:06:30.680000,sa,2022-03-06 01:06:30.680000
4828,2022-03-06 01:06:32.250000,KS012,M,KS0120000000021,,,,,,,,,,sa,2022-03-06 01:06:32.250000,sa,2022-03-06 01:06:32.250000
4829,2022-03-06 01:06:35.077000,KS012,M,KS0120000000022,,,,,,,,,,sa,2022-03-06 01:06:35.077000,sa,2022-03-06 01:06:35.077000
4830,2022-03-06 01:06:36.973000,KS012,M,KS0120000000023,,,,,,,,,,sa,2022-03-06 01:06:36.973000,sa,2022-03-06 01:06:36.973000
4831,2022-03-06 01:06:38.753000,KS012,M,KS0120000000024,,,,,,,,,,sa,2022-03-06 01:06:38.753000,sa,2022-03-06 01:06:38.753000
4832,2022-03-06 01:06:40.577000,KS012,M,KS0120000000025,,,,,,,,,,sa,2022-03-06 01:06:40.577000,sa,2022-03-06 01:06:40.577000
4833,2022-03-06 01:06:40.917000,KS012,M,KS0120000000025,,,,,,,,,,sa,2022-03-06 01:06:40.917000,sa,2022-03-06 01:06:40.917000
4834,2022-03-06 01:06:43.203000,KS012,M,KS0120000000026,,,,,,,,,,sa,2022-03-06 01:06:43.203000,sa,2022-03-06 01:06:43.203000
4835,2022-03-06 01:06:46.243000,KS013,M,KS0130000000018,,,,,,,,,,sa,2022-03-06 01:06:46.243000,sa,2022-03-06 01:06:46.243000
4836,2022-03-06 01:06:47.660000,KS013,M,KS0130000000019,,,,,,,,,,sa,2022-03-06 01:06:47.660000,sa,2022-03-06 01:06:47.660000
4837,2022-03-06 01:06:49.017000,KS013,M,KS0130000000020,,,,,,,,,,sa,2022-03-06 01:06:49.017000,sa,2022-03-06 01:06:49.017000
4838,2022-03-06 01:06:50.493000,KS013,M,KS0130000000021,,,,,,,,,,sa,2022-03-06 01:06:50.493000,sa,2022-03-06 01:06:50.493000
4839,2022-03-06 01:06:50.790000,KS013,M,KS0130000000021,,,,,,,,,,sa,2022-03-06 01:06:50.790000,sa,2022-03-06 01:06:50.790000
4840,2022-03-06 01:06:51.087000,KS013,M,KS0130000000021,,,,,,,,,,sa,2022-03-06 01:06:51.087000,sa,2022-03-06 01:06:51.087000
4841,2022-03-06 01:06:52.727000,KS013,M,KS0130000000022,,,,,,,,,,sa,2022-03-06 01:06:52.727000,sa,2022-03-06 01:06:52.727000
4842,2022-03-06 01:06:54.893000,KS012,M,KS0120000000027,,,,,,,,,,sa,2022-03-06 01:06:54.893000,sa,2022-03-06 01:06:54.893000
4843,2022-03-06 01:06:56.543000,KS012,M,KS0120000000028,,,,,,,,,,sa,2022-03-06 01:06:56.543000,sa,2022-03-06 01:06:56.543000
4844,2022-03-06 01:06:58.020000,KS013,M,KS0130000000023,,,,,,,,,,sa,2022-03-06 01:06:58.020000,sa,2022-03-06 01:06:58.020000
4845,2022-03-06 01:06:59.447000,KS013,M,KS0130000000024,,,,,,,,,,sa,2022-03-06 01:06:59.447000,sa,2022-03-06 01:06:59.447000
4846,2022-03-06 01:07:00.887000,KS013,M,KS0130000000025,,,,,,,,,,sa,2022-03-06 01:07:00.887000,sa,2022-03-06 01:07:00.887000
4847,2022-03-06 01:07:02.570000,KS013,M,KS0130000000026,,,,,,,,,,sa,2022-03-06 01:07:02.570000,sa,2022-03-06 01:07:02.570000
4848,2022-03-06 01:07:04.007000,KS013,M,KS0130000000027,,,,,,,,,,sa,2022-03-06 01:07:04.007000,sa,2022-03-06 01:07:04.007000
4849,2022-03-06 01:07:05.723000,KS013,M,KS0130000000028,,,,,,,,,,sa,2022-03-06 01:07:05.723000,sa,2022-03-06 01:07:05.723000
4850,2022-03-06 01:07:09.960000,KS013,M,KS0130000000029,,,,,,,,,,sa,2022-03-06 01:07:09.960000,sa,2022-03-06 01:07:09.960000
4851,2022-03-06 01:07:12.087000,KS013,M,KS0130000000030,,,,,,,,,,sa,2022-03-06 01:07:12.087000,sa,2022-03-06 01:07:12.087000
4852,2022-03-06 01:07:12.400000,KS013,M,KS0130000000030,,,,,,,,,,sa,2022-03-06 01:07:12.400000,sa,2022-03-06 01:07:12.400000
4853,2022-03-06 01:07:12.717000,KS013,M,KS0130000000030,,,,,,,,,,sa,2022-03-06 01:07:12.717000,sa,2022-03-06 01:07:12.717000
4854,2022-03-06 01:07:13.043000,KS013,M,KS0130000000030,,,,,,,,,,sa,2022-03-06 01:07:13.043000,sa,2022-03-06 01:07:13.043000
4855,2022-03-06 01:07:14.703000,KS013,M,KS0130000000031,,,,,,,,,,sa,2022-03-06 01:07:14.703000,sa,2022-03-06 01:07:14.703000
4856,2022-03-06 01:07:16.960000,KS013,M,KS0130000000032,,,,,,,,,,sa,2022-03-06 01:07:16.960000,sa,2022-03-06 01:07:16.960000
4857,2022-03-06 01:07:18.903000,KS013,M,KS0130000000033,,,,,,,,,,sa,2022-03-06 01:07:18.903000,sa,2022-03-06 01:07:18.903000
4858,2022-03-06 01:07:19.297000,KS013,M,KS0130000000033,,,,,,,,,,sa,2022-03-06 01:07:19.297000,sa,2022-03-06 01:07:19.297000
4859,2022-03-06 01:07:19.623000,KS013,M,KS0130000000033,,,,,,,,,,sa,2022-03-06 01:07:19.623000,sa,2022-03-06 01:07:19.623000
4860,2022-03-06 01:07:19.923000,KS013,M,KS0130000000033,,,,,,,,,,sa,2022-03-06 01:07:19.923000,sa,2022-03-06 01:07:19.923000
