FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NoBaBs,NeedCalculate
684778,K,KT,2023-01-05 18:21:30,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-05 18:22:08.247000,ZBURNU,2023-01-05 18:22:08.250000,,,,,,2023-01-05 18:22:08.310000,2023-01-05 18:22:08.830000,,,,0
684779,K,GO,2023-01-05 18:30:14,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 18:33:03.193000,BERRIN,2023-01-06 13:08:27.850000,,,,,,2023-01-06 13:08:27.863000,2023-01-06 13:08:28.450000,,,,0
684780,K,GO,2023-01-05 18:33:06,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 18:34:15.303000,BERRIN,2023-01-06 13:03:25.857000,,,,,,2023-01-06 13:03:25.877000,2023-01-06 13:03:26.283000,,,,0
684781,K,NO,2023-01-05 18:36:10,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-05 18:36:35.700000,AKKALAMALL,2023-01-05 18:36:35.700000,,,,,,2023-01-05 18:36:35.833000,2023-01-05 18:36:36.683000,,,,0
684782,K,NO,2023-01-05 18:36:35,HK,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 18:36:57.953000,BERRIN,2023-01-05 18:37:14.947000,,,,,,2023-01-05 18:37:14.980000,2023-01-05 18:37:15.320000,,,,0
684783,K,GO,2023-01-05 18:37:04,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-05 18:38:14.870000,AKKALAMALL,2023-01-05 18:38:14.870000,,,,,,2023-01-05 18:38:14.927000,2023-01-05 18:38:15.567000,,,,0
684784,K,GG,2023-01-05 18:49:40,,V01,KS002,,,,,0,,,BERRIN,2023-01-05 18:49:52.747000,BERRIN,2023-01-05 18:49:52.747000,,,,,,2023-01-05 18:49:52.783000,2023-01-05 18:49:53.387000,,,,0
684785,K,NO,2023-01-05 18:52:52,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-05 18:55:12.847000,AKKALAMALL,2023-01-05 18:55:12.847000,,,,,,2023-01-05 18:55:12.900000,2023-01-05 18:55:13.493000,,,,0
684786,K,NO,2023-01-05 19:00:20,,L01,KS006,,,,,0,,,laleli,2023-01-05 19:01:14.890000,laleli,2023-01-05 19:01:14.890000,,,,,,2023-01-05 19:01:14.930000,2023-01-05 19:01:15.633000,,,,0
684787,K,NO,2023-01-05 19:01:49,EMANET ,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 19:02:29.257000,BERRIN,2023-01-05 19:02:29.257000,,,,,,2023-01-05 19:02:29.310000,2023-01-05 19:02:29.867000,,,,0
684788,K,NT,2023-01-05 19:02:38,,L01,KS006,,,,,0,,,laleli,2023-01-05 19:03:01.480000,laleli,2023-01-05 19:03:01.480000,,,,,,2023-01-05 19:03:01.513000,2023-01-05 19:03:02.003000,,,,0
684789,K,NT,2023-01-05 19:02:32,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 19:03:29.483000,BERRIN,2023-01-05 19:03:29.483000,,,,,,2023-01-05 19:03:29.570000,2023-01-05 19:03:33.227000,,,,0
684790,K,NO,2023-01-05 19:03:40,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 19:03:58.613000,BERRIN,2023-01-05 19:03:58.613000,,,,,,2023-01-05 19:03:58.643000,2023-01-05 19:03:59.053000,,,,0
684791,K,KT,2023-01-05 19:23:37,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-05 19:25:48.540000,NAZERKE,2023-01-05 19:25:48.540000,,,,,,2023-01-05 19:25:48.673000,2023-01-05 19:25:49.487000,,,,0
684792,K,KT,2023-01-05 19:33:50,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-05 19:37:55.580000,ERBIL,2023-01-05 19:37:55.583000,,,,,,2023-01-05 19:37:55.623000,2023-01-05 19:37:56.217000,,,,0
684793,K,KT,2023-01-05 22:18:12,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-05 22:27:14.140000,ERBIL,2023-01-05 22:27:14.140000,,,,,,2023-01-05 22:27:14.220000,2023-01-05 22:27:14.767000,,,,0
684794,K,KT,2023-01-05 22:28:53,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-05 22:30:54.540000,RAYMOOL,2023-01-05 22:30:54.540000,,,,,,2023-01-05 22:30:54.627000,2023-01-05 22:30:55.467000,,,,0
684795,K,KT,2023-01-06 10:35:21,NAKIT,D01,KM03,,,,,0,,,SEMRA,2023-01-06 10:36:35.463000,SEMRA,2023-01-06 10:36:35.463000,,,,,,2023-01-06 12:48:40.930000,2023-01-06 12:49:33.883000,,,,0
684796,K,KT,2023-01-06 09:20:53,GİDER,V01,KS002,,,,,0,,,LIN,2023-01-06 11:57:54.563000,AIDAANA,2023-01-07 00:35:03.690000,,,,,,2023-01-07 00:35:03.710000,2023-01-07 00:35:04.237000,,,,0
684797,K,KT,2023-01-06 12:35:26,NAKIT,Z01,KM01,,,,,0,,,ZBURNU,2023-01-06 12:36:17.130000,ZBURNU,2023-01-06 12:36:17.130000,,,,,,2023-01-06 12:48:40.930000,2023-01-06 12:49:33.703000,,,,0
684798,K,KT,2023-01-06 12:36:29,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-06 12:36:55.720000,ZBURNU,2023-01-06 12:36:55.720000,,,,,,2023-01-06 12:48:40.930000,2023-01-06 12:49:33.593000,,,,0
684799,K,NO,2023-01-05 13:07:40,OK,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 13:07:56.473000,BERRIN,2023-01-06 13:07:56.473000,,,,,,2023-01-06 13:07:56.507000,2023-01-06 13:07:56.830000,,,,0
684800,C,AD,2023-01-05 13:26:04,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-06 13:27:06.120000,BERRIN,2023-01-06 13:27:06.120000,,,,,,2023-01-06 13:27:06.157000,2023-01-06 13:27:06.450000,,,,0
684801,C,BD,2023-01-05 13:27:12,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-06 13:27:42.520000,BERRIN,2023-01-06 13:27:42.520000,,,,,,2023-01-06 13:27:42.560000,2023-01-06 13:27:42.900000,,,,0
684802,K,KT,2023-01-06 13:57:50,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-06 13:58:37.517000,KLAS,2023-01-06 23:08:29.247000,,,,,,2023-01-06 23:08:31.097000,2023-01-06 23:08:32.773000,,,,0
684803,K,KT,2023-01-06 14:34:18,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-06 14:37:04.523000,FAMILYMOOL,2023-01-06 14:37:04.523000,,,,,,2023-01-06 14:37:04.637000,2023-01-06 14:37:05.227000,,,,0
684804,K,NO,2023-01-06 14:37:34,FIRMA ,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 14:41:34.723000,BERRIN,2023-01-06 19:46:42.723000,,,,,,2023-01-06 19:46:42.730000,2023-01-06 19:46:43.630000,,,,0
684805,K,NO,2023-01-06 14:41:42,EMANET,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 14:42:00.733000,BERRIN,2023-01-06 19:47:04.483000,,,,,,2023-01-06 19:47:04.500000,2023-01-06 19:47:04.817000,,,,0
684806,K,GO,2023-01-06 14:42:03,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 14:42:21.347000,BERRIN,2023-01-07 12:25:55.457000,,,,,,2023-01-07 12:25:55.473000,2023-01-07 12:25:55.917000,,,,0
684807,K,KT,2023-01-06 14:45:42,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-06 14:48:37.677000,FAMILYMOOL,2023-01-06 14:48:37.677000,,,,,,2023-01-06 14:48:39.107000,2023-01-06 14:48:40.373000,,,,0
684808,K,NT,2023-01-06 14:55:19,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 14:56:29.907000,BERRIN,2023-01-06 19:44:53.643000,,,,,,2023-01-06 19:44:53.683000,2023-01-06 19:44:54.197000,,,,0
684809,K,NO,2023-01-06 14:56:49,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 15:02:43.910000,BERRIN,2023-01-06 19:45:30.653000,,,,,,2023-01-06 19:45:30.670000,2023-01-06 19:45:31.107000,,,,0
684810,K,BC,2023-01-06 15:02:46,,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 15:03:51.570000,BERRIN,2023-01-06 15:03:51.570000,,,,,,2023-01-06 15:03:51.910000,2023-01-06 15:03:52.673000,,,,0
684811,K,KT,2023-01-06 15:59:29,NAKİT,V01,KS002,,,,,0,,,LIN,2023-01-06 16:01:15.563000,LIN,2023-01-06 23:12:55.873000,,,,,,2023-01-06 23:12:55.880000,2023-01-06 23:12:56.457000,,,,0
684812,K,KT,2023-01-06 17:16:00,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-06 17:16:53.393000,SEMRA,2023-01-06 17:16:53.393000,,,,,,2023-01-06 17:16:53.483000,2023-01-06 17:16:54.230000,,,,0
684813,K,KT,2023-01-06 18:15:55,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-06 18:17:58.857000,AYTOLGUN,2023-01-06 18:17:58.857000,,,,,,2023-01-06 18:17:59.077000,2023-01-06 18:17:59.990000,,,,0
684814,K,NO,2023-01-06 18:44:12,,L01,KS006,,,,,0,,,laleli,2023-01-06 18:44:26.470000,laleli,2023-01-06 19:31:49.403000,,,,,,2023-01-06 19:31:49.410000,2023-01-06 19:31:49.857000,,,,0
684815,K,NO,2023-01-06 18:49:05,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 18:49:37.763000,BERRIN,2023-01-06 19:32:05.690000,,,,,,2023-01-06 19:32:05.700000,2023-01-06 19:32:05.990000,,,,0
684816,K,GO,2023-01-06 18:55:26,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-06 18:55:55.320000,BERRIN,2023-01-07 12:25:44.577000,,,,,,2023-01-07 12:25:44.610000,2023-01-07 12:25:44.993000,,,,0
684817,K,KT,2023-01-06 18:58:46,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-06 19:04:12.033000,NAZERKE,2023-01-06 19:04:12.033000,,,,,,2023-01-06 19:04:12.360000,2023-01-06 19:04:13.287000,,,,0
684818,K,NT,2023-01-06 19:10:53,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-06 19:11:26.253000,BERRIN,2023-01-06 19:11:26.253000,,,,,,2023-01-06 19:11:26.313000,2023-01-06 19:11:26.650000,,,,0
684819,K,KT,2023-01-06 19:11:45,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-06 19:11:59.237000,BERRIN,2023-01-06 19:11:59.237000,,,,,,2023-01-06 19:11:59.333000,2023-01-06 19:11:59.777000,,,,0
684820,K,NO,2023-01-06 19:16:37,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-06 19:17:16.313000,AKKALAMALL,2023-01-06 19:17:16.313000,,,,,,2023-01-06 19:17:16.387000,2023-01-06 19:17:17.067000,,,,0
684821,K,GO,2023-01-06 19:17:26,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-06 19:17:48.340000,AKKALAMALL,2023-01-06 19:17:48.340000,,,,,,2023-01-06 19:17:48.430000,2023-01-06 19:17:50.443000,,,,0
684822,K,NO,2023-01-06 19:30:04,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-06 19:30:26.037000,AKKALAMALL,2023-01-06 19:30:26.037000,,,,,,2023-01-06 19:30:26.163000,2023-01-06 19:30:27.107000,,,,0
684823,C,AD,2023-01-06 19:50:15,FIRMA ,,KS001,,,,,0,,,BERRIN,2023-01-06 19:51:18.263000,BERRIN,2023-01-06 19:51:18.263000,,,,,,2023-01-06 19:51:18.420000,2023-01-06 19:51:18.923000,,,,0
684824,C,BD,2023-01-06 19:51:31,FIRMA ,,KS001,,,,,0,,,BERRIN,2023-01-06 19:52:28.860000,BERRIN,2023-01-06 19:52:28.860000,,,,,,2023-01-06 19:52:28.987000,2023-01-06 19:52:29.377000,,,,0
684825,C,BD,2023-01-05 19:54:02,FIRMA ,,KS001,,,,,0,,,BERRIN,2023-01-06 19:54:56.913000,BERRIN,2023-01-06 19:54:56.913000,,,,,,2023-01-06 19:54:56.960000,2023-01-06 19:54:57.350000,,,,0
684826,K,KT,2023-01-06 20:21:41,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-06 20:27:12.570000,RAYMOOL,2023-01-06 20:27:12.570000,,,,,,2023-01-06 20:27:12.707000,2023-01-06 20:27:13.430000,,,,0
684827,K,KT,2023-01-06 22:24:18,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-06 22:24:59.017000,ERBIL,2023-01-06 22:24:59.020000,,,,,,2023-01-06 22:24:59.063000,2023-01-06 22:24:59.937000,,,,0
684828,K,KT,2023-01-07 10:45:21,GİDER,V01,KS002,,,,,0,,,AIDAANA,2023-01-07 10:49:38.220000,AIDAANA,2023-01-08 00:35:03.893000,,,,,,2023-01-08 00:35:03.920000,2023-01-08 00:35:04.610000,,,,0
684829,K,KT,2023-01-07 10:47:48,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-07 10:50:55.293000,FAMILYMOOL,2023-01-07 10:50:55.293000,,,,,,2023-01-07 12:20:17.250000,2023-01-07 12:20:38.670000,,,,0
684830,C,AD,2023-01-07 12:51:37,FIRMA,,KS001,,,,,0,,,BERRIN,2023-01-07 13:02:42.657000,BERRIN,2023-01-07 13:02:47.077000,,,,,,2023-01-07 13:02:47.077000,2023-01-07 13:02:47.470000,,,,0
684831,K,KT,2023-01-07 13:56:02,NAKİT ,V01,KS002,,,,,0,,,AIDAANA,2023-01-07 13:56:43.580000,AIDAANA,2023-01-08 00:31:44.497000,,,,,,2023-01-08 00:31:44.517000,2023-01-08 00:31:45.030000,,,,0
684832,K,KT,2023-01-07 13:58:14,GİDER,H01,KS007,,,,,0,,,KLAS,2023-01-07 13:59:02.003000,KLAS,2023-01-07 13:59:02.007000,,,,,,2023-01-07 13:59:02.147000,2023-01-07 13:59:03.300000,,,,0
684835,K,KT,2023-01-07 14:38:56,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-07 14:43:07.450000,RAYMOOL,2023-01-07 14:43:07.450000,,,,,,2023-01-07 14:43:07.540000,2023-01-07 14:43:08.477000,,,,0
684836,K,KT,2023-01-07 16:07:19,AVANS ,V01,KS002,,,,,0,,,AIDAANA,2023-01-07 16:08:09.660000,AIDAANA,2023-01-07 16:12:39.990000,,,,,,2023-01-07 16:12:40.003000,2023-01-07 16:12:40.333000,,,,0
684837,K,KT,2023-01-07 16:56:45,GRANDPARKK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-07 16:59:32.543000,NAZERKE,2023-01-07 19:20:06.800000,,,,,,2023-01-07 19:20:06.810000,2023-01-07 19:20:07.280000,,,,0
684838,C,AD,2023-01-02 16:38:45,,,KS006,,,,,0,,,laleli,2023-01-07 16:59:37.033000,laleli,2023-01-17 14:56:37.313000,,,,,,2023-01-17 14:56:38.020000,2023-01-17 14:56:39.290000,,,,0
684839,C,AD,2023-01-07 16:32:24,DRMAN,,KS006,,,,,0,,,laleli,2023-01-07 17:14:09.297000,laleli,2023-01-07 17:14:54.027000,,,,,,2023-01-07 17:14:54.070000,2023-01-07 17:14:54.397000,,,,0
684840,C,AD,2023-01-07 16:33:33,ONLINE,,KS006,,,,,0,,,laleli,2023-01-07 17:15:38.913000,laleli,2023-01-07 17:16:33.657000,,,,,,2023-01-07 17:16:33.727000,2023-01-07 17:16:34.033000,,,,0
684841,K,KT,2023-01-07 17:23:26,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-07 17:24:20.163000,KLAS,2023-01-08 00:23:16.783000,,,,,,2023-01-08 00:23:16.803000,2023-01-08 00:23:17.500000,,,,0
684842,K,KT,2023-01-07 17:27:39,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-07 17:28:28.130000,SEMRA,2023-01-07 17:28:28.130000,,,,,,2023-01-07 17:28:28.220000,2023-01-07 17:28:28.787000,,,,0
684843,C,AD,2023-01-07 16:39:48,KLAS ,,KS006,,,,,0,,,laleli,2023-01-07 17:34:40.970000,laleli,2023-01-07 17:37:01.063000,,,,,,2023-01-07 17:37:01.200000,2023-01-07 17:37:01.560000,,,,0
684845,C,AD,2023-01-07 16:45:15,TOPTAN,,KS006,,,,,0,,,laleli,2023-01-07 17:45:31.923000,laleli,2023-01-07 17:51:50.687000,,,,,,2023-01-07 17:51:50.833000,2023-01-07 17:51:51.480000,,,,0
684846,C,AD,2023-01-07 16:56:10,NWS,,KS006,,,,,0,,,laleli,2023-01-07 17:53:41.407000,laleli,2023-01-07 17:57:13.137000,,,,,,2023-01-07 17:57:13.390000,2023-01-07 17:57:14.080000,,,,0
684847,K,GO,2023-01-07 18:00:54,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-07 18:01:12.500000,AKKALAMALL,2023-01-07 18:01:12.500000,,,,,,2023-01-07 18:01:12.550000,2023-01-07 18:01:13.143000,,,,0
684848,K,KT,2023-01-07 18:23:30,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-07 18:25:40.980000,AYTOLGUN,2023-01-07 18:25:40.980000,,,,,,2023-01-07 18:25:41.053000,2023-01-07 18:25:41.597000,,,,0
684849,K,NO,2023-01-07 18:34:59,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-07 18:35:32.067000,AKKALAMALL,2023-01-07 18:35:32.067000,,,,,,2023-01-07 18:35:32.103000,2023-01-07 18:35:32.510000,,,,0
684850,K,NT,2023-01-07 18:45:55,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 18:46:17.750000,BERRIN,2023-01-07 20:13:11.080000,,,,,,2023-01-07 20:13:11.103000,2023-01-07 20:13:11.407000,,,,0
684852,K,KT,2023-01-07 18:46:28,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-07 18:47:58.460000,ERBIL,2023-01-07 18:47:58.460000,,,,,,2023-01-07 18:47:58.523000,2023-01-07 18:47:59.033000,,,,0
684853,C,AD,2023-01-07 17:02:30,VZN ,,KS006,,,,,0,,,laleli,2023-01-07 19:03:11.903000,laleli,2023-01-17 17:24:35.340000,,,,,,2023-01-17 17:24:35.370000,2023-01-17 17:24:35.980000,,,,0
684854,K,GO,2023-01-07 19:02:51,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:07:33.443000,BERRIN,2023-01-09 11:31:50.123000,,,,,,2023-01-09 11:31:50.157000,2023-01-09 11:31:51.290000,,,,0
684855,K,NO,2023-01-07 19:07:38,,L01,KS006,,,,,0,,,laleli,2023-01-07 19:07:51.577000,laleli,2023-01-09 11:46:03.290000,,,,,,2023-01-09 11:46:03.303000,2023-01-09 11:46:03.813000,,,,0
684856,K,NO,2023-01-07 19:07:56,EMANET,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:08:16.480000,BERRIN,2023-01-07 20:21:35.403000,,,,,,2023-01-07 20:21:35.427000,2023-01-07 20:21:35.730000,,,,0
684857,K,NO,2023-01-07 19:08:18,HK,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:08:49.497000,BERRIN,2023-01-07 19:08:49.500000,,,,,,2023-01-07 19:08:49.953000,2023-01-07 19:08:50.443000,,,,0
684858,K,NO,2023-01-07 19:08:52,FIRMA ,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:09:20.743000,BERRIN,2023-01-07 20:19:09.213000,,,,,,2023-01-07 20:19:09.240000,2023-01-07 20:19:09.890000,,,,0
684859,K,NO,2023-01-07 19:16:06,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:17:02.120000,BERRIN,2023-01-09 11:48:44.150000,,,,,,2023-01-09 11:48:44.173000,2023-01-09 11:48:44.447000,,,,0
684860,K,NT,2023-01-07 19:17:57,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-07 19:18:45.260000,BERRIN,2023-01-07 19:18:45.260000,,,,,,2023-01-07 19:18:45.580000,2023-01-07 19:18:46.180000,,,,0
684861,K,KT,2023-01-07 19:19:14,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-07 19:19:29.283000,BERRIN,2023-01-07 19:19:29.283000,,,,,,2023-01-07 19:19:29.337000,2023-01-07 19:19:29.693000,,,,0
684862,K,NO,2023-01-07 19:20:54,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:21:55.247000,BERRIN,2023-01-07 20:13:20.043000,,,,,,2023-01-07 20:13:20.053000,2023-01-07 20:13:20.363000,,,,0
684863,K,NO,2023-01-07 19:27:53,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-07 19:28:20.770000,AKKALAMALL,2023-01-07 19:28:20.770000,,,,,,2023-01-07 19:28:20.823000,2023-01-07 19:28:21.373000,,,,0
684864,C,AD,2023-01-07 17:19:30,ZB ,,KS006,,,,,0,,,laleli,2023-01-07 19:36:19.800000,laleli,2023-01-07 19:38:40.570000,,,,,,2023-01-07 19:38:40.683000,2023-01-07 19:38:41.250000,,,,0
684865,K,GO,2023-01-07 19:39:42,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-07 19:41:25.257000,BERRIN,2023-01-09 11:32:10.033000,,,,,,2023-01-09 11:32:10.053000,2023-01-09 11:32:10.470000,,,,0
684866,K,KT,2023-01-07 19:56:48,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-07 19:58:07.530000,RAYMOOL,2023-01-07 19:58:07.533000,,,,,,2023-01-07 19:58:07.600000,2023-01-07 19:58:08.543000,,,,0
684867,K,KT,2023-01-07 20:11:40,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-07 20:12:21.790000,ZBURNU,2023-01-07 20:12:21.790000,,,,,,2023-01-07 20:12:21.923000,2023-01-07 20:12:22.600000,,,,0
684868,K,KT,2023-01-07 20:55:21,NAKIT,Z01,KM01,,,,,0,,,ZBURNU,2023-01-07 20:55:46.217000,ZBURNU,2023-01-07 20:55:46.217000,,,,,,2023-01-07 20:55:46.293000,2023-01-07 20:55:46.857000,,,,0
684869,K,KT,2023-01-07 22:52:45,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-07 22:58:06.523000,RAYMOOL,2023-01-07 22:58:06.523000,,,,,,2023-01-07 22:58:06.627000,2023-01-07 22:58:07.553000,,,,0
684870,K,KT,2023-01-08 11:24:42,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-08 11:26:54.010000,FAMILYMOOL,2023-01-08 11:26:54.010000,,,,,,2023-01-08 11:26:54.103000,2023-01-08 11:26:54.910000,,,,0
684871,K,KT,2023-01-08 15:32:52,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-08 15:34:15.870000,ERBIL,2023-01-08 15:34:15.870000,,,,,,2023-01-08 15:34:15.923000,2023-01-08 15:34:16.543000,,,,0
684872,K,KT,2023-01-08 17:23:36,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-08 17:24:50.370000,AYTOLGUN,2023-01-08 17:24:50.370000,,,,,,2023-01-08 17:24:50.560000,2023-01-08 17:24:51.433000,,,,0
684873,K,KT,2023-01-08 17:24:07,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-08 17:25:16.370000,KLAS,2023-01-08 22:57:33.453000,,,,,,2023-01-08 22:57:33.470000,2023-01-08 22:57:34.220000,,,,0
684874,K,KT,2023-01-08 08:27:37,GIDER,V01,KS002,,,,,0,,,LIN,2023-01-08 17:27:24.990000,AIDAANA,2023-01-09 00:54:49.127000,,,,,,2023-01-09 00:54:49.140000,2023-01-09 00:54:49.430000,,,,0
684875,K,KT,2023-01-08 17:27:14,NAKIT ,V01,KS002,,,,,0,,,LIN,2023-01-08 17:29:35.360000,AIDAANA,2023-01-08 22:53:03.283000,,,,,,2023-01-08 22:53:03.307000,2023-01-08 22:53:03.720000,,,,0
684876,K,NO,2023-01-08 18:14:41,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-08 18:15:12.450000,AKKALAMALL,2023-01-08 18:15:12.450000,,,,,,2023-01-08 18:15:12.517000,2023-01-08 18:15:13.120000,,,,0
684877,K,GO,2023-01-08 18:15:19,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-08 18:15:51.973000,AKKALAMALL,2023-01-08 18:15:51.973000,,,,,,2023-01-08 18:15:52.100000,2023-01-08 18:15:52.790000,,,,0
684878,K,NO,2023-01-08 18:36:49,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-08 18:37:18.170000,AKKALAMALL,2023-01-08 18:37:18.170000,,,,,,2023-01-08 18:37:18.210000,2023-01-08 18:37:18.713000,,,,0
684879,K,KT,2023-01-08 19:19:46,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-08 19:22:00.627000,NAZERKE,2023-01-08 19:22:00.630000,,,,,,2023-01-08 19:22:01.100000,2023-01-08 19:22:02.317000,,,,0
684880,K,KT,2023-01-08 20:19:11,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-08 20:21:43.413000,ZBURNU,2023-01-08 20:21:43.413000,,,,,,2023-01-08 20:21:43.647000,2023-01-08 20:21:44.487000,,,,0
684881,K,BY,2023-01-07 11:32:54,,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:33:34.773000,BERRIN,2023-01-09 11:33:34.773000,,,,,,2023-01-09 11:33:34.820000,2023-01-09 11:33:35.213000,,,,0
684882,K,BY,2023-01-08 11:34:28,,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:36:23.457000,BERRIN,2023-01-09 13:01:19.503000,,,,,,2023-01-09 13:01:19.530000,2023-01-09 13:01:19.940000,,,,0
684883,K,NO,2023-01-07 11:43:27,OK,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:45:35.983000,BERRIN,2023-01-09 11:45:35.983000,,,,,,2023-01-09 11:45:36.013000,2023-01-09 11:45:36.527000,,,,0
684884,K,GO,2023-01-08 11:52:13,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:55:56.303000,BERRIN,2023-01-09 18:50:09.957000,,,,,,2023-01-09 18:50:09.957000,2023-01-09 18:50:10.420000,,,,0
684885,K,GO,2023-01-08 11:56:19,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:57:28.460000,BERRIN,2023-01-09 11:57:28.460000,,,,,,2023-01-09 11:57:28.523000,2023-01-09 11:57:28.943000,,,,0
684886,K,NO,2023-01-08 11:57:37,SEDATTR,KS01,KS001,,,,,0,,,BERRIN,2023-01-09 11:57:52.153000,BERRIN,2023-01-09 11:58:01.543000,,,,,,2023-01-09 11:58:01.543000,2023-01-09 11:58:01.770000,,,,0
684887,C,AD,2023-01-08 12:23:22,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-09 12:25:06.047000,BERRIN,2023-01-09 12:25:06.047000,,,,,,2023-01-09 12:25:06.123000,2023-01-09 12:25:06.660000,,,,0
684888,C,AD,2023-01-07 12:25:11,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-09 12:25:56.043000,BERRIN,2023-01-09 12:25:56.043000,,,,,,2023-01-09 12:25:56.073000,2023-01-09 12:25:56.480000,,,,0
684889,C,AD,2023-01-06 12:26:00,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-09 12:26:45.847000,BERRIN,2023-01-12 12:49:31.620000,,,,,,2023-01-12 12:49:31.653000,2023-01-12 12:49:31.940000,,,,0
