Koli_KOD,Tanim,Beden_KOD,Tanim2,kgid,insUN,insDT,insApp,updUN,updDT,updApp
A564,------------,ZN01,------------------,547,,,,,,
A565,------,ZN01,----------,548,,,,,,
A566,------------,ZN01,--------------,549,,,,,,
A567,---------------,ZN01,-----------------,550,,,,,,
A568,-----------,ZN01,-------------,551,,,,,,
A569,----------,ZN01,--------------,552,,,,,,
A570,------------,ZN01,--------,553,,,,,,
A571,---------,ZN01,--------------,554,,,,,,
A572,---------,ZN01,---------,555,,,,,,
A573,----,ZN01,----------------,556,,,,,,
A574,----------,ZN01,----------------,557,,,,,,
A575,---------------,ZN01,--------------,558,,,,,,
A576,-----------,ZN01,--------------,559,,,,,,
A577,-----------,ZN01,----------,560,,,,,,
A578,-------,ZN01,-------------,561,,,,,,
A579,------------,ZN01,------------------,562,,,,,,
A580,----------,ZN01,---------------,563,,,,,,
A581,---------,ZN01,--------------,564,,,,,,
A582,--------,ZN01,------------,565,,,,,,
A583,----------,ZN01,------,566,,,,,,
A584,----------,ZN01,-----------------,567,,,,,,
A585,------------,ZN01,--------------,568,,,,,,
A586,-----------,ZN01,-------------,569,,,,,,
A587,-----------------,ZN01,------------,570,,,,,,
A588,----------,ZN01,----------,571,,,,,,
A589,----------,ZN01,--------------------,572,,,,,,
A590,------,ZN01,-----------------,573,,,,,,
A591,--------,ZN01,------------------,574,,,,,,
A592,-------,ZN01,-----------,575,,,,,,
A593,-----,ZN01,----------,576,,,,,,
A594,---------------,ZN01,-------------,577,,,,,,
A595,-------,ZN01,---------,578,,,,,,
A596,-------,ZN01,--------,579,,,,,,
A597,------------,ZN01,---------,580,,,,,,
A598,-------,ZN01,-------------,581,,,,,,
A599,----------,ZN01,--------------------,582,,,,,,
A600,-----------,ZN01,----------------,583,,,,,,
A601,--------------,ZN01,-------------,584,,,,,,
A602,----------,ZN01,--------------,585,,,,,,
A603,------,ZN01,----------------,586,,,,,,
A604,----,ZN01,----------,587,,,,,,
A605,---------,ZN01,----------------,588,,,,,,
A606,----------,ZN01,-----------,589,,,,,,
A607,-----------,ZN01,------------,590,,,,,,
A608,-----------,ZN01,-----------------------,591,,,,,,
A609,--------,ZN01,---------------,592,,,,,,
A610,----------,ZN01,------------,593,,,,,,
A611,-------,ZN01,----------,594,,,,,,
A612,-----,ZN01,-------,595,,,,,,
A613,--------,ZN01,----,596,,,,,,
A614,---------,ZN01,---------------,597,,,,,,
A615,--------,ZN01,----------,598,,,,,,
A616,-----------,ZN01,-------------,599,,,,,,
A617,--------,ZN01,------------,600,,,,,,
A618,------------,ZN01,---------------,601,,,,,,
A619,----------,ZN01,---------,602,,,,,,
A620,------------,ZN01,---------,603,,,,,,
A621,----------,ZN01,-----------,604,,,,,,
A622,--------,ZN01,---------------,605,,,,,,
A623,-------,ZN01,------------,606,,,,,,
A624,-------,ZN01,------------,607,,,,,,
A625,--------,ZN01,--------------,608,,,,,,
A626,------,ZN01,----------------,609,,,,,,
A627,------,ZN01,-----------,610,,,,,,
A628,---------------,ZN01,-----------,611,,,,,,
A629,----------,ZN01,-------,612,,,,,,
A630,------,ZN01,----------------,613,,,,,,
A631,--------,ZN01,------------,614,,,,,,
A632,-------,ZN01,---------,615,,,,,,
A633,-----,ZN01,----------,616,,,,,,
A634,---------,ZN01,---------------------,617,,,,,,
A635,---------,ZN01,-------------,618,,,,,,
A636,--,ZN01,----------------,619,,,,,,
A637,------------,ZN01,----------------,620,,,,,,
A638,----------,ZN01,--------------,621,,,,,,
A639,-----------------,ZN01,--------------,622,,,,,,
A640,---------,ZN01,---------,623,,,,,,
A641,---------,ZN01,------------,624,,,,,,
A642,----------,ZN01,----------,625,,,,,,
A643,--------,ZN01,------------,626,,,,,,
A644,-----------,ZN01,-------------,627,,,,,,
A645,---------,ZN01,-------------,628,,,,,,
A646,----------,ZN01,----------,629,,,,,,
A647,----------------,ZN01,---------------,630,,,,,,
A648,---------,ZN01,------------,631,,,,,,
A649,----------,ZN01,--------------,632,,,,,,
A650,------,ZN01,--------------,633,,,,,,
A651,---------------,ZN01,----------------,634,,,,,,
A652,----------,ZN01,,635,,,,,,
A653,---------------,ZN01,,636,,,,,,
A654,--------------,ZN01,,637,,,,,,
A655,-----------,ZN01,,638,,,,,,
A656,--------------,ZN01,,639,,,,,,
A657,-----------------,ZN01,,640,,,,,,
A658,----,ZN01,---------,641,,,,,,
A659,--------,ZN01,----------,642,,,,,,
A660,-----------,ZN01,--------,643,,,,,,
A661,----------,ZN01,------------,644,,,,,,
A662,---------,ZN01,------------,645,,,,,,
A663,--------------,ZN01,------------,646,,,,,,
A664,------------,ZN01,--------------,647,,,,,,
A665,------------,ZN01,----------,648,,,,,,
A666,-------,ZN01,----------,649,,,,,,
A667,----------,ZN01,----------,650,,,,,,
A668,---------------,ZN01,----------------,651,,,,,,
A669,--------,ZN01,------------------,652,,,,,,
A670,-----------,ZN01,------------,653,,,,,,
A671,---------,ZN01,------------------,654,,,,,,
A672,------------,ZN01,---------------,655,,,,,,
A673,--------,ZN01,--------------,656,,,,,,
A674,---------,ZN01,--------------------,657,,,,,,
A675,---------------,ZN01,-------------,658,,,,,,
A676,--------,ZN01,-----------,659,,,,,,
A677,----------,ZN01,-------------,660,,,,,,
A678,------------,ZN01,-----------------,661,,,,,,
A679,---------,ZN01,---------------,662,,,,,,
A680,----------------,ZN01,------------,663,,,,,,
A682,37- 40 = 1 3 4 2 0 0 0 0=10,ZN01,37- 40 = 1 3 4 2 0 0 0 0=10,664,,,,,,
A684,36- 40 = 1 2 2 1 1 =7,ZN01,36- 40 = 1 2 2 1 1 =7,665,,,,,,
A686,37- 40 = 1 2 3 4 0 0 0 0=10,ZN01,37- 40 = 1 2 3 4 0 0 0 0=10,666,,,,,,
A688,41- 43 = 3 3 4 0=10,ZN01,41- 43 = 3 3 4 0=10,667,,,,,,
A690,38- 40 = 1 3 4 0 0 0 0=8,ZN01,38- 40 = 1 3 4 0 0 0 0=8,668,,,,,,
A692,36- 40 = 1 1 2 1 3 0 0 0 0=8,ZN01,36- 40 = 1 1 2 1 3 0 0 0 0=8,669,,,,,,
A694,38- 42 = 1 1 2 3 3 0 0=10,ZN01,38- 42 = 1 1 2 3 3 0 0=10,670,,,,,,
A696,38- 42 = 3 3 3 3 2 0 0=14,ZN01,38- 42 = 3 3 3 3 2 0 0=14,671,,,,,,
A698,36- 37 = 2 6 0 0 0 0 0 0 0=8,ZN01,36- 37 = 2 6 0 0 0 0 0 0 0=8,672,,,,,,
A700,38- 41 = 6 4 1 1 0 0 0=12,ZN01,38- 41 = 6 4 1 1 0 0 0=12,673,,,,,,
A702,38- 40 = 4 3 3 0 0 0 0=10,ZN01,38- 40 = 4 3 3 0 0 0 0=10,674,,,,,,
A704,39- 42 = 1 2 3 3 =9,ZN01,39- 42 = 1 2 3 3 =9,675,,,,,,
A706,39- 42 = 3 2 2 1 0 0=8,ZN01,39- 42 = 3 2 2 1 0 0=8,676,,,,,,
A708,36- 40 = 1 1 1 3 2 0 0 0 0=8,ZN01,36- 40 = 1 1 1 3 2 0 0 0 0=8,677,,,,,,
A710,36- 39 = 2 2 3 3 0 0 0 0 0=10,ZN01,36- 39 = 2 2 3 3 0 0 0 0 0=10,678,,,,,,
A712,36- 41 = 1 1 1 3 1 1 0 0 0=8,ZN01,36- 41 = 1 1 1 3 1 1 0 0 0=8,679,,,,,,
A714,40- 42 = 2 2 1 0 0=5,ZN01,40- 42 = 2 2 1 0 0=5,680,,,,,,
A716,36- 41 = 1 2 2 1 2 2 0 0 0=10,ZN01,36- 41 = 1 2 2 1 2 2 0 0 0=10,681,,,,,,
A718,36- 40 = 2 3 3 3 2 0 0 0 0=13,ZN01,36- 40 = 2 3 3 3 2 0 0 0 0=13,682,yulya,2024-11-13 13:21:49.713000,KGShop,,,
A720,36- 40 = 2 3 3 3 1 =12,ZN01,36- 40 = 2 3 3 3 1 =12,683,yulya,2024-11-13 13:44:36.400000,KGShop,,,
A722,38- 42 = 3 5 3 3 2 =16,ZN01,38- 42 = 3 5 3 3 2 =16,684,yulya,2024-11-14 11:58:52.050000,KGShop,,,
A724,38- 39 = 5 3 0 0 0 0 0=8,ZN01,38- 39 = 5 3 0 0 0 0 0=8,685,yulya,2024-12-06 14:40:45.213000,KGShop,,,
A726,39- 40 = 2 6 0 0 0 0=8,ZN01,39- 40 = 2 6 0 0 0 0=8,686,yulya,2024-12-06 14:41:07.330000,KGShop,,,
A728,34- 41 = 1 1 1 1 2 2 1 1 0 0 0=10,ZN01,34- 41 = 1 1 1 1 2 2 1 1 0 0 0=10,687,yulya,2024-12-10 12:15:11.667000,KGShop,,,
A730,36- 41 = 1 1 2 2 2 4 0 0 0=12,ZN01,36- 41 = 1 1 2 2 2 4 0 0 0=12,688,yulya,2024-12-10 15:46:42.410000,KGShop,,,
A732,36- 41 = 1 1 2 2 2 3 0 0 0=11,ZN01,36- 41 = 1 1 2 2 2 3 0 0 0=11,689,yulya,2024-12-10 15:46:59.477000,KGShop,,,
A734,36- 41 = 1 1 3 3 4 4 0 0 0=16,ZN01,36- 41 = 1 1 3 3 4 4 0 0 0=16,690,yulya,2024-12-10 15:50:02.230000,KGShop,,,
A736,37- 42 = 1 0 0 3 2 2 0 0=8,ZN01,37- 42 = 1 0 0 3 2 2 0 0=8,691,yulya,2024-12-11 12:20:45.883000,KGShop,,,
A738,37- 42 = 1 3 0 0 2 2 0 0=8,ZN01,37- 42 = 1 3 0 0 2 2 0 0=8,692,yulya,2024-12-11 12:23:14.027000,KGShop,,,
A740,37- 42 = 1 0 1 3 3 0 0=8,ZN01,37- 42 = 1 0 1 3 3 0 0=8,693,yulya,2024-12-11 12:25:45.280000,KGShop,,,
A742,37- 41 = 1 3 3 3 2 0 0 0=12,ZN01,37- 41 = 1 3 3 3 2 0 0 0=12,694,yulya,2024-12-11 12:36:47.417000,KGShop,,,
A744,36- 43 = 1 1 2 2 1 1 2 2 0=12,ZN01,36- 43 = 1 1 2 2 1 1 2 2 0=12,695,yulya,2024-12-17 12:51:22.727000,KGShop,,,
A746,37- 44 = 2 2 2 2 1 1 1 1=12,ZN01,37- 44 = 2 2 2 2 1 1 1 1=12,696,yulya,2024-12-17 12:58:26.473000,KGShop,,,
A748,37- 43 = 2 2 2 1 1 1 1 0=10,ZN01,37- 43 = 2 2 2 1 1 1 1 0=10,697,yulya,2024-12-17 13:19:16.147000,KGShop,,,
A750,36- 41 = 1 3 2 1 1 0 0 0=8,ZN01,36- 41 = 1 3 2 1 1 0 0 0=8,698,yulya,2024-12-23 19:08:04.433000,KGShop,,,
A752,35- 40 = 3 3 3 3 3 3 0 0 0 0=18,ZN01,35- 40 = 3 3 3 3 3 3 0 0 0 0=18,699,yulya,2025-01-09 17:45:49.763000,KGShop,,,
A754,35- 39 = 3 3 3 3 3 0 0 0 0 0=15,ZN01,35- 39 = 3 3 3 3 3 0 0 0 0 0=15,700,yulya,2025-01-09 17:46:02.220000,KGShop,,,
A756,41- 43 = 4 4 4 0=12,ZN01,41- 43 = 4 4 4 0=12,701,yulya,2025-01-09 17:46:43.800000,KGShop,,,
A758,41- 44 = 2 2 3 1=8,ZN01,41- 44 = 2 2 3 1=8,702,yulya,2025-01-13 10:29:53.473000,KGShop,,,
A760,37- 42 = 1 3 1 0 1 1 0 0=7,ZN01,37- 42 = 1 3 1 0 1 1 0 0=7,703,yulya,2025-01-13 11:33:57.150000,KGShop,,,
A762,36- 42 = 2 2 3 3 2 2 2 0 0=16,ZN01,36- 42 = 2 2 3 3 2 2 2 0 0=16,704,yulya,2025-01-13 15:37:14.107000,KGShop,,,
A764,34- 41 = 2 2 2 2 2 2 2 2 0 0 0=16,ZN01,34- 41 = 2 2 2 2 2 2 2 2 0 0 0=16,705,yulya,2025-01-13 16:00:31.610000,KGShop,,,
A766,35- 41 = 1 1 1 1 1 1 2 0 0 0=8,ZN01,35- 41 = 1 1 1 1 1 1 2 0 0 0=8,706,yulya,2025-01-14 16:10:54.317000,KGShop,,,
A768,36- 41 = 2 2 1 1 1 1 0 0 0=8,ZN01,36- 41 = 2 2 1 1 1 1 0 0 0=8,707,yulya,2025-01-14 16:14:39.057000,KGShop,,,
A770,36- 42 = 2 1 1 1 1 1 1 0 0=8,ZN01,36- 42 = 2 1 1 1 1 1 1 0 0=8,708,yulya,2025-01-14 16:26:31.210000,KGShop,,,
A772,36- 41 = 1 2 2 2 1 1 0 0 0=9,ZN01,36- 41 = 1 2 2 2 1 1 0 0 0=9,709,yulya,2025-01-14 17:21:53.027000,KGShop,,,
A774,36- 41 = 2 4 4 2 2 2 0 0 0=16,ZN01,36- 41 = 2 4 4 2 2 2 0 0 0=16,710,yulya,2025-01-15 17:22:38.160000,KGShop,,,
A776,36- 41 = 2 2 3 2 2 1 0 0 0=12,ZN01,36- 41 = 2 2 3 2 2 1 0 0 0=12,711,yulya,2025-01-15 17:24:15.110000,KGShop,,,
A778,36- 42 = 3 7 8 6 3 3 2 0 0=32,ZN01,36- 42 = 3 7 8 6 3 3 2 0 0=32,712,yulya,2025-01-15 17:26:58.547000,KGShop,,,
A780,37- 41 = 4 0 0 2 2 0 0 0=8,ZN01,37- 41 = 4 0 0 2 2 0 0 0=8,713,yulya,2025-01-15 17:28:28.143000,KGShop,,,
A782,36- 40 = 2 5 5 2 2 0 0 0 0=16,ZN01,36- 40 = 2 5 5 2 2 0 0 0 0=16,714,yulya,2025-01-15 17:30:07.307000,KGShop,,,
A784,36- 40 = 2 3 3 2 2 0 0 0 0=12,ZN01,36- 40 = 2 3 3 2 2 0 0 0 0=12,715,yulya,2025-01-15 17:31:17.213000,KGShop,,,
A786,36- 40 = 2 4 4 2 2 0 0 0 0=14,ZN01,36- 40 = 2 4 4 2 2 0 0 0 0=14,716,yulya,2025-01-15 17:32:36.690000,KGShop,,,
A788,37- 41 = 2 3 2 2 1 0 0 0=10,ZN01,37- 41 = 2 3 2 2 1 0 0 0=10,717,yulya,2025-01-17 11:19:36.393000,KGShop,,,
A790,35- 43 = 1 1 1 1 1 1 2 1 1 0=10,ZN01,35- 43 = 1 1 1 1 1 1 2 1 1 0=10,718,yulya,2025-01-20 13:34:49.047000,KGShop,,,
A792,35- 40 = 1 0 2 2 2 1 0 0 0 0=8,ZN01,35- 40 = 1 0 2 2 2 1 0 0 0 0=8,719,yulya,2025-01-22 13:31:37.693000,KGShop,,,
A794,34- 35 = 4 4 0 0 0 0 0 0 0 0=8,ZN01,34- 35 = 4 4 0 0 0 0 0 0 0 0=8,720,yulya,2025-01-22 17:05:13.493000,KGShop,,,
A796,36- 42 = 1 1 0 2 2 1 1 0 0=8,ZN01,36- 42 = 1 1 0 2 2 1 1 0 0=8,721,yulya,2025-01-22 18:03:00.100000,KGShop,,,
A798,36- 42 = 2 2 3 3 3 3 2 0 0=18,ZN01,36- 42 = 2 2 3 3 3 3 2 0 0=18,722,yulya,2025-01-23 11:24:05.750000,KGShop,,,
A800,34- 42 = 2 2 1 1 2 1 1 1 1 0 0=12,ZN01,34- 42 = 2 2 1 1 2 1 1 1 1 0 0=12,723,yulya,2025-01-23 16:44:52.877000,KGShop,,,
A802,35- 40 = 1 1 1 1 2 2 0 0 0 0=8,ZN01,35- 40 = 1 1 1 1 2 2 0 0 0 0=8,724,yulya,2025-01-24 13:30:45.500000,KGShop,,,
A804,36- 42 = 1 1 2 0 2 2 2 0 0=10,ZN01,36- 42 = 1 1 2 0 2 2 2 0 0=10,725,yulya,2025-01-27 13:11:46.263000,KGShop,,,
A806,36- 41 = 1 1 2 2 2 1 0 0 0=9,ZN01,36- 41 = 1 1 2 2 2 1 0 0 0=9,726,yulya,2025-01-27 13:39:51.403000,KGShop,,,
A808,36- 41 = 1 2 2 1 2 1 0 0 0=9,ZN01,36- 41 = 1 2 2 1 2 1 0 0 0=9,727,yulya,2025-01-27 13:40:16.220000,KGShop,,,
A810,38- 43 = 1 0 0 1 4 4 0=10,ZN01,38- 43 = 1 0 0 1 4 4 0=10,728,yulya,2025-01-27 16:15:47.537000,KGShop,,,
A812,38- 44 = 1 0 0 1 4 2 1=9,ZN01,38- 44 = 1 0 0 1 4 2 1=9,729,yulya,2025-01-27 16:23:33.687000,KGShop,,,
A814,38- 44 = 1 0 0 1 4 3 1=10,ZN01,38- 44 = 1 0 0 1 4 3 1=10,730,yulya,2025-01-27 16:24:16.870000,KGShop,,,
A816,37- 44 = 1 0 0 0 1 4 3 1=10,ZN01,37- 44 = 1 0 0 0 1 4 3 1=10,731,yulya,2025-01-27 16:25:04.897000,KGShop,,,
A818,38- 43 = 1 1 4 3 0 1 0=10,ZN01,38- 43 = 1 1 4 3 0 1 0=10,732,yulya,2025-01-28 16:24:43.837000,KGShop,,,
A820,36- 42 = 1 1 2 4 6 3 3 0 0=20,ZN01,36- 42 = 1 1 2 4 6 3 3 0 0=20,733,yulya,2025-01-28 16:25:24.317000,KGShop,,,
A822,38- 43 = 3 2 3 1 0 1 0=10,ZN01,38- 43 = 3 2 3 1 0 1 0=10,734,yulya,2025-01-28 16:27:01.393000,KGShop,,,
A824,36- 43 = 1 2 3 3 2 2 2 1 0=16,ZN01,36- 43 = 1 2 3 3 2 2 2 1 0=16,735,yulya,2025-01-28 17:43:04.737000,KGShop,,,
A826,34- 40 = 3 2 1 1 1 1 1 0 0 0 0=10,ZN01,34- 40 = 3 2 1 1 1 1 1 0 0 0 0=10,736,yulya,2025-01-29 11:14:07.227000,KGShop,,,
A828,36- 42 = 1 1 3 3 2 2 1 0 0=13,ZN01,36- 42 = 1 1 3 3 2 2 1 0 0=13,737,yulya,2025-01-29 14:05:57.710000,KGShop,,,
A830,36- 42 = 1 1 3 3 2 2 2 0 0=14,ZN01,36- 42 = 1 1 3 3 2 2 2 0 0=14,738,yulya,2025-01-29 14:12:03.897000,KGShop,,,
A832,37- 43 = 1 1 1 2 2 1 1 0=9,ZN01,37- 43 = 1 1 1 2 2 1 1 0=9,739,yulya,2025-01-29 15:06:43.967000,KGShop,,,
A834,37- 43 = 1 1 2 2 2 1 1 0=10,ZN01,37- 43 = 1 1 2 2 2 1 1 0=10,740,yulya,2025-01-29 15:07:13.577000,KGShop,,,
A836,36- 43 = 2 2 2 2 2 2 2 2 0=16,ZN01,36- 43 = 2 2 2 2 2 2 2 2 0=16,741,yulya,2025-01-30 16:05:15.167000,KGShop,,,
A838,36- 40 = 1 3 3 3 2 0 0 0 0=12,ZN01,36- 40 = 1 3 3 3 2 0 0 0 0=12,742,yulya,2025-01-31 12:13:02.520000,KGShop,,,
A840,41- 44 = 2 2 2 2=8,ZN01,41- 44 = 2 2 2 2=8,743,yulya,2025-01-31 16:26:48.520000,KGShop,,,
A842,36- 41 = 1 1 2 1 1 1 0 0 0=7,ZN01,36- 41 = 1 1 2 1 1 1 0 0 0=7,744,yulya,2025-02-03 11:15:46.677000,KGShop,,,
A844,36- 42 = 1 1 2 3 1 1 1 0 0=10,ZN01,36- 42 = 1 1 2 3 1 1 1 0 0=10,745,yulya,2025-02-04 10:30:30.890000,KGShop,,,
A846,38- 43 = 2 2 1 1 1 1 0=8,ZN01,38- 43 = 2 2 1 1 1 1 0=8,746,yulya,2025-02-04 10:34:57.220000,KGShop,,,
A848,36- 43 = 2 3 3 3 3 3 3 3 0=23,ZN01,36- 43 = 2 3 3 3 3 3 3 3 0=23,747,yulya,2025-02-04 12:44:17.073000,KGShop,,,
A850,37- 43 = 2 3 3 3 3 3 3 0=20,ZN01,37- 43 = 2 3 3 3 3 3 3 0=20,748,yulya,2025-02-04 12:44:42.007000,KGShop,,,
A852,35- 41 = 2 1 2 2 2 2 1 0 0 0=12,ZN01,35- 41 = 2 1 2 2 2 2 1 0 0 0=12,749,yulya,2025-02-04 16:26:12.183000,KGShop,,,
A854,36- 44 = 1 1 1 2 1 1 1 1 1=10,ZN01,36- 44 = 1 1 1 2 1 1 1 1 1=10,750,yulya,2025-02-05 13:11:20.330000,KGShop,,,
A856,33- 39 = 1 2 1 1 1 1 1 0 0 0 0 0=8,ZN01,33- 39 = 1 2 1 1 1 1 1 0 0 0 0 0=8,752,yulya,2025-02-05 19:42:33.200000,KGShop,,,
A858,36- 41 = 1 1 2 1 1 2 0 0 0=8,ZN01,36- 41 = 1 1 2 1 1 2 0 0 0=8,753,yulya,2025-02-06 13:31:17.120000,KGShop,,,
A860,36- 43 = 1 1 2 2 1 1 1 1 0=10,ZN01,36- 43 = 1 1 2 2 1 1 1 1 0=10,754,yulya,2025-02-06 15:22:03.883000,KGShop,,,
A862,37- 42 = 1 1 1 2 1 2 0 0=8,ZN01,37- 42 = 1 1 1 2 1 2 0 0=8,755,yulya,2025-02-06 15:31:17.963000,KGShop,,,
A864,36- 38 = 1 3 6 0 0 0 0 0 0=10,ZN01,36- 38 = 1 3 6 0 0 0 0 0 0=10,756,yulya,2025-02-06 18:10:13.860000,KGShop,,,
A866,40- 40 = 8 0 0 0 0=8,ZN01,40- 40 = 8 0 0 0 0=8,757,yulya,2025-02-06 18:11:03.513000,KGShop,,,
A868,41- 42 = 6 4 0 0=10,ZN01,41- 42 = 6 4 0 0=10,758,yulya,2025-02-06 18:11:30.883000,KGShop,,,
A870,37- 39 = 1 3 6 0 0 0 0 0=10,ZN01,37- 39 = 1 3 6 0 0 0 0 0=10,759,yulya,2025-02-06 18:16:15.347000,KGShop,,,
A872,40- 42 = 4 4 4 0 0=12,ZN01,40- 42 = 4 4 4 0 0=12,760,yulya,2025-02-06 18:20:48.120000,KGShop,,,
A874,36- 41 = 1 1 2 3 1 1 0 0 0=9,ZN01,36- 41 = 1 1 2 3 1 1 0 0 0=9,761,yulya,2025-02-07 11:03:42.143000,KGShop,,,
A876,38- 42 = 2 2 3 0 1 0 0=8,ZN01,38- 42 = 2 2 3 0 1 0 0=8,762,yulya,2025-02-07 12:03:53.223000,KGShop,,,
A878,36- 40 = 2 3 3 3 3 0 0 0 0=14,ZN01,36- 40 = 2 3 3 3 3 0 0 0 0=14,763,yulya,2025-02-10 09:51:04.517000,KGShop,,,
A880,36- 40 = 3 4 5 4 4 0 0 0 0=20,ZN01,36- 40 = 3 4 5 4 4 0 0 0 0=20,764,yulya,2025-02-10 09:53:58.707000,KGShop,,,
A882,36- 42 = 1 3 2 2 2 2 2 0 0=14,ZN01,36- 42 = 1 3 2 2 2 2 2 0 0=14,765,yulya,2025-02-10 09:58:10.490000,KGShop,,,
A884,36- 40 = 2 3 2 2 2 0 0 0 0=11,ZN01,36- 40 = 2 3 2 2 2 0 0 0 0=11,766,yulya,2025-02-10 10:00:00.920000,KGShop,,,
A886,36- 40 = 2 2 3 2 2 0 0 0 0=11,ZN01,36- 40 = 2 2 3 2 2 0 0 0 0=11,767,yulya,2025-02-10 10:00:28.843000,KGShop,,,
A888,36- 40 = 2 3 2 3 2 0 0 0 0=12,ZN01,36- 40 = 2 3 2 3 2 0 0 0 0=12,768,yulya,2025-02-10 10:02:17.153000,KGShop,,,
A890,36- 41 = 2 3 3 3 3 2 0 0 0=16,ZN01,36- 41 = 2 3 3 3 3 2 0 0 0=16,769,yulya,2025-02-10 10:03:05.793000,KGShop,,,
A892,35- 40 = 3 3 2 2 1 1 0 0 0 0=12,ZN01,35- 40 = 3 3 2 2 1 1 0 0 0 0=12,770,yulya,2025-02-10 12:55:44.050000,KGShop,,,
A894,34- 42 = 1 2 3 3 3 1 1 1 1 0 0=16,ZN01,34- 42 = 1 2 3 3 3 1 1 1 1 0 0=16,771,yulya,2025-02-10 13:01:24.787000,KGShop,,,
A896,34- 40 = 1 3 3 3 2 1 1 0 0 0 0=14,ZN01,34- 40 = 1 3 3 3 2 1 1 0 0 0 0=14,772,yulya,2025-02-10 13:05:54.440000,KGShop,,,
A898,36- 39 = 1 2 1 1 0 0 0 0 0=5,ZN01,36- 39 = 1 2 1 1 0 0 0 0 0=5,773,yulya,2025-02-12 11:42:44.013000,KGShop,,,
A900,40- 43 = 1 2 3 2 0=8,ZN01,40- 43 = 1 2 3 2 0=8,774,yulya,2025-02-12 13:23:58.233000,KGShop,,,
A902,40- 43 = 1 2 3 3 0=9,ZN01,40- 43 = 1 2 3 3 0=9,775,yulya,2025-02-12 13:24:32.600000,KGShop,,,
A904,40- 43 = 1 2 2 3 0=8,ZN01,40- 43 = 1 2 2 3 0=8,776,yulya,2025-02-12 13:24:58.723000,KGShop,,,
A906,38- 42 = 2 1 2 2 1 0 0=8,ZN01,38- 42 = 2 1 2 2 1 0 0=8,777,yulya,2025-02-12 14:38:56.427000,KGShop,,,
A908,36- 42 = 1 1 2 1 0 1 2 0 0=8,ZN01,36- 42 = 1 1 2 1 0 1 2 0 0=8,778,yulya,2025-02-12 14:40:54.557000,KGShop,,,
A910,42- 44 = 4 4 4=12,ZN01,42- 44 = 4 4 4=12,779,yulya,2025-02-12 16:29:34.867000,KGShop,,,
A912,33- 35 = 2 2 2 0 0 0 0 0 0 0 0 0=6,ZN01,33- 35 = 2 2 2 0 0 0 0 0 0 0 0 0=6,780,yulya,2025-02-12 16:32:00.080000,KGShop,,,
A914,41- 44 = 1 4 4 3=12,ZN01,41- 44 = 1 4 4 3=12,781,yulya,2025-02-12 17:45:25.070000,KGShop,,,
A916,41- 44 = 3 3 4 3=13,ZN01,41- 44 = 3 3 4 3=13,782,yulya,2025-02-12 18:01:38.520000,KGShop,,,
A918,41- 44 = 3 4 4 3=14,ZN01,41- 44 = 3 4 4 3=14,783,yulya,2025-02-12 18:21:52.830000,KGShop,,,
A920,42- 44 = 4 5 3=12,ZN01,42- 44 = 4 5 3=12,784,yulya,2025-02-12 18:28:36.233000,KGShop,,,
A922,37- 40 = 4 4 4 4 =16,ZN01,37- 40 = 4 4 4 4 =16,785,yulya,2025-02-13 15:10:26.380000,KGShop,,,
A924,41- 44 = 6 6 2 2=16,ZN01,41- 44 = 6 6 2 2=16,786,yulya,2025-02-13 15:11:16.033000,KGShop,,,
A926,41- 42 = 8 8 =16,ZN01,41- 42 = 8 8 =16,787,yulya,2025-02-13 15:15:12.803000,KGShop,,,
A928,41- 43 = 6 6 4 =16,ZN01,41- 43 = 6 6 4 =16,788,yulya,2025-02-13 15:22:52.417000,KGShop,,,
A930,36- 40 = 2 4 4 4 2 =16,ZN01,36- 40 = 2 4 4 4 2 =16,789,yulya,2025-02-13 15:29:28.477000,KGShop,,,
A932,37- 40 = 1 2 1 2 0 0 0 0=6,ZN01,37- 40 = 1 2 1 2 0 0 0 0=6,790,yulya,2025-02-13 17:48:07.690000,KGShop,,,
A934,38- 41 = 1 1 1 2 0 0 0=5,ZN01,38- 41 = 1 1 1 2 0 0 0=5,791,yulya,2025-02-13 17:58:36.770000,KGShop,,,
A936,41- 44 = 2 4 4 3=13,ZN01,41- 44 = 2 4 4 3=13,792,yulya,2025-02-14 16:13:08.520000,KGShop,,,
A938,42- 44 = 3 3 2=8,ZN01,42- 44 = 3 3 2=8,793,yulya,2025-02-14 16:29:27.750000,KGShop,,,
A940,36- 43 = 2 2 4 4 4 4 4 4 0=28,ZN01,36- 43 = 2 2 4 4 4 4 4 4 0=28,794,yulya,2025-02-17 11:23:26.927000,KGShop,,,
A942,36- 41 = 1 1 2 4 4 3 0 0 0=15,ZN01,36- 41 = 1 1 2 4 4 3 0 0 0=15,795,yulya,2025-02-17 11:43:57.440000,KGShop,,,
A944,36- 41 = 1 1 3 4 4 3 0 0 0=16,ZN01,36- 41 = 1 1 3 4 4 3 0 0 0=16,796,yulya,2025-02-17 11:44:13.450000,KGShop,,,
A946,36- 44 = 1 1 3 3 2 2 2 2 2=18,ZN01,36- 44 = 1 1 3 3 2 2 2 2 2=18,797,yulya,2025-02-17 11:49:29.550000,KGShop,,,
