SipNo,CariKod,TedFirmaCode,BelgeNo,SendtoMail,kgid,insUN,insDT,insApp,updUN,updDT,updApp
22445,320.133,100,000647,*,211,yulya,2025-01-24 12:34:35.960000,KGShop,yulya,2025-01-24 12:36:52.407000,KGShop
22446,320.163,100,000647,*,212,yulya,2025-01-24 12:34:35.987000,KGShop,yulya,2025-01-24 12:36:53.867000,KGShop
22447,320.214,100,000647,*,213,yulya,2025-01-24 12:34:36.017000,KGShop,yulya,2025-01-24 12:36:55.177000,KGShop
22448,320.006,100,000650,*,214,yulya,2025-01-24 12:40:16.713000,KGShop,yulya,2025-01-24 12:41:51.103000,KGShop
22449,320.031,100,000650,*,215,yulya,2025-01-24 12:40:16.743000,KGShop,yulya,2025-01-24 12:41:51.833000,KGShop
22450,320.054,100,000650,*,216,yulya,2025-01-24 12:40:16.773000,KGShop,yulya,2025-01-24 12:41:52.600000,KGShop
22451,320.059,100,000650,*,217,yulya,2025-01-24 12:40:16.830000,KGShop,yulya,2025-01-24 12:41:53.377000,KGShop
22452,320.063,100,000650,*,218,yulya,2025-01-24 12:40:16.860000,KGShop,yulya,2025-01-24 12:41:54.120000,KGShop
22453,320.092,100,000650,*,219,yulya,2025-01-24 12:40:16.883000,KGShop,yulya,2025-01-24 12:41:54.857000,KGShop
22454,320.105,100,000650,*,220,yulya,2025-01-24 12:40:16.910000,KGShop,yulya,2025-01-24 12:41:55.560000,KGShop
22455,320.129,100,000650,*,221,yulya,2025-01-24 12:40:16.953000,KGShop,yulya,2025-01-24 12:41:56.450000,KGShop
22456,320.213,100,000650,*,222,yulya,2025-01-24 12:40:16.980000,KGShop,yulya,2025-01-24 12:41:57.157000,KGShop
22457,320.256,100,000650,*,223,yulya,2025-01-24 12:40:17,KGShop,yulya,2025-01-24 12:41:57.957000,KGShop
22458,320.277,100,000650,*,224,yulya,2025-01-24 12:40:17.027000,KGShop,yulya,2025-01-24 12:41:58.640000,KGShop
22459,320.278,100,000650,*,225,yulya,2025-01-24 12:41:33.137000,KGShop,yulya,2025-01-24 12:41:59.363000,KGShop
22460,320.048,100,000650,*,226,yulya,2025-01-24 12:51:54.720000,KGShop,yulya,2025-01-24 12:56:50.887000,KGShop
22461,320.031,100,000651,*,227,yulya,2025-01-24 13:06:30.563000,KGShop,yulya,2025-01-24 13:06:53.470000,KGShop
22462,320.048,100,000651,*,228,yulya,2025-01-24 13:06:30.590000,KGShop,yulya,2025-01-24 13:06:54.487000,KGShop
22463,320.054,100,000651,*,229,yulya,2025-01-24 13:06:30.617000,KGShop,yulya,2025-01-24 13:06:55.533000,KGShop
22464,320.059,100,000651,*,230,yulya,2025-01-24 13:06:30.667000,KGShop,yulya,2025-01-24 13:06:56.547000,KGShop
22465,320.092,100,000651,*,231,yulya,2025-01-24 13:06:30.690000,KGShop,yulya,2025-01-24 13:06:58.817000,KGShop
22466,320.105,100,000651,*,232,yulya,2025-01-24 13:06:30.717000,KGShop,yulya,2025-01-24 13:06:59.730000,KGShop
22467,320.129,100,000651,*,233,yulya,2025-01-24 13:06:30.760000,KGShop,yulya,2025-01-24 13:07:00.940000,KGShop
22468,320.213,100,000651,*,234,yulya,2025-01-24 13:06:30.817000,KGShop,yulya,2025-01-24 13:07:02.287000,KGShop
22469,320.214,100,000651,*,235,yulya,2025-01-24 13:06:30.840000,KGShop,yulya,2025-01-24 13:07:03.687000,KGShop
22470,320.225,100,000651,*,236,yulya,2025-01-24 13:06:30.863000,KGShop,yulya,2025-01-24 13:07:04.683000,KGShop
22471,320.256,100,000651,*,237,yulya,2025-01-24 13:06:30.890000,KGShop,yulya,2025-01-24 13:07:05.677000,KGShop
22472,320.277,100,000651,*,238,yulya,2025-01-24 13:06:30.913000,KGShop,yulya,2025-01-24 13:07:06.930000,KGShop
22473,320.278,100,000651,*,239,yulya,2025-01-24 13:06:30.940000,KGShop,yulya,2025-01-24 13:07:08.093000,KGShop
22474,320.006,100,000652,*,240,yulya,2025-01-24 13:10:52.910000,KGShop,yulya,2025-01-24 13:11:51.260000,KGShop
22475,320.031,100,000652,*,241,yulya,2025-01-24 13:10:52.933000,KGShop,yulya,2025-01-24 13:11:52.980000,KGShop
22476,320.054,100,000652,*,242,yulya,2025-01-24 13:10:52.953000,KGShop,yulya,2025-01-24 13:11:54.497000,KGShop
22477,320.063,100,000652,*,243,yulya,2025-01-24 13:10:52.973000,KGShop,yulya,2025-01-24 13:11:55.747000,KGShop
22478,320.074,100,000652,*,244,yulya,2025-01-24 13:10:53.013000,KGShop,yulya,2025-01-24 13:11:56.960000,KGShop
22479,320.092,100,000652,*,245,yulya,2025-01-24 13:10:53.040000,KGShop,yulya,2025-01-24 13:11:58.423000,KGShop
22480,320.101,100,000652,*,246,yulya,2025-01-24 13:10:53.067000,KGShop,yulya,2025-01-24 13:11:59.873000,KGShop
22481,320.129,100,000652,*,247,yulya,2025-01-24 13:10:53.107000,KGShop,yulya,2025-01-24 13:12:01.320000,KGShop
22482,320.163,100,000652,*,248,yulya,2025-01-24 13:10:53.130000,KGShop,yulya,2025-01-24 13:12:03.530000,KGShop
22483,320.213,100,000652,*,249,yulya,2025-01-24 13:10:53.153000,KGShop,yulya,2025-01-24 13:12:05.590000,KGShop
22484,320.277,100,000652,*,250,yulya,2025-01-24 13:10:53.193000,KGShop,yulya,2025-01-24 13:12:09.410000,KGShop
22485,320.278,100,000652,*,251,yulya,2025-01-24 13:10:53.217000,KGShop,yulya,2025-01-24 13:12:12.493000,KGShop
22486,320.271,100,000652,*,252,yulya,2025-01-24 13:22:06.533000,KGShop,yulya,2025-01-24 13:26:51.340000,KGShop
22487,320.020,100,000653,*,253,yulya,2025-01-24 13:31:30.070000,KGShop,yulya,2025-01-24 13:31:50.943000,KGShop
22488,320.023,100,000653,*,254,yulya,2025-01-24 13:31:30.097000,KGShop,yulya,2025-01-24 13:31:53.220000,KGShop
22489,320.072,100,000653,*,255,yulya,2025-01-24 13:31:30.137000,KGShop,yulya,2025-01-24 13:31:54.470000,KGShop
22490,320.097,100,000653,*,256,yulya,2025-01-24 13:31:30.207000,KGShop,yulya,2025-01-24 13:31:56.060000,KGShop
22491,320.105,100,000653,*,257,yulya,2025-01-24 13:31:30.230000,KGShop,yulya,2025-01-24 13:31:56.970000,KGShop
22492,320.132,100,000653,*,258,yulya,2025-01-24 13:31:30.277000,KGShop,yulya,2025-01-24 13:31:57.773000,KGShop
22493,320.195,100,000653,*,259,yulya,2025-01-24 13:31:30.320000,KGShop,yulya,2025-01-24 13:31:58.767000,KGShop
22494,320.020,100,000655,*,260,yulya,2025-01-24 13:42:42.640000,KGShop,yulya,2025-01-24 13:46:51.033000,KGShop
22495,320.023,100,000655,*,261,yulya,2025-01-24 13:42:42.683000,KGShop,yulya,2025-01-24 13:46:51.920000,KGShop
22496,320.052,100,000655,*,262,yulya,2025-01-24 13:42:42.730000,KGShop,yulya,2025-01-24 13:46:52.880000,KGShop
22497,320.072,100,000655,*,263,yulya,2025-01-24 13:42:42.750000,KGShop,yulya,2025-01-24 13:46:55.233000,KGShop
22498,320.031,100,000656,*,264,yulya,2025-01-24 13:49:27.800000,KGShop,yulya,2025-01-24 13:51:50.770000,KGShop
22499,320.184,100,000656,*,265,yulya,2025-01-24 13:49:27.837000,KGShop,yulya,2025-01-24 13:51:51.630000,KGShop
22500,320.023,100,000658,*,266,yulya,2025-01-24 14:04:58.887000,KGShop,yulya,2025-01-24 14:06:51.143000,KGShop
22501,320.063,100,000658,*,267,yulya,2025-01-24 14:04:58.917000,KGShop,yulya,2025-01-24 14:06:52.110000,KGShop
22502,320.072,100,000658,*,268,yulya,2025-01-24 14:04:58.970000,KGShop,yulya,2025-01-24 14:06:53.217000,KGShop
22503,320.195,100,000658,*,269,yulya,2025-01-24 14:04:58.997000,KGShop,yulya,2025-01-24 14:06:54.300000,KGShop
22504,320.268,100,000658,*,270,yulya,2025-01-24 14:04:59.020000,KGShop,yulya,2025-01-24 14:06:55.173000,KGShop
22505,320.277,100,000658,*,271,yulya,2025-01-24 14:04:59.047000,KGShop,yulya,2025-01-24 14:06:56.103000,KGShop
22507,320.108,100,000653,*,272,yulya,2025-01-24 14:53:12.190000,KGShop,yulya,2025-01-24 14:56:50.147000,KGShop
22509,320.261,100,000645,*,273,yulya,2025-01-27 13:00:23.290000,KGShop,yulya,2025-01-27 13:04:04.863000,KGShop
22510,320.261,100,000653,*,274,yulya,2025-01-27 13:06:14.090000,KGShop,yulya,2025-01-27 13:09:58.593000,KGShop
22515,320.260,100,000637,*,275,yulya,2025-01-27 17:41:43.703000,KGShop,yulya,2025-01-27 17:44:01.550000,KGShop
22516,320.254,100,000663,*,276,yulya,2025-01-27 18:11:24.390000,KGShop,yulya,2025-01-27 18:14:01.523000,KGShop
22517,320.144,100,000662,*,277,yulya,2025-01-27 18:12:35.813000,KGShop,yulya,2025-01-27 18:14:02.517000,KGShop
22518,320.020,100,000664,*,278,yulya,2025-01-27 18:24:02.390000,KGShop,yulya,2025-01-27 18:29:01.653000,KGShop
22519,320.023,100,000664,*,279,yulya,2025-01-27 18:24:02.410000,KGShop,yulya,2025-01-27 18:29:02.663000,KGShop
22520,320.031,100,000664,*,280,yulya,2025-01-27 18:24:02.430000,KGShop,yulya,2025-01-27 18:29:03.647000,KGShop
22521,320.048,100,000664,*,281,yulya,2025-01-27 18:24:02.463000,KGShop,yulya,2025-01-27 18:29:04.550000,KGShop
22522,320.072,100,000664,*,282,yulya,2025-01-27 18:24:02.483000,KGShop,yulya,2025-01-27 18:29:05.463000,KGShop
22523,320.213,100,000664,*,283,yulya,2025-01-27 18:24:02.503000,KGShop,yulya,2025-01-27 18:29:06.290000,KGShop
22524,320.225,100,000664,*,284,yulya,2025-01-27 18:24:02.530000,KGShop,yulya,2025-01-27 18:29:07.510000,KGShop
22525,320.256,100,000664,*,285,yulya,2025-01-27 18:24:02.547000,KGShop,yulya,2025-01-27 18:29:08.413000,KGShop
22526,320.278,100,000664,*,286,yulya,2025-01-27 18:24:48.517000,KGShop,yulya,2025-01-27 18:29:09.177000,KGShop
22527,320.276,100,000664,*,287,yulya,2025-01-27 18:26:36.110000,KGShop,yulya,2025-01-27 18:29:09.323000,KGShop
22528,320.261,100,000645,*,288,yulya,2025-01-27 18:43:26.487000,KGShop,yulya,2025-01-27 18:44:01.477000,KGShop
22529,320.279,100,000664,*,289,yulya,2025-01-27 19:06:11.600000,KGShop,yulya,2025-01-27 19:09:01.920000,KGShop
22536,320.020,100,000657,*,290,yulya,2025-01-28 16:36:55.857000,KGShop,yulya,2025-01-28 16:38:58.593000,KGShop
22537,320.023,100,000657,*,291,yulya,2025-01-28 16:36:55.897000,KGShop,yulya,2025-01-28 16:38:59.533000,KGShop
22538,320.031,100,000657,*,292,yulya,2025-01-28 16:36:55.957000,KGShop,yulya,2025-01-28 16:39:00.460000,KGShop
22539,320.052,100,000657,*,293,yulya,2025-01-28 16:36:55.977000,KGShop,yulya,2025-01-28 16:39:01.283000,KGShop
22540,320.072,100,000657,*,294,yulya,2025-01-28 16:36:55.997000,KGShop,yulya,2025-01-28 16:39:02.057000,KGShop
22541,320.080,100,000657,*,295,yulya,2025-01-28 16:36:56.033000,KGShop,yulya,2025-01-28 16:39:02.830000,KGShop
22542,320.133,100,000657,*,296,yulya,2025-01-28 16:36:56.053000,KGShop,yulya,2025-01-28 16:39:03.637000,KGShop
22543,320.144,100,000657,*,297,yulya,2025-01-28 16:36:56.073000,KGShop,yulya,2025-01-28 16:39:04.580000,KGShop
22544,320.207,100,000657,*,298,yulya,2025-01-28 16:36:56.110000,KGShop,yulya,2025-01-28 16:39:05.330000,KGShop
22545,320.260,100,000657,*,299,yulya,2025-01-28 16:36:56.137000,KGShop,yulya,2025-01-28 16:39:06.130000,KGShop
22546,320.033,100,000657,*,300,yulya,2025-01-28 16:40:08.687000,KGShop,yulya,2025-01-28 16:43:58.223000,KGShop
22547,320.144,100,000671,*,301,yulya,2025-01-28 16:47:49.907000,KGShop,yulya,2025-01-28 16:48:58.563000,KGShop
22549,320.144,100,000672,*,302,yulya,2025-01-28 17:46:05.947000,KGShop,yulya,2025-01-28 17:48:58.623000,KGShop
22553,320.006,100,000634,*,303,yulya,2025-01-29 15:06:50.660000,KGShop,yulya,2025-01-29 15:08:22.577000,KGShop
22554,320.018,100,000634,*,304,yulya,2025-01-29 15:06:50.687000,KGShop,yulya,2025-01-29 15:08:23.520000,KGShop
22555,320.020,100,000634,*,305,yulya,2025-01-29 15:06:50.720000,KGShop,yulya,2025-01-29 15:08:24.523000,KGShop
22556,320.023,100,000634,*,306,yulya,2025-01-29 15:06:50.743000,KGShop,yulya,2025-01-29 15:08:25.503000,KGShop
22557,320.052,100,000634,*,307,yulya,2025-01-29 15:06:50.763000,KGShop,yulya,2025-01-29 15:08:26.397000,KGShop
22558,320.054,100,000634,*,308,yulya,2025-01-29 15:06:50.783000,KGShop,yulya,2025-01-29 15:08:27.390000,KGShop
22559,320.077,100,000634,*,309,yulya,2025-01-29 15:06:50.803000,KGShop,yulya,2025-01-29 15:08:28.523000,KGShop
22560,320.080,100,000634,*,310,yulya,2025-01-29 15:06:50.827000,KGShop,yulya,2025-01-29 15:08:29.413000,KGShop
22561,320.133,100,000634,*,311,yulya,2025-01-29 15:06:50.847000,KGShop,yulya,2025-01-29 15:08:30.340000,KGShop
22562,320.144,100,000634,*,312,yulya,2025-01-29 15:06:50.867000,KGShop,yulya,2025-01-29 15:08:31.393000,KGShop
22563,320.155,100,000634,*,313,yulya,2025-01-29 15:06:50.973000,KGShop,yulya,2025-01-29 15:08:32.500000,KGShop
22564,320.163,100,000634,*,314,yulya,2025-01-29 15:06:51.067000,KGShop,yulya,2025-01-29 15:08:33.500000,KGShop
22565,320.184,100,000634,*,315,yulya,2025-01-29 15:06:51.097000,KGShop,yulya,2025-01-29 15:08:34.507000,KGShop
22566,320.190,100,000634,*,316,yulya,2025-01-29 15:06:51.150000,KGShop,yulya,2025-01-29 15:08:35.550000,KGShop
22567,320.219,100,000634,*,317,yulya,2025-01-29 15:06:51.210000,KGShop,yulya,2025-01-29 15:08:36.493000,KGShop
22568,320.225,100,000634,*,318,yulya,2025-01-29 15:06:51.230000,KGShop,yulya,2025-01-29 15:08:37.520000,KGShop
22569,320.256,100,000634,*,319,yulya,2025-01-29 15:06:51.240000,KGShop,yulya,2025-01-29 15:08:38.503000,KGShop
22570,320.260,100,000634,*,320,yulya,2025-01-29 15:06:51.267000,KGShop,yulya,2025-01-29 15:08:39.420000,KGShop
22571,320.268,100,000634,*,321,yulya,2025-01-29 15:06:51.300000,KGShop,yulya,2025-01-29 15:08:40.357000,KGShop
22573,320.262,100,000634,*,322,yulya,2025-01-29 15:08:53.703000,KGShop,yulya,2025-01-29 15:13:21.533000,KGShop
22574,320.020,100,000659,*,323,yulya,2025-01-29 15:43:21.283000,KGShop,yulya,2025-01-29 15:43:22.713000,KGShop
22575,320.031,100,000659,*,324,yulya,2025-01-29 15:43:21.303000,KGShop,yulya,2025-01-29 15:43:23.703000,KGShop
22576,320.043,100,000659,*,325,yulya,2025-01-29 15:43:21.337000,KGShop,yulya,2025-01-29 15:43:24.720000,KGShop
22577,320.059,100,000659,*,326,yulya,2025-01-29 15:43:21.370000,KGShop,yulya,2025-01-29 15:43:25.713000,KGShop
22578,320.092,100,000659,*,327,yulya,2025-01-29 15:43:21.390000,KGShop,yulya,2025-01-29 15:43:26.643000,KGShop
22579,320.133,100,000659,*,328,yulya,2025-01-29 15:43:21.410000,KGShop,yulya,2025-01-29 15:43:27.510000,KGShop
22580,320.144,100,000659,*,329,yulya,2025-01-29 15:43:21.430000,KGShop,yulya,2025-01-29 15:43:28.377000,KGShop
22581,320.225,100,000659,*,330,yulya,2025-01-29 15:43:21.467000,KGShop,yulya,2025-01-29 15:43:29.393000,KGShop
22582,320.256,100,000659,*,331,yulya,2025-01-29 15:43:21.483000,KGShop,yulya,2025-01-29 15:43:30.310000,KGShop
22583,320.020,100,000660,*,332,yulya,2025-01-29 15:47:16.147000,KGShop,yulya,2025-01-29 15:48:22.100000,KGShop
22584,320.031,100,000660,*,333,yulya,2025-01-29 15:47:16.167000,KGShop,yulya,2025-01-29 15:48:23.110000,KGShop
22585,320.052,100,000660,*,334,yulya,2025-01-29 15:47:16.187000,KGShop,yulya,2025-01-29 15:48:24.003000,KGShop
22586,320.059,100,000660,*,335,yulya,2025-01-29 15:47:16.223000,KGShop,yulya,2025-01-29 15:48:24.950000,KGShop
22587,320.072,100,000660,*,336,yulya,2025-01-29 15:47:16.243000,KGShop,yulya,2025-01-29 15:48:25.980000,KGShop
22588,320.108,100,000660,*,337,yulya,2025-01-29 15:47:16.280000,KGShop,yulya,2025-01-29 15:48:26.180000,KGShop
22589,320.130,100,000660,*,338,yulya,2025-01-29 15:47:16.300000,KGShop,yulya,2025-01-29 15:48:27.180000,KGShop
22590,320.144,100,000660,*,339,yulya,2025-01-29 15:47:16.320000,KGShop,yulya,2025-01-29 15:48:28.420000,KGShop
22591,320.163,100,000660,*,340,yulya,2025-01-29 15:47:16.340000,KGShop,yulya,2025-01-29 15:48:29.533000,KGShop
22592,320.219,100,000660,*,341,yulya,2025-01-29 15:47:16.363000,KGShop,yulya,2025-01-29 15:48:30.617000,KGShop
22593,320.133,100,000667,*,342,yulya,2025-01-29 15:55:52.080000,KGShop,yulya,2025-01-29 15:58:22.593000,KGShop
22594,320.213,100,000667,*,343,yulya,2025-01-29 15:55:52.113000,KGShop,yulya,2025-01-29 15:58:23.507000,KGShop
22595,320.266,100,000667,*,344,yulya,2025-01-29 15:55:52.133000,KGShop,yulya,2025-01-29 15:58:24.590000,KGShop
22596,320.176,100,000667,*,345,yulya,2025-01-29 16:00:54.723000,KGShop,yulya,2025-01-29 16:03:22.933000,KGShop
22597,320.009,100,000669,*,346,yulya,2025-01-29 16:19:28.270000,KGShop,yulya,2025-01-29 16:23:23.300000,KGShop
22598,320.020,100,000669,*,347,yulya,2025-01-29 16:19:28.293000,KGShop,yulya,2025-01-29 16:23:27.870000,KGShop
22599,320.052,100,000669,*,348,yulya,2025-01-29 16:19:28.317000,KGShop,yulya,2025-01-29 16:23:29.060000,KGShop
22600,320.072,100,000669,*,349,yulya,2025-01-29 16:19:28.333000,KGShop,yulya,2025-01-29 16:23:30.043000,KGShop
22601,320.095,100,000669,*,350,yulya,2025-01-29 16:19:28.357000,KGShop,yulya,2025-01-29 16:23:31.133000,KGShop
22602,320.108,100,000669,*,351,yulya,2025-01-29 16:19:28.377000,KGShop,yulya,2025-01-29 16:23:31.350000,KGShop
22603,320.144,100,000669,*,352,yulya,2025-01-29 16:19:28.410000,KGShop,yulya,2025-01-29 16:23:32.357000,KGShop
22604,320.225,100,000669,*,353,yulya,2025-01-29 16:19:28.447000,KGShop,yulya,2025-01-29 16:23:33.407000,KGShop
22605,320.009,100,000670,*,354,yulya,2025-01-29 16:29:58.657000,KGShop,yulya,2025-01-29 16:33:22.707000,KGShop
22606,320.020,100,000670,*,355,yulya,2025-01-29 16:29:58.677000,KGShop,yulya,2025-01-29 16:33:24.063000,KGShop
22607,320.052,100,000670,*,356,yulya,2025-01-29 16:29:58.697000,KGShop,yulya,2025-01-29 16:33:25.417000,KGShop
22608,320.144,100,000670,*,357,yulya,2025-01-29 16:29:58.717000,KGShop,yulya,2025-01-29 16:33:26.677000,KGShop
22609,320.020,100,000673,*,358,yulya,2025-01-29 16:32:53.987000,KGShop,yulya,2025-01-29 16:33:27.870000,KGShop
22610,320.077,100,000673,*,359,yulya,2025-01-29 16:32:54.017000,KGShop,yulya,2025-01-29 16:33:28.837000,KGShop
22611,320.207,100,000673,*,360,yulya,2025-01-29 16:32:54.050000,KGShop,yulya,2025-01-29 16:33:29.980000,KGShop
22612,320.250,100,000673,*,361,yulya,2025-01-29 16:32:54.067000,KGShop,yulya,2025-01-29 16:33:31.007000,KGShop
22613,320.268,100,000673,*,362,yulya,2025-01-29 16:32:54.087000,KGShop,yulya,2025-01-29 16:33:32,KGShop
22614,320.052,100,000657,*,363,yulya,2025-01-29 16:40:16.500000,KGShop,yulya,2025-01-29 16:43:22.460000,KGShop
22615,320.212,100,000668,*,364,yulya,2025-01-29 17:16:52.670000,KGShop,yulya,2025-01-29 17:18:22.607000,KGShop
22616,320.225,100,000669,*,365,yulya,2025-01-30 10:24:57.850000,KGShop,yulya,2025-01-30 10:26:55.160000,KGShop
22618,320.268,100,000660,*,366,yulya,2025-01-30 15:54:00.867000,KGShop,yulya,2025-01-30 15:56:54.620000,KGShop
22620,320.268,100,000660,*,367,yulya,2025-01-31 09:19:20.570000,KGShop,yulya,2025-01-31 09:22:15.837000,KGShop
22622,320.009,100,000675,*,368,yulya,2025-01-31 14:58:20.913000,KGShop,yulya,2025-01-31 15:02:15.750000,KGShop
22623,320.020,100,000675,*,369,yulya,2025-01-31 14:58:20.970000,KGShop,yulya,2025-01-31 15:02:16.817000,KGShop
22624,320.077,100,000675,*,370,yulya,2025-01-31 14:58:21.013000,KGShop,yulya,2025-01-31 15:02:17.860000,KGShop
22625,320.092,100,000675,*,371,yulya,2025-01-31 14:58:21.037000,KGShop,yulya,2025-01-31 15:02:19.050000,KGShop
22626,320.098,100,000675,*,372,yulya,2025-01-31 14:58:21.057000,KGShop,yulya,2025-01-31 15:02:20.650000,KGShop
22628,320.009,100,000676,*,373,yulya,2025-01-31 15:02:36.527000,KGShop,yulya,2025-01-31 15:07:15.857000,KGShop
22629,320.020,100,000676,*,374,yulya,2025-01-31 15:02:36.607000,KGShop,yulya,2025-01-31 15:07:17.147000,KGShop
22630,320.077,100,000676,*,375,yulya,2025-01-31 15:02:36.650000,KGShop,yulya,2025-01-31 15:07:18.550000,KGShop
22631,320.092,100,000676,*,376,yulya,2025-01-31 15:02:36.670000,KGShop,yulya,2025-01-31 15:07:19.620000,KGShop
22632,320.098,100,000676,*,377,yulya,2025-01-31 15:02:36.690000,KGShop,yulya,2025-01-31 15:07:20.677000,KGShop
22633,320.207,100,000676,*,378,yulya,2025-01-31 15:02:36.710000,KGShop,yulya,2025-01-31 15:07:21.830000,KGShop
22635,320.020,100,000674,*,379,yulya,2025-01-31 15:06:24.410000,KGShop,yulya,2025-01-31 15:07:22.877000,KGShop
22636,320.031,100,000674,*,380,yulya,2025-01-31 15:06:24.443000,KGShop,yulya,2025-01-31 15:07:24.063000,KGShop
22637,320.052,100,000674,*,381,yulya,2025-01-31 15:06:24.463000,KGShop,yulya,2025-01-31 15:07:25.230000,KGShop
22638,320.129,100,000674,*,382,yulya,2025-01-31 15:06:24.500000,KGShop,yulya,2025-01-31 15:07:26.493000,KGShop
22639,320.133,100,000674,*,383,yulya,2025-01-31 15:06:24.520000,KGShop,yulya,2025-01-31 15:07:27.490000,KGShop
22640,320.144,100,000674,*,384,yulya,2025-01-31 15:06:24.540000,KGShop,yulya,2025-01-31 15:07:28.537000,KGShop
22641,320.256,100,000674,*,385,yulya,2025-01-31 15:06:24.560000,KGShop,yulya,2025-01-31 15:07:29.710000,KGShop
22642,320.260,100,000674,*,386,yulya,2025-01-31 15:06:24.580000,KGShop,yulya,2025-01-31 15:07:35.977000,KGShop
22643,320.161,100,000677,*,387,yulya,2025-01-31 15:13:57.023000,KGShop,yulya,2025-01-31 15:17:15.927000,KGShop
22644,320.052,100,000678,*,388,yulya,2025-01-31 15:15:19.783000,KGShop,yulya,2025-01-31 15:17:17.173000,KGShop
22645,320.144,100,000678,*,389,yulya,2025-01-31 15:15:19.803000,KGShop,yulya,2025-01-31 15:17:18.097000,KGShop
22650,320.130,100,000680,*,390,yulya,2025-02-03 12:38:02.260000,KGShop,yulya,2025-02-03 12:41:17.040000,KGShop
22651,320.190,100,000680,*,391,yulya,2025-02-03 12:38:03.203000,KGShop,yulya,2025-02-03 12:41:17.837000,KGShop
22652,320.195,100,000680,*,392,yulya,2025-02-03 12:38:03.257000,KGShop,yulya,2025-02-03 12:41:18.817000,KGShop
22653,320.020,100,000679,*,393,yulya,2025-02-03 12:40:57.237000,KGShop,yulya,2025-02-03 12:41:19.690000,KGShop
22654,320.155,100,000679,*,394,yulya,2025-02-03 12:40:57.260000,KGShop,yulya,2025-02-03 12:41:20.483000,KGShop
22655,320.161,100,000679,*,395,yulya,2025-02-03 12:40:57.283000,KGShop,yulya,2025-02-03 12:41:21.693000,KGShop
22656,320.195,100,000679,*,396,yulya,2025-02-03 12:40:57.310000,KGShop,yulya,2025-02-03 12:41:23.993000,KGShop
22657,320.144,100,000682,*,397,yulya,2025-02-03 12:43:20.217000,KGShop,yulya,2025-02-03 12:47:06.473000,KGShop
22658,320.009,100,000684,*,398,yulya,2025-02-03 12:45:40.930000,KGShop,yulya,2025-02-03 12:47:07.640000,KGShop
22659,320.132,100,000684,*,399,yulya,2025-02-03 12:45:40.950000,KGShop,yulya,2025-02-03 12:47:08.620000,KGShop
22677,320.020,100,000683,*,400,yulya,2025-02-06 14:55:10.337000,KGShop,yulya,2025-02-06 14:57:44.487000,KGShop
22678,320.033,100,000683,*,401,yulya,2025-02-06 14:55:10.367000,KGShop,yulya,2025-02-06 14:57:46.497000,KGShop
22679,320.074,100,000683,*,402,yulya,2025-02-06 14:55:10.390000,KGShop,yulya,2025-02-06 14:57:48.587000,KGShop
22680,320.129,100,000683,*,403,yulya,2025-02-06 14:55:10.437000,KGShop,yulya,2025-02-06 14:57:50.093000,KGShop
22681,320.161,100,000683,*,404,yulya,2025-02-06 14:55:10.457000,KGShop,yulya,2025-02-06 14:57:51.677000,KGShop
22682,320.190,100,000683,*,405,yulya,2025-02-06 14:55:10.483000,KGShop,yulya,2025-02-06 14:57:53.260000,KGShop
22683,320.267,100,000683,*,406,yulya,2025-02-06 14:55:10.527000,KGShop,yulya,2025-02-06 14:57:54.950000,KGShop
22684,320.277,100,000683,*,407,yulya,2025-02-06 14:55:10.553000,KGShop,yulya,2025-02-06 14:57:56.883000,KGShop
22685,320.020,100,000686,*,408,yulya,2025-02-06 14:57:09.920000,KGShop,yulya,2025-02-06 14:57:59.400000,KGShop
22686,320.023,100,000686,*,409,yulya,2025-02-06 14:57:09.943000,KGShop,yulya,2025-02-06 14:58:01.140000,KGShop
22687,320.080,100,000686,*,410,yulya,2025-02-06 14:57:09.973000,KGShop,yulya,2025-02-06 14:58:03.127000,KGShop
22688,320.219,100,000686,*,411,yulya,2025-02-06 14:57:10.020000,KGShop,yulya,2025-02-06 14:58:05.183000,KGShop
22689,320.260,100,000686,*,412,yulya,2025-02-06 14:57:10.113000,KGShop,yulya,2025-02-06 14:58:06.870000,KGShop
22690,320.033,100,000687,*,413,yulya,2025-02-06 15:02:59.393000,KGShop,yulya,2025-02-06 15:07:43.977000,KGShop
22691,320.074,100,000687,*,414,yulya,2025-02-06 15:02:59.417000,KGShop,yulya,2025-02-06 15:07:45.617000,KGShop
22692,320.077,100,000687,*,415,yulya,2025-02-06 15:02:59.460000,KGShop,yulya,2025-02-06 15:07:47.537000,KGShop
22693,320.080,100,000687,*,416,yulya,2025-02-06 15:02:59.527000,KGShop,yulya,2025-02-06 15:07:49.343000,KGShop
22694,320.097,100,000687,*,417,yulya,2025-02-06 15:02:59.580000,KGShop,yulya,2025-02-06 15:07:50.940000,KGShop
22695,320.119,100,000687,*,418,yulya,2025-02-06 15:02:59.633000,KGShop,yulya,2025-02-06 15:07:52.750000,KGShop
22696,320.129,100,000687,*,419,yulya,2025-02-06 15:02:59.680000,KGShop,yulya,2025-02-06 15:07:54.833000,KGShop
22697,320.131,100,000687,*,420,yulya,2025-02-06 15:02:59.710000,KGShop,yulya,2025-02-06 15:07:56.950000,KGShop
22698,320.161,100,000687,*,421,yulya,2025-02-06 15:02:59.780000,KGShop,yulya,2025-02-06 15:07:58.437000,KGShop
