kgid,mkgid,RKod,BedKod,Miktar,insUN,insDT,insApp,updUN,updDT,updApp
317,65,16519,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
318,64,17505,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
319,63,17505,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
320,62,17470,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
321,61,17470,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
322,60,17470,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
323,59,17253,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
324,58,17470,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
325,57,16784,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
326,56,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
327,55,17999,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
328,54,17470,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
329,53,16725,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
330,52,16725,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
331,51,16603,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
332,50,16545,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
333,49,18632,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
334,48,16603,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
335,47,18806,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
336,46,18715,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
337,45,18714,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
338,44,16784,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
339,43,19136,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
340,42,18247,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
341,41,18247,7,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
342,40,18237,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
343,39,18237,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
344,38,18247,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
345,37,18959,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
346,36,18691,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
347,35,18816,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
348,34,18814,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
349,33,18813,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
350,32,18700,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
351,31,18700,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
352,30,18700,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
353,29,18098,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
354,28,19018,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
355,27,19017,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
356,26,16603,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
357,25,16603,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
358,23,17683,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
359,22,17683,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
360,21,17683,7,12.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
361,20,17683,7,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
362,18,17683,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
363,17,17683,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
364,16,17683,7,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
365,15,17683,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
366,14,17683,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
367,13,17756,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
368,12,19505,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
369,11,18414,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
370,10,16813,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
371,8,17543,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
372,6,18332,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
373,5,18331,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
374,4,16813,7,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
375,3,19398,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
376,2,16547,7,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
377,155,17290,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
378,154,16704,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
379,153,19133,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
380,152,19133,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
381,151,18136,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
382,150,17528,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
383,148,16778,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
384,146,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
385,145,17916,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
386,144,18786,6,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
387,143,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
388,142,19063,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
389,141,19063,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
390,140,17196,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
391,139,18580,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
392,138,18610,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
393,136,18057,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
394,135,19134,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
395,134,18817,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
396,133,18217,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
397,132,18215,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
398,131,18116,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
399,130,16748,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
400,129,16540,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
401,128,18116,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
402,127,18057,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
403,126,19245,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
404,125,17674,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
405,124,17674,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
406,123,17529,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
407,122,18057,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
408,121,18210,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
409,120,17674,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
410,119,18992,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
411,118,16879,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
412,117,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
413,116,18621,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
414,115,18118,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
415,114,18110,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
416,113,16525,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
417,112,16603,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
418,111,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
419,110,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
420,109,18752,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
421,106,18752,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
422,105,17289,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
423,104,17289,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
424,103,16525,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
425,102,16523,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
426,101,19039,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
427,100,17821,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
428,99,17833,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
429,98,18513,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
430,97,17832,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
431,96,16525,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
432,95,16599,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
433,94,16525,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
434,93,18497,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
435,92,18661,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
436,91,18665,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
437,90,18664,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
438,89,18664,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
439,88,18664,6,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
440,87,18663,6,8.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
441,86,18662,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
442,85,18673,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
443,84,18670,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
444,83,16900,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
445,82,16900,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
446,81,16519,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
447,80,18445,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
448,79,18445,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
449,78,16519,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
450,77,16897,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
451,76,16519,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
452,75,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
453,73,16519,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
454,72,16519,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
455,71,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
456,70,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
457,69,17190,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
458,68,17190,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
459,67,17190,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
460,66,17190,6,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
461,65,16519,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
462,64,17505,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
463,63,17505,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
464,62,17470,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
465,61,17470,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
466,60,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
467,59,17253,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
468,58,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
469,57,16784,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
470,56,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
471,55,17999,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
472,54,17470,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
473,53,16725,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
474,52,16725,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
475,51,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
476,50,16545,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
477,49,18632,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
478,48,16603,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
479,47,18806,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
480,46,18715,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
481,45,18714,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
482,43,19136,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
483,42,18247,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
484,41,18247,6,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
485,40,18237,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
486,39,18237,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
487,38,18247,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
488,37,18959,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
489,36,18691,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
490,35,18816,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
491,34,18814,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
492,33,18813,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
493,32,18700,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
494,31,18700,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
495,30,18700,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
496,29,18098,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
497,28,19018,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
498,27,19017,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
499,26,16603,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
500,25,16603,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
501,24,17683,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
502,23,17683,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
503,22,17683,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
504,21,17683,6,12.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
505,20,17683,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
506,18,17683,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
507,17,17683,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
508,16,17683,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
509,15,17683,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
510,14,17683,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
511,13,17756,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
512,12,19505,6,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
513,11,18414,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
514,10,16813,6,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
515,9,16813,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
516,8,17543,6,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
517,6,18332,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
518,5,18331,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
519,4,16813,6,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
520,3,19398,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
521,2,16547,6,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
522,155,17290,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
523,154,16704,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
524,151,18136,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
525,150,17528,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
526,146,16603,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
527,145,17916,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
528,144,18786,5,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
529,143,16603,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
530,141,19063,5,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
531,139,18580,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
532,138,18610,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
533,136,18057,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
534,135,19134,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
535,134,18817,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
536,133,18217,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
537,132,18215,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
538,131,18116,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
539,130,16748,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
540,129,16540,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
541,128,18116,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
542,127,18057,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
543,126,19245,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
544,125,17674,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
545,124,17674,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
546,123,17529,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
547,122,18057,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
548,121,18210,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
549,120,17674,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
550,119,18992,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
551,118,16879,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
552,117,16603,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
553,116,18621,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
554,115,18118,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
555,114,18110,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
556,113,16525,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
557,112,16603,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
558,111,16603,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
559,110,16603,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
560,109,18752,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
561,106,18752,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
562,105,17289,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
563,104,17289,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
564,103,16525,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
565,102,16523,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
566,100,17821,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
567,99,17833,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
568,98,18513,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
569,97,17832,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
570,96,16525,5,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
571,95,16599,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
572,94,16525,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
573,93,18497,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
574,92,18661,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
575,91,18665,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
576,90,18664,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
577,89,18664,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
578,88,18664,5,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
579,87,18663,5,8.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
580,86,18662,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
581,85,18673,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
582,84,18670,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
583,83,16900,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
584,82,16900,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
585,81,16519,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
586,80,18445,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
587,79,18445,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
588,78,16519,5,3.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
589,77,16897,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
590,76,16519,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
591,75,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
592,73,16519,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
593,72,16519,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
594,71,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
595,70,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
596,68,17190,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
597,67,17190,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
598,66,17190,5,14.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
599,65,16519,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
600,64,17505,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
601,63,17505,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
602,62,17470,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
603,60,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
604,59,17253,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
605,58,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
606,57,16784,5,4.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
607,56,16603,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
608,55,17999,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
609,54,17470,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
610,53,16725,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
611,52,16725,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
612,51,16603,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
613,50,16545,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
614,49,18632,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
615,48,16603,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
616,47,18806,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
617,46,18715,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
618,45,18714,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
619,43,19136,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
620,42,18247,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
621,41,18247,5,6.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
622,40,18237,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
623,39,18237,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
624,38,18247,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
625,37,18959,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
626,36,18691,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
627,35,18816,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
628,34,18814,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
629,33,18813,5,1.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
630,32,18700,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
631,31,18700,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
632,30,18700,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
633,29,18098,5,2.0000000000,yulya,2024-12-19 13:02:47.497000,KGShop,,,
