Koli_KOD,Tanim,Beden_KOD,Tanim2
A197,42- 43 = 4 4 0 0 0 0=8,M1,42- 43 = 4 4 0 0 0 0=8
A198,36- 40 = 1 1 2 1 1 0 0 0 0 0 0 0=6,M1,36- 40 = 1 1 2 1 1 0 0 0 0 0 0 0=6
A199,40- 44 = 1 1 2 1 1 0 0 0=6,M1,40- 44 = 1 1 2 1 1 0 0 0=6
A200,30- 35 = 1 1 1 1 1 1 0 0 0 0 0=6,X3,30- 35 = 1 1 1 1 1 1 0 0 0 0 0=6
A201,31- 35 = 1 2 2 2 1 0=8,FLT,31- 35 = 1 2 2 2 1 0=8
A202,26- 30 = 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0=6,X3,26- 30 = 1 1 2 1 1 0 0 0 0 0 0 0 0 0 0=6
A203,39- 44 = 6 6 12 12 6 6 0 0 0=48,M1,39- 44 = 6 6 12 12 6 6 0 0 0=48
A204,4,X3,4
A205,40- 45 = 1 1 3 2 1 2 0 0=10,M1,40- 45 = 1 1 3 2 1 2 0 0=10
A206,33- 35 = 2 2 2 0 0 0 0 0=6,X3,33- 35 = 2 2 2 0 0 0 0 0=6
A207,40- 45 = 2 2 2 2 0 1 0 0=9,M1,40- 45 = 2 2 2 2 0 1 0 0=9
A208,27- 32 = 1 1 1 1 1 1 0 0 0 0 0 0 0 0=6,X3,27- 32 = 1 1 1 1 1 1 0 0 0 0 0 0 0 0=6
A209,36- 40 = 4 0 0 0 4 0 0 0=8,Z1,36- 40 = 4 0 0 0 4 0 0 0=8
A210,21- 26 = 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0=6,X3,21- 26 = 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0=6
A211,38- 38 = 8 0 0 0 0 0=8,Z1,38- 38 = 8 0 0 0 0 0=8
A212,36- 40 = 2 0 5 1 1 0 0 0 0 0 0 0=9,M1,36- 40 = 2 0 5 1 1 0 0 0 0 0 0 0=9
A213,36- 39 = 1 2 3 1 0 0 0 0=7,Z1,36- 39 = 1 2 3 1 0 0 0 0=7
A214,40- 44 = 2 1 2 2 1 0 0 0=8,M1,40- 44 = 2 1 2 2 1 0 0 0=8
A215,40- 44 = 1 1 2 3 1 0 0 0=8,M1,40- 44 = 1 1 2 3 1 0 0 0=8
A216,40- 44 = 1 1 3 2 1 0 0 0=8,M1,40- 44 = 1 1 3 2 1 0 0 0=8
A217,36- 41 = 2 2 2 0 1 1 0 0=8,Z1,36- 41 = 2 2 2 0 1 1 0 0=8
A218,37- 40 = 2 3 2 1 0 0 0=8,Z1,37- 40 = 2 3 2 1 0 0 0=8
A219,40- 44 = 2 2 2 2 1 0 0 0=9,M1,40- 44 = 2 2 2 2 1 0 0 0=9
A220,39- 44 = 1 1 2 2 3 1 0 0 0=10,M1,39- 44 = 1 1 2 2 3 1 0 0 0=10
A221,40- 44 = 1 2 4 2 1 0 0 0=10,M1,40- 44 = 1 2 4 2 1 0 0 0=10
A222,41- 44 = 3 2 2 1 0 0 0=8,M1,41- 44 = 3 2 2 1 0 0 0=8
A223,40- 45 = 2 2 1 1 1 1 0 0=8,M1,40- 45 = 2 2 1 1 1 1 0 0=8
A224,40- 44 = 2 1 4 2 1 0 0 0=10,M1,40- 44 = 2 1 4 2 1 0 0 0=10
A225,40- 44 = 2 1 3 2 2 0 0 0=10,M1,40- 44 = 2 1 3 2 2 0 0 0=10
A226,37- 39 = 3 4 1 0 0 0 0=8,Z1,37- 39 = 3 4 1 0 0 0 0=8
A227,43- 44 = 3 5 0 0 0=8,M1,43- 44 = 3 5 0 0 0=8
A228,43- 44 = 11 1 0 0 0=12,M1,43- 44 = 11 1 0 0 0=12
A229,41- 44 = 3 3 3 3 0 0 0=12,M1,41- 44 = 3 3 3 3 0 0 0=12
A230,43- 44 = 7 1 0 0 0=8,M1,43- 44 = 7 1 0 0 0=8
A231,41- 44 = 3 3 4 2 0 0 0=12,M1,41- 44 = 3 3 4 2 0 0 0=12
A232,41- 44 = 3 3 3 2 0 0 0=11,M1,41- 44 = 3 3 3 2 0 0 0=11
A233,43- 44 = 6 6 0 0 0=12,M1,43- 44 = 6 6 0 0 0=12
A234,41- 45 = 3 3 3 2 1 0 0=12,M1,41- 45 = 3 3 3 2 1 0 0=12
A235,40- 45 = 1 2 3 0 3 1 0 0=10,M1,40- 45 = 1 2 3 0 3 1 0 0=10
A236,43- 44 = 4 1 0 0 0=5,M1,43- 44 = 4 1 0 0 0=5
A237,37- 39 = 4 3 3 0 0 0 0=10,Z1,37- 39 = 4 3 3 0 0 0 0=10
A238,36- 39 = 1 2 2 2 0 0 0 0 0 0 0 0=7,M1,36- 39 = 1 2 2 2 0 0 0 0 0 0 0 0=7
A239,37- 39 = 4 2 4 0 0 0 0=10,Z1,37- 39 = 4 2 4 0 0 0 0=10
A240,40- 44 = 1 0 0 0 9 0 0 0=10,M1,40- 44 = 1 0 0 0 9 0 0 0=10
A241,36- 39 = 2 2 3 2 0 0 0 0 0 0 0 0=9,M1,36- 39 = 2 2 3 2 0 0 0 0 0 0 0 0=9
A242,37- 38 = 5 5 0 0 0 0 0 0 0 0 0=10,M1,37- 38 = 5 5 0 0 0 0 0 0 0 0 0=10
A243,40- 45 = 2 0 0 4 2 2 0 0=10,M1,40- 45 = 2 0 0 4 2 2 0 0=10
A244,44- 45 = 9 1 0 0=10,M1,44- 45 = 9 1 0 0=10
A245,43- 45 = 1 2 3 0 0=6,M1,43- 45 = 1 2 3 0 0=6
A246,36- 39 = 1 4 0 2 0 0 0 0=7,Z1,36- 39 = 1 4 0 2 0 0 0 0=7
A247,36- 40 = 1 3 1 4 1 0 0 0 0 0 0 0=10,M1,36- 40 = 1 3 1 4 1 0 0 0 0 0 0 0=10
A248,36- 40 = 2 3 2 1 1 0 0 0 0 0 0 0=9,M1,36- 40 = 2 3 2 1 1 0 0 0 0 0 0 0=9
A249,40- 45 = 2 1 3 2 1 1 0 0=10,M1,40- 45 = 2 1 3 2 1 1 0 0=10
A250,36- 38 = 3 4 3 0 0 0 0 0=10,Z1,36- 38 = 3 4 3 0 0 0 0 0=10
A251,40- 45 = 2 1 2 3 1 1 0 0=10,M1,40- 45 = 2 1 2 3 1 1 0 0=10
A252,42- 44 = 1 4 4 0 0 0=9,M1,42- 44 = 1 4 4 0 0 0=9
A253,36- 40 = 1 1 3 2 1 0 0 0 0 0 0 0=8,M1,36- 40 = 1 1 3 2 1 0 0 0 0 0 0 0=8
A254,43- 45 = 9 0 1 0 0=10,M1,43- 45 = 9 0 1 0 0=10
A255,40- 45 = 1 1 3 3 1 1 0 0=10,M1,40- 45 = 1 1 3 3 1 1 0 0=10
A256,36- 40 = 1 3 2 1 1 0 0 0 0 0 0 0=8,M1,36- 40 = 1 3 2 1 1 0 0 0 0 0 0 0=8
A257,36- 39 = 2 1 3 2 0 0 0 0 0 0 0 0=8,M1,36- 39 = 2 1 3 2 0 0 0 0 0 0 0 0=8
A258,40- 44 = 5 0 0 0 5 0 0 0=10,M1,40- 44 = 5 0 0 0 5 0 0 0=10
A259,40- 41 = 1 9 0 0 0 0 0 0=10,M1,40- 41 = 1 9 0 0 0 0 0 0=10
A260,36- 39 = 1 3 3 3 0 0 0 0=10,Z1,36- 39 = 1 3 3 3 0 0 0 0=10
A261,36- 40 = 1 4 0 1 2 0 0 0 0 0 0 0=8,M1,36- 40 = 1 4 0 1 2 0 0 0 0 0 0 0=8
A262,40- 47 = 1 1 1 1 1 1 1 1=8,M1,40- 47 = 1 1 1 1 1 1 1 1=8
A263,36- 40 = 1 3 2 2 2 0 0 0=10,Z1,36- 40 = 1 3 2 2 2 0 0 0=10
A264,40- 45 = 1 1 4 2 1 1 0 0=10,M1,40- 45 = 1 1 4 2 1 1 0 0=10
A265,39- 44 = 1 3 1 1 1 1 0 0 0=8,M1,39- 44 = 1 3 1 1 1 1 0 0 0=8
A266,39- 44 = 1 1 1 3 1 1 0 0 0=8,M1,39- 44 = 1 1 1 3 1 1 0 0 0=8
A267,39- 44 = 1 2 1 2 1 1 0 0 0=8,M1,39- 44 = 1 2 1 2 1 1 0 0 0=8
A268,36- 38 = 2 2 2 0 0 0 0 0 0 0 0 0=6,M1,36- 38 = 2 2 2 0 0 0 0 0 0 0 0 0=6
A269,37- 40 = 3 2 2 1 0 0 0=8,Z1,37- 40 = 3 2 2 1 0 0 0=8
A270,36- 42 = 1 2 2 2 1 0 1 0=9,Z1,36- 42 = 1 2 2 2 1 0 1 0=9
A271,36- 41 = 2 2 2 1 1 1 0 0=9,Z1,36- 41 = 2 2 2 1 1 1 0 0=9
A272,39- 39 = 9 0 0 0 0=9,Z1,39- 39 = 9 0 0 0 0=9
A273,37- 37 = 8 0 0 0 0 0 0=8,Z1,37- 37 = 8 0 0 0 0 0 0=8
A274,35- 39 = 4 8 8 8 8 0 0 0 0=36,Z1,35- 39 = 4 8 8 8 8 0 0 0 0=36
A275,110- 135 = 1 2 3 3 2 1 0 0 0 0 0 0 0 0 0 0 0=12,KMR,110- 135 = 1 2 3 3 2 1 0 0 0 0 0 0 0 0 0 0 0=12
A276,40- 44 = 2 2 4 1 1 0 0 0=10,M1,40- 44 = 2 2 4 1 1 0 0 0=10
A277,105- 135 = 1 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0=12,KMR,105- 135 = 1 1 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0=12
A278,42- 44 = 1 2 1 0 0 0=4,M1,42- 44 = 1 2 1 0 0 0=4
A279,140- 175 = 1 1 1 2 2 2 2 1 0 0 0=12,KMR,140- 175 = 1 1 1 2 2 2 2 1 0 0 0=12
A280,42- 44 = 2 4 2 0 0 0=8,M1,42- 44 = 2 4 2 0 0 0=8
A281,140- 170 = 2 2 2 1 1 1 1 0 0 0 0=10,KMR,140- 170 = 2 2 2 1 1 1 1 0 0 0 0=10
A282,39- 45 = 1 2 3 2 1 0 1 0 0=10,M1,39- 45 = 1 2 3 2 1 0 1 0 0=10
A283,26- 30 = 2 2 2 1 1 0 0 0 0 0 0=8,FLT,26- 30 = 2 2 2 1 1 0 0 0 0 0 0=8
A284,36- 39 = 4 2 4 2 0 0 0 0=12,Z1,36- 39 = 4 2 4 2 0 0 0 0=12
A285,31- 35 = 2 2 2 1 1 0=8,FLT,31- 35 = 2 2 2 1 1 0=8
A286,38- 41 = 2 4 4 2 0 0=12,Z1,38- 41 = 2 4 4 2 0 0=12
A287,36- 40 = 3 4 3 4 2 0 0 0=16,Z1,36- 40 = 3 4 3 4 2 0 0 0=16
A288,36- 40 = 4 8 8 8 4 0 0 0=32,Z1,36- 40 = 4 8 8 8 4 0 0 0=32
A500,AHMET MER,M1,AHMET MER
A996,41- 46 = 1 1 2 2 1 1 0=8,M1,41- 46 = 1 1 2 2 1 1 0=8
A997,37- 40 = 1 2 3 2 0 0 0=8,Z1,37- 40 = 1 2 3 2 0 0 0=8
A998,37- 41 = 1 2 3 1 1 0 0=8,Z1,37- 41 = 1 2 3 1 1 0 0=8
A999,37- 42 = 1 1 2 2 1 1 0=8,Z1,37- 42 = 1 1 2 2 1 1 0=8
aaan,aaan,Z1,aaan
ACKC,40- 46 = 1 2 1 1 1 1 1 0=8,M1,40- 46 = 1 2 1 1 1 1 1 0=8
adsa,dasdfasfas,Z1,dasdfasfas
AKKN,AKKN,GR,AKKN
AKL,36- 41 = 2 2 1 1 1 1 0 0=8,Z1,36- 41 = 2 2 1 1 1 1 0 0=8
aks,aks,BB,aks
AKSU,AKSU,CK,AKSU
alp,alp,Z2,alp
ALTI,31- 36 = 1 1 1 1 1 1 0=6,FILE,31- 36 = 1 1 1 1 1 1 0=6
ANBB,ANBB,Z1,ANBB
ANBE,ANBE,Z1,ANBE
ANBR,ANBR,Z2,ANBR
ANKP,39- 46 = 1 1 2 3 2 1 1 1 0=12,M1,39- 46 = 1 1 2 3 2 1 1 1 0=12
APCL,35- 41 = 1 1 2 2 1 1 1 0 0=9,Z1,35- 41 = 1 1 2 2 1 1 1 0 0=9
arok,arok,Z1,arok
AS,AS,Z1,AS
ASE,ASE,PT,ASE
ASER,ASER,BB,ASER
ASS1,29- 36 = 1 1 1 1 1 1 1 1 0=8,FILE,29- 36 = 1 1 1 1 1 1 1 1 0=8
ASS2,28- 36 = 1 1 1 1 1 2 1 1 1 0=10,FILE,28- 36 = 1 1 1 1 1 2 1 1 1 0=10
ASY1,30- 36 = 1 2 1 1 1 1 1 0=8,FILE,30- 36 = 1 2 1 1 1 1 1 0=8
ATA1,ATA1,GR,ATA1
ATA2,ATA2,GR,ATA2
ATA3,ATA3,M1,ATA3
ATAK,ATAK,GR,ATAK
ATAŞ,ATAŞ,M2,ATAŞ
AYMS,AYMS,Z1,AYMS
AYSM,AYSM,M1,AYSM
B-08,SCOTTER,M2,SCOTTER
B-2,SANCAKTAR ,CK,SANC
B-99,SANCAKTAR ,CK,SANCAKTAR 
BBBB,BBBB,M1,BBBB
BE,BEFE,CK,BEFE
BEBE,BEBE,CK,BEBE
BIT,BITOLO,FILE,BITOLO
BITO,BITOLO,GR,BITOLO
blck,blck,M1,blck
BLKS,45- 47 = 4 3 1 0 0 0=8,M2,45- 47 = 4 3 1 0 0 0=8
bnza,bnza,GR,bnza
BNZI,BONZAI,GR,BONZAI
BR1,36- 40 = 1 3 2 2 2 0 0 0=10,Z1,36- 40 = 1 3 2 2 2 0 0 0=10
BRC,BRC,M1,BRC
BUF,BUF,M1,BUF
BUFF,BUFF,Z1,BUFF
C058,C058,M1,C058
CAL,26- 30 = 60 60 60 30 30 0=240,PT,26- 30 = 60 60 60 30 30 0=240
CAN,CAN BEBE,FT,CAN BEBE
CAN1,CAN1,Z1,CAN1
CANB,CANB,FILE,CANB
capr,capr,Z1,capr
CLMR,CLMR,Z1,CLMR
COLL,COLL,Z1,COLL
COLM,COLM,Z1,COLM
DCKR,DCKR,FT,DCKR
DIMA,DIMAS,FT,DIMAS
DIP,DIPLOMAT,Z2,DIPLOMAT
DİNA,DİNAMİK,GR,DİNAMİK
DKTR,DKTR,M1,DKTR
DND1,35- 41 = 1 1 1 2 1 1 1 0 0=8,Z1,35- 41 = 1 1 1 2 1 1 1 0 0=8
E002,E002,ERS,E002
E3E,EMKA,FT,EMKA
ECCO,39- 45 = 1 2 3 2 2 1 1 0 0=12,M1,39- 45 = 1 2 3 2 2 1 1 0 0=12
ED,AKKANAT,M1,AKKANAT
EFE,EFE,FT,EFE
EFE1,EFE1,CK,EFE1
EFE2,EFE2,Z1,EFE2
EFE5,EFE5,M1,EFE5
EFRT,40- 44 = 1 3 1 3 2 0 0 0=10,M1,40- 44 = 1 3 1 3 2 0 0 0=10
ELIP,ELISPOLY 6 SIZ,Z1,ELISPOLY 6 SIZ
ELIS,ELISPOLY TERLIK,Z1,ELISPOLY TERLIK
ELM1,28- 36 = 1 1 1 1 1 2 1 1 1=10,28-6,28- 36 = 1 1 1 1 1 2 1 1 1=10
ELM3,29- 36 = 1 1 1 2 2 1 1 1=10,28-6,29- 36 = 1 1 1 2 2 1 1 1=10
ELS,38- 41 = 4 4 2 2 0 0=12,Z1,38- 41 = 4 4 2 2 0 0=12
ELS1,36- 40 = 2 4 2 2 2 0 0 0=12,Z1,36- 40 = 2 4 2 2 2 0 0 0=12
ELSP,37- 41 = 3 3 2 2 2 0 0=12,Z1,37- 41 = 3 3 2 2 2 0 0=12
EOO1,EOO1,ERS,EOO1
ERWE,ERWE,Z1,ERWE
ESER,ESER,GR,ESER
EWD,EWRWFDESGERTGERGTDSD,FILE,EWRWFDESGERTGERGTDSD
EYL1,19- 27 = 1 1 1 1 1 1 1 2 1 0 0 0 0 0 0 0 0 0=10,FLT,19- 27 = 1 1 1 1 1 1 1 2 1 0 0 0 0 0 0 0 0 0=10
EYL2,28- 36 = 1 1 1 1 1 2 1 1 1=10,FLT,28- 36 = 1 1 1 1 1 2 1 1 1=10
F-05,SENA,FT,SENA
F-08,DALTON SHOES,FT,DALTON SHOES
F-09,RKS,FT,RKS
F-1,JUMP,FT,
F-15,SELFİRON,FT,SELFİRON
F-2,SCOOTER,FT,
F-25,SCOTTER YENİ,FT,SCOTTER YENİ
F-3,TEKİNER,FT,
F-4,TEKINER-1,FT,
F-5,MAXUMA,FT,MAXUMA
F-52,ZİRVE MAXUMA,FT,ZİRVE MAXUMA
FBY,BEYBU,FT,BEYBU
FERE,41- 44 = 3 3 2 2 0 0 0=10,M1,41- 44 = 3 3 2 2 0 0 0=10
FFFF,FFFFFF,M1,FFFFFF
FKMF,FDFEW,FT,FDFEW
FKNI,FKNI,FILE,FKNI
fl,fl,M1,fl
FLWR,FLWR,M2,FLWR
FOSC,FOSC,M1,FOSC
FRE1,40- 44 = 2 2 2 1 1 0 0 0 0=8,X2,40- 44 = 2 2 2 1 1 0 0 0 0=8
FREE,FREE,Z2,FREE
FRKS,40- 45 = 2 4 6 4 2 2 0 0=20,M1,40- 45 = 2 4 6 4 2 2 0 0=20
FRTN,FRTN,FILE,FRTN
FRTO,FRTO,FILE,FRTO
FRTT,FRTT,M1,FRTT
fsad,awa,M1,awa
FSCO,FSCO,M1,FSCO
FTRN,FTRN,M1,FTRN
FWAE,RWEQWAETWETR,M1,RWEQWAETWETR
G-04,KARDEŞLER,GR,KARDEŞLER
G-08,RKS,GR,RKS
G-1,JUMP,GR,
G-11,FOSCO,GR,FOSCO
G-13,DALTON SHOES,GR,DALTON SHOES
G-2,SAKIP CELEMLİ,GR,
G-24,LESCON YENİ,GR,LESCON YENİ
G-3,ESER,GR,
G-4,LESCON,GR,
G-5,SCOOTER,GR,
G-51,SELFİRON,GR,SELFİRON
G-57,SCOOTER YENİ,Z1,SCOOTER YENİ
G-6,MAXUMA,GR,MAXUMA
G-61,SCOTTER,GR,SCOTTER
G-62,RKS YENİ,GR,RKS YENİ
G-64,KİNETİX KARIŞIK,GR,KİNETİX KARIŞIK
GEMZ,GEMZ,Z1,GEMZ
GFJ,AFETGFSD,PT,AFETGFSD
GFM,GARMER FIRTINA,Z1,GARMER FIRTINA
GHR,GHR,FT,GHR
GONC,31- 35 = 1 1 1 1 1 0 0=5,FILE,31- 35 = 1 1 1 1 1 0 0=5
GÖN,GONCU7,FILE,GONCU7
GÖNC,26- 30 = 1 1 1 1 1 0 0 0 0 0 0 0=5,FILE,26- 30 = 1 1 1 1 1 0 0 0 0 0 0 0=5
GÖNE,31- 35 = 1 2 2 2 1 0 0=8,FILE,31- 35 = 1 2 2 2 1 0 0=8
GÖNG,31- 36 = 2 2 2 2 2 2 0=12,FILE,31- 36 = 2 2 2 2 2 2 0=12
GÖNI,26- 36 = 1 1 1 1 1 1 1 1 1 1 1 0=11,FILE,26- 36 = 1 1 1 1 1 1 1 1 1 1 1 0=11
GÖNK,31- 35 = 1 1 2 2 2 0 0=8,FILE,31- 35 = 1 1 2 2 2 0 0=8
GÖNM,31- 35 = 2 2 2 2 2 0 0=10,FILE,31- 35 = 2 2 2 2 2 0 0=10
GÖNO,31- 36 = 1 2 2 2 2 1 0=10,FILE,31- 36 = 1 2 2 2 2 1 0=10
GÖNQ,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8,FILE,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0=8
GÖNS,28- 35 = 1 1 1 1 1 1 1 1 0 0=8,FILE,28- 35 = 1 1 1 1 1 1 1 1 0 0=8
GPCA,GPCA,PT,GPCA
GR,40- 44 = 1 3 3 1 2 0 0 0=10,M1,40- 44 = 1 3 3 1 2 0 0 0=10
grey,grey,M1,grey
GRY4,GRY4,M1,GRY4
GRYD,GRYD,M1,GRYD
guv,guv,IK,guv
GVN,GVN,BB,GVN
gvn1,gvn1,BB,gvn1
GVN2,GVN2,PT,GVN2
GVNN,GVNN,Z2,GVNN
GYRD,GYRD,M1,GYRD
hasm,hasm,M1,hasm
HMMR,HAMMER JACK,M1,HAMMER JACK
I-1,SANCAKTAR 1,IK,
I-2,SANCAKTAR,IK,
I-3,TEKİNER ,IK,
I-5,JUMP,IK,JUMP
I-51,CAN BEBE,IK,CAN BEBE
I-53,19- 21 = 2 2 2=6,IK,19- 21 = 2 2 2=6
I-55,19- 21 = 2 3 1=6,IK,19- 21 = 2 3 1=6
I-57,18- 20 = 1 2 2 0=5,IK,18- 20 = 1 2 2 0=5
I-59,18- 21 = 1 2 2 1=6,IK,18- 21 = 1 2 2 1=6
I-61,18- 20 = 2 3 1 0=6,IK,18- 20 = 2 3 1 0=6
I-63,18- 21 = 1 1 2 2=6,IK,18- 21 = 1 1 2 2=6
I-65,18- 21 = 2 2 2 2=8,IK,18- 21 = 2 2 2 2=8
IRMA,IRMA,M1,IRMA
JAM1,31- 35 = 1 1 2 2 2 0 0 0 0 0 0 0=8,X1,31- 35 = 1 1 2 2 2 0 0 0 0 0 0 0=8
JUM1,JUM1,M2,JUM1
JUMP,JUMP,M2,JUMP
K-1,KARISIK,M1,KARISIK
K-2,KARISIK-2,M1,KARISIK-2
KAAN,KAAN TERLİK,M1,KAAN TERLİK
KALY,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=8,X1,26- 30 = 1 1 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=8
KAM0,30- 35 = 1 1 1 2 2 1 0 0 0 0 0 0 0=8,X1,30- 35 = 1 1 1 2 2 1 0 0 0 0 0 0 0=8
KAM2,36- 40 = 2 2 2 1 1 0 0=8,X1,36- 40 = 2 2 2 1 1 0 0=8
KAM4,36- 40 = 2 2 2 2 2 0 0=10,X1,36- 40 = 2 2 2 2 2 0 0=10
KAM6,36- 40 = 1 1 2 1 1 0 0=6,X1,36- 40 = 1 1 2 1 1 0 0=6
KAM8,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0=8,X1,26- 30 = 1 2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0=8
KAN,KAN,CK,KAN
KAN0,31- 36 = 1 1 2 2 1 1 0 0 0 0 0 0=8,X1,31- 36 = 1 1 2 2 1 1 0 0 0 0 0 0=8
KAN2,36- 39 = 2 2 2 2 0 0 0=8,X1,36- 39 = 2 2 2 2 0 0 0=8
KAN4,31- 36 = 2 2 2 2 2 2 0 0 0 0 0 0=12,X1,31- 36 = 2 2 2 2 2 2 0 0 0 0 0 0=12
KAN6,27- 30 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=8,X1,27- 30 = 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=8
KAN8,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=10,X1,26- 30 = 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0=10
KANI,KANI,M3,KANI
KANİ,KANİ,CK,KANİ
KANN,KANN,CK,KANN
KAO0,31- 36 = 1 2 2 2 2 1 0 0 0 0 0 0=10,X1,31- 36 = 1 2 2 2 2 1 0 0 0 0 0 0=10
KAO2,36- 40 = 1 2 2 2 1 0 0=8,X1,36- 40 = 1 2 2 2 1 0 0=8
KAO4,31- 35 = 2 2 2 2 2 0 0 0 0 0 0 0=10,X1,31- 35 = 2 2 2 2 2 0 0 0 0 0 0 0=10
KAO6,36- 40 = 1 3 3 2 1 0 0=10,X1,36- 40 = 1 3 3 2 1 0 0=10
KAPŞ,KAPŞ,M1,KAPŞ
kar,KARDEŞLER,GR,KARDEŞLER
KARY,KARY,Z1,KARY
kb39,kb39,Z1,kb39
KG,KİNETİX,GR,KİNETİX
KIN,KINETİX,GR,KINETİX
KINE,KINETIX,PT,KINETIX
KİNE,KİNE,FT,KİNE
KLPT,KLPT,PT,KLPT
KLYF,31- 35 = 2 2 2 1 1 0 0=8,FILE,31- 35 = 2 2 2 1 1 0 0=8
KNG,KNG,M1,KNG
KNG1,KNG1,M1,KNG1
KNTX,KNTX,FT,KNTX
KNX2,KNX2,PT,KNX2
KOM,KOM,M2,KOM
kpol,kpol,M1,kpol
KPŞK,KPŞK,M1,KPŞK
krdB,krdB,M2,krdB
KRDN,KRDN,ERS,KRDN
KRDZ,KARADENIZ,M2,KARADENIZ
KYL1,45- 48 = 3 2 2 1=8,X2,45- 48 = 3 2 2 1=8
L,L,M1,L
LB,LB,M1,LB
LEOA,LEOA,M1,LEOA
LES,LESCON GARSON,Z1,LESCON GARSON
LM1,31- 35 = 2 2 1 1 2 0 0=8,FILE,31- 35 = 2 2 1 1 2 0 0=8
LUCI,LUCI,M1,LUCI
M.K.,M.K.,FT,M.K.
M-01,NORMAL SERI,Z3,NORMAL SERI
M-02,KING PAOLO,M1,
M-03,KING PAOLO 1,M1,
M-04,LESCON,M1,
M-05,ZUM-KOKO,M1,
M-06,FOSCO,M1,
M-07,MUDO,M1,
M-08,KING PAOLO 3,M1,
M-09,AZIM,M1,
M-10,HCM,M1,
M100,VESA,M1,
M-11,BRC,M1,
M-12,BOZYAKA,M1,BOZYAKA
M-13,BLACKHEART,M1,BLACKHEART
M-14,SEYDİ USTA,M1,SEYDİ USTA
M-15,RKS,M1,RKS
M154,TOPLU,M1,TOPLU
M-16,FLOWERS,M1,FLOWERS
M-17,AGUCİNO,M1,AGUCİNO
M-18,JUMP,M1,
M-19,JUMP 1,M1,
M-20,CATTIM,M1,
M-21,ÖMEROGLU,M1,ÖMEROGLU
M-23,MONTE BELLO,M1,MONTE BELLO
M-24,KUYUMCUOGLU,M1,KUYUMCUOGLU
M-25,TİBESTİ,M1,TİBESTİ
M-26,LAKERS,M1,LAKERS
M-27,SAKIP CELEMLİ,M1,SAKIP CELEMLİ
M-28,RACI BAYRAKCI,M1,RACI BAYRAKCI
M-29,NAKIP CELEMLİ,M1,NAKIP CELEMLİ
M-30,FLOWERS,M1,FLOWERS
M-31,GERONIMO,M1,GERONIMO
M-32,ESER,M1,
M-34,MARTINS,M1,
M-35,SCOTTER BOT,M1,SCOTTER BOT
M-36,COLARADO,M1,COLARADO
M-37,CEN-SAY,M1,CEN-SAY
M-47,MARTİNS,M1,MARTİNS
M-48,İSOTÇU KUNDURA,M1,İSOTÇU KUNDURA
M-50,KARDESLER AYAKKABI,M1,KARDESLER AYAKKABI
M-51,KARDESLER SANDALET,M1,KARDESLER SANDALET
M-52,DEMMUR,M1,DEMMUR
M-53,GREYDER,M1,
M-54,IDEAL KUNDURA,M1,
M-55,LEONNİ,M1,
M-56,ZEKI ROC,M1,
M-57,SCOOTER,M1,
M-58,MAXUMA,M1,MAXUMA
M-59,NETA,M1,NETA
M-62,KARADENİZ KARIŞIK,M1,KARADENİZ KARIŞIK
M-63,GREYDER1,M1,GREYDER1
M-64,GENMAR JUMP BOT,M1,GENMAR JUMP BOT
M-67,KARDESLER,M1,KARDESLER
M-68,OBAS LAGUNA,M1,OBAS LAGUNA
M-73,CABANİ,M1,CABANİ
M-76,ALOFT KARIŞIK,M1,ALOFT KARIŞIK
M-80,M.KÖKSAL YENİ,M1,M.KÖKSAL YENİ
M-81,GREYDER YENİ,M1,GREYDER YENİ
M-83,KİNETİX BOT,M1,KİNETİX BOT
M9,M9,M1,M9
M-95,İADE,M1,İADE
MABA,MAMBAT BATTAL,ERS,MAMBAT BATTAL
MAMB,MAMB,ERS,MAMB
MAMM,MAMM,Z1,MAMM
MANO,MAMBAT NORMAL,ERS,MAMBAT NORMAL
MAS,MAS,Z1,MAS
MAS2,MAS2,ERS,MAS2
MASb,MASb,ERS,MASb
MAUF,MAMBAT UFAK,ERS,MAMBAT UFAK
MAX,MAXUMA,CK,MAXUMA
MB-1,SCOOTER,M2,
MB-5,CELEMLİ,M2,CELEMLİ
MB-7,UGUR,M2,UGUR
MBKX,MBKX,M2,MBKX
MBKY,MBKY,M2,MBKY
MBKZ,MBKZ,M2,MBKZ
MBL0,MBL0,M2,MBL0
MMMM,MMMM,M1,MMMM
