SipNo,AvTip,Coninx,Odinx,Fisinx,EvrakNo,Tutar,ParaCinsi,Vade,Tanim,PortfoyNo
6335,k,6503,0,,,,,,,
6391,k,6519,0,,,,,,,
6392,k,6520,0,,,,,,,
6407,k,3801,0,,,,,,,
6407,k,6539,0,,,,,,,
6458,k,6603,0,,,,,,,
6460,k,6601,0,,,,,,,
6547,k,6910,0,,,,,,,
6566,k,5692,0,,,,,,,
6566,k,6917,0,,,,,,,
6566,k,6919,0,,,,,,,
6577,k,6918,0,,,,,,,
6615,k,6990,0,,,,,,,
6636,k,7067,0,,,,,,,
6688,k,7081,0,,,,,,,
6691,k,7112,0,,,,,,,
6694,k,7161,0,,,,,,,
6732,k,7190,0,,,,,,,
6732,k,7227,0,,,,,,,
6786,k,7233,0,,,,,,,
6786,k,7286,0,,,,,,,
6789,k,2461,0,,,,,,,
6789,k,5728,0,,,,,,,
6789,k,7480,0,,,,,,,
6790,k,1891,0,,,,,,,
6790,k,3978,0,,,,,,,
6792,k,6278,0,,,,,,,
6792,k,6581,0,,,,,,,
6792,k,6902,0,,,,,,,
6792,k,7501,0,,,,,,,
6793,k,2465,0,,,,,,,
6793,k,3454,0,,,,,,,
6793,k,5064,0,,,,,,,
6793,k,5912,0,,,,,,,
6793,k,6583,0,,,,,,,
6793,k,6899,0,,,,,,,
6793,k,7238,0,,,,,,,
6809,k,460,0,,,,,,,
6809,k,3246,0,,,,,,,
6809,k,3954,0,,,,,,,
6809,k,5917,0,,,,,,,
6814,k,2332,0,,,,,,,
6814,k,6280,0,,,,,,,
6820,k,4608,0,,,,,,,
6820,k,5923,0,,,,,,,
6820,k,7235,0,,,,,,,
6824,k,7655,0,,,,,,,
6825,k,5700,0,,,,,,,
6825,k,6375,0,,,,,,,
6825,k,7777,0,,,,,,,
6830,k,4454,0,,,,,,,
6830,k,5032,0,,,,,,,
6832,k,5314,0,,,,,,,
6832,k,5317,0,,,,,,,
6836,k,2470,0,,,,,,,
6836,k,6501,0,,,,,,,
6836,k,7464,0,,,,,,,
6836,k,7769,0,,,,,,,
6837,k,1500,0,,,,,,,
6837,k,3453,0,,,,,,,
6837,k,6578,0,,,,,,,
6837,k,7503,0,,,,,,,
6839,k,4459,0,,,,,,,
6839,k,6450,0,,,,,,,
6840,k,3356,0,,,,,,,
6840,k,5057,0,,,,,,,
6840,k,5925,0,,,,,,,
6840,k,6374,0,,,,,,,
6840,k,6466,0,,,,,,,
6840,k,7459,0,,,,,,,
6840,k,7662,0,,,,,,,
6842,k,722,0,,,,,,,
6842,k,850,0,,,,,,,
6842,k,1822,0,,,,,,,
6842,k,2833,0,,,,,,,
6842,k,4302,0,,,,,,,
6842,k,5084,0,,,,,,,
6842,k,5895,0,,,,,,,
6842,k,7181,0,,,,,,,
6845,k,5524,0,,,,,,,
6845,k,6593,0,,,,,,,
6845,k,7180,0,,,,,,,
6846,k,4293,0,,,,,,,
6846,k,5045,0,,,,,,,
6846,k,6516,0,,,,,,,
6846,k,6579,0,,,,,,,
6846,k,7765,0,,,,,,,
6847,k,6403,0,,,,,,,
6848,k,2394,0,,,,,,,
6848,k,3744,0,,,,,,,
6848,k,5867,0,,,,,,,
6848,k,7071,0,,,,,,,
6849,k,3984,0,,,,,,,
6849,k,5282,0,,,,,,,
6850,k,345,0,,,,,,,
6850,k,827,0,,,,,,,
6850,k,903,0,,,,,,,
6850,k,1351,0,,,,,,,
6850,k,2141,0,,,,,,,
6850,k,3479,0,,,,,,,
6850,k,3962,0,,,,,,,
6850,k,4447,0,,,,,,,
6850,k,5489,0,,,,,,,
6850,k,5708,0,,,,,,,
6850,k,5927,0,,,,,,,
6850,k,7254,0,,,,,,,
6852,k,598,0,,,,,,,
6852,k,599,0,,,,,,,
6852,k,600,0,,,,,,,
6852,k,4537,0,,,,,,,
6852,k,5052,0,,,,,,,
6852,k,5274,0,,,,,,,
6852,k,5713,0,,,,,,,
6853,k,4451,0,,,,,,,
6854,k,3599,0,,,,,,,
6854,k,6897,0,,,,,,,
6855,k,3774,0,,,,,,,
6855,k,4414,0,,,,,,,
6855,k,4468,0,,,,,,,
6855,k,5682,0,,,,,,,
6856,k,6591,0,,,,,,,
6856,k,7452,0,,,,,,,
6856,k,7729,0,,,,,,,
6857,k,6100,0,,,,,,,
6857,k,6391,0,,,,,,,
6857,k,7776,0,,,,,,,
6858,k,7304,0,,,,,,,
6859,k,4808,0,,,,,,,
6859,k,6582,0,,,,,,,
6859,k,7485,0,,,,,,,
6860,k,456,0,,,,,,,
6860,k,1307,0,,,,,,,
6860,k,7771,0,,,,,,,
6861,k,449,0,,,,,,,
6861,k,1910,0,,,,,,,
6861,k,2926,0,,,,,,,
6861,k,3961,0,,,,,,,
6861,k,5918,0,,,,,,,
6861,k,6906,0,,,,,,,
6862,k,202,0,,,,,,,
6862,k,897,0,,,,,,,
6862,k,2137,0,,,,,,,
6862,k,4642,0,,,,,,,
6862,k,5232,0,,,,,,,
6862,k,7479,0,,,,,,,
6864,k,113,0,,,,,,,
6864,k,1907,0,,,,,,,
6864,k,4557,0,,,,,,,
6864,k,6114,0,,,,,,,
6864,k,6929,0,,,,,,,
6866,k,667,0,,,,,,,
6866,k,4818,0,,,,,,,
6867,k,5469,0,,,,,,,
6867,k,6524,0,,,,,,,
6868,k,6487,0,,,,,,,
6868,k,7171,0,,,,,,,
6936,k,7530,0,,,,,,,
6952,k,5017,0,,,,,,,
6952,k,6397,0,,,,,,,
6953,k,7773,0,,,,,,,
6954,k,3258,0,,,,,,,
6954,k,7255,0,,,,,,,
6954,k,7653,0,,,,,,,
6955,k,898,0,,,,,,,
6955,k,904,0,,,,,,,
6955,k,1379,0,,,,,,,
6955,k,1643,0,,,,,,,
6955,k,1717,0,,,,,,,
6955,k,2140,0,,,,,,,
6955,k,2143,0,,,,,,,
6955,k,2344,0,,,,,,,
6955,k,3850,0,,,,,,,
6955,k,4017,0,,,,,,,
6955,k,4456,0,,,,,,,
6955,k,4834,0,,,,,,,
6955,k,5292,0,,,,,,,
6955,k,5721,0,,,,,,,
6955,k,5907,0,,,,,,,
6955,k,6036,0,,,,,,,
6955,k,6504,0,,,,,,,
6955,k,6608,0,,,,,,,
6955,k,7305,0,,,,,,,
6955,k,7654,0,,,,,,,
6956,k,1918,0,,,,,,,
6956,k,3657,0,,,,,,,
6956,k,6586,0,,,,,,,
6956,k,7456,0,,,,,,,
6957,k,4432,0,,,,,,,
6957,k,5825,0,,,,,,,
6957,k,7764,0,,,,,,,
6960,k,965,0,,,,,,,
6960,k,1241,0,,,,,,,
6960,k,1290,0,,,,,,,
6960,k,1614,0,,,,,,,
6960,k,1615,0,,,,,,,
6960,k,2135,0,,,,,,,
6960,k,2735,0,,,,,,,
6960,k,2871,0,,,,,,,
6960,k,3243,0,,,,,,,
6960,k,3452,0,,,,,,,
6960,k,3855,0,,,,,,,
6960,k,3980,0,,,,,,,
6960,k,4424,0,,,,,,,
6960,k,4638,0,,,,,,,
6960,k,4639,0,,,,,,,
6960,k,5074,0,,,,,,,
6960,k,5229,0,,,,,,,
6960,k,5306,0,,,,,,,
6960,k,5795,0,,,,,,,
6960,k,5796,0,,,,,,,
6960,k,6108,0,,,,,,,
6960,k,6468,0,,,,,,,
6960,k,7051,0,,,,,,,
6960,k,7473,0,,,,,,,
6961,k,3208,0,,,,,,,
6961,k,5793,0,,,,,,,
6961,k,7469,0,,,,,,,
6987,k,2634,0,,,,,,,
6987,k,7652,0,,,,,,,
6988,k,3659,0,,,,,,,
6988,k,7668,0,,,,,,,
6988,k,7669,0,,,,,,,
6997,k,5913,0,,,,,,,
6998,k,4930,0,,,,,,,
6999,k,3457,0,,,,,,,
6999,k,4533,0,,,,,,,
6999,k,6095,0,,,,,,,
6999,k,6282,0,,,,,,,
6999,k,7733,0,,,,,,,
7002,k,5789,0,,,,,,,
7002,k,7705,0,,,,,,,
7003,k,2133,0,,,,,,,
7003,k,4549,0,,,,,,,
7003,k,7673,0,,,,,,,
7003,k,7734,0,,,,,,,
7004,k,2677,0,,,,,,,
7004,k,4406,0,,,,,,,
7004,k,5004,0,,,,,,,
7004,k,6939,0,,,,,,,
7004,k,7730,0,,,,,,,
7028,k,523,0,,,,,,,
7028,k,3764,0,,,,,,,
7028,k,7666,0,,,,,,,
7031,k,3854,0,,,,,,,
7031,k,5305,0,,,,,,,
7031,k,7306,0,,,,,,,
7032,k,550,0,,,,,,,
7032,k,2136,0,,,,,,,
7032,k,3244,0,,,,,,,
7032,k,4425,0,,,,,,,
7032,k,4819,0,,,,,,,
7032,k,5307,0,,,,,,,
7032,k,6476,0,,,,,,,
7032,k,7307,0,,,,,,,
7032,k,7470,0,,,,,,,
7036,k,5224,0,,,,,,,
7036,k,6483,0,,,,,,,
7037,k,1197,0,,,,,,,
7037,k,1295,0,,,,,,,
7037,k,6484,0,,,,,,,
7038,k,6367,0,,,,,,,
7038,k,7725,0,,,,,,,
7039,k,4287,0,,,,,,,
7040,k,1898,0,,,,,,,
7040,k,5034,0,,,,,,,
7040,k,5684,0,,,,,,,
7040,k,6471,0,,,,,,,
7040,k,6927,0,,,,,,,
7040,k,7735,0,,,,,,,
7041,k,4428,0,,,,,,,
7041,k,7739,0,,,,,,,
7042,k,5221,0,,,,,,,
7042,k,6101,0,,,,,,,
7042,k,7665,0,,,,,,,
7043,k,7741,0,,,,,,,
7044,k,455,0,,,,,,,
7044,k,458,0,,,,,,,
7044,k,1908,0,,,,,,,
7044,k,7738,0,,,,,,,
7044,k,7740,0,,,,,,,
7045,k,5670,0,,,,,,,
7045,k,5730,0,,,,,,,
7045,k,6915,0,,,,,,,
7084,k,6904,0,,,,,,,
7084,k,7483,0,,,,,,,
7085,k,5928,0,,,,,,,
7085,k,6389,0,,,,,,,
7085,k,7761,0,,,,,,,
7086,k,2644,0,,,,,,,
7086,k,4410,0,,,,,,,
7086,k,5075,0,,,,,,,
7086,k,6107,0,,,,,,,
7086,k,6510,0,,,,,,,
7086,k,6607,0,,,,,,,
7086,k,7462,0,,,,,,,
7086,k,7766,0,,,,,,,
7088,k,5073,0,,,,,,,
7095,k,2643,0,,,,,,,
7095,k,4439,0,,,,,,,
7103,k,961,0,,,,,,,
7103,k,5290,0,,,,,,,
7103,k,5910,0,,,,,,,
7103,k,6898,0,,,,,,,
7109,k,7465,0,,,,,,,
7109,k,7763,0,,,,,,,
7110,k,5068,0,,,,,,,
7111,k,4421,0,,,,,,,
7111,k,4434,0,,,,,,,
7111,k,5467,0,,,,,,,
7111,k,7226,0,,,,,,,
7112,k,4535,0,,,,,,,
7112,k,6116,0,,,,,,,
7120,k,6106,0,,,,,,,
7120,k,6610,0,,,,,,,
7123,k,5230,0,,,,,,,
7124,k,4546,0,,,,,,,
7124,k,7767,0,,,,,,,
7136,k,4301,0,,,,,,,
7136,k,7656,0,,,,,,,
7138,k,5289,0,,,,,,,
7139,k,1303,0,,,,,,,
7139,k,2845,0,,,,,,,
7139,k,5070,0,,,,,,,
7139,k,6381,0,,,,,,,
7140,k,2331,0,,,,,,,
7140,k,4303,0,,,,,,,
7140,k,5922,0,,,,,,,
7140,k,7716,0,,,,,,,
7141,k,5220,0,,,,,,,
7142,k,5066,0,,,,,,,
7142,k,5919,0,,,,,,,
7143,k,4285,0,,,,,,,
7143,k,5072,0,,,,,,,
7161,k,6940,0,,,,,,,
7162,k,7779,0,,,,,,,
7171,k,7701,0,,,,,,,
7171,k,7813,0,,,,,,,
7208,k,7841,0,,,,,,,
7286,k,7907,0,,,,,,,
7297,k,4644,0,,,,,,,
7297,k,6508,0,,,,,,,
7297,k,7052,0,,,,,,,
7297,k,7053,0,,,,,,,
7297,k,7902,0,,,,,,,
7297,k,7934,0,,,,,,,
7388,k,8129,0,,,,,,,
7430,k,2642,0,,,,,,,
7430,k,4438,0,,,,,,,
7430,k,6361,0,,,,,,,
7430,k,8235,0,,,,,,,
7430,k,8244,0,,,,,,,
7433,k,8236,0,,,,,,,
7433,k,8245,0,,,,,,,
7439,k,5822,0,,,,,,,
7439,k,6597,0,,,,,,,
7439,k,8246,0,,,,,,,
7452,k,8253,0,,,,,,,
7458,k,8227,0,,,,,,,
7458,k,8267,0,,,,,,,
7466,k,8275,0,,,,,,,
7481,k,8290,0,,,,,,,
7483,k,3139,0,,,,,,,
7483,k,8299,0,,,,,,,
7533,k,964,0,,,,,,,
7533,k,1616,0,,,,,,,
7533,k,2134,0,,,,,,,
7533,k,2841,0,,,,,,,
7533,k,3242,0,,,,,,,
7533,k,3856,0,,,,,,,
7533,k,5077,0,,,,,,,
7533,k,6518,0,,,,,,,
7533,k,6540,0,,,,,,,
7543,k,563,0,,,,,,,
7543,k,5130,0,,,,,,,
7543,k,5234,0,,,,,,,
7543,k,6594,0,,,,,,,
7543,k,6609,0,,,,,,,
7548,k,6404,0,,,,,,,
7693,k,8756,0,,,,,,,
7694,k,8755,0,,,,,,,
7702,k,8757,0,,,,,,,
7849,k,9318,0,,,,,,,
119671,k,160525,0,186295,,112.0,US,,,
167610,k,209461,0,236526,24250,8.0,US,,iskonto,
