SevkNo,SevkTip,SevkTur,SevkTar,GCount,Location,SendLocation,ReturnSite,BelgeNo,HarTar,Durum,GeriDonMsj,SevkSekil,SevkNum,insUN,insDT,updUN,updDT,SevkAdres,SevkAdresAdi,CreaterApp,kgid,insApp,updApp
556,g,gt,2023-10-24 00:00:00,0,LN001,LN001,DSM,,2023-10-24 00:00:00,*,,,,Zeki,2023-10-24 11:27:28.627000,Zeki,2023-11-19 10:42:59.730000,,,,556,,
557,g,gt,2023-10-24 00:00:00,0,LN001,LN001,DSM,,2023-10-24 00:00:00,*,,,,Zeki,2023-10-24 12:20:16.500000,Lindon,2023-10-24 16:06:23.710000,,,,557,,
559,g,gt,2023-10-24 00:00:00,0,LN001,LN001,euromart,,2023-10-24 00:00:00,*,,,,MUAZ,2023-10-24 17:09:40.940000,Lindon,2023-10-24 17:47:46.480000,,,,559,,
560,g,gt,2023-10-25 00:00:00,0,LN001,LN001,DSM,,2023-10-25 00:00:00,*,,,,Zeki,2023-10-25 13:25:02.830000,Lindon,2023-10-25 16:23:30.967000,,,,560,,
562,g,gt,2023-10-25 00:00:00,0,LN001,LN001,euromart,,2023-10-25 00:00:00,*,,,,MUAZ,2023-10-25 17:32:53,Lindon,2023-10-26 11:30:16.767000,,,,562,,
563,g,gt,2023-10-26 00:00:00,0,LN001,LN001,DSM,,2023-10-26 00:00:00,*,,,,Zeki,2023-10-26 12:43:03.987000,Lindon,2023-10-26 15:24:37.933000,,,,563,,
565,g,gt,2023-10-26 00:00:00,0,LN001,LN001,euromart,,2023-10-26 00:00:00,*,,,,MUAZ,2023-10-26 16:43:24.780000,Lindon,2023-10-26 18:15:37.927000,,,,565,,
566,g,gt,2023-10-27 00:00:00,0,LN001,LN001,DSM,,2023-10-27 00:00:00,*,,,,Zeki,2023-10-27 12:23:32.223000,Lindon,2023-10-27 15:43:57.993000,,,,566,,
567,g,gt,2023-10-27 00:00:00,0,LN001,LN001,DSM,,2023-10-27 00:00:00,*,,,,Zeki,2023-10-27 15:51:06.130000,Lindon,2023-10-27 16:30:50.403000,,,,567,,
569,g,gt,2023-10-27 00:00:00,0,LN001,LN001,euromart,,2023-10-27 00:00:00,*,,,,Zeki,2023-10-27 17:28:46.620000,Lindon,2023-10-27 18:21:17.993000,,,,569,,
571,g,gt,2023-10-28 00:00:00,0,LN001,LN001,DSM,,2023-10-28 00:00:00,*,,,,Zeki,2023-10-28 12:22:55.687000,Lindon,2023-10-28 15:54:50.943000,,,,571,,
572,g,gt,2023-10-29 00:00:00,0,LN001,LN001,DSM,,2023-10-29 00:00:00,*,,,,Zeki,2023-10-29 23:46:10.453000,Lindon,2023-10-30 13:24:26.047000,,,,572,,
573,g,gt,2023-10-30 00:00:00,0,LN001,LN001,DSM,,2023-10-30 00:00:00,*,,,,Zeki,2023-10-30 12:52:25.207000,Lindon,2023-10-30 17:13:35.420000,,,,573,,
574,g,gt,2023-10-30 00:00:00,0,LN001,LN001,euromart,,2023-10-30 00:00:00,*,,,,Zeki,2023-10-30 17:16:55.353000,Lindon,2023-10-30 18:58:02.817000,,,,574,,
575,g,gt,2023-10-31 00:00:00,0,LN001,LN001,DSM,,2023-10-31 00:00:00,*,,,,Zeki,2023-10-31 12:14:00.733000,Lindon,2023-10-31 15:46:49.287000,,,,575,,
576,g,gt,2023-10-31 00:00:00,0,LN001,LN001,DSM,,2023-10-31 00:00:00,*,,,,Zeki,2023-10-31 16:55:09.227000,Lindon,2023-10-31 17:30:43.030000,,,,576,,
579,g,gt,2023-10-31 00:00:00,0,LN001,LN001,euromart,,2023-10-31 00:00:00,*,,,,MUAZ,2023-10-31 18:19:17.720000,Lindon,2023-10-31 18:57:15.457000,,,,579,,
580,g,gt,2023-10-31 00:00:00,0,LN001,LN001,AAZB,,2023-10-31 00:00:00,*,,,,MUAZ,2023-10-31 19:51:48.777000,Lindon,2023-10-31 20:07:31.510000,,,,580,,
581,g,gt,2023-11-01 00:00:00,0,LN001,LN001,DSM,,2023-11-01 00:00:00,*,,,,Zeki,2023-11-01 12:19:47.483000,Lindon,2023-11-01 16:38:29.047000,,,,581,,
582,g,gt,2023-11-01 00:00:00,0,LN001,LN001,euromart,,2023-11-01 00:00:00,*,,,,Zeki,2023-11-01 17:04:31.683000,Lindon,2023-11-01 18:38:23.237000,,,,582,,
584,g,gt,2023-11-02 00:00:00,0,LN001,LN001,euromart,,2023-11-02 00:00:00,*,,,,Zeki,2023-11-02 12:00:36.187000,Lindon,2023-11-02 12:28:36.037000,,,,584,,
585,g,gt,2023-11-02 00:00:00,0,LN001,LN001,DSM,,2023-11-02 00:00:00,*,,,,Zeki,2023-11-02 12:37:58.827000,Lindon,2023-11-02 18:09:20.760000,,,,585,,
586,g,gt,2023-11-02 00:00:00,0,LN001,LN001,DSM,,2023-11-02 00:00:00,*,,,,Yasar,2023-11-02 18:09:59.327000,Lindon,2023-11-02 19:05:32.170000,,,,586,,
588,g,gt,2023-11-03 00:00:00,0,LN001,LN001,DSM,,2023-11-03 00:00:00,*,,,,Zeki,2023-11-03 12:24:58.957000,Lindon,2023-11-03 19:27:50.580000,,,,588,,
589,g,gt,2023-11-04 00:00:00,0,LN001,LN001,DSM,,2023-11-04 00:00:00,*,,,,Zeki,2023-11-04 12:17:38.893000,Lindon,2023-11-04 17:59:08.007000,,,,589,,
592,g,gt,2023-11-04 00:00:00,0,LN001,LN001,DSM,,2023-11-04 00:00:00,*,,,,FAB,2023-11-04 18:03:26.360000,Lindon,2023-11-05 14:55:17.123000,,,,592,,
593,g,gt,2023-11-05 00:00:00,0,LN001,LN001,DSM,,2023-11-05 00:00:00,*,,,,Zeki,2023-11-05 12:27:45.767000,Lindon,2023-11-06 08:58:13.227000,,,,593,,
596,g,gt,2023-11-06 00:00:00,0,LN001,LN001,euromart,,2023-11-06 00:00:00,*,,,,Zeki,2023-11-06 12:29:43.397000,Lindon,2023-11-06 12:52:17.473000,,,,596,,
597,g,gt,2023-11-06 00:00:00,0,LN001,LN001,DSM,,2023-11-06 00:00:00,*,,,,Zeki,2023-11-06 12:33:05.110000,Lindon,2023-11-06 20:08:37.203000,,,,597,,
599,g,gt,2023-11-07 00:00:00,0,LN001,LN001,euromart,,2023-11-07 00:00:00,*,,,,Zeki,2023-11-07 11:35:49.583000,Lindon,2023-11-07 11:57:36.467000,,,,599,,
600,g,gt,2023-11-07 00:00:00,0,LN001,LN001,DSM,,2023-11-07 00:00:00,*,,,,Zeki,2023-11-07 12:09:36.587000,Lindon,2023-11-07 20:18:55.627000,,,,600,,
601,g,gt,2023-11-07 00:00:00,0,LN001,LN001,DSM,,2023-11-07 00:00:00,*,,,,Zeki,2023-11-07 12:10:31.050000,Lindon,2023-11-07 13:08:43.497000,,,,601,,
602,g,gt,2023-11-07 00:00:00,0,LN001,LN001,DSM,,2023-11-07 00:00:00,*,,,,Zeki,2023-11-07 13:02:15.363000,Lindon,2023-11-07 14:54:16.350000,,,,602,,
604,g,gt,2023-11-08 00:00:00,0,LN001,LN001,DSM,,2023-11-08 00:00:00,*,,,,Zeki,2023-11-08 12:42:10.420000,Lindon,2023-11-08 19:33:09.790000,,,,604,,
605,g,gt,2023-11-08 00:00:00,0,LN001,LN001,euromart,,2023-11-08 00:00:00,*,,,,MUAZ,2023-11-08 13:49:02.230000,Lindon,2023-11-08 13:52:31.420000,,,,605,,
606,g,gt,2023-11-09 00:00:00,0,LN001,LN001,DSM,,2023-11-09 00:00:00,*,,,,Zeki,2023-11-09 12:19:33.617000,Lindon,2023-11-09 13:17:25.020000,,,,606,,
607,g,gt,2023-11-09 00:00:00,0,LN001,LN001,DSM,,2023-11-09 00:00:00,*,,,,Zeki,2023-11-09 12:23:57.550000,Lindon,2023-11-09 19:33:14.133000,,,,607,,
609,g,gt,2023-11-09 00:00:00,0,LN001,LN001,euromart,,2023-11-09 00:00:00,*,,,,MUAZ,2023-11-09 14:10:23.397000,Lindon,2023-11-09 14:14:24.833000,,,,609,,
611,g,gt,2023-11-10 00:00:00,0,LN001,LN001,euromart,,2023-11-10 00:00:00,*,,,,Zeki,2023-11-10 11:34:58.170000,Lindon,2023-11-10 11:58:01.423000,,,,611,,
612,g,gt,2023-11-10 00:00:00,0,LN001,LN001,DSM,,2023-11-10 00:00:00,*,,,,Zeki,2023-11-10 12:19:36.107000,Lindon,2023-11-10 21:14:55.643000,,,,612,,
613,g,gt,2023-11-11 00:00:00,0,LN001,LN001,DSM,,2023-11-11 00:00:00,*,,,,Zeki,2023-11-11 12:08:54.050000,Lindon,2023-11-11 19:51:37.570000,,,,613,,
614,g,gt,2023-11-11 00:00:00,0,LN001,LN001,DSM,,2023-11-11 00:00:00,*,,,,Zeki,2023-11-11 12:13:31.703000,Lindon,2023-11-11 13:49:36.023000,,,,614,,
615,g,gt,2023-11-12 00:00:00,0,LN001,LN001,DSM,,2023-11-12 00:00:00,*,,,,Zeki,2023-11-12 12:18:44.320000,Lindon,2023-11-12 20:27:43.890000,,,,615,,
616,g,gt,2023-11-13 00:00:00,0,LN001,LN001,DSM,,2023-11-13 00:00:00,*,,,,Zeki,2023-11-13 12:32:33.450000,Lindon,2023-11-13 20:00:12.550000,,,,616,,
620,g,gt,2023-11-14 00:00:00,0,LN001,LN001,DSM,,2023-11-14 00:00:00,*,,,,Zeki,2023-11-14 12:29:21.707000,Lindon,2023-11-14 19:15:08.357000,,,,620,,
621,g,gt,2023-11-14 00:00:00,0,LN001,LN001,euromart,,2023-11-14 00:00:00,*,,,,Zeki,2023-11-14 13:04:14.470000,Lindon,2023-11-14 15:38:34.807000,,,,621,,
623,g,gt,2023-11-14 00:00:00,0,LN001,LN001,DSM,,2023-11-14 00:00:00,*,,,,Zeki,2023-11-14 15:32:23.777000,Lindon,2023-11-14 19:44:16.903000,,,,623,,
624,g,gt,2023-11-15 00:00:00,0,LN001,LN001,euromart,,2023-11-15 00:00:00,*,,,,Zeki,2023-11-15 12:17:13.097000,Lindon,2023-11-15 12:25:09.830000,,,,624,,
625,g,gt,2023-11-15 00:00:00,0,LN001,LN001,DSM,,2023-11-15 00:00:00,*,,,,Zeki,2023-11-15 12:25:21.617000,Lindon,2023-11-15 19:58:22.840000,,,,625,,
626,g,gt,2023-11-15 00:00:00,0,LN001,LN001,DSM,,2023-11-15 00:00:00,*,,,,Zeki,2023-11-15 12:32:54.470000,Lindon,2023-11-15 19:40:03.493000,,,,626,,
628,g,gt,2023-11-16 00:00:00,0,LN001,LN001,DSM,,2023-11-16 00:00:00,*,,,,Zeki,2023-11-16 12:29:44.793000,Lindon,2023-11-16 17:13:37.070000,,,,628,,
629,g,gt,2023-11-16 00:00:00,0,LN001,LN001,euromart,,2023-11-16 00:00:00,*,,,,Zeki,2023-11-16 12:53:32.747000,Lindon,2023-11-16 13:14:49.920000,,,,629,,
630,g,gt,2023-11-17 00:00:00,0,LN001,LN001,DSM,,2023-11-17 00:00:00,*,,,,Zeki,2023-11-17 13:46:53.490000,Lindon,2023-11-17 15:22:15.667000,,,,630,,
631,g,gt,2023-11-17 00:00:00,0,LN001,LN001,DSM,,2023-11-17 00:00:00,*,,,,Zeki,2023-11-17 13:50:48.063000,Lindon,2023-11-17 18:08:25.373000,,,,631,,
634,g,gt,2023-11-18 00:00:00,0,LN001,LN001,euromart,,2023-11-18 00:00:00,*,,,,MUAZ,2023-11-18 15:00:28.777000,Lindon,2023-11-18 15:09:29.850000,,,,634,,
635,g,gt,2023-11-19 00:00:00,0,LN001,LN001,DSM,,2023-11-19 00:00:00,*,,,,Zeki,2023-11-19 10:45:08.680000,Lindon,2023-11-19 10:50:08.707000,,,,635,,
636,g,gt,2023-11-19 00:00:00,0,LN001,LN001,DSM,,2023-11-19 00:00:00,*,,,,Zeki,2023-11-19 12:19:48.963000,Lindon,2023-11-19 13:43:22.657000,,,,636,,
637,g,gt,2023-11-19 00:00:00,0,LN001,LN001,DSM,,2023-11-19 00:00:00,*,,,,Zeki,2023-11-19 12:22:29.850000,Lindon,2023-11-19 17:08:16.903000,,,,637,,
640,g,gt,2023-11-20 00:00:00,0,LN001,LN001,euromart,,2023-11-20 00:00:00,*,,,,Zeki,2023-11-20 11:51:21.760000,Lindon,2023-11-20 12:24:28.667000,,,,640,,
641,g,gt,2023-11-20 00:00:00,0,LN001,LN001,DSM,,2023-11-20 00:00:00,*,,,,Zeki,2023-11-20 12:28:06.917000,Lindon,2023-11-20 15:37:49.743000,,,,641,,
642,g,gt,2023-11-21 00:00:00,0,LN001,LN001,DSM,,2023-11-21 00:00:00,*,,,,Zeki,2023-11-21 12:06:07.333000,Lindon,2023-11-21 19:11:33.057000,,,,642,,
643,g,gt,2023-11-21 00:00:00,0,LN001,LN001,DSM,,2023-11-21 00:00:00,*,,,,Zeki,2023-11-21 12:10:45.020000,Lindon,2023-11-21 20:04:51.980000,,,,643,,
645,g,gt,2023-11-21 00:00:00,0,LN001,LN001,euromart,,2023-11-21 00:00:00,*,,,,MUAZ,2023-11-21 15:03:33.017000,Lindon,2023-11-21 15:17:40.360000,,,,645,,
647,g,gt,2023-11-22 00:00:00,0,LN001,LN001,DSM,,2023-11-22 00:00:00,*,,,,Zeki,2023-11-22 12:24:33.220000,Lindon,2023-11-22 18:25:14.037000,,,,647,,
648,g,gt,2023-11-22 00:00:00,0,LN001,LN001,euromart,,2023-11-22 00:00:00,*,,,,MUAZ,2023-11-22 17:31:28.007000,Lindon,2023-11-22 18:16:37.077000,,,,648,,
650,g,gt,2023-11-23 00:00:00,0,LN001,LN001,DSM,,2023-11-23 00:00:00,*,,,,Zeki,2023-11-23 12:25:40.700000,Lindon,2023-11-23 20:40:52.083000,,,,650,,
651,g,gt,2023-11-23 00:00:00,0,LN001,LN001,DSM,,2023-11-23 00:00:00,*,,,,Yasar,2023-11-23 19:53:52.403000,Lindon,2023-11-23 20:38:44.563000,,,,651,,
652,g,gt,2023-11-24 00:00:00,0,LN001,LN001,DSM,,2023-11-24 00:00:00,*,,,,Zeki,2023-11-24 14:31:57.607000,Lindon,2023-11-24 20:52:00.577000,,,,652,,
653,g,gt,2023-11-25 00:00:00,0,LN001,LN001,DSM,,2023-11-25 00:00:00,*,,,,Zekib,2023-11-25 12:33:16.833000,Lindon,2023-11-25 20:52:30.723000,,,,653,,
654,g,gt,2023-11-25 00:00:00,0,LN001,LN001,DSM,,2023-11-25 00:00:00,*,,,,Zekib,2023-11-25 12:58:40.710000,Lindon,2023-11-25 19:56:35.030000,,,,654,,
655,g,gt,2023-11-26 00:00:00,0,LN001,LN001,DSM,,2023-11-26 00:00:00,*,,,,Zeki,2023-11-26 12:38:10.010000,Lindon,2023-11-26 20:25:23.210000,,,,655,,
656,g,gt,2023-11-27 00:00:00,0,LN001,LN001,DSM,,2023-11-27 00:00:00,*,,,,Zeki,2023-11-27 12:36:09.800000,Lindon,2023-11-27 20:35:59.710000,,,,656,,
657,g,gt,2023-11-27 00:00:00,0,LN001,LN001,DSM,,2023-11-27 00:00:00,*,,,,Zeki,2023-11-27 12:41:17.790000,Lindon,2023-11-27 21:25:00.060000,,,,657,,
661,g,gt,2023-11-28 00:00:00,0,LN001,LN001,euromart,,2023-11-28 00:00:00,*,,,,MUAZ,2023-11-28 15:26:24.737000,Lindon,2023-11-28 18:19:05.960000,,,,661,,
662,g,gt,2023-11-28 00:00:00,0,LN001,LN001,DSM,,2023-11-28 00:00:00,*,,,,Zeki,2023-11-28 19:16:47.297000,Lindon,2023-11-28 20:23:52.320000,,,,662,,
664,g,gt,2023-11-29 00:00:00,0,LN001,LN001,euromart,,2023-11-29 00:00:00,*,,,,Zeki,2023-11-29 11:47:10.630000,Lindon,2023-11-29 17:59:48.460000,,,,664,,
665,g,gt,2023-11-29 00:00:00,0,LN001,LN001,DSM,,2023-11-29 00:00:00,*,,,,Zeki,2023-11-29 12:47:52.383000,Lindon,2023-11-29 20:34:30.217000,,,,665,,
667,g,gt,2023-11-29 00:00:00,0,LN001,LN001,DSM,,2023-11-29 00:00:00,*,,,,Zeki,2023-11-29 15:12:35.380000,Lindon,2023-11-29 21:56:59.287000,,,,667,,
668,g,gt,2023-11-29 00:00:00,0,LN001,LN001,DSM,,2023-11-29 00:00:00,*,,,,MUAZ,2023-11-29 19:59:18.350000,Lindon,2023-11-29 20:04:46.117000,,,,668,,
669,g,gt,2023-11-30 00:00:00,0,LN001,LN001,DSM,,2023-11-30 00:00:00,*,,,,Zeki,2023-11-30 12:31:42.293000,Lindon,2023-11-30 19:30:22.843000,,,,669,,
670,g,gt,2023-12-01 00:00:00,0,LN001,LN001,meri butik,,2023-12-01 00:00:00,*,,,,Zeki,2023-12-01 12:49:16.013000,Lindon,2023-12-01 19:06:29.110000,,,,670,,
671,g,gt,2023-12-01 00:00:00,0,LN001,LN001,DSM,,2023-12-01 00:00:00,*,,,,Zeki,2023-12-01 12:55:43.147000,Lindon,2023-12-01 18:46:23.843000,,,,671,,
672,g,gt,2023-12-01 00:00:00,0,LN001,LN001,DSM,,2023-12-01 00:00:00,*,,,,Zeki,2023-12-01 12:56:03.987000,Lindon,2023-12-01 18:35:24.493000,,,,672,,
674,g,gt,2023-12-02 00:00:00,0,LN001,LN001,DSM,,2023-12-02 00:00:00,*,,,,Zeki,2023-12-02 13:13:35.570000,Lindon,2023-12-02 18:16:21.937000,,,,674,,
676,g,gt,2023-12-03 00:00:00,0,LN001,LN001,DSM,,2023-12-03 00:00:00,*,,,,Zeki,2023-12-03 12:20:24.857000,Lindon,2023-12-04 08:04:46.457000,,,,676,,
677,g,gt,2023-12-03 00:00:00,0,LN001,LN001,DSM,,2023-12-03 00:00:00,*,,,,Zeki,2023-12-03 12:24:35.943000,Lindon,2023-12-04 08:01:41.247000,,,,677,,
678,g,gt,2023-12-04 00:00:00,0,LN001,LN001,DSM,,2023-12-04 00:00:00,*,,,,Zeki,2023-12-04 13:40:21.120000,Lindon,2023-12-04 19:17:56.833000,,,,678,,
679,g,gt,2023-12-04 00:00:00,0,LN001,LN001,euromart,,2023-12-04 00:00:00,*,,,,Zeki,2023-12-04 17:49:52.970000,Zeki,2023-12-04 17:50:50.167000,,,,679,,
681,g,gt,2023-12-05 00:00:00,0,LN001,LN001,DSM,,2023-12-05 00:00:00,*,,,,Zeki,2023-12-05 12:22:09.007000,Lindon,2023-12-05 20:38:05.413000,,,,681,,
682,g,gt,2023-12-05 00:00:00,0,LN001,LN001,DSM,,2023-12-05 00:00:00,*,,,,Zeki,2023-12-05 12:24:43.027000,Lindon,2023-12-05 21:23:52.607000,,,,682,,
683,g,gt,2023-12-05 00:00:00,0,LN001,LN001,euromart,,2023-12-05 00:00:00,*,,,,MUAZ,2023-12-05 16:33:35.067000,Lindon,2023-12-05 18:36:50.240000,,,,683,,
684,g,gt,2023-12-06 00:00:00,0,LN001,LN001,DSM,,2023-12-06 00:00:00,*,,,,Zeki,2023-12-06 13:29:10.120000,Lindon,2023-12-06 21:19:38.587000,,,,684,,
686,g,gt,2023-12-07 00:00:00,0,LN001,LN001,euromart,,2023-12-07 00:00:00,*,,,,MUAZ,2023-12-07 14:28:21.250000,Lindon,2023-12-07 19:10:19.953000,,,,686,,
687,g,gt,2023-12-08 00:00:00,0,LN001,LN001,DSM,,2023-12-08 00:00:00,*,,,,Zeki,2023-12-08 10:06:47.557000,Lindon,2023-12-08 22:46:18.687000,,,,687,,
688,g,gt,2023-12-08 00:00:00,0,LN001,LN001,DSM,,2023-12-08 00:00:00,*,,,,Zeki,2023-12-08 11:25:30.990000,Lindon,2023-12-08 20:42:11.213000,,,,688,,
689,g,gt,2023-12-08 00:00:00,0,LN001,LN001,DSM,,2023-12-08 00:00:00,*,,,,Zeki,2023-12-08 11:32:47.447000,Lindon,2023-12-08 20:11:53.130000,,,,689,,
691,g,gt,2023-12-09 00:00:00,0,LN001,LN001,DSM,,2023-12-09 00:00:00,*,,,,Zeki,2023-12-09 14:41:21.540000,Lindon,2023-12-09 15:20:50.433000,,,,691,,
693,g,gt,2023-12-09 00:00:00,0,LN001,LN001,euromart,,2023-12-09 00:00:00,*,,,,MUAZ,2023-12-09 15:43:09.297000,Lindon,2023-12-09 16:04:56.330000,,,,693,,
695,g,gt,2023-12-11 00:00:00,0,LN001,LN001,DSM,,2023-12-11 00:00:00,*,,,,Zeki,2023-12-11 10:01:10.630000,Lindon,2023-12-11 10:16:28.667000,,,,695,,
696,g,gt,2023-12-11 00:00:00,0,LN001,LN001,DSM,,2023-12-11 00:00:00,*,,,,Zeki,2023-12-11 10:09:51.320000,Lindon,2023-12-11 13:10:50.067000,,,,696,,
697,g,gt,2023-12-11 00:00:00,0,LN001,LN001,DSM,,2023-12-11 00:00:00,*,,,,Zeki,2023-12-11 10:24:00.933000,Lindon,2023-12-12 08:57:37.767000,,,,697,,
700,g,gt,2023-12-12 00:00:00,0,LN001,LN001,euromart,,2023-12-12 00:00:00,*,,,,Zeki,2023-12-12 08:51:01.650000,Zeki,2023-12-12 08:51:07.047000,,,,700,,
701,g,gt,2023-12-12 00:00:00,0,LN001,LN001,DSM,,2023-12-12 00:00:00,*,,,,Zeki,2023-12-12 09:30:43.773000,Lindon,2023-12-12 19:14:41.713000,,,,701,,
703,g,gt,2023-12-13 00:00:00,0,LN001,LN001,DSM,,2023-12-13 00:00:00,*,,,,Zeki,2023-12-13 10:47:27.527000,Lindon,2023-12-13 19:25:19.300000,,,,703,,
704,g,gt,2023-12-14 00:00:00,0,LN001,LN001,DSM,,2023-12-14 00:00:00,*,,,,Zeki,2023-12-14 11:16:08.750000,Lindon,2023-12-14 14:48:30.550000,,,,704,,
706,g,gt,2023-12-14 00:00:00,0,LN001,LN001,euromart,,2023-12-14 00:00:00,*,,,,MUAZ,2023-12-14 14:33:43.583000,Lindon,2023-12-14 14:46:14.527000,,,,706,,
707,g,gt,2023-12-15 00:00:00,0,LN001,LN001,DSM,,2023-12-15 00:00:00,*,,,,Zeki,2023-12-15 10:15:28.967000,Lindon,2023-12-15 13:54:02.760000,,,,707,,
709,g,gt,2023-12-15 00:00:00,0,LN001,LN001,euromart,,2023-12-15 00:00:00,*,,,,MUAZ,2023-12-15 16:56:03.170000,Lindon,2023-12-15 17:31:27.303000,,,,709,,
710,g,gt,2023-12-16 00:00:00,0,LN001,LN001,DSM,,2023-12-16 00:00:00,*,,,,Zeki,2023-12-16 09:54:05.410000,Lindon,2023-12-16 14:07:23.333000,,,,710,,
711,g,gt,2023-12-17 00:00:00,0,LN001,LN001,DSM,,2023-12-17 00:00:00,*,,,,Zeki,2023-12-17 09:52:56.817000,Lindon,2023-12-18 08:43:53.867000,,,,711,,
712,g,gt,2023-12-18 00:00:00,0,LN001,LN001,DSM,,2023-12-18 00:00:00,*,,,,Zeki,2023-12-18 09:29:59.173000,Lindon,2023-12-18 11:49:56.960000,,,,712,,
713,g,gt,2023-12-19 00:00:00,0,LN001,LN001,DSM,,2023-12-19 00:00:00,*,,,,Zeki,2023-12-19 09:52:40.690000,Lindon,2023-12-19 19:38:34.913000,,,,713,,
714,g,gt,2023-12-20 00:00:00,0,LN001,LN001,DSM,,2023-12-20 00:00:00,*,,,,Zeki,2023-12-20 10:38:01.837000,Lindon,2023-12-20 17:54:31.160000,,,,714,,
716,g,gt,2023-12-20 00:00:00,0,LN001,LN001,euromart,,2023-12-20 00:00:00,*,,,,Zeki,2023-12-20 13:18:20.930000,Lindon,2023-12-20 14:27:55.473000,,,,716,,
717,g,gt,2023-12-21 00:00:00,0,LN001,LN001,DSM,,2023-12-21 00:00:00,*,,,,Zeki,2023-12-21 12:59:23.313000,Lindon,2023-12-21 18:19:23.077000,,,,717,,
718,g,gt,2023-12-22 00:00:00,0,LN001,LN001,DSM,,2023-12-22 00:00:00,*,,,,Zeki,2023-12-22 09:18:52.550000,Lindon,2023-12-22 18:31:55.853000,,,,718,,
720,g,gt,2023-12-22 00:00:00,0,LN001,LN001,euromart,,2023-12-22 00:00:00,*,,,,MUAZ,2023-12-22 17:14:10.700000,Lindon,2023-12-22 17:51:19.503000,,,,720,,
721,g,gt,2023-12-23 00:00:00,0,LN001,LN001,DSM,,2023-12-23 00:00:00,*,,,,Zeki,2023-12-23 10:57:07.740000,Lindon,2023-12-23 16:33:56.997000,,,,721,,
722,g,gt,2023-12-24 00:00:00,0,LN001,LN001,DSM,,2023-12-24 00:00:00,*,,,,Zeki,2023-12-24 13:02:29.713000,Lindon,2023-12-25 10:03:23.367000,,,,722,,
723,g,gt,2023-12-24 00:00:00,0,LN001,LN001,DSM,,2023-12-24 00:00:00,*,,,,Zeki,2023-12-24 21:00:39.933000,Lindon,2023-12-25 09:58:28.697000,,,,723,,
725,g,gt,2023-12-25 00:00:00,0,LN001,LN001,DSM,,2023-12-25 00:00:00,*,,,,Zeki,2023-12-25 10:48:18.050000,Lindon,2023-12-25 15:02:25.113000,,,,725,,
727,g,gt,2023-12-25 00:00:00,0,LN001,LN001,euromart,,2023-12-25 00:00:00,*,,,,MUAZ,2023-12-25 16:56:35.777000,MUAZ,2023-12-25 17:48:28.907000,,,,727,,
728,g,gt,2023-12-26 00:00:00,0,LN001,LN001,DSM,,2023-12-26 00:00:00,*,,,,Zeki,2023-12-26 09:42:02.947000,Lindon,2023-12-26 15:42:29.023000,,,,728,,
729,g,gt,2023-12-26 00:00:00,0,LN001,LN001,DSM,,2023-12-26 00:00:00,*,,,,Zeki,2023-12-26 09:44:52.380000,Lindon,2023-12-26 15:43:47.600000,,,,729,,
730,g,gt,2023-12-26 00:00:00,0,LN001,LN001,DSM,,2023-12-26 00:00:00,*,,,,Zeki,2023-12-26 09:48:19.453000,Lindon,2023-12-26 18:25:48.270000,,,,730,,
731,g,gt,2023-12-27 00:00:00,0,LN001,LN001,DSM,,2023-12-27 00:00:00,*,,,,Zeki,2023-12-27 11:46:12.797000,Lindon,2023-12-27 16:36:37.240000,,,,731,,
732,g,gt,2023-12-28 00:00:00,0,LN001,LN001,DSM,,2023-12-28 00:00:00,*,,,,Zeki,2023-12-28 09:41:28.483000,Lindon,2023-12-28 15:15:34.537000,,,,732,,
733,g,gt,2023-12-28 00:00:00,0,LN001,LN001,DSM,,2023-12-28 00:00:00,*,,,,Zeki,2023-12-28 10:06:41.630000,Lindon,2023-12-28 15:27:17.043000,,,,733,,
735,g,gt,2023-12-28 00:00:00,0,LN001,LN001,euromart,,2023-12-28 00:00:00,*,,,,MUAZ,2023-12-28 15:52:33.730000,Lindon,2023-12-28 16:46:01.913000,,,,735,,
736,g,gt,2023-12-29 00:00:00,0,LN001,LN001,DSM,,2023-12-29 00:00:00,*,,,,Zeki,2023-12-29 11:22:03.670000,Lindon,2023-12-29 17:19:49.743000,,,,736,,
737,g,gt,2023-12-30 00:00:00,0,LN001,LN001,DSM,,2023-12-30 00:00:00,*,,,,Zeki,2023-12-30 11:48:24.903000,Lindon,2023-12-30 13:26:06.630000,,,,737,,
739,g,gt,2023-12-30 00:00:00,0,LN001,LN001,DSM,,2023-12-30 00:00:00,*,,,,MUAZ,2023-12-30 16:54:41.787000,Lindon,2023-12-30 16:58:17.840000,,,,739,,
740,g,gt,2024-01-01 00:00:00,0,LN001,LN001,DSM,,2024-01-01 00:00:00,*,,,,Zeki,2024-01-01 13:04:58.893000,Lindon,2024-01-02 09:43:48.490000,,,,740,,
741,g,gt,2024-01-01 00:00:00,0,LN001,LN001,DSM,,2024-01-01 00:00:00,*,,,,Zeki,2024-01-01 13:05:07.730000,Lindon,2024-01-02 09:31:20.187000,,,,741,,
742,g,gt,2024-01-01 00:00:00,0,LN001,LN001,DSM,,2024-01-01 00:00:00,*,,,,Zeki,2024-01-01 13:05:18.503000,Lindon,2024-01-02 09:23:10.077000,,,,742,,
