RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip,kgid,insUN,insDT,insApp,updUN,updDT,updApp
577,Koyu Kot,,,,,578,,,,,,
578,Ten Kroko,,,,,579,,,,,,
579,Platin Kroko,,,,,580,,,,,,
580,Siyah Keten,,,,,581,,,,,,
581,Ten Keten,,,,,582,,,,,,
582,Mavi Keten,,,,,583,,,,,,
583,Kırmızı Keten,,,,,584,,,,,,
584,Yeşil Keten,,,,,585,,,,,,
585,Altın Rugan,,,,,586,,,,,,
586,Platin Rugan,,,,,587,,,,,,
587,Mint,,,,,588,,,,,,
588,Siyah Gökkuşağı,,,,,589,,,,,,
589,Beyaz Gökkuşağı,,,,,590,,,,,,
590,Bej Gökkuşağı,,,,,591,,,,,,
591,Vizon Gökkuşağı,,,,,592,,,,,,
592,Altın Gökkuşağı,,,,,593,,,,,,
593,Gökkuşağı,,,,,594,,,,,,
594,Parlak Siyah,,,,,595,,,,,,
595,Sedef,,,,,596,,,,,,
596,Bebe Mavi,,,,,597,,,,,,
597,Açık Gri,,,,,598,,,,,,
598,Açık Vizon,,,,,599,,,,,,
599,Füme Beyaz Beyaz,,,,,600,,,,,,
600,Bej Kroko,,,,,601,,,,,,
601,Bordo Kırışık Rugan,,,,,602,,,,,,
602,Kahverengi Kırışık Rugan,,,,,603,,,,,,
603,Taba Kırışık Rugan,,,,,604,,,,,,
604,Siyah Süet Siyah Rugan,,,,,605,,,,,,
605,Bej Kırışık Rugan,,,,,606,,,,,,
606,Dokulu Siyah Cilt,,,,,607,,,,,,
607,Dokulu Taba Cilt,,,,,608,,,,,,
608,Dokulu Bej Cilt,,,,,609,,,,,,
609,Siyah Cilt Siyah Süet,,,,,610,,,,,,
610,Taba Kırışık Rugan Taba Süet,,,,,611,,,,,,
611,Dokulu Kahverengi Cilt,,,,,612,,,,,,
612,Beyaz Siyah Krep,,,,,613,MUAZ,2024-10-23 13:49:07.160000,KGShop,,,
613,Gümüş Dokulu,,,,,614,MUAZ,2024-12-19 18:49:07.813000,KGShop,,,
614,Siyah Dokulu,,,,,615,MUAZ,2024-12-19 18:49:21.810000,KGShop,,,
615,Altın Dokulu,,,,,616,MUAZ,2024-12-19 18:49:27.267000,KGShop,,,
616,Platin Dokulu,,,,,617,MUAZ,2024-12-19 18:49:32.757000,KGShop,,,
617,Taba Leopar,,,,,618,MUAZ,2024-12-19 18:59:07.820000,KGShop,,,
618,Ten Leopar,,,,,619,MUAZ,2024-12-19 18:59:20.100000,KGShop,,,
619,Siyah Rugan Çizgili,,,,,620,MUAZ,2024-12-19 19:02:36.047000,KGShop,,,
620,Ten Rugan Çizgili,,,,,621,MUAZ,2024-12-19 19:02:43.513000,KGShop,,,
621,Bordo Rugan Çizgili,,,,,622,MUAZ,2024-12-19 19:02:50.397000,KGShop,,,
622,Ten Hasır,,,,,623,MUAZ,2024-12-19 19:04:36.500000,KGShop,,,
623,Gri Gri,,,,,624,MUAZ,2024-12-25 17:17:27.607000,KGShop,,,
624,Su Yeşili Cilt,,,,,625,MUAZ,2025-01-06 17:19:59.150000,KGShop,,,
625,Su Yeşili Kırışık Rugan,,,,,626,MUAZ,2025-01-06 17:20:11.727000,KGShop,,,
626,Vişne Kırışık Rugan,,,,,627,MUAZ,2025-01-06 17:20:21.013000,KGShop,,,
627,Fuşya Kırışık Rugan,,,,,628,MUAZ,2025-01-06 17:22:15.380000,KGShop,,,
628,Açık Kot Mavi,,,,,629,MUAZ,2025-01-06 17:28:43.563000,KGShop,,,
629,Kömür,,,,,630,MUAZ,2025-01-08 16:29:56.473000,KGShop,,,
630,Taba Hasır,,,,,631,MUAZ,2025-01-08 16:40:08.260000,KGShop,,,
631,Renkli Hasır,,,,,632,MUAZ,2025-01-08 16:40:14.337000,KGShop,,,
632,Bej Kahverengi,,,,,633,MUAZ,2025-01-10 16:14:56.170000,KGShop,,,
633,Füme Buz,,,,,634,MUAZ,2025-01-18 16:25:14.207000,KGShop,,,
634,Beyaz Buz Yeşil,,,,,635,MUAZ,2025-01-18 16:50:21.800000,KGShop,,,
635,Füme Lacivert,,,,,636,MUAZ,2025-01-18 16:50:39.690000,KGShop,,,
636,Buz Süet,,,,,637,MUAZ,2025-01-18 16:56:13.233000,KGShop,,,
637,Vizon Hasır,,,,,638,MUAZ,2025-01-20 14:15:45.437000,KGShop,,,
638,Nude Hasır,,,,,639,MUAZ,2025-01-20 14:15:57.493000,KGShop,,,
639,Buz Füme,,,,,640,MUAZ,2025-01-21 15:22:49.773000,KGShop,,,
640,Füme Pudra,,,,,641,MUAZ,2025-01-21 15:28:03.813000,KGShop,,,
641,Siyah Leopar,,,,,642,MUAZ,2025-01-27 15:31:20.633000,KGShop,,,
642,Mat Turuncu,,,,,643,MUAZ,2025-01-27 15:36:59.967000,KGShop,,,
643,Mat Fuşya,,,,,644,MUAZ,2025-01-27 15:37:09.717000,KGShop,,,
644,Mat Yeşil,,,,,645,MUAZ,2025-01-27 15:37:21.507000,KGShop,,,
645,Bej Leopar,,,,,646,MUAZ,2025-01-27 15:40:29.363000,KGShop,,,
646,Beyaz Leopar,,,,,647,MUAZ,2025-01-27 16:33:15.070000,KGShop,,,
647,Altın Kırışık Rugan,,,,,648,MUAZ,2025-01-27 18:45:58.687000,KGShop,,,
648,Rose Kırışık Rugan,,,,,649,MUAZ,2025-01-27 18:46:12.877000,KGShop,,,
649,Siyah Yılan Cilt,,,,,650,MUAZ,2025-01-27 18:49:17.607000,KGShop,,,
650,Beyaz Yılan Cilt,,,,,651,MUAZ,2025-01-27 18:49:34.317000,KGShop,,,
651,Ten Yılan Cilt,,,,,652,MUAZ,2025-01-27 18:49:44.513000,KGShop,,,
652,Gri Hasır,,,,,653,MUAZ,2025-01-27 18:51:49.220000,KGShop,,,
653,Rose Sultan,,,,,654,MUAZ,2025-01-27 19:03:57.910000,KGShop,,,
654,Siyah Cilt Rugan Detay,,,,,655,MUAZ,2025-01-30 16:42:36.613000,KGShop,,,
655,Bej Kadife,,,,,656,MUAZ,2025-01-30 16:44:14.147000,KGShop,,,
656,Petrol Kadife,,,,,657,MUAZ,2025-01-30 16:44:32.993000,KGShop,,,
657,Bordo Kadife,,,,,658,MUAZ,2025-01-30 16:44:49.933000,KGShop,,,
658,Koyu Kahverengi,,,,,659,MUAZ,2025-01-30 19:18:54.617000,KGShop,,,
659,Mat Bordo,,,,,660,MUAZ,2025-01-31 14:34:10.963000,KGShop,,,
660,Mat Petrol,,,,,661,MUAZ,2025-01-31 14:34:21.580000,KGShop,,,
661,Beyaz Kot,,,,,662,MUAZ,2025-01-31 17:17:48.920000,KGShop,,,
662,Beyaz Buz Krep,,,,,663,MUAZ,2025-02-07 18:03:20.307000,KGShop,,,
663,Leopar Tüy,,,,,664,MUAZ,2025-02-07 18:39:10.473000,KGShop,,,
664,Bej Ekru,,,,,665,MUAZ,2025-02-10 18:04:54.490000,KGShop,,,
665,Gri Saten,,,,,666,MUAZ,2025-02-18 14:06:35.400000,KGShop,,,
666,Siyah Kahve Beyaz,,,,,667,MUAZ,2025-02-25 16:29:40.137000,KGShop,,,
667,Siyah Kahve Krep,,,,,668,MUAZ,2025-02-25 16:29:49.050000,KGShop,,,
668,Siyah Krep,,,,,669,MUAZ,2025-02-25 16:30:04.377000,KGShop,,,
669,Gökkuşağı Hasır,,,,,670,MUAZ,2025-02-25 18:38:29.850000,KGShop,,,
670,Bej Lacivert,,,,,671,MUAZ,2025-02-26 15:51:02.380000,KGShop,,,
671,Leopar Bej,,,,,672,MUAZ,2025-02-26 19:34:53.460000,KGShop,,,
672,Leopar Siyah,,,,,673,MUAZ,2025-02-26 19:35:01.873000,KGShop,,,
673,Rugan Leopar,,,,,674,MUAZ,2025-02-26 19:36:37.040000,KGShop,,,
674,Siyah Rugan Leopar,,,,,675,Yasar,2025-02-27 12:57:48.523000,KGShop,,,
675,,,,,,676,MUAZ,2025-03-26 16:06:28.830000,KGShop,,,
676,Pudra Bej,,,,,677,Nurcan,2025-04-18 14:06:18.180000,KGShop,,,
677,Kahverengi Rugan,,,,,678,Nurcan,2025-05-03 13:58:53.310000,KGShop,,,
