RENK_KOD,Tanim,OzKod1,OzKod2,OzKod3,Tip
17593,201-311-334,,,,
17594,206-516,,,,
17595,205-515,,,,
17596,207,,,,
17597,202-513-417,,,,
17598,201-519-416,,,,
17599,208-513-417,,,,
17600,128-419-313,,,,
17601,125-420-313,,,,
17602,102,,,,
17603,121-022,,,,
17604,127-020,,,,
17605,203-312-503-323,,,,
17606,202-312-505-323,,,,
17607,207-130-3132,,,,
17608,202-102-327,,,,
17609,213-109-313,,,,
17610,207-130-313,,,,
17611,201-329-311,,,,
17612,204-339-313,,,,
17613,202-329-312,,,,
17614,202-313,,,,
17615,204-313,,,,
17616,202-453,,,,
17617,204-453,,,,
17618,Dore Kroko,,,,
17619,Lame Kroko,,,,
17620,L1-29,,,,
17621,L1-30,,,,
17622,L1-01,,,,
17623,31,,,,
17624,29,,,,
17625,4019-2004-3027,,,,
17626,4022-2001-3008,,,,
17627,Syh. Floter- Syh. Süet- Syh. Yılan,,,,
17628,3015- Beyaz Rugan,,,,
17629,3015- Siyah Rugan,,,,
17630,3015-08,,,,
17631,4012-18-3022,,,,
17632,08-2002,,,,
17633,09-2001,,,,
17634,4022-3017-3008,,,,
17635,Byz. Floter- 3013-06,,,,
17636,Siyah Süet- 3012-07,,,,
17637,Siyah Rugan- 3015,,,,
17638,09-3015,,,,
17639,26,,,,
17640,22,,,,
17641,4001,,,,
17642,4002,,,,
17643,4003,,,,
17644,Beyaz Rugan,,,,
17645,Beyaz Rugan- Siyah Süet,,,,
17646,Siyah Deri- Beyaz Deri,,,,
17647,Beyaz Deri- Siyah Deri,,,,
17648,4002-2001,,,,
17649,4022-2001,,,,
17650,16- Siyah Floter- Siyah Yılan,,,,
17651,17- Beyaz Floter- 3022,,,,
17652,18- 4022-3008,,,,
17653,Beyaz Floter- 17-4004,,,,
17654,Siyah Floter- 16-Beyaz Deri,,,,
17655,4012-18-07,,,,
17656,3004-4021,,,,
17657,3001-Siyah Floter,,,,
17658,3002- Beyaz Floter,,,,
17659,4004-2008,,,,
17660,4008-2006,,,,
17661,4012-2003-3022,,,,
17662,Siyah Floter- Siyah Süet- 3022,,,,
17663,25,,,,
17664,"3022-4021,",,,,
17665,3022-4021,,,,
17666,2001-11,,,,
17667,2003-12,,,,
17668,Siyah Süet- Siyah Deri,,,,
17669,Siyah Floter- 16- 3022,,,,
17670,Beyaz Floter- 17- 3022,,,,
17671,3008-23,,,,
17672,Siyah Flotter- Siyah Deri,,,,
17673,3022- Bej Deri,,,,
17674,06,,,,
17675,3006,,,,
17676,12,,,,
17677,4012-3022,,,,
17678,Siyah Floter- 16,,,,
17679,Beyaz Floter - 17,,,,
17680,4022-18,,,,
17681,22-19,,,,
17682,Beyaz File,,,,
17683,Beyaz Deri- Siyah Rugan,,,,
17684,Siyah Deri - Siyah Rugan,,,,
17685,3022,,,,
17686,3008,,,,
17687,Siyah Yılan,,,,
17688,Beyaz File- 40109,,,,
17689,Beyaz File- 4009,,,,
17690,Siyah File - Siyah Rugan,,,,
17691,Beyaz Floter,,,,
17692,14-09,,,,
17693,13-08,,,,
17694,15- Siyah Rugan,,,,
17695,Bej Deri- Leopar,,,,
17696,Siyah Deri - Leopar,,,,
17697,Beyaz Deri - Leopar,,,,
17698,Kazan Yeşili Deri,,,,
17699,Bebe Mavisi Deri,,,,
17700,Pudra Deri- Leopar,,,,
17701,Siyah Deri- Leopar,,,,
17702,Pudra Kır. Rugan,,,,
17703,Siyah Kır. Rugan,,,,
17704,Beyaz Kır. Rugan,,,,
17705,Pembe Deri,,,,
17706,01-05-2432,,,,
17707,89-93-176-310,,,,
17708,01-02-183-294,,,,
17709,01-05-243,,,,
17710,244-310,,,,
17711,167-170,,,,
17712,Bej Kır. Rugan,,,,
17713,Vizon Deri Yarma,,,,
17714,Siyah Deri Yarma,,,,
17715,Taba Deri Yarma,,,,
17716,Kum Beji Deri,,,,
17717,Taba Floter,,,,
17718,816,,,,
17719,817,,,,
17720,017,,,,
17721,027,,,,
17722,303,,,,
17723,01-036,,,,
17724,027-017,,,,
17725,57-303,,,,
17726,33-230,,,,
17727,56-230,,,,
17728,394-437,,,,
17729,268-56,,,,
17730,399-215,,,,
17731,53-57,,,,
17732,1026,,,,
17733,173-394,,,,
17734,1025,,,,
17735,268-57,,,,
17736,67-56,,,,
17737,269-230,,,,
17738,268,,,,
17739,269,,,,
17740,420,,,,
17741,225,,,,
17742,438,,,,
17743,1013,,,,
17744,1011,,,,
17745,420-399,,,,
17746,269-173,,,,
17747,67-53,,,,
17748,1010,,,,
17749,1015,,,,
17750,1014,,,,
17751,280-263,,,,
17752,268-264,,,,
17753,57-56,,,,
17754,1027,,,,
17755,712,,,,
17756,124,,,,
17757,304,,,,
17758,720,,,,
17759,805-100,,,,
17760,806-701,,,,
17761,105,,,,
17762,811,,,,
17763,302-723,,,,
17764,300-100,,,,
17765,Açık Mavi,,,,
17766,701-729,,,,
17767,718- Pembe Rugan,,,,
17768,L.Siyah- 101,,,,
17769,100-701-101,,,,
17770,701-806,,,,
17771,Bronz Yılan,,,,
17772,Beyaz Yılan,,,,
17773,300-733,,,,
17774,419,,,,
17775,198,,,,
17776,141,,,,
17777,103,,,,
17778,298,,,,
17779,386,,,,
17780,347,,,,
17781,313,,,,
17782,404,,,,
17783,348,,,,
17784,320,,,,
17785,325,,,,
17786,334,,,,
17787,359-360,,,,
17788,374-435,,,,
17789,106,,,,
17790,457,,,,
17791,101-102,,,,
17792,258,,,,
17793,368,,,,
17794,369,,,,
17795,139,,,,
17796,140,,,,
17797,370,,,,
17798,336,,,,
17799,330,,,,
17800,229,,,,
17801,326,,,,
17802,160,,,,
17803,451,,,,
17804,452,,,,
17805,299,,,,
17806,431,,,,
17807,441-435,,,,
17808,370-333,,,,
17809,427,,,,
17810,358,,,,
17811,106-107,,,,
17812,435-325,,,,
17813,111,,,,
17814,127,,,,
17815,110,,,,
17816,108,,,,
17817,109,,,,
17818,118,,,,
17819,122,,,,
17820,117,,,,
17821,121,,,,
17822,112,,,,
17823,126,,,,
17824,107,,,,
17825,123,,,,
17826,102-4,,,,
17827,112-1,,,,
17828,103-3,,,,
17829,112-5,,,,
17830,102-2,,,,
17831,11-02-22,,,,
17832,188-02-12-93,,,,
17833,131-02-13,,,,
17834,93-168-152,,,,
17835,243-02-08,,,,
17836,242-02,,,,
17837,02-165,,,,
17838,01-165,,,,
17839,248-90,,,,
17840,247-232,,,,
17841,08-02-92-93,,,,
17842,13-59-131-152,,,,
17843,188-01-12-93,,,,
17844,01-241-12,,,,
17845,244-241-13,,,,
17846,37-41,,,,
17847,41,,,,
17848,40-06-1,,,,
17849,85-38,,,,
17850,01-1,,,,
17851,06-1,,,,
17852,36-39,,,,
17853,38-85,,,,
17854,01-110,,,,
17855,85-1,,,,
17856,103-1,,,,
17857,41-37,,,,
17858,39-36,,,,
17859,103-101,,,,
17860,07-1,,,,
17861,85-85,,,,
17862,Koyu Kahve Süet,,,,
17863,487-488,,,,
17864,346-465,,,,
17865,488-487-465,,,,
17866,468-469,,,,
17867,470-466,,,,
17868,467-468,,,,
17869,473-467,,,,
17870,436-426-465,,,,
17871,486-423,,,,
17872,237-465,,,,
17873,467-473,,,,
17874,434,,,,
17875,423,,,,
17876,441-364,,,,
17877,420-106,,,,
17878,235,,,,
17879,337,,,,
17880,333,,,,
17881,102-232,,,,
17882,335-360,,,,
17883,338-334,,,,
17884,160-380,,,,
17885,022-201-407,,,,
17886,001-202-405,,,,
17887,202-312-001-346,,,,
17888,201-312-022-344,,,,
17889,374-100,,,,
17890,441-100,,,,
17891,325-441,,,,
17892,100-441,,,,
17893,022-519-101-352,,,,
17894,002-513-313-321,,,,
17895,039-203-451,,,,
17896,018-118-018-102-339-018,,,,
17897,001-102-029-330-339-023,,,,
17898,036-112-016-313-339-326,,,,
17899,212,,,,
17900,261,,,,
17901,548,,,,
17902,509,,,,
17903,424,,,,
17904,618,,,,
17905,425,,,,
17906,656,,,,
17907,379,,,,
17908,316,,,,
17909,587,,,,
17910,627,,,,
17911,623,,,,
17912,614,,,,
17913,659-508,,,,
17914,633-509,,,,
17915,634-212,,,,
17916,220-650,,,,
17917,423-651,,,,
17918,657-649,,,,
17919,623-648,,,,
17920,222,,,,
17921,526,,,,
17922,628,,,,
17923,631-510,,,,
17924,630-509,,,,
17925,632-508,,,,
17926,657,,,,
17927,550,,,,
17928,528,,,,
17929,655,,,,
17930,508-643,,,,
17931,220-641,,,,
17932,356-642,,,,
17933,654,,,,
17934,644-397,,,,
17935,645-220,,,,
17936,508-637,,,,
17937,261-634,,,,
17938,509-630,,,,
17939,497,,,,
17940,226-165,,,,
17941,226-186,,,,
17942,228-155,,,,
17943,165-114,,,,
17944,168-141,,,,
17945,226-173,,,,
17946,155-165-193,,,,
17947,181-165-10,,,,
17948,114-165-10,,,,
17949,155-168-128,,,,
17950,156-128-151,,,,
17951,173-188-196,,,,
17952,S03-C02-B38-B07-F04,,,,
17953,K08-C02-F04-B38,,,,
17954,K02-C02-F05-B01,,,,
17955,K08-01,,,,
17956,B01-01,,,,
17957,K02-01,,,,
17958,B07-S03,,,,
17959,B23-S08,,,,
17960,B01-S02,,,,
17961,A02-B01-A05-L01,,,,
17962,Y30-B23-01-L03,,,,
17963,A03-B23-04-L03,,,,
17964,Y31-B23-S08,,,,
17965,A12-B07-S03,,,,
17966,Y30-B15-S02,,,,
17967,S02-B15-FL02-L01,,,,
17968,14-107,,,,
17969,89-109,,,,
17970,29-90-214,,,,
17971,183-01,,,,
17972,184-01,,,,
17973,185-01,,,,
17974,68,,,,
17975,01-116,,,,
17976,133-139,,,,
17977,169-179,,,,
17978,101-78,,,,
17979,97,,,,
17980,84,,,,
17981,178,,,,
17982,01-29,,,,
17983,179-178,,,,
17984,117-123,,,,
17985,144-71,,,,
17986,28,,,,
17987,179,,,,
17988,23,,,,
17989,156,,,,
17990,123-57,,,,
17991,144-68,,,,
17992,118-02,,,,
17993,34,,,,
17994,182,,,,
17995,69,,,,
17996,181,,,,
17997,180,,,,
17998,01-68,,,,
17999,169-178,,,,
18000,127-87,,,,
18001,87-127,,,,
18002,139-133,,,,
18003,144-01,,,,
18004,169,,,,
18005,32-116,,,,
18006,68-29,,,,
18007,170-380,,,,
18008,183-380,,,,
18009,130,,,,
18010,132,,,,
18011,173,,,,
18012,1016,,,,
18013,1029,,,,
18014,1023,,,,
18015,269-437,,,,
18016,67-230,,,,
18017,268-438,,,,
18018,268-230,,,,
18019,56-438,,,,
18020,1021,,,,
18021,1028,,,,
18022,1024,,,,
18023,437,,,,
18024,3192,,,,
18025,2774,,,,
18026,3184,,,,
18027,3183,,,,
18028,3023,,,,
18029,3167,,,,
18030,3168,,,,
18031,3182,,,,
18032,Nude,,,,
18033,3181,,,,
18034,3080,,,,
18035,186,,,,
18036,3169,,,,
18037,3150,,,,
18038,3014,,,,
18039,3073,,,,
18040,Byz Süet- Byz Floter-3022,,,,
18041,2002-4022-3008,,,,
18042,Syh Süet- Syh Floter- 3022,,,,
18043,Siyah Floter,,,,
18044,Siyah Floter-3010,,,,
18045,4012-3017-3022,,,,
18046,Byz Floter-3019-3022,,,,
18047,4005,,,,
18048,Siyah File- 4001,,,,
18049,Beyaz File- 4002,,,,
18050,Beyaz Deri- Beyaz File-4009,,,,
18051,4010- Siyah File,,,,
18052,76,,,,
18053,99,,,,
18054,138,,,,
18055,60,,,,
18056,90,,,,
18057,135,,,,
18058,147,,,,
18059,177,,,,
18060,136,,,,
18061,183,,,,
18062,131,,,,
18063,184,,,,
18064,83,,,,
18065,148,,,,
18066,Beyaz File- 12,,,,
18067,17- Beyaz Rugan,,,,
18068,16- Siyah Rugan,,,,
18069,18-08,,,,
18070,Siyah File- 4002,,,,
18071,4005-19,,,,
18072,20-69,,,,
18073,20-67,,,,
18074,3002- Beyaz Deri,,,,
18075,4008-3011,,,,
18076,Beyaz Floter- Beyaz Yarma,,,,
18077,215,,,,
18078,420-230,,,,
18079,484,,,,
18080,489,,,,
18081,489-237,,,,
18082,R1009-01001 / Pudra Deri,,,,
18083,R1001- 01001 / Beyaz Deri,,,,
18084,B23-BEJ DERİ,,,,
18085,580,,,,
18086,595,,,,
18087,Pudra Floter,,,,
18088,200,,,,
18089,2349,,,,
18090,2392-2393,,,,
18091,2391-2349,,,,
18092,2429,,,,
18093,2428,,,,
18094,2396,,,,
18095,2422,,,,
18096,02-03,,,,
18097,2411-200,,,,
18098,2349-2391,,,,
18099,2426,,,,
18100,2434,,,,
18101,2242,,,,
18102,2373,,,,
18103,2427-2010,,,,
18104,200-02,,,,
18105,2427,,,,
18106,2389,,,,
18107,2159,,,,
18108,2416,,,,
18109,2642-2507,,,,
18110,2507-2642,,,,
18111,403,,,,
18112,2493,,,,
18113,1149- Siyah Lastik,,,,
18114,021- Siyah Lastik,,,,
18115,021,,,,
18116,2556,,,,
18117,2506-2642,,,,
18118,1149-*2642,,,,
18119,1149-2642,,,,
18120,2642-1149,,,,
18121,2642,,,,
18122,2574-2642,,,,
18123,2639,,,,
18124,1112- Krmz- Siyh Lastik,,,,
18125,2642- Beyaz Siyah Lastik,,,,
18126,1155 - Yeşil Siyah Lastik,,,,
18127,021- Kırmzı Siyh Lastik,,,,
18128,08- Siyah Beyz Lastik,,,,
18129,01-2642,,,,
18130,2596-3018,,,,
18131,14-1172,,,,
18132,3018-021,,,,
18133,021-1199,,,,
18134,1873-1169,,,,
18135,0060-2642,,,,
18136,2449-19115,,,,
18137,Taba Yarma Süet- Taba Deri,,,,
18138,2084-2084- Kapitone,,,,
18139,021-076- Kapitone,,,,
18140,Siyah Grogren - 2601,,,,
18141,3018,,,,
18142,2546,,,,
18143,2642-2506,,,,
18144,2642- 021 Kaptione,,,,
18145,2642-2084- Kapitone,,,,
18146,57-40,,,,
18147,Kahve Süet,,,,
18148,Vizon Deri - Siyah Süet,,,,
18149,382-Siyah Süet,,,,
18150,Siyah Deri - Vizon Süet,,,,
18151,Bordo Rugan,,,,
18152,382,,,,
18153,1900,,,,
18154,Siyah Grogren-2643,,,,
18155,2642-2580,,,,
18156,2546-08,,,,
18157,2580-2642,,,,
18158,06-61,,,,
18159,08-64,,,,
18160,61,,,,
18161,63,,,,
18162,06-86,,,,
18163,01-84,,,,
18164,08-85,,,,
18165,64-05,,,,
18166,53-40,,,,
18167,52-40,,,,
18168,11-39,,,,
18169,62,,,,
18170,11-40,,,,
18171,51,,,,
18172,456,,,,
18173,141-106,,,,
18174,370-100,,,,
18175,472,,,,
18176,454,,,,
18177,474,,,,
18178,475,,,,
18179,477,,,,
18180,257,,,,
18181,455,,,,
18182,321,,,,
18183,100-335,,,,
18184,295-470,,,,
18185,103-468,,,,
18186,374,,,,
18187,102-437,,,,
18188,438-102,,,,
18189,432-476,,,,
18190,450,,,,
18191,"448,",,,,
18192,448,,,,
18193,R1138-25003/ Çelik Krst.,,,,
18194,R1029-25003/ Altın,,,,
18195,R1371-25049/ Alt. Leop.,,,,
18196,R1124- 25003/ Bej Floter,,,,
18197,R1113-05001/ Byz. Flot.,,,,
18198,R1029-25049/ Alt. Krist.,,,,
18199,G2049-01049/ Gmş. Krist.,,,,
18200,G2706-01001,,,,
18201,G2705-01001,,,,
18202,G2309-01001/ Byz. Deri,,,,
18203,G2254-25049/ Alt. Kris.,,,,
18204,G2714-01001 / Saks Kris.,,,,
18205,G2581- 25204,,,,
18206,G2225-01025,,,,
18207,G2750-25204,,,,
18208,G2751-25204,,,,
18209,G2349-25204,,,,
18210,G2746-01025,,,,
18211,G2370-01025,,,,
18212,G2422-25204,,,,
18213,G2065-01204,,,,
18214,G2225-01205,,,,
18215,G2503-01025,,,,
18216,G2725-01025,,,,
18217,G2741-25204,,,,
18218,G2340-25204,,,,
18219,G2743-25204,,,,
18220,G2747-25204,,,,
18221,G2745-25204,,,,
18222,R1137-25089,,,,
18223,R1029-25089,,,,
18224,G2422-25089,,,,
18225,G2523-25089,,,,
18226,G2546-01002,,,,
18227,G2715-25089,,,,
18228,G2640-01002,,,,
18229,G2641-25089,,,,
18230,G2724-01089,,,,
18231,G2723-01089,,,,
18232,R1137-01089,,,,
18233,G2694-01089,,,,
18234,G2580-01002,,,,
18235,G2594-25089,,,,
18236,G2671-01089,,,,
18237,G1096-01195,,,,
18238,G2224-01195,,,,
18239,G2730-25195,,,,
18240,G2484-01002,,,,
18241,G2719-25089,,,,
18242,R1092-25089,,,,
18243,R1001-01002,,,,
18244,G2735-01195,,,,
18245,G2666-25198,,,,
18246,G2667-01195,,,,
18247,G2734-25198,,,,
18248,G2422-25179,,,,
18249,G1784-25195,,,,
18250,R1137-01195,,,,
18251,R1029-25198,,,,
18252,R1371-01198,,,,
18253,R1372-01195,,,,
18254,G2671-01195,,,,
18255,G2254-25198,,,,
18256,G2594-25198,,,,
18257,G1417-25003,,,,
18258,G2749-01001,,,,
18259,R1371-25003,,,,
18260,R1372-01001,,,,
18261,R1137-25001,,,,
18262,R1029-25003,,,,
18263,G1784-25001,,,,
18264,G2523-01003,,,,
18265,G2422-25003,,,,
18266,G1197-25001,,,,
18267,R1104-25003,,,,
18268,R1118-25003,,,,
18269,G1219-25003,,,,
18270,G1188-01001,,,,
18271,G1140-01001,,,,
18272,G2224-25001,,,,
18273,G2523-01001,,,,
18274,R1137-01001,,,,
18275,R1001-01001,,,,
18276,G2297-01001,,,,
18277,G2231-*25001,,,,
18278,G2331-25001,,,,
18279,G1074-01001,,,,
18280,G2423-25003,,,,
18281,R1057-25002,,,,
18282,R118-25089,,,,
18283,R1118-25089,,,,
18284,G2558-01089,,,,
18285,G1152-01089,,,,
18286,G2404-25089,,,,
18287,R1113-01001,,,,
18288,R1103-02001,,,,
18289,G2254-25002,,,,
18290,G1140-25089,,,,
18291,G2732-01001,,,,
18292,G2668-01001,,,,
18293,G2669-01001,,,,
18294,G2728-01001,,,,
18295,G1193-02001,,,,
18296,G2726-01001,,,,
18297,G2727-01001,,,,
18298,R1258-25001,,,,
18299,R1106-01001,,,,
18300,G1958-25049,,,,
18301,G2049-01049,,,,
18302,G2254-25049,,,,
18303,G1188-01049,,,,
18304,G2349-25049,,,,
18305,G2422-25049,,,,
18306,G2744-25049,,,,
18307,R1138-25049,,,,
18308,G2736-01049,,,,
18309,G2740-25049,,,,
18310,G2737-25049,,,,
18311,R1137-25049,,,,
18312,R1001-01049,,,,
18313,G2199-01002,,,,
18314,G2649-25003,,,,
18315,R1258-25003,,,,
18316,R1106-25002,,,,
18317,R1106-25049,,,,
18318,G2224-25049,,,,
18319,R1254-25002,,,,
18320,01- Gümüş,,,,
18321,Pudra- Gri Deri,,,,
18322,01-302,,,,
18323,"01-250,",,,,
18324,01-250,,,,
18325,Lila Rugan,,,,
18326,517-01,,,,
18327,R1205- 25003,,,,
18328,R1113-01003,,,,
18329,R1166-01003,,,,
18330,R1001-01003,,,,
18331,R1106- 02002,,,,
18332,R1137-02002,,,,
18333,R1106-030023,,,,
18334,R1106-03002,,,,
18335,G2725-02002,,,,
18336,G2340-25089,,,,
18337,BEJ RUGAN-BEH SÜET,,,,
18338,R1258-25089,,,,
18339,38-99,,,,
18340,ACIK BEJ FLOTER,,,,
18341,G2254-25089,,,,
18342,G1074-25002,,,,
18343,G2159-02002,,,,
18344,G2415-25002,,,,
18345,G2661-25003,,,,
18346,G2540-25089,,,,
18347,G2541-02002,,,,
18348,G2752-25002,,,,
18349,8,,,,
18350,328,,,,
18351,161,,,,
18352,340,,,,
18353,341,,,,
18354,339,,,,
18355,24-15-185,,,,
18356,81-15-185,,,,
18357,01-15-185,,,,
18358,36-02-186,,,,
18359,93-15-185,,,,
18360,150-36-186,,,,
18361,250,,,,
18362,283,,,,
18363,174,,,,
18364,77,,,,
18365,01-187,,,,
18366,01-188,,,,
18367,285,,,,
18368,24-178,,,,
18369,02-36-131,,,,
18370,150-02-131,,,,
18371,92-15-131,,,,
18372,242,,,,
18373,02-143,,,,
18374,01-143,,,,
18375,15-144,,,,
18376,56-172-24,,,,
18377,06-172-151,,,,
18378,180-172-24,,,,
18379,06-131-01-03,,,,
18380,92-131-15-24,,,,
18381,150-131-36-24,,,,
18382,03-172-177,,,,
18383,3185,,,,
18384,3187,,,,
18385,2985,,,,
18386,142-183,,,,
18387,01-244-371,,,,
18388,70-225-370,,,,
18389,05-360-372,,,,
18390,169-380,,,,
18391,111-190,,,,
18392,B2319,,,,
18393,G2065-25089,,,,
18394,G2243-25089,,,,
18395,G2345-25002,,,,
18396,96,,,,
18397,61-76,,,,
18398,63-75,,,,
18399,R347 BEYAZI-ALTIN,,,,
18400,R347 BEYAZI ILACAK,,,,
18401,R347 BEYAZI OLACAK,,,,
18402,351,,,,
18403,BEJ RUGAN-BEYAZ DERİ,,,,
18404,400-429,,,,
18405,BEJ DERİ-ALTIN,,,,
18406,35-99,,,,
18407,BEYAZ DERİ-ALTIN,,,,
18408,90-002,,,,
18409,G2699-25204,,,,
18410,38-54,,,,
18411,06-72,,,,
18412,29-54,,,,
18413,24-77,,,,
18414,61-24,,,,
18415,63-29,,,,
18416,51-20-06,,,,
18417,80-63-06,,,,
18418,41-21-06,,,,
18419,75,,,,
18420,75-39-77,,,,
18421,38-254-77,,,,
18422,266,,,,
18423,61-76-99,,,,
18424,63-24-06,,,,
18425,BEJ DERİ-ALTIN DERİ-LEOPAR,,,,
18426,315,,,,
18427,Siyah Deri- 410,,,,
18428,Siyah Süet - Baskı,,,,
18429,446,,,,
18430,442,,,,
18431,444,,,,
18432,441,,,,
18433,465-450,,,,
18434,481-453,,,,
18435,481- Siyah Süet,,,,
18436,433-Siyah Süet- Siyah Mat.,,,,
18437,265,,,,
18438,436,,,,
18439,441- Siyah Deri,,,,
18440,458- Siyah Rugan,,,,
18441,Siyah Süet- 146,,,,
18442,463,,,,
18443,459,,,,
18444,447,,,,
18445,426-441,,,,
18446,Siyah Deri-484,,,,
18447,Siyah Rugan- Siyah Deri,,,,
18448,Siyah Rugan-424,,,,
18449,Siyah Süet- Siyah Rugan,,,,
18450,94,,,,
18451,449,,,,
18452,297,,,,
18453,485,,,,
18454,445,,,,
18455,435,,,,
18456,35,,,,
18457,76-41,,,,
18458,77-42,,,,
18459,06-77,,,,
18460,03-77,,,,
18461,68-72-06,,,,
18462,06-71-264,,,,
18463,24-72-06,,,,
18464,74-71-06,,,,
18465,06-08,,,,
18466,35-06-99,,,,
18467,653,,,,
18468,640-548,,,,
18469,639-423,,,,
18470,501-543,,,,
18471,515,,,,
18472,1835,,,,
18473,1905,,,,
18474,B2315,,,,
18475,B2316,,,,
18476,B2318,,,,
18477,B2317,,,,
18478,B2307,,,,
18479,1608,,,,
18480,1834,,,,
18481,B2223,,,,
18482,1125,,,,
18483,02-1124,,,,
18484,02-1121,,,,
18485,B2282,,,,
18486,1728,,,,
18487,B2278,,,,
18488,1601,,,,
18489,2283,,,,
18490,433,,,,
18491,Siyah Rugan- 424,,,,
18492,101-5,,,,
18493,117-1,,,,
18494,105-2,,,,
18495,101-7,,,,
18496,112-6,,,,
18497,24-99,,,,
18498,R1205-25049,,,,
18499,SİYAH FLOTER-SİYAH SÜYET,,,,
18500,R1118-25204,,,,
18501,G2700-02025,,,,
18502,TABA SÜYET,,,,
18503,234,,,,
18504,24 68,,,,
18505,35 99,,,,
18506,R12,,,,
18507,R13,,,,
18508,102- Syh. Rugan,,,,
18509,110-Syh. Deri,,,,
18510,106- Syh. Deri,,,,
18511,111-126,,,,
18512,131-127,,,,
18513,Taş Deri,,,,
18514,06 66,,,,
18515,BORDO KIR. RUGAN,,,,
18516,KAHVE KIR.RUGAN,,,,
18517,674,,,,
18518,142,,,,
18519,101-163,,,,
18520,344-101,,,,
18521,459- File- 415,,,,
18522,104-460,,,,
18523,101-344,,,,
18524,414,,,,
18525,101-450,,,,
18526,672-673,,,,
18527,163-449,,,,
18528,450-101,,,,
18529,449-101,,,,
18530,Mavi Kot- GG Kumaş,,,,
18531,678-450,,,,
18532,101-677,,,,
18533,101-449,,,,
18534,459-101,,,,
18535,676-101,,,,
18536,156-01,,,,
18537,06-180,,,,
18538,01-172,,,,
18539,01-173,,,,
18540,08-180,,,,
18541,02-182,,,,
18542,3030- Beyaz Floter,,,,
18543,3030-4004,,,,
18544,35-23,,,,
18545,36- Beyaz Deri,,,,
18546,3022-4012,,,,
18547,3008-18-4022,,,,
18548,3022-17-Byz Floter,,,,
18549,Siyah Yılan-16-Syh. Floter,,,,
18550,3022- Siyah Deri,,,,
18551,3030- Beyaz Deri,,,,
18552,3030-26,,,,
18553,3008-4021,,,,
18554,3030-4012,,,,
18555,SYH. FLOTER,,,,
18556,Taba Süet- Leopar- Kahve Süet,,,,
18557,Taba Süet-Leop. Khv.Süet,,,,
18558,ACIK BEJ DERİ,,,,
18559,632,,,,
18560,600,,,,
18561,610,,,,
18562,SİYAH DERİ-SİYAH SÜET,,,,
18563,SİYAH SÜET-LEOPAR,,,,
18564,1009,,,,
18565,TABA SÜET-LEOPAR,,,,
18566,KAHVE RUGAN-ALTIN MISIR,,,,
18567,SİYAH KIRIŞIK RUGAN,,,,
18568,KIRMIZ KIRIŞIK RUGAN,,,,
18569,4021-11-07,,,,
18570,BYZ FLOTER-BYZ DERİ,,,,
18571,4005-28-07,,,,
18572,33-12,,,,
18573,31-SYH DERİ,,,,
18574,32-23,,,,
18575,3022-29-4012,,,,
18576,BYZ DERİ-BYZ FLOTER,,,,
18577,428-652-590,,,,
18578,428-650,,,,
18579,571-595,,,,
18580,650,,,,
18581,673,,,,
18582,665,,,,
18583,8077,,,,
18584,8078,,,,
18585,671,,,,
18586,665-827,,,,
18587,595-829,,,,
18588,601-06,,,,
18589,648,,,,
18590,645,,,,
18591,601-1109,,,,
18592,672-1108,,,,
18593,601-383-237,,,,
18594,670-408-4009,,,,
18595,667-395-KHV DERİ,,,,
18596,282,,,,
18597,275,,,,
18598,4019,,,,
18599,0205,,,,
18600,395,,,,
18601,4020,,,,
18602,399,,,,
18603,241 NBK,,,,
18604,1862,,,,
18605,1864,,,,
18606,1863,,,,
18607,650-394-002-311,,,,
18608,650-395-650-570,,,,
18609,656-395-656-600,,,,
18610,653-410-665,,,,
18611,665-395-570,,,,
18612,680-4020-39,,,,
18613,653-410-395,,,,
18614,312-4018-59,,,,
18615,648-395-1863,,,,
18616,650-395-601,,,,
18617,240,,,,
18618,296,,,,
18619,081,,,,
18620,3186,,,,
18621,2432,,,,
18622,1900-001,,,,
18623,296-112,,,,
18624,237-08,,,,
18625,7009,,,,
18626,1900-08,,,,
18627,375,,,,
18628,041,,,,
18629,002-019,,,,
18630,001-1900,,,,
18631,G2754-25003,,,,
18632,G2520-25003,,,,
18633,R-1258-25003,,,,
18634,R-1106-25002,,,,
18635,G2594-25204,,,,
18636,G2286-01025,,,,
18637,322-380-03,,,,
18638,208,,,,
18639,09-114,,,,
18640,10-120,,,,
18641,355,,,,
18642,357,,,,
18643,362,,,,
18644,360,,,,
18645,236,,,,
18646,390,,,,
18647,387,,,,
18648,342,,,,
18649,221,,,,
18650,376,,,,
18651,327,,,,
18652,349,,,,
18653,356,,,,
18654,322,,,,
18655,366,,,,
18656,318,,,,
18657,365,,,,
18658,238,,,,
18659,90-205-338,,,,
18660,111-170-380,,,,
18661,02-167-169,,,,
18662,491-105,,,,
18663,490-104,,,,
18664,139-104,,,,
18665,479,,,,
18666,100-493,,,,
18667,335-439,,,,
18668,448-100,,,,
18669,453-334,,,,
18670,366-382-0,,,,
18671,366-382-03,,,,
18672,318-381-03,,,,
18673,365-379-03,,,,
18674,349-378-03,,,,
18675,18-01,,,,
18676,384-357,,,,
18677,236-386,,,,
18678,238-265,,,,
18679,385-39,,,,
18680,02-131,,,,
18681,15-131,,,,
18682,01-131,,,,
18683,15-92,,,,
18684,02-133,,,,
