ModulName,ModulParent,ModulLevel,ModulCaption
Rapor_110,miTSatisRapor,2,Haftalık Satış Analizi (Satış Tutarına Göre) (r110)
Rapor_111,miTSatisRapor,2,Aylık Satış Analizi (Satış Tutarına Göre) (r111)
Rapor_113,miTSatisRapor,2,Yıllık Satış Analizi (Satış Tutarına Göre) (r113)
Rapor_116,miTSatisRapor,2,Müşteri Toptan Satış Raporu (Satış Miktarına Göre) (r116)
Rapor_117,miTSatisRapor,2,Müşteri Toptan Satış Raporu (Satış Tutarına Göre) (r117)
Rapor_801,miTSatisRapor,2,Lokasyon Bazında Stok Satış Oranı (801)
Rapor_802,miTSatisRapor,2,Lokasyon-Stok Grubu Bazında  Stok Satış Oranı (802)
Rapor_809,miTSatisRapor,2,Gerçekleşen Ciro-Hedefler Karşılaştırma Raporu (r809)
Rapor_811,miTSatisRapor,2,Gerçekleşen Tahmini Ciro Raporu (r811)
miMKDVBeyan,miMMaliTablo,2,KDV Beyannamesi
miMMuhtasar,miMMaliTablo,2,Muhtasar Beyanname
miMGeciciVer,miMMaliTablo,2,Geçici Vergi Beyannamesi
miCRM,,0,Crm
miCRM_Firmalar,miCRM,1,Firmalar
miCRMFirmaList,miCRM_Firmalar,2,Firma Tanımları...
miFirmaFilter,miCRM_Firmalar,2,Firma Yönetimi...
miCRM_FromCari,miCRM_Firmalar,2,Cari'den Al
miCRM_FromCust,miCRM_Firmalar,2,Müşteri'den Al
miCRMGorusmeler,miCRM,1,Görüşmeler
miCRM_GKayit,miCRMGorusmeler,2,Görüşme Kayıtları...
miCRM_GFilter,miCRMGorusmeler,2,Görüşme Yönetimi...
miCRM_Kisiler,miCRM,1,Kişiler
miCRM_KisiKart,miCRM_Kisiler,2,Kişi Kartları...
miCRM_KisiFilter,miCRM_Kisiler,2,Kişi Yönetimi...
miCRM_ServisMain,miCRM,1,Servis
miCRM_Servis_Talep,miCRM_ServisMain,2,Talep Girişi...
miCRM_Servis,miCRM_ServisMain,2,Servis Girişi...
miCRM_ServisFilter,miCRM_ServisMain,2,Servis Yönetimi...
miPlanlama,,0,Planlama
miUretMCrt,miPlanlama,1,Ürün Ağacı
miUretModCreate,miUretMCrt,2,Mamül  Yarı Mamul Reçeteleri ...
miNonModelList,miUretMCrt,2,Reçetesi olmayan ürünler ...
miModelList,miUretMCrt,2,Reçetesi olan ürünler ...
miUrModelList,miUretMCrt,2,Ürünlere Bağlı Model ağaçları ...
miUretPlanlaYon,miPlanlama,1,Pazarlamadan Üretime Talepler ...
miMrpMain,miPlanlama,1,Üretim kaynakları planlama (MRP)
miMRPGlb,miMrpMain,2,Malzeme İhtiyaç Planı (MRP) ...
miMrpCrp,miMrpMain,2,Kapasite ihtiyaç planı (CRP) ...
miMrpDayPln,miMrpMain,2,Üretim Çizelgeleme 1...
miMrpDayPln1,miMrpMain,2,Üretim Çizelgeleme 2...
miymDegYon,miPlanlama,1,Yarımamül Değerlendirme Yönetimi ...
miSanalUretim,miPlanlama,1,Sanal Üretim...
miKalipYonetimi,miPlanlama,1,Kalıp Durum Yönetimi
miUretAlimPlanlaYon,miPlanlama,1,Üretimden Satınalmaya Talepler....
miURaporlar,miPlanlama,1,Raporlar
Rapor_200,miURaporlar,2,Planlanan/Gerçekleşen Üretim Karşılaştırması (r200)
Rapor_199,miURaporlar,2,Sipariş Tarihine Göre Üretim Durum Raporu (r199)
Rapor_217,miURaporlar,2,Ürün-Renk Cari Bazlı Sipariş Üretim Durumu Raporu (r217)
DetayGiris,Birdahagster1,2,DetayGiris
ReadBarcodeSip,Birdahagster1,2,ReadBarcodeSip
Siparis_SatialmaSiparis_Barkod_Asorti_Fiyat_Tipleri,Birdahagster1,2,Siparis_SatialmaSiparis_Barkod_Asorti_Fiyat_Tipleri
Siparis_SatialmaSiparis_Barkod_SatirlarToplansinMi,Birdahagster1,2,Siparis_SatialmaSiparis_Barkod_SatirlarToplansinMi
Siparis_SatialmaSiparis_YazdirAltTopGrup,Birdahagster1,2,Siparis_SatialmaSiparis_YazdirAltTopGrup
Siparis_SatialmaSiparis_BarkodYaz_AsortiDizayn,Birdahagster1,2,Siparis_SatialmaSiparis_BarkodYaz_AsortiDizayn
Siparis_SatialmaSiparis_BarkodYaz_DetayDizayn,Birdahagster1,2,Siparis_SatialmaSiparis_BarkodYaz_DetayDizayn
Fatura_Alis_Yazdir_EkrandaGor,Birdahagster1,2,Fatura_Alis_Yazdir_EkrandaGor
Rapor_204,miURaporlar,2,Model-Kalıp Durum Raporu (r204)
Rapor_207,miURaporlar,2,Detaylı Kalıp Durum Raporu (r207)
miUrLojistic,,0,Üretim Lojistiği
miUretEmirM,miUrLojistic,1,Bütünleşik Üretim Emri
miYUretEmir,miUretEmirM,2,Başlamamış İş Emirleri ...
miDUretEmir,miUretEmirM,2,Devam Eden İş Emirleri ...
miEUretEmir,miUretEmirM,2,Tamamlanmış İş Emirleri ...
miUrTakip,miUrLojistic,1,Üretim Emiri Bazında Process Takip 
miUrTakip1,miUrTakip,2,Üretimi Bekleyen Takipler ...
miUrTakip2,miUrTakip,2,Üretimi Devam Eden Takipler ...
miUrTakip3,miUrTakip,2,Üretimi Biten Takipler ...
miSmi_Urt,miUrLojistic,1,Sanal Maliyet İşletme Üretimi ...
miYenDeg,miUrLojistic,1,Yeniden Değerleme ...
miGenGid,miUrLojistic,1,Ürünlere Genel Gider Dağitımı...
miTERap,miUrLojistic,1,Tamamlanmış Emirler Raporu...
Siparis_PazarlamaSiparis_Barkod,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod
Siparis_PazarlamaSiparis_Barkod_Asorti_Fiyat_Tipleri,Birdahagster1,2,Siparis_PazarlamaSiparis_Barkod_Asorti_Fiyat_Tipleri
Siparis_PazarlamaSiparis_BarkodYaz,Birdahagster1,2,Siparis_PazarlamaSiparis_BarkodYaz
Fatura_Satis_Yazdir_RaporSekli,Birdahagster1,2,Fatura_Satis_Yazdir_RaporSekli
Fatura_Satis_Yazdir_EkrandaGor,Birdahagster1,2,Fatura_Satis_Yazdir_EkrandaGor
